source,html,table_index,table_id,header_tokens,unresolved_header_tokens,th_cells,td_cells,scope_attributes
notebooks/preparation/03_reference_profiles.qmd,_build/nathealth/notebooks/preparation/03_reference_profiles.html,3,Placement,36,28,5,21,5
notebooks/preparation/03_reference_profiles.qmd,_build/nathealth/notebooks/preparation/03_reference_profiles.html,4,Placement,14,12,3,7,3
notebooks/preparation/03_reference_profiles.qmd,_build/nathealth/notebooks/preparation/03_reference_profiles.html,5,Profile-and-period,120,120,4,49,4
notebooks/preparation/03_reference_profiles.qmd,_build/nathealth/notebooks/preparation/03_reference_profiles.html,6,Profile-and-placement,84,84,4,25,4
notebooks/preparation/03_reference_profiles.qmd,_build/nathealth/notebooks/preparation/03_reference_profiles.html,7,Metric-map,78,78,4,25,4
notebooks/preparation/03_reference_profiles.qmd,_build/nathealth/notebooks/preparation/03_reference_profiles.html,8,Check,28,14,3,22,3
notebooks/preparation/03_reference_profiles.qmd,_build/nathealth/notebooks/preparation/03_reference_profiles.html,9,Step-and-producing-code,45,45,2,11,2
notebooks/preparation/03_reference_profiles.qmd,_build/nathealth/notebooks/preparation/03_reference_profiles.html,10,Stored-artifact,56,56,2,17,2
notebooks/preparation/03_reference_profiles.qmd,_build/nathealth/notebooks/preparation/03_reference_profiles.html,11,Component,10,0,2,11,2
notebooks/preparation/04_metric_derivation.qmd,_build/nathealth/notebooks/preparation/04_metric_derivation.html,1,Input-and-exact-stored-artifact,50,50,2,11,2
notebooks/preparation/04_metric_derivation.qmd,_build/nathealth/notebooks/preparation/04_metric_derivation.html,2,Scientific-operation,50,50,2,20,2
notebooks/preparation/04_metric_derivation.qmd,_build/nathealth/notebooks/preparation/04_metric_derivation.html,3,Placement,45,42,4,13,4
notebooks/preparation/04_metric_derivation.qmd,_build/nathealth/notebooks/preparation/04_metric_derivation.html,4,Placement,18,12,6,13,6
notebooks/preparation/04_metric_derivation.qmd,_build/nathealth/notebooks/preparation/04_metric_derivation.html,5,Placement,176,128,8,129,8
notebooks/preparation/04_metric_derivation.qmd,_build/nathealth/notebooks/preparation/04_metric_derivation.html,6,Placement,120,116,9,29,9
notebooks/preparation/04_metric_derivation.qmd,_build/nathealth/notebooks/preparation/04_metric_derivation.html,7,Placement,56,44,6,25,6
notebooks/preparation/04_metric_derivation.qmd,_build/nathealth/notebooks/preparation/04_metric_derivation.html,8,Metric,220,100,10,81,10
notebooks/preparation/04_metric_derivation.qmd,_build/nathealth/notebooks/preparation/04_metric_derivation.html,9,Placement,42,38,8,17,8
notebooks/preparation/04_metric_derivation.qmd,_build/nathealth/notebooks/preparation/04_metric_derivation.html,10,Placement,16,12,4,9,4
notebooks/preparation/04_metric_derivation.qmd,_build/nathealth/notebooks/preparation/04_metric_derivation.html,11,Step-and-producing-code,63,63,2,15,2
notebooks/preparation/04_metric_derivation.qmd,_build/nathealth/notebooks/preparation/04_metric_derivation.html,12,Stored-layer,90,90,3,28,3
notebooks/preparation/04_metric_derivation.qmd,_build/nathealth/notebooks/preparation/04_metric_derivation.html,13,Family,84,72,8,49,8
notebooks/preparation/04_metric_derivation.qmd,_build/nathealth/notebooks/preparation/04_metric_derivation.html,14,Artifact-version,45,45,2,11,2
notebooks/preparation/05_model_input_acquisition.qmd,_build/nathealth/notebooks/preparation/05_model_input_acquisition.html,1,Modality,98,84,6,43,6
notebooks/preparation/05_model_input_acquisition.qmd,_build/nathealth/notebooks/preparation/05_model_input_acquisition.html,2,Stored-input-registry,32,32,2,9,2
notebooks/preparation/05_model_input_acquisition.qmd,_build/nathealth/notebooks/preparation/05_model_input_acquisition.html,3,Site,54,45,2,19,2
notebooks/preparation/05_model_input_acquisition.qmd,_build/nathealth/notebooks/preparation/05_model_input_acquisition.html,4,Item,16,0,2,17,2
notebooks/preparation/05_model_input_acquisition.qmd,_build/nathealth/notebooks/preparation/05_model_input_acquisition.html,5,How-the-exact-local-file-was-obtained,36,33,3,9,3
notebooks/preparation/05_model_input_acquisition.qmd,_build/nathealth/notebooks/preparation/05_model_input_acquisition.html,6,Step-and-producing-code,36,36,2,9,2
notebooks/preparation/05_model_input_acquisition.qmd,_build/nathealth/notebooks/preparation/05_model_input_acquisition.html,7,Stored-artifact,40,40,3,13,3
notebooks/preparation/05_model_input_acquisition.qmd,_build/nathealth/notebooks/preparation/05_model_input_acquisition.html,8,Check,48,32,3,25,3
notebooks/preparation/05_model_input_acquisition.qmd,_build/nathealth/notebooks/preparation/05_model_input_acquisition.html,9,Stored-verification-evidence,40,40,2,9,2
notebooks/preparation/06_model_ready_datasets.qmd,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,1,Input-type,42,28,4,29,4
notebooks/preparation/06_model_ready_datasets.qmd,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,2,Prepared-input,33,27,4,13,4
notebooks/preparation/06_model_ready_datasets.qmd,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,3,Stored-data-level,28,20,4,17,4
notebooks/preparation/06_model_ready_datasets.qmd,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,4,Correction-record,13,12,6,7,6
notebooks/preparation/06_model_ready_datasets.qmd,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,5,Placement,72,48,8,43,8
notebooks/preparation/06_model_ready_datasets.qmd,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,6,Stored-check-or-outcome,45,36,2,19,2
notebooks/preparation/06_model_ready_datasets.qmd,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,7,Site,189,180,11,82,11
notebooks/preparation/06_model_ready_datasets.qmd,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,8,Questionnaire-or-diary-input,280,224,6,57,6
notebooks/preparation/06_model_ready_datasets.qmd,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,9,Placement,120,116,9,29,9
notebooks/preparation/06_model_ready_datasets.qmd,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,10,Placement,39,36,3,10,3
notebooks/preparation/06_model_ready_datasets.qmd,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,11,Metric,204,153,6,103,6
notebooks/preparation/06_model_ready_datasets.qmd,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,12,Metric,204,153,6,103,6
notebooks/preparation/06_model_ready_datasets.qmd,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,13,During-render,12,8,2,9,2
notebooks/preparation/06_model_ready_datasets.qmd,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,14,stage,132,110,8,78,8
notebooks/preparation/06_model_ready_datasets.qmd,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,15,Stored-record,112,84,4,57,4
notebooks/preparation/06_model_ready_datasets.qmd,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,16,Stored-record,66,66,2,23,2
notebooks/preparation/06_model_ready_datasets.qmd,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,17,Step-and-producing-code,126,126,2,29,2
notebooks/preparation/06_model_ready_datasets.qmd,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,18,Stored-artifact,91,91,3,40,3
notebooks/preparation/06_model_ready_datasets.qmd,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,19,Component,10,0,2,11,2
notebooks/preparation/07_example_days.qmd,_build/nathealth/notebooks/preparation/07_example_days.html,1,Site,81,45,6,55,6
notebooks/preparation/07_example_days.qmd,_build/nathealth/notebooks/preparation/07_example_days.html,2,Site,99,90,5,46,5
notebooks/preparation/07_example_days.qmd,_build/nathealth/notebooks/preparation/07_example_days.html,3,Input,21,12,5,16,5
notebooks/preparation/07_example_days.qmd,_build/nathealth/notebooks/preparation/07_example_days.html,4,Rule,24,16,2,17,2
notebooks/preparation/07_example_days.qmd,_build/nathealth/notebooks/preparation/07_example_days.html,5,Step,30,24,3,10,3
notebooks/preparation/07_example_days.qmd,_build/nathealth/notebooks/preparation/07_example_days.html,6,Check,27,0,3,28,3
notebooks/preparation/07_example_days.qmd,_build/nathealth/notebooks/preparation/07_example_days.html,7,Artifact,24,0,4,25,4
notebooks/descriptives.qmd,_build/nathealth/notebooks/descriptives.html,1,a::stub,91,30,16,24,16
notebooks/descriptives.qmd,_build/nathealth/notebooks/descriptives.html,2,a::stub,880,440,36,230,36
notebooks/descriptives.qmd,_build/nathealth/notebooks/descriptives.html,3,a::stub,600,300,29,158,29
notebooks/descriptives.qmd,_build/nathealth/notebooks/descriptives.html,4,a::stub,676,26,37,226,37
notebooks/descriptives.qmd,_build/nathealth/notebooks/descriptives.html,5,a::stub,176,0,22,94,22
notebooks/descriptives.qmd,_build/nathealth/notebooks/descriptives.html,6,a::stub,18,0,11,6,11
notebooks/descriptives.qmd,_build/nathealth/notebooks/descriptives.html,7,a::stub,120,20,16,50,16
notebooks/descriptives.qmd,_build/nathealth/notebooks/descriptives.html,8,a::stub,252,186,23,66,23
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,1,tbl-h01-primary-publication-summary--gt-0001,357,0,33,120,33
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,2,tbl-h01-primary-tests--gt-0001,612,0,40,205,40
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,3,tbl-h01-primary-effects--gt-0001,510,0,37,171,37
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,4,tbl-h01-primary-site-deviation-matrix--gt-0001,144,0,19,73,19
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,5,tbl-h01-primary-site-contrasts--gt-0001,720,0,13,361,13
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,6,tbl-h01-primary-r2--gt-0001,378,0,36,127,36
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,7,tbl-h01-chest-tests--gt-0001,612,0,40,205,40
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,8,tbl-h01-chest-effects--gt-0001,510,0,37,171,37
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,9,tbl-h01-chest-site-contrasts--gt-0001,1040,0,18,521,18
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,10,tbl-h01-chest-r2--gt-0001,378,0,36,127,36
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,11,tbl-h01-diagnostic-assessment--gt-0001,306,0,40,103,40
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,12,tbl-h01-representative-diagnostics--gt-0001,32,0,9,17,9
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,13,tbl-h01-sensitivity-classification--gt-0001,35,0,5,36,5
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,14,tbl-h01-sensitivity-support--gt-0001,320,0,13,160,13
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,15,tbl-h01-paired-placement--gt-0001,480,0,10,241,10
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,16,tbl-h01-l10-noon-support--gt-0001,160,0,7,81,7
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,17,tbl-h01-l10-noon-effects--gt-0001,32,0,6,17,6
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,18,tbl-h01-period-sensitivity--gt-0001,72,0,9,73,9
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,19,tbl-h01-scope-sensitivity--gt-0001,560,0,6,281,6
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,20,tbl-h01-marginalization--gt-0001,306,0,40,102,40
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,21,tbl-h01-influence--gt-0001,510,0,42,170,42
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,22,tbl-h01-latitude-loo--gt-0001,510,0,42,170,42
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,23,tbl-h01-samples-primary-near-eye--gt-0001,238,0,25,120,25
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,24,tbl-h01-samples-primary-chest--gt-0001,238,0,25,120,25
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,25,tbl-h01-samples-primary-near-eye-matched--gt-0001,238,0,25,120,25
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,26,tbl-h01-samples-primary-chest-matched--gt-0001,238,0,25,120,25
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,27,tbl-h01-samples-gap-near-eye--gt-0001,238,0,25,120,25
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,28,tbl-h01-samples-gap-chest--gt-0001,238,0,25,120,25
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,29,tbl-h01-samples-gap-near-eye-matched--gt-0001,238,0,25,120,25
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,30,tbl-h01-samples-gap-chest-matched--gt-0001,238,0,25,120,25
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,31,tbl-h01-deviations--gt-0001,69,0,3,70,3
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,32,tbl-h01-metric-registry--gt-0001,153,0,27,51,27
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,33,tbl-h01-participant-formulas--gt-0001,10,0,2,11,2
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,34,tbl-h01-participant-day-formulas--gt-0001,10,0,2,11,2
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,35,tbl-h01-preregistered-scope-formulas--gt-0001,30,0,3,31,3
notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,36,tbl-h01-formula-manifest--gt-0001,324,0,8,162,8
audit/hypotheses/H01/H01_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,1,tbl-h01-prep-boundary--gt-0001,18,0,3,18,3
audit/hypotheses/H01/H01_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,2,tbl-h01-prep-inputs--gt-0001,6,0,3,7,3
audit/hypotheses/H01/H01_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,3,tbl-h01-prep-exclusions--gt-0001,90,0,5,46,5
audit/hypotheses/H01/H01_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,4,tbl-h01-prep-metric-contract--gt-0001,204,0,28,68,28
audit/hypotheses/H01/H01_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,5,tbl-h01-prep-construct-rules--gt-0001,16,0,4,16,4
audit/hypotheses/H01/H01_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,6,tbl-h01-prep-scenarios--gt-0001,96,0,8,48,8
audit/hypotheses/H01/H01_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,7,tbl-h01-prep-primary-near-samples--gt-0001,204,0,24,102,24
audit/hypotheses/H01/H01_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,8,tbl-h01-prep-primary-chest-samples--gt-0001,204,0,24,102,24
audit/hypotheses/H01/H01_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,9,tbl-h01-prep-site-sample-ranges--gt-0001,204,0,24,68,24
audit/hypotheses/H01/H01_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,10,tbl-h01-prep-formulas--gt-0001,40,0,4,20,4
audit/hypotheses/H01/H01_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,11,tbl-h01-prep-model-settings--gt-0001,27,0,3,27,3
audit/hypotheses/H01/H01_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,12,tbl-h01-prep-estimands--gt-0001,24,0,4,24,4
audit/hypotheses/H01/H01_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,13,tbl-h01-prep-multiplicity--gt-0001,20,0,5,20,5
audit/hypotheses/H01/H01_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,14,tbl-h01-prep-bootstrap-audit--gt-0001,112,0,9,56,9
audit/hypotheses/H01/H01_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,15,tbl-h01-prep-diagnostic-map--gt-0001,18,0,3,18,3
audit/hypotheses/H01/H01_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,16,tbl-h01-prep-sensitivity-map--gt-0001,32,0,4,32,4
audit/hypotheses/H01/H01_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,17,tbl-h01-prep-module-map--gt-0001,12,0,3,12,3
audit/hypotheses/H01/H01_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,18,tbl-h01-prep-script-map--gt-0001,65,0,5,65,5
audit/hypotheses/H01/H01_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,19,tbl-h01-prep-manifests--gt-0001,32,0,4,32,4
audit/hypotheses/H01/H01_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,20,tbl-h01-prep-environment--gt-0001,18,0,2,18,2
notebooks/hypotheses/H02.qmd,_build/nathealth/notebooks/hypotheses/H02.html,1,tbl-h02-near-variation--gt-0001,36,0,11,13,11
notebooks/hypotheses/H02.qmd,_build/nathealth/notebooks/hypotheses/H02.html,2,tbl-h02-near-dominance--gt-0001,16,0,7,9,7
notebooks/hypotheses/H02.qmd,_build/nathealth/notebooks/hypotheses/H02.html,3,tbl-h02-near-relevance--gt-0001,6,0,5,3,5
notebooks/hypotheses/H02.qmd,_build/nathealth/notebooks/hypotheses/H02.html,4,tbl-h02-near-windows--gt-0001,18,0,11,10,11
notebooks/hypotheses/H02.qmd,_build/nathealth/notebooks/hypotheses/H02.html,5,tbl-h02-chest-variation--gt-0001,36,0,11,13,11
notebooks/hypotheses/H02.qmd,_build/nathealth/notebooks/hypotheses/H02.html,6,tbl-h02-chest-dominance--gt-0001,16,0,7,9,7
notebooks/hypotheses/H02.qmd,_build/nathealth/notebooks/hypotheses/H02.html,7,tbl-h02-chest-relevance--gt-0001,6,0,5,3,5
notebooks/hypotheses/H02.qmd,_build/nathealth/notebooks/hypotheses/H02.html,8,tbl-h02-chest-windows--gt-0001,16,0,10,9,10
notebooks/hypotheses/H02.qmd,_build/nathealth/notebooks/hypotheses/H02.html,9,tbl-h02-near-diagnostics--gt-0001,32,0,11,16,11
notebooks/hypotheses/H02.qmd,_build/nathealth/notebooks/hypotheses/H02.html,10,tbl-h02-chest-diagnostics--gt-0001,32,0,11,16,11
notebooks/hypotheses/H02.qmd,_build/nathealth/notebooks/hypotheses/H02.html,11,tbl-h02-sensitivity--gt-0001,48,0,11,25,11
notebooks/hypotheses/H02.qmd,_build/nathealth/notebooks/hypotheses/H02.html,12,tbl-h02-near-sample--gt-0001,100,0,16,50,16
notebooks/hypotheses/H02.qmd,_build/nathealth/notebooks/hypotheses/H02.html,13,tbl-h02-chest-sample--gt-0001,90,0,15,45,15
notebooks/hypotheses/H02.qmd,_build/nathealth/notebooks/hypotheses/H02.html,14,tbl-h02-model-deviations--gt-0001,42,0,11,21,11
notebooks/hypotheses/H02.qmd,_build/nathealth/notebooks/hypotheses/H02.html,15,tbl-h02-data-deviations--gt-0001,36,0,10,18,10
audit/hypotheses/H02/H02_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,1,tbl-h02-prep-boundary--gt-0001,15,0,3,15,3
audit/hypotheses/H02/H02_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,2,tbl-h02-prep-inputs--gt-0001,28,0,4,29,4
audit/hypotheses/H02/H02_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,3,tbl-h02-prep-support--gt-0001,28,0,7,28,7
audit/hypotheses/H02/H02_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,4,tbl-h02-prep-scenarios--gt-0001,56,0,7,56,7
audit/hypotheses/H02/H02_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,5,tbl-h02-prep-near-site-sample--gt-0001,63,0,7,63,7
audit/hypotheses/H02/H02_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,6,tbl-h02-prep-chest-site-sample--gt-0001,56,0,7,56,7
audit/hypotheses/H02/H02_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,7,tbl-h02-prep-parameters--gt-0001,42,0,3,42,3
audit/hypotheses/H02/H02_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,8,tbl-h02-prep-primary-fits--gt-0001,14,0,7,14,7
audit/hypotheses/H02/H02_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,9,tbl-h02-prep-structure-checks--gt-0001,18,0,6,19,6
audit/hypotheses/H02/H02_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,10,tbl-h02-prep-ar-boundaries--gt-0001,20,0,8,10,8
audit/hypotheses/H02/H02_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,11,tbl-h02-prep-diagnostic-map--gt-0001,21,0,3,21,3
audit/hypotheses/H02/H02_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,12,tbl-h02-prep-sensitivity-map--gt-0001,20,0,4,20,4
audit/hypotheses/H02/H02_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,13,tbl-h02-prep-module-map--gt-0001,15,0,3,15,3
audit/hypotheses/H02/H02_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,14,tbl-h02-prep-script-map--gt-0001,75,0,5,75,5
audit/hypotheses/H02/H02_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,15,tbl-h02-prep-manifests--gt-0001,40,0,4,41,4
audit/hypotheses/H02/H02_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,16,tbl-h02-prep-environment--gt-0001,16,0,2,16,2
notebooks/hypotheses/H03.qmd,_build/nathealth/notebooks/hypotheses/H03.html,1,tbl-h03-primary-results--gt-0001,84,0,5,43,5
notebooks/hypotheses/H03.qmd,_build/nathealth/notebooks/hypotheses/H03.html,2,tbl-h03-omnibus--gt-0001,24,0,5,13,5
notebooks/hypotheses/H03.qmd,_build/nathealth/notebooks/hypotheses/H03.html,3,tbl-h03-near-site-factorization--gt-0001,88,0,8,89,8
notebooks/hypotheses/H03.qmd,_build/nathealth/notebooks/hypotheses/H03.html,4,tbl-h03-fixed-r2--gt-0001,72,0,8,37,8
notebooks/hypotheses/H03.qmd,_build/nathealth/notebooks/hypotheses/H03.html,5,tbl-h03-participant-random-intercept--gt-0001,66,0,6,34,6
