path,expected_sha256,actual_sha256,expected_bytes,actual_bytes,status
scripts/manuscript_nature_health/capture_word_tables.mjs,9a38f12b93bd03f3332de2f3c862bedbd035659bd762b386b98166800a04af07,9a38f12b93bd03f3332de2f3c862bedbd035659bd762b386b98166800a04af07,14753,14753,PASS
audit/manuscript_nature_health/final_production_render_2026_09_02/word_capture/word_table_png_manifest.json,8dcb34ea1692dc1091d7e16625be86bc45c65636ffeb6b863a99c7dacc914398,8dcb34ea1692dc1091d7e16625be86bc45c65636ffeb6b863a99c7dacc914398,18358,18358,PASS
audit/manuscript_nature_health/final_production_render_2026_09_02/word_capture/word_figure_png_manifest.json,375970be6b8567a52ec1589b0f89971819c6d85b75591768970bc1d4198fb881,375970be6b8567a52ec1589b0f89971819c6d85b75591768970bc1d4198fb881,7241,7241,PASS
audit/report_harmonization/report018_nature_health_order68a_final_independent_acceptance.md,fcf9ba53f2b131e335472c077360bf979d3b8abc49c70ab954350d5977364096,fcf9ba53f2b131e335472c077360bf979d3b8abc49c70ab954350d5977364096,3750,3750,PASS
audit/report_harmonization/report018_nature_health_order68a_final_independent_acceptance_manifest.csv,530aefee66085b5a82b87a0a0b7c01b8f1522ac8294d7605980a6f55d2bc381e,530aefee66085b5a82b87a0a0b7c01b8f1522ac8294d7605980a6f55d2bc381e,4629,4629,PASS
.Rprofile,3f9d62fc3f1bf5888a09816101b705f9844ef4cd44ee5ad157f4168dac4af4d4,3f9d62fc3f1bf5888a09816101b705f9844ef4cd44ee5ad157f4168dac4af4d4,26,26,PASS
renv.lock,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,603493,603493,PASS
index.qmd,86766c377e7ee1dcfea6b1ada8704b04320bbc231630c4044cd9c9d93aa0bf80,86766c377e7ee1dcfea6b1ada8704b04320bbc231630c4044cd9c9d93aa0bf80,91250,91250,PASS
audit/report_harmonization/phase4_corpus_manifest.csv,5d66d43ddfa2858193603db656c0cd25c0c2229ea9bee3678dc4c56a9705855b,5d66d43ddfa2858193603db656c0cd25c0c2229ea9bee3678dc4c56a9705855b,11479,11479,PASS
_build/nathealth/index.html,600b7a3d5eb244e99e841b5c4e3b6c1c7440004303fe0e9da1bc0c874add1184,600b7a3d5eb244e99e841b5c4e3b6c1c7440004303fe0e9da1bc0c874add1184,405444,405444,PASS
_quarto-nathealth.yml,e54c71794f4f763a8b50417ab83ff3db37bc9af3fef3f4d1910576ab12c61bc7,e54c71794f4f763a8b50417ab83ff3db37bc9af3fef3f4d1910576ab12c61bc7,10042,10042,PASS
styles-nathealth.css,051d9468f636df71e2408687661369a443029407426fef98850ff56def9aac87,051d9468f636df71e2408687661369a443029407426fef98850ff56def9aac87,4548,4548,PASS
_includes/nathealth-mobile-toc.html,153967734707cccf0fb2e910327cebfadb552f3c752b70e67b5346fb9acd8980,153967734707cccf0fb2e910327cebfadb552f3c752b70e67b5346fb9acd8980,1542,1542,PASS
audit/report_harmonization/owner_orders/69_nature_health_reference_doc_word_only_correction.md,6d0a9dd39dd969f99fc97853aaf0070da0a42739c50d092c777a4bcbbbdd051e,6d0a9dd39dd969f99fc97853aaf0070da0a42739c50d092c777a4bcbbbdd051e,12869,12869,PASS
audit/manuscript_nature_health/reference_doc_word_correction_2026_09_02/preimage_quarto.yml,2aa2911f13d4532aa8ce98e38363a5c92b1d2bdc025b3c8bba49950077e76b33,2aa2911f13d4532aa8ce98e38363a5c92b1d2bdc025b3c8bba49950077e76b33,435,435,PASS
audit/manuscript_nature_health/reference_doc_word_correction_2026_09_02/preimage_ZaunerEtAl2026_NatHealth_phase3_brown.docx,07ff074d4bd4124656063f69a2437b4c646a8240ad771ce94d30339f41d0604c,07ff074d4bd4124656063f69a2437b4c646a8240ad771ce94d30339f41d0604c,28749374,28749374,PASS
audit/manuscript_nature_health/reference_doc_word_correction_2026_09_02/preimage_prepare_word_manuscript.py,0e6310467104be48993ca00f63d18e8e0b6d9ac7b59605ac18f749ee250a8d9c,0e6310467104be48993ca00f63d18e8e0b6d9ac7b59605ac18f749ee250a8d9c,25939,25939,PASS
