page,orientation,pdf_width_points,pdf_height_points,png_width_pixels,png_height_pixels,text_characters,text_lines,pdf_images,nonwhite_fraction,content_bbox_pixels,characters_outside_page,first_line,last_line,blank_candidate
22,portrait,595.304,841.89,1414,2000,2514,34,0,0.09489,"91,177,1239,1876",0,Immediate environments and routines reorganise exposure,44,False
23,portrait,595.304,841.89,1414,2000,2360,31,0,0.086889,"91,175,1238,1877",0,310 differences within participants from differences in category composition between,46,False
24,portrait,595.304,841.89,1414,2000,10,3,1,0.072613,"91,177,1002,1877",0,339,48,False
25,portrait,595.304,841.89,1414,2000,2737,35,0,0.100401,"91,175,1238,1877",0,340 Figure 3: Personal light exposure by immediate setting across time of day and study,50,False
26,portrait,595.304,841.89,1414,2000,2351,34,0,0.090037,"90,175,1240,1877",0,373 type also remained FDR-supported. Supplementary Table S9 and Supplementary,52,False
27,portrait,595.304,841.89,1414,2000,2262,35,0,0.088234,"90,175,1236,1877",0,404 restriction and adjustment cannot be disentangled as mechanisms. Gender was,54,False
28,portrait,595.304,841.89,1414,2000,2548,34,0,0.094519,"90,175,1237,1877",0,"434 contrasts, with the next-largest model-fit allocations after time of day. Participant",56,False
29,portrait,595.304,841.89,1414,2000,2516,33,0,0.093507,"90,175,1240,1877",0,466 Exploratory inverse associations of average daytime with sleep and pre-sleep,58,False
30,portrait,595.304,841.89,1414,2000,2655,34,0,0.098806,"90,175,1238,1877",0,"497 Light-behaviour and visual-sensitivity scores did not meet their FDR criteria, whereas",60,False
31,portrait,595.304,841.89,1414,2000,2407,35,0,0.091264,"91,175,1237,1877",0,"529 distinguish fine-grained settings or behaviours within home, work or transport. Very",62,False
32,portrait,595.304,841.89,1414,2000,2446,34,0,0.092875,"91,175,1239,1877",0,"560 return visit was delayed, participants continued until formal study termination and",64,False
33,portrait,595.304,841.89,1414,2000,2507,34,0,0.095454,"91,175,1241,1877",0,591 site at the Federal Institute for Occupational Safety and Health (BAuA) operated,66,False
34,portrait,595.304,841.89,1414,2000,2483,34,0,0.094933,"91,175,1232,1877",0,622 characterise the bedside sleep environment. Participants recorded removals and,68,False
35,portrait,595.304,841.89,1414,2000,2153,31,0,0.08347,"91,175,1239,1877",0,653 separately by corrected midsleep on free days from the Munich Chronotype,70,False
36,portrait,595.304,841.89,1414,2000,2460,35,0,0.094927,"91,177,1232,1876",0,Exposure metrics,72,False
37,portrait,595.304,841.89,1414,2000,2632,35,0,0.099802,"91,175,1237,1876",0,712 The main adherence analysis retained one row per window period and defined,74,False
38,portrait,595.304,841.89,1414,2000,2530,34,0,0.098349,"91,175,1237,1877",0,744 compared on a common 48-bin grid. Conditional Shapley allocation averaged each,76,False
39,portrait,595.304,841.89,1414,2000,2490,34,0,0.094743,"91,177,1231,1877",0,Immediate-context and routine analyses,78,False
40,portrait,595.304,841.89,1414,2000,2268,34,0,0.088597,"91,177,1233,1877",0,Person-level analyses,80,False
41,portrait,595.304,841.89,1414,2000,2326,34,0,0.089976,"91,175,1234,1877",0,836 and participant or site influence. Qualifications were attached to the affected results.,82,False
42,portrait,595.304,841.89,1414,2000,1688,31,0,0.067578,"91,175,1240,1877",0,"866 evaluate data-preparation and model-selection choices, expanded model",84,False
43,portrait,595.304,841.89,1414,2000,1449,23,0,0.059181,"91,175,1239,1877",0,"892 4. Blume, C., Garbazza, C. & Spitschan, M. Effects of light on human circadian",86,False
44,portrait,595.304,841.89,1414,2000,1413,23,0,0.057,"91,175,1237,1877",0,"913 12. Burns, A. C. et al. Day and night light exposure are associated with",88,False
45,portrait,595.304,841.89,1414,2000,1496,24,0,0.05924,"91,175,1242,1877",0,"934 19. Gubin, D. et al. Light environment of arctic solstices is coupled with melatonin",90,False
46,portrait,595.304,841.89,1414,2000,1491,24,0,0.059614,"91,175,1231,1877",0,"956 among children in the netherlands. Environmental Health Perspectives 127,",92,False
47,portrait,595.304,841.89,1414,2000,1478,24,0,0.05798,"91,175,1242,1877",0,"978 33. Zauner, J., Vries, S. W. de, Didikoglu, A., Duijnhoven, J. van & Spitschan, M.",94,False
48,portrait,595.304,841.89,1414,2000,1510,25,0,0.060141,"76,175,1238,1877",0,"1000 41. Stefani, O. et al. Wearable light loggers in field conditions: Corneal light",96,False
49,portrait,595.304,841.89,1414,2000,1438,23,0,0.057248,"76,175,1242,1877",0,"1023 50. Kaida, K. et al. Validation of the karolinska sleepiness scale against",98,False
50,portrait,595.304,841.89,1414,2000,1441,24,0,0.05738,"76,172,1240,1877",0,"1044 57. Horne, J. A. & Östberg, O. A self-assessment questionnaire to determine",100,False
51,portrait,595.304,841.89,1414,2000,1481,23,0,0.058739,"76,175,1240,1877",0,"1066 65. Hastie, T. & Tibshirani, R. Generalized additive models. Statistical Science 1,",102,False
52,portrait,595.304,841.89,1414,2000,1312,23,0,0.052847,"76,175,1228,1877",0,"1087 75. Lüdecke, D., Ben-Shachar, M. S., Patil, I., Waggoner, P. & Makowski, D.",104,False
53,portrait,595.304,841.89,1414,2000,1364,25,0,0.056018,"76,175,1204,1877",0,"1108 83. Broszio, K., Zauner, J. & Spitschan, M. Personal light exposure dataset for",106,False
54,portrait,595.304,841.89,1414,2000,1594,31,0,0.061209,"76,175,1240,1877",0,"1131 90. Zauner, J. et al. MeLiDos project data hub.",108,False
55,portrait,595.304,841.89,1414,2000,1974,33,0,0.071884,"76,175,1237,1877",0,"1157  Investigation: A.D., G.K.A., S.A., S.G.A., S.N.A., Z.K., M.C.P.G., R.A.G.L.,",110,False
56,portrait,595.304,841.89,1414,2000,2562,34,0,0.096051,"76,175,1238,1876",0,"1187 Forschungsallianz and Reality Labs Research; honoraria for talks from ISGlobal, the",112,False
57,landscape,841.89,595.304,2000,1414,132,7,0,0.00929,"0,101,860,1290",7,Supplementary Information,114,False
58,landscape,841.89,595.304,2000,1414,13,3,1,0.194647,"0,110,1754,1291",3,1222,116,False
59,landscape,841.89,595.304,2000,1414,346,5,0,0.012843,"0,98,1906,1291",7,"1223 Supplementary Table S1. Participant, participant-day, and one-minute observation counts across the roster, sensor-specific completeness and",118,False
60,landscape,841.89,595.304,2000,1414,91,4,1,0.139786,"0,99,1903,1291",5,1226 Supplementary Table S2. Full near-eye metric dictionary and distributions,120,False
61,landscape,841.89,595.304,2000,1414,13,3,1,0.075856,"0,95,1903,1290",3,1228,122,False
62,landscape,841.89,595.304,2000,1414,13,3,1,0.086674,"0,96,1903,1290",3,1229,124,False
63,landscape,841.89,595.304,2000,1414,13,3,1,0.250701,"0,94,1877,1291",3,1230,126,False
64,landscape,841.89,595.304,2000,1414,13,3,1,0.13391,"0,95,1903,1291",3,1231,128,False
65,landscape,841.89,595.304,2000,1414,351,6,1,0.183808,"0,95,1903,1291",9,1232,130,False
66,landscape,841.89,595.304,2000,1414,80,3,0,0.005008,"0,99,1187,1291",3,1236 Supplementary Table S3. Descriptive recommendation-range fractions,132,False
67,landscape,841.89,595.304,2000,1414,13,3,1,0.248387,"0,108,1767,1291",3,1237,134,False
68,landscape,841.89,595.304,2000,1414,522,6,0,0.019935,"0,98,1877,1291",9,"1238 Supplementary Table S3. Fractions of valid near-eye minutes meeting each Brown et al. recommendation range, with explicit numerators and",136,False
69,portrait,595.304,841.89,1414,2000,177,7,1,0.100028,"76,176,1204,1877",0,1242 Supplementary Figure S1. Near-eye metric distributions,138,False
70,portrait,595.304,841.89,1414,2000,183,7,1,0.131628,"76,176,1241,1877",0,1247 Supplementary Figure S2. Worked metric derivation,140,False
71,portrait,595.304,841.89,1414,2000,204,8,1,0.130417,"76,176,1181,1876",0,1252 Supplementary Figure S3. Latitude and civil-photoperiod,142,False
72,portrait,595.304,841.89,1414,2000,725,15,1,0.04274,"76,177,1239,1876",0,Recommendation adherence,144,False
73,portrait,595.304,841.89,1414,2000,1020,17,1,0.068333,"76,176,1238,1877",0,1270 Supplementary Figure S5. Site-specific adherence and day-type,146,False
74,landscape,841.89,595.304,2000,1414,104,4,1,0.21617,"0,99,1903,1291",5,1285 Supplementary Table S4. Exploratory cross-window recommendation-adherence associations,148,False
75,landscape,841.89,595.304,2000,1414,297,5,1,0.221138,"0,97,1903,1291",7,1287,150,False
76,landscape,841.89,595.304,2000,1414,242,4,0,0.00885,"0,98,1907,1291",5,1290 participant day-level claim is withheld because serial dependence remains unresolved. Between-participant results describe observed monitoring-,152,False
77,portrait,595.304,841.89,1414,2000,772,14,1,0.106103,"76,176,1240,1877",0,1292 Supplementary Figure S6. Anonymous participant,154,False
78,landscape,841.89,595.304,2000,1414,578,9,1,0.099761,"0,100,1899,1291",13,Daily architecture,156,False
79,landscape,841.89,595.304,2000,1414,283,6,1,0.088681,"0,98,1904,1291",9,"1310 intervals from 2,000 replicates and are conditional on the fitted models. These quantities describe different estimands and should not be added or",158,False
80,landscape,841.89,595.304,2000,1414,310,5,0,0.011879,"0,98,1904,1291",7,"1314 Supplementary Table S6. Complementary chest fitted-curve dispersion and conditional Shapley allocation of in-sample model fit. The quantities,",160,False
81,portrait,595.304,841.89,1414,2000,740,15,1,0.120779,"76,177,1234,1877",0,Geographic and civil-photoperiod context,162,False
82,landscape,841.89,595.304,2000,1414,81,4,1,0.195727,"0,99,1903,1291",5,1329 Supplementary Table S7. Geographic and photoperiod associations,164,False
83,landscape,841.89,595.304,2000,1414,13,3,1,0.264981,"0,97,1903,1291",3,1331,166,False
84,landscape,841.89,595.304,2000,1414,13,3,1,0.140528,"0,96,1620,1291",3,1332,168,False
85,landscape,841.89,595.304,2000,1414,364,5,0,0.013661,"0,98,1885,1291",7,"1333 Supplementary Table S7. Overall-site, civil-photoperiod and absolute-latitude associations for the 17 near-eye personal light-exposure metrics.",170,False
86,landscape,841.89,595.304,2000,1414,81,3,0,0.0049,"0,99,1150,1290",3,1336 Supplementary Table S8. Nonlinear civil-photoperiod classifications,172,False
87,landscape,841.89,595.304,2000,1414,13,3,1,0.19292,"0,111,1793,1290",3,1337,174,False
88,landscape,841.89,595.304,2000,1414,487,6,0,0.017813,"0,98,1905,1291",9,1338 Supplementary Table S8. Derivative-based classifications for nine near-eye personal light-exposure metrics across the observed civil-,176,False
89,portrait,595.304,841.89,1414,2000,161,8,1,0.08649,"76,177,1245,1877",0,Immediate environments and routines,178,False
90,portrait,595.304,841.89,1414,2000,53,4,1,0.135991,"76,174,1242,1877",0,1347 Supplementary Figure S8 (continued),180,False
91,portrait,595.304,841.89,1414,2000,1212,20,0,0.048201,"76,175,1235,1877",0,1349 Supplementary Figure S8. Near-eye light exposure by reported light source across,182,False
92,portrait,595.304,841.89,1414,2000,336,7,1,0.024558,"76,179,1255,1877",0,1366,184,False
93,portrait,595.304,841.89,1414,2000,260,8,1,0.071379,"76,176,1239,1877",0,1371 Supplementary Figure S10. Free-versus-Work hourly timing,186,False
94,portrait,595.304,841.89,1414,2000,274,8,1,0.068875,"76,176,1216,1877",0,1377 Supplementary Figure S11. Active-versus-Sedentary hourly timing,188,False
95,portrait,595.304,841.89,1414,2000,624,13,1,0.072718,"76,176,1247,1877",0,1383 Supplementary Figure S12. Site-specific hourly routine,190,False
96,landscape,841.89,595.304,2000,1414,522,7,1,0.082042,"0,99,1913,1291",11,1394 Supplementary Table S9. Participant-hour routine associations,192,False
97,landscape,841.89,595.304,2000,1414,99,6,1,0.05684,"0,100,1900,1291",7,Person-level findings,194,False
98,landscape,841.89,595.304,2000,1414,449,6,1,0.06401,"0,97,1900,1291",9,1402,196,False
99,landscape,841.89,595.304,2000,1414,215,4,0,0.00806,"0,98,1903,1291",5,1406 Biological sex and gender were recorded separately; gender was not analysed. The complete available-data curve difference was attenuated and,198,False
100,portrait,595.304,841.89,1414,2000,498,11,1,0.125643,"76,176,1236,1877",0,1408 Supplementary Figure S13 and Table S11. Light-exposure,200,False
101,landscape,841.89,595.304,2000,1414,82,4,1,0.239286,"0,97,1850,1291",4,1417 Supplementary Table S11. Light-exposure behaviour and awareness,202,False
102,landscape,841.89,595.304,2000,1414,59,5,1,0.208116,"0,99,1903,1291",6,1419,204,False
103,portrait,595.304,841.89,1414,2000,458,10,1,0.041117,"76,176,1243,1877",0,1422 Supplementary Figure S14 and Table S12. Visual light sensitivity,206,False
104,landscape,841.89,595.304,2000,1414,68,4,1,0.233965,"0,97,1903,1291",4,1430 Supplementary Table S12. Visual light sensitivity,208,False
105,portrait,595.304,841.89,1414,2000,896,15,1,0.06562,"76,176,1252,1877",0,1432 Supplementary Figure S15 and Table S13. Chronotype and timing,210,False
106,landscape,841.89,595.304,2000,1414,65,4,1,0.289654,"0,97,1903,1290",4,1445 Supplementary Table S13. Chronotype and timing,212,False
107,portrait,595.304,841.89,1414,2000,548,11,1,0.04211,"76,176,1208,1876",0,1447 Supplementary Figure S16 and Table S14. Age and biological sex,214,False
108,landscape,841.89,595.304,2000,1414,66,4,1,0.282898,"0,97,1887,1291",4,1456 Supplementary Table S14. Age and biological sex,216,False
109,portrait,595.304,841.89,1414,2000,622,13,1,0.108557,"76,176,1227,1877",0,1458 Supplementary Figure S17 and Table S15. Biological-sex-specific,218,False
110,landscape,841.89,595.304,2000,1414,99,4,1,0.087521,"0,97,1903,1291",4,1469 Supplementary Table S15. Biological-sex-specific daily patterns and global tests,220,False
111,portrait,595.304,841.89,1414,2000,581,11,0,0.024193,"76,177,1231,1876",0,"Measurement position, robustness, and reproducibility",222,False
