page,orientation,pdf_width_points,pdf_height_points,png_width_pixels,png_height_pixels,text_characters,text_lines,pdf_images,nonwhite_fraction,content_bbox_pixels,characters_outside_page,first_line,last_line,blank_candidate
29,portrait,595.304,841.89,1414,2000,3007,36,0,0.098403,"116,174,1235,1822",0,520 the loggers. Seven consecutive recording days separated registration and return visits; most,29,False
30,portrait,595.304,841.89,1414,2000,2656,34,0,0.087406,"116,174,1231,1822",0,"554 834/24/106), the Scientific Research and Publication Ethics Committee of the Faculty of",30,False
31,portrait,595.304,841.89,1414,2000,2631,33,0,0.087097,"116,177,1240,1822",0,Contextual and person-level measures,31,False
32,portrait,595.304,841.89,1414,2000,2798,36,0,0.093423,"116,177,1239,1822",0,"Time, sleep/wake status and coverage preparation",32,False
33,portrait,595.304,841.89,1414,2000,2928,35,0,0.097428,"116,174,1242,1822",0,650 The melanopic daylight efficacy ratio was the arithmetic mean of viable one-minute,33,False
34,portrait,595.304,841.89,1414,2000,2871,36,0,0.09966,"116,174,1241,1822",0,683 means for 139 complete three-window profiles and 417 participant-window points; they,34,False
35,portrait,595.304,841.89,1414,2000,2901,34,0,0.094968,"116,174,1240,1822",0,"716 procedure located a change in the fitted slope but did not test equivalence, a mechanism or",35,False
36,portrait,595.304,841.89,1414,2000,2807,36,0,0.094501,"116,177,1230,1822",0,Person-level analyses,36,False
37,portrait,595.304,841.89,1414,2000,2433,35,0,0.082005,"116,174,1239,1822",0,781 inputs and output files are documented in the Supplementary Information and reproducibility,37,False
38,portrait,595.304,841.89,1414,2000,1715,28,0,0.061097,"116,174,1238,1822",0,"812 records for Kumasi (GH), Madrid (ES), Dortmund (DE), Izmir (TR), Tübingen (DE), San José",38,False
39,portrait,595.304,841.89,1414,2000,1773,25,0,0.062082,"116,174,1242,1822",0,"837 8. Brown, T. M. et al. Recommendations for daytime, evening, and nighttime indoor light",39,False
40,portrait,595.304,841.89,1414,2000,1689,24,0,0.057546,"116,174,1241,1822",0,"861 17. Obayashi, K., Saeki, K. & Kurumatani, N. Ambient light exposure and changes in",40,False
41,portrait,595.304,841.89,1414,2000,1818,26,0,0.06214,"116,174,1233,1821",0,"884 26. Huss, A. et al. Shedding some light in the dark—a comparison of personal",41,False
42,portrait,595.304,841.89,1414,2000,1652,25,0,0.056192,"116,174,1241,1821",0,909 bioRxiv https://doi.org/10.64898/2026.07.28.741277 (2026),42,False
43,portrait,595.304,841.89,1414,2000,1648,25,0,0.056696,"116,174,1241,1822",0,"933 43. Zauner, J. et al. Auxiliary data, quality assurance and quality control for wearable",43,False
44,portrait,595.304,841.89,1414,2000,1646,25,0,0.057193,"116,174,1240,1821",0,"957 invariance across 35 countries. Journal of Affective Disorders Reports 1, 100020",44,False
45,portrait,595.304,841.89,1414,2000,1826,25,0,0.063006,"101,174,1235,1822",0,981 61. R Core Team. R: A language and environment for statistical computing.,45,False
46,portrait,595.304,841.89,1414,2000,1569,24,0,0.054384,"101,174,1233,1822",0,"1005 73. Bates, D., Mächler, M., Bolker, B. & Walker, S. Fitting linear mixed-effects models",46,False
47,portrait,595.304,841.89,1414,2000,1619,24,0,0.057459,"101,174,1239,1821",0,"1028 83. Broszio, K., Zauner, J. & Spitschan, M. Personal light exposure dataset for dortmund,",47,False
48,portrait,595.304,841.89,1414,2000,1920,34,0,0.059831,"101,178,1237,1822",0,Acknowledgements,48,False
49,portrait,595.304,841.89,1414,2000,2751,36,0,0.091452,"101,174,1236,1822",0,1081  Visualization: J.Z.,49,False
50,portrait,595.304,841.89,1414,2000,1134,14,0,0.036155,"101,174,1234,1822",0,1115 Lighting GmbH; and course designer for Munich University of Applied Sciences and Virtual,50,False
51,landscape,841.89,595.304,2000,1414,125,6,0,0.009208,"7,101,860,1236",0,Supplementary Information,51,False
52,landscape,841.89,595.304,2000,1414,6,2,1,0.194439,"7,110,1754,1236",0,1131,52,False
53,landscape,841.89,595.304,2000,1414,339,4,0,0.010939,"7,97,1835,1236",0,"1132 Supplementary Table S1. Participant, participant-day, and one-minute observation counts across the roster, sensor-specific completeness and all-zero",53,False
54,landscape,841.89,595.304,2000,1414,84,3,1,0.13964,"7,99,1903,1236",0,1135 Supplementary Table S2. Full near-eye metric dictionary and distributions,54,False
55,landscape,841.89,595.304,2000,1414,6,2,1,0.075658,"7,95,1903,1236",0,1137,55,False
56,landscape,841.89,595.304,2000,1414,6,2,1,0.08649,"7,96,1903,1236",0,1138,56,False
57,landscape,841.89,595.304,2000,1414,6,2,1,0.250478,"7,94,1877,1236",0,1139,57,False
58,landscape,841.89,595.304,2000,1414,6,2,1,0.133724,"7,95,1903,1236",0,1140,58,False
59,landscape,841.89,595.304,2000,1414,344,5,1,0.181802,"7,95,1914,1236",0,1141,59,False
60,landscape,841.89,595.304,2000,1414,73,2,0,0.004797,"7,99,1187,1236",0,1145 Supplementary Table S3. Descriptive recommendation-range fractions,60,False
61,landscape,841.89,595.304,2000,1414,6,2,1,0.248193,"7,108,1767,1236",0,1146,61,False
62,landscape,841.89,595.304,2000,1414,515,5,0,0.01703,"7,97,1899,1236",0,"1147 Supplementary Table S3. Fractions of valid near-eye minutes meeting each Brown et al. recommendation range, with explicit numerators and denominators.",62,False
63,portrait,595.304,841.89,1414,2000,170,6,1,0.098865,"101,176,1190,1822",0,1151 Supplementary Figure S1. Near-eye metric distributions,63,False
64,portrait,595.304,841.89,1414,2000,176,6,1,0.130557,"101,176,1241,1822",0,1156 Supplementary Figure S2. Worked metric derivation,64,False
65,portrait,595.304,841.89,1414,2000,197,7,1,0.129632,"101,176,1203,1822",0,1161 Supplementary Figure S3. Latitude and civil-photoperiod,65,False
66,portrait,595.304,841.89,1414,2000,718,14,1,0.039109,"101,177,1242,1822",0,Recommendation adherence,66,False
67,portrait,595.304,841.89,1414,2000,1009,15,1,0.063232,"101,176,1236,1822",0,1179 Supplementary Figure S5. Site-specific adherence and day-type,67,False
68,landscape,841.89,595.304,2000,1414,97,3,1,0.216013,"7,99,1903,1236",0,1193 Supplementary Table S4. Exploratory cross-window recommendation-adherence associations,68,False
69,landscape,841.89,595.304,2000,1414,320,4,1,0.220349,"7,97,1907,1236",0,1195,69,False
70,landscape,841.89,595.304,2000,1414,203,3,0,0.006628,"7,97,1850,1236",0,1198 withheld because serial dependence remains unresolved. Between-participant results describe observed monitoring-period averages and do not establish,70,False
71,portrait,595.304,841.89,1414,2000,765,13,1,0.102293,"101,176,1240,1821",0,1200 Supplementary Figure S6. Anonymous participant,71,False
72,landscape,841.89,595.304,2000,1414,445,7,1,0.093278,"7,100,1899,1235",0,Daily architecture,72,False
73,landscape,841.89,595.304,2000,1414,696,7,1,0.101309,"7,97,1899,1236",0,"1217 clock curve included in every component model as the baseline. Intervals are 95% hierarchical cluster-bootstrap percentile intervals from 2,000 replicates and",73,False
74,portrait,595.304,841.89,1414,2000,734,14,1,0.117571,"101,177,1234,1821",0,Geographic and civil-photoperiod context,74,False
75,landscape,841.89,595.304,2000,1414,74,3,1,0.195551,"7,99,1903,1236",0,1235 Supplementary Table S7. Geographic and photoperiod associations,75,False
76,landscape,841.89,595.304,2000,1414,6,2,1,0.264738,"7,97,1903,1236",0,1237,76,False
77,landscape,841.89,595.304,2000,1414,6,2,1,0.140301,"7,96,1620,1235",0,1238,77,False
78,landscape,841.89,595.304,2000,1414,357,4,0,0.011494,"7,97,1921,1236",0,"1239 Supplementary Table S7. Overall-site, civil-photoperiod and absolute-latitude associations for the 17 near-eye personal light-exposure metrics. Each displayed",78,False
79,landscape,841.89,595.304,2000,1414,74,2,0,0.004706,"7,99,1150,1236",0,1242 Supplementary Table S8. Nonlinear civil-photoperiod classifications,79,False
80,landscape,841.89,595.304,2000,1414,6,2,1,0.192778,"7,111,1793,1236",0,1243,80,False
81,landscape,841.89,595.304,2000,1414,475,4,0,0.015024,"7,97,1880,1236",0,1244 Supplementary Table S8. Derivative-based classifications for nine near-eye personal light-exposure metrics across the observed civil-photoperiod range. A,81,False
82,portrait,595.304,841.89,1414,2000,154,7,1,0.085133,"101,177,1244,1822",0,Immediate environments and routines,82,False
83,portrait,595.304,841.89,1414,2000,1139,15,1,0.170612,"101,174,1242,1822",0,1252 Supplementary Figure S8 (continued),83,False
84,portrait,595.304,841.89,1414,2000,437,11,1,0.029962,"101,177,1255,1822",0,Hourly routine analyses,84,False
85,portrait,595.304,841.89,1414,2000,249,6,1,0.069954,"101,176,1181,1822",0,1275 Supplementary Figure S10. Free-versus-Work hourly timing,85,False
86,portrait,595.304,841.89,1414,2000,263,6,1,0.067455,"101,176,1227,1822",0,1280 Supplementary Figure S11. Active-versus-Sedentary hourly timing,86,False
87,portrait,595.304,841.89,1414,2000,612,11,1,0.069581,"101,176,1247,1822",0,1285 Supplementary Figure S12. Site-specific hourly routine,87,False
88,landscape,841.89,595.304,2000,1414,515,6,1,0.079592,"7,99,1913,1236",0,1295 Supplementary Table S9. Participant-hour routine associations,88,False
89,landscape,841.89,595.304,2000,1414,92,5,1,0.056741,"7,100,1900,1236",0,Person-level findings,89,False
90,landscape,841.89,595.304,2000,1414,645,6,1,0.068134,"7,97,1909,1236",0,1303,90,False
91,portrait,595.304,841.89,1414,2000,490,10,1,0.123426,"101,176,1199,1822",0,1308 Supplementary Figure S13 and Table S11. Light-exposure,91,False
92,landscape,841.89,595.304,2000,1414,74,3,1,0.239087,"7,97,1850,1236",0,1317 Supplementary Table S11. Light-exposure behaviour and awareness,92,False
93,landscape,841.89,595.304,2000,1414,51,4,1,0.209033,"7,99,1903,1236",0,1319,93,False
94,portrait,595.304,841.89,1414,2000,446,8,1,0.038713,"101,176,1243,1822",0,1322 Supplementary Figure S14 and Table S12. Visual light sensitivity,94,False
95,landscape,841.89,595.304,2000,1414,60,3,1,0.233769,"7,97,1903,1236",0,1329 Supplementary Table S12. Visual light sensitivity,95,False
96,portrait,595.304,841.89,1414,2000,885,13,1,0.061506,"101,176,1252,1822",0,1331 Supplementary Figure S15 and Table S13. Chronotype and timing,96,False
97,landscape,841.89,595.304,2000,1414,57,3,1,0.289451,"7,97,1903,1236",0,1343 Supplementary Table S13. Chronotype and timing,97,False
98,portrait,595.304,841.89,1414,2000,535,9,1,0.039191,"101,176,1227,1822",0,1345 Supplementary Figure S16 and Table S14. Age and biological sex,98,False
99,landscape,841.89,595.304,2000,1414,58,3,1,0.282707,"7,97,1887,1236",0,1353 Supplementary Table S14. Age and biological sex,99,False
100,portrait,595.304,841.89,1414,2000,611,11,1,0.10554,"101,176,1241,1822",0,1355 Supplementary Figure S17 and Table S15. Biological-sex-specific,100,False
101,landscape,841.89,595.304,2000,1414,92,3,1,0.087361,"7,97,1903,1236",0,1365 Supplementary Table S15. Biological-sex-specific daily patterns and global tests,101,False
102,portrait,595.304,841.89,1414,2000,569,9,0,0.021273,"101,177,1236,1822",0,"Measurement position, robustness, and reproducibility",102,False
