page,orientation,pdf_width_points,pdf_height_points,png_width_pixels,png_height_pixels,text_characters,text_lines,pdf_images,nonwhite_fraction,content_bbox_pixels,characters_outside_page,first_line,last_line,blank_candidate
21,portrait,595.304,841.89,1414,2000,1969,24,0,0.062324,"116,174,1242,1880",0,"295 influenced the magnitude, but not the direction, of this contrast. Supplementary Figure S8",42,False
22,portrait,595.304,841.89,1414,2000,10,3,1,0.07257,"116,177,1002,1880",0,317,44,False
23,portrait,595.304,841.89,1414,2000,2915,36,0,0.098384,"116,175,1241,1881",0,318 Figure 3: Personal light exposure by immediate setting across time of day and study,46,False
24,portrait,595.304,841.89,1414,2000,2700,38,0,0.09238,"116,177,1236,1881",0,Person-level correlates are selective,48,False
25,portrait,595.304,841.89,1414,2000,2833,36,0,0.091504,"115,174,1243,1881",0,385 chest dataset of 154 participants and 902 participant-days broadened coverage beyond the,50,False
26,portrait,595.304,841.89,1414,2000,2975,36,0,0.094697,"115,174,1240,1881",0,"418 bedside limit, while 87.7% of pooled bedside sleep-environment minutes met it. These",52,False
27,portrait,595.304,841.89,1414,2000,3003,37,0,0.096699,"115,174,1240,1881",0,"452 latitude, season, weather, temperature, culture, mobility and the built environment entangled.",54,False
28,portrait,595.304,841.89,1414,2000,2804,37,0,0.091751,"115,174,1241,1881",0,"487 Several limitations qualify these findings. Modest site samples limit site estimates,",56,False
29,portrait,595.304,841.89,1414,2000,3012,37,0,0.098588,"116,174,1235,1881",0,520 the loggers. Seven consecutive recording days separated registration and return visits; most,58,False
30,portrait,595.304,841.89,1414,2000,2661,35,0,0.08761,"116,174,1231,1881",0,"554 834/24/106), the Scientific Research and Publication Ethics Committee of the Faculty of",60,False
31,portrait,595.304,841.89,1414,2000,2636,34,0,0.087279,"116,177,1240,1881",0,Contextual and person-level measures,62,False
32,portrait,595.304,841.89,1414,2000,2803,37,0,0.093616,"116,177,1239,1881",0,"Time, sleep/wake status and coverage preparation",64,False
33,portrait,595.304,841.89,1414,2000,2933,36,0,0.097632,"116,174,1242,1881",0,650 The melanopic daylight efficacy ratio was the arithmetic mean of viable one-minute,66,False
34,portrait,595.304,841.89,1414,2000,2876,37,0,0.099854,"116,174,1241,1881",0,683 means for 139 complete three-window profiles and 417 participant-window points; they,68,False
35,portrait,595.304,841.89,1414,2000,2906,35,0,0.095152,"116,174,1240,1881",0,"716 procedure located a change in the fitted slope but did not test equivalence, a mechanism or",70,False
36,portrait,595.304,841.89,1414,2000,2812,37,0,0.094636,"116,177,1230,1880",0,Person-level analyses,72,False
37,portrait,595.304,841.89,1414,2000,2438,36,0,0.082151,"116,174,1239,1880",0,781 inputs and output files are documented in the Supplementary Information and reproducibility,74,False
38,portrait,595.304,841.89,1414,2000,1720,29,0,0.061254,"116,174,1238,1881",0,"812 records for Kumasi (GH), Madrid (ES), Dortmund (DE), Izmir (TR), Tübingen (DE), San José",76,False
39,portrait,595.304,841.89,1414,2000,1778,26,0,0.062229,"116,174,1242,1881",0,"837 8. Brown, T. M. et al. Recommendations for daytime, evening, and nighttime indoor light",78,False
40,portrait,595.304,841.89,1414,2000,1694,25,0,0.057737,"116,174,1241,1881",0,"861 17. Obayashi, K., Saeki, K. & Kurumatani, N. Ambient light exposure and changes in",80,False
41,portrait,595.304,841.89,1414,2000,1823,27,0,0.062327,"116,174,1233,1881",0,"884 26. Huss, A. et al. Shedding some light in the dark—a comparison of personal",82,False
42,portrait,595.304,841.89,1414,2000,1657,26,0,0.056389,"116,174,1241,1881",0,909 bioRxiv https://doi.org/10.64898/2026.07.28.741277 (2026),84,False
43,portrait,595.304,841.89,1414,2000,1653,26,0,0.056905,"116,174,1241,1881",0,"933 43. Zauner, J. et al. Auxiliary data, quality assurance and quality control for wearable",86,False
44,portrait,595.304,841.89,1414,2000,1651,26,0,0.057392,"116,174,1240,1881",0,"957 invariance across 35 countries. Journal of Affective Disorders Reports 1, 100020",88,False
45,portrait,595.304,841.89,1414,2000,1831,26,0,0.063217,"101,174,1235,1881",0,981 61. R Core Team. R: A language and environment for statistical computing.,90,False
46,portrait,595.304,841.89,1414,2000,1574,25,0,0.054567,"101,174,1233,1881",0,"1005 73. Bates, D., Mächler, M., Bolker, B. & Walker, S. Fitting linear mixed-effects models",92,False
47,portrait,595.304,841.89,1414,2000,1624,25,0,0.057652,"101,174,1239,1881",0,"1028 83. Broszio, K., Zauner, J. & Spitschan, M. Personal light exposure dataset for dortmund,",94,False
48,portrait,595.304,841.89,1414,2000,1925,35,0,0.060035,"101,178,1237,1881",0,Acknowledgements,96,False
49,portrait,595.304,841.89,1414,2000,2756,37,0,0.091647,"101,174,1236,1881",0,1081  Visualization: J.Z.,98,False
50,portrait,595.304,841.89,1414,2000,1140,15,0,0.0364,"101,174,1234,1881",0,1115 Lighting GmbH; and course designer for Munich University of Applied Sciences and Virtual,100,False
51,landscape,841.89,595.304,2000,1414,132,7,0,0.009449,"7,101,860,1295",0,Supplementary Information,102,False
52,landscape,841.89,595.304,2000,1414,13,3,1,0.194691,"7,110,1754,1295",0,1131,104,False
53,landscape,841.89,595.304,2000,1414,346,5,0,0.011202,"7,97,1835,1295",0,"1132 Supplementary Table S1. Participant, participant-day, and one-minute observation counts across the roster, sensor-specific completeness and all-zero",106,False
54,landscape,841.89,595.304,2000,1414,91,4,1,0.139893,"7,99,1903,1295",0,1135 Supplementary Table S2. Full near-eye metric dictionary and distributions,108,False
55,landscape,841.89,595.304,2000,1414,13,3,1,0.07591,"7,95,1903,1295",0,1137,110,False
56,landscape,841.89,595.304,2000,1414,13,3,1,0.0867,"7,96,1903,1294",0,1138,112,False
57,landscape,841.89,595.304,2000,1414,13,3,1,0.250699,"7,94,1877,1294",0,1139,114,False
58,landscape,841.89,595.304,2000,1414,13,3,1,0.133956,"7,95,1903,1295",0,1140,116,False
59,landscape,841.89,595.304,2000,1414,351,6,1,0.182024,"7,95,1914,1295",0,1141,118,False
60,landscape,841.89,595.304,2000,1414,80,3,0,0.005041,"7,99,1187,1295",0,1145 Supplementary Table S3. Descriptive recommendation-range fractions,120,False
61,landscape,841.89,595.304,2000,1414,13,3,1,0.24842,"7,108,1767,1294",0,1146,122,False
62,landscape,841.89,595.304,2000,1414,522,6,0,0.017268,"7,97,1899,1294",0,"1147 Supplementary Table S3. Fractions of valid near-eye minutes meeting each Brown et al. recommendation range, with explicit numerators and denominators.",124,False
63,portrait,595.304,841.89,1414,2000,177,7,1,0.099115,"101,176,1190,1881",0,1151 Supplementary Figure S1. Near-eye metric distributions,126,False
64,portrait,595.304,841.89,1414,2000,183,7,1,0.130796,"101,176,1241,1881",0,1156 Supplementary Figure S2. Worked metric derivation,128,False
65,portrait,595.304,841.89,1414,2000,204,8,1,0.12989,"101,176,1203,1881",0,1161 Supplementary Figure S3. Latitude and civil-photoperiod,130,False
66,portrait,595.304,841.89,1414,2000,725,15,1,0.039347,"101,177,1242,1881",0,Recommendation adherence,132,False
67,portrait,595.304,841.89,1414,2000,1016,16,1,0.063479,"101,176,1236,1881",0,1179 Supplementary Figure S5. Site-specific adherence and day-type,134,False
68,landscape,841.89,595.304,2000,1414,104,4,1,0.216272,"7,99,1903,1295",0,1193 Supplementary Table S4. Exploratory cross-window recommendation-adherence associations,136,False
69,landscape,841.89,595.304,2000,1414,327,5,1,0.220597,"7,97,1907,1295",0,1195,138,False
70,landscape,841.89,595.304,2000,1414,210,4,0,0.006883,"7,97,1850,1295",0,1198 withheld because serial dependence remains unresolved. Between-participant results describe observed monitoring-period averages and do not establish,140,False
71,portrait,595.304,841.89,1414,2000,772,14,1,0.102518,"101,176,1240,1880",0,1200 Supplementary Figure S6. Anonymous participant,142,False
72,landscape,841.89,595.304,2000,1414,452,8,1,0.093513,"7,100,1899,1294",0,Daily architecture,144,False
73,landscape,841.89,595.304,2000,1414,703,8,1,0.101555,"7,97,1899,1295",0,"1217 clock curve included in every component model as the baseline. Intervals are 95% hierarchical cluster-bootstrap percentile intervals from 2,000 replicates and",146,False
74,portrait,595.304,841.89,1414,2000,741,15,1,0.117807,"101,177,1234,1881",0,Geographic and civil-photoperiod context,148,False
75,landscape,841.89,595.304,2000,1414,81,4,1,0.195812,"7,99,1903,1295",0,1235 Supplementary Table S7. Geographic and photoperiod associations,150,False
76,landscape,841.89,595.304,2000,1414,13,3,1,0.264976,"7,97,1903,1295",0,1237,152,False
77,landscape,841.89,595.304,2000,1414,13,3,1,0.140548,"7,96,1620,1295",0,1238,154,False
78,landscape,841.89,595.304,2000,1414,364,5,0,0.011753,"7,97,1921,1295",0,"1239 Supplementary Table S7. Overall-site, civil-photoperiod and absolute-latitude associations for the 17 near-eye personal light-exposure metrics. Each displayed",156,False
79,landscape,841.89,595.304,2000,1414,81,3,0,0.004954,"7,99,1150,1295",0,1242 Supplementary Table S8. Nonlinear civil-photoperiod classifications,158,False
80,landscape,841.89,595.304,2000,1414,13,3,1,0.193043,"7,111,1793,1295",0,1243,160,False
81,landscape,841.89,595.304,2000,1414,482,5,0,0.015269,"7,97,1880,1295",0,1244 Supplementary Table S8. Derivative-based classifications for nine near-eye personal light-exposure metrics across the observed civil-photoperiod range. A,162,False
82,portrait,595.304,841.89,1414,2000,161,8,1,0.085388,"101,177,1244,1881",0,Immediate environments and routines,164,False
83,portrait,595.304,841.89,1414,2000,1146,16,1,0.17088,"101,174,1242,1881",0,1252 Supplementary Figure S8 (continued),166,False
84,portrait,595.304,841.89,1414,2000,444,12,1,0.030219,"101,177,1255,1881",0,Hourly routine analyses,168,False
85,portrait,595.304,841.89,1414,2000,256,7,1,0.070201,"101,176,1181,1881",0,1275 Supplementary Figure S10. Free-versus-Work hourly timing,170,False
86,portrait,595.304,841.89,1414,2000,270,7,1,0.067659,"101,176,1227,1880",0,1280 Supplementary Figure S11. Active-versus-Sedentary hourly timing,172,False
87,portrait,595.304,841.89,1414,2000,619,12,1,0.069794,"101,176,1247,1880",0,1285 Supplementary Figure S12. Site-specific hourly routine,174,False
88,landscape,841.89,595.304,2000,1414,522,7,1,0.079816,"7,99,1913,1295",0,1295 Supplementary Table S9. Participant-hour routine associations,176,False
89,landscape,841.89,595.304,2000,1414,99,6,1,0.056955,"7,100,1900,1295",0,Person-level findings,178,False
90,landscape,841.89,595.304,2000,1414,652,7,1,0.06839,"7,97,1909,1295",0,1303,180,False
91,portrait,595.304,841.89,1414,2000,497,11,1,0.12368,"101,176,1199,1881",0,1308 Supplementary Figure S13 and Table S11. Light-exposure,182,False
92,landscape,841.89,595.304,2000,1414,81,4,1,0.23935,"7,97,1850,1295",0,1317 Supplementary Table S11. Light-exposure behaviour and awareness,184,False
93,landscape,841.89,595.304,2000,1414,58,5,1,0.209307,"7,99,1903,1295",0,1319,186,False
94,portrait,595.304,841.89,1414,2000,453,9,1,0.038977,"101,176,1243,1881",0,1322 Supplementary Figure S14 and Table S12. Visual light sensitivity,188,False
95,landscape,841.89,595.304,2000,1414,67,4,1,0.234043,"7,97,1903,1295",0,1329 Supplementary Table S12. Visual light sensitivity,190,False
96,portrait,595.304,841.89,1414,2000,892,14,1,0.061754,"101,176,1252,1881",0,1331 Supplementary Figure S15 and Table S13. Chronotype and timing,192,False
97,landscape,841.89,595.304,2000,1414,64,4,1,0.289708,"7,97,1903,1295",0,1343 Supplementary Table S13. Chronotype and timing,194,False
98,portrait,595.304,841.89,1414,2000,542,10,1,0.03946,"101,176,1227,1881",0,1345 Supplementary Figure S16 and Table S14. Age and biological sex,196,False
99,landscape,841.89,595.304,2000,1414,65,4,1,0.282965,"7,97,1887,1295",0,1353 Supplementary Table S14. Age and biological sex,198,False
100,portrait,595.304,841.89,1414,2000,618,12,1,0.105824,"101,176,1241,1881",0,1355 Supplementary Figure S17 and Table S15. Biological-sex-specific,200,False
101,landscape,841.89,595.304,2000,1414,99,4,1,0.087624,"7,97,1903,1295",0,1365 Supplementary Table S15. Biological-sex-specific daily patterns and global tests,202,False
102,portrait,595.304,841.89,1414,2000,576,10,0,0.021546,"101,177,1236,1881",0,"Measurement position, robustness, and reproducibility",204,False
