"link_text","href","resolved_path","target_exists","fragment","fragment_resolves_once","forbidden","known_hold","pass"
"Sensitivity checks","../../../notebooks/sensitivity_battery.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/sensitivity_battery.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"About this analysis record","#about-this-analysis-record","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"about-this-analysis-record",TRUE,FALSE,FALSE,TRUE
"Analysis map","#analysis-map","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"analysis-map",TRUE,FALSE,FALSE,TRUE
"Render boundary","#render-boundary","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"render-boundary",TRUE,FALSE,FALSE,TRUE
"1. Data entering the analysis","#data-entering-the-analysis","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"data-entering-the-analysis",TRUE,FALSE,FALSE,TRUE
"Verified inputs","#verified-inputs","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"verified-inputs",TRUE,FALSE,FALSE,TRUE
"What these files contain","#what-these-files-contain","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"what-these-files-contain",TRUE,FALSE,FALSE,TRUE
"Why prepared records did not enter every model frame","#why-prepared-records-did-not-enter-every-model-frame","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"why-prepared-records-did-not-enter-every-model-frame",TRUE,FALSE,FALSE,TRUE
"2. The 17-metric response package","#the-17-metric-response-package","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"the-17-metric-response-package",TRUE,FALSE,FALSE,TRUE
"Construct-specific rules","#construct-specific-rules","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"construct-specific-rules",TRUE,FALSE,FALSE,TRUE
"3. Model-frame and sample construction","#model-frame-and-sample-construction","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"model-frame-and-sample-construction",TRUE,FALSE,FALSE,TRUE
"Eight analysis scenarios","#eight-analysis-scenarios","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"eight-analysis-scenarios",TRUE,FALSE,FALSE,TRUE
"Exact primary fitted samples","#exact-primary-fitted-samples","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"exact-primary-fitted-samples",TRUE,FALSE,FALSE,TRUE
"Retention from prepared rows to fitted rows","#retention-from-prepared-rows-to-fitted-rows","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"retention-from-prepared-rows-to-fitted-rows",TRUE,FALSE,FALSE,TRUE
"Site-specific support","#site-specific-support","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"site-specific-support",TRUE,FALSE,FALSE,TRUE
"4. Model construction","#model-construction","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"model-construction",TRUE,FALSE,FALSE,TRUE
"Exact formula set","#exact-formula-set","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"exact-formula-set",TRUE,FALSE,FALSE,TRUE
"Central settings","#central-settings","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"central-settings",TRUE,FALSE,FALSE,TRUE
"5. Estimands, uncertainty, and multiplicity","#estimands-uncertainty-and-multiplicity","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"estimands-uncertainty-and-multiplicity",TRUE,FALSE,FALSE,TRUE
"6. Bootstrap, model checks, and influence","#bootstrap-model-checks-and-influence","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"bootstrap-model-checks-and-influence",TRUE,FALSE,FALSE,TRUE
"Stored joint-refit support","#stored-joint-refit-support","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"stored-joint-refit-support",TRUE,FALSE,FALSE,TRUE
"Model-check and influence chain","#model-check-and-influence-chain","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"model-check-and-influence-chain",TRUE,FALSE,FALSE,TRUE
"7. Sensitivity branches","#sensitivity-branches","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"sensitivity-branches",TRUE,FALSE,FALSE,TRUE
"8. Limitations and qualifications","#limitations-and-qualifications","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"limitations-and-qualifications",TRUE,FALSE,FALSE,TRUE
"9. Technical provenance and reproduction","#technical-provenance-and-reproduction","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"technical-provenance-and-reproduction",TRUE,FALSE,FALSE,TRUE
"Code map and execution order","#code-map-and-execution-order","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"code-map-and-execution-order",TRUE,FALSE,FALSE,TRUE
"Output provenance and file identities","#output-provenance-and-file-identities","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"output-provenance-and-file-identities",TRUE,FALSE,FALSE,TRUE
"How to examine or reproduce H01","#how-to-examine-or-reproduce-h01","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"how-to-examine-or-reproduce-h01",TRUE,FALSE,FALSE,TRUE
"Environment","#environment","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"environment",TRUE,FALSE,FALSE,TRUE
"Edit this page","https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/edit/main/audit/hypotheses/H01/H01_analysis_preparation.qmd","",TRUE,"",TRUE,FALSE,FALSE,TRUE
"Report an issue","https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/issues","",TRUE,"",TRUE,FALSE,FALSE,TRUE
"Hypothesis analyses","../../../notebooks/hypotheses/H01.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H01 preparation and provenance","../../../audit/hypotheses/H01/H01_analysis_preparation.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"Show All Code","javascript:void(0)","",TRUE,"",TRUE,FALSE,FALSE,TRUE
"Hide All Code","javascript:void(0)","",TRUE,"",TRUE,FALSE,FALSE,TRUE
"View Source","javascript:void(0)","",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H01 results report","../../../notebooks/hypotheses/H01.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"linked registration-record summary","../../../notebooks/hypotheses/H01.html#h01-preregistration-deviations","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"h01-preregistration-deviations",TRUE,FALSE,FALSE,TRUE
"","#cb1-1","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-1",TRUE,FALSE,FALSE,TRUE
"","#cb1-2","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-2",TRUE,FALSE,FALSE,TRUE
"","#cb1-3","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-3",TRUE,FALSE,FALSE,TRUE
"","#cb1-4","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-4",TRUE,FALSE,FALSE,TRUE
"","#cb1-5","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-5",TRUE,FALSE,FALSE,TRUE
"","#cb1-6","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-6",TRUE,FALSE,FALSE,TRUE
"","#cb1-7","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-7",TRUE,FALSE,FALSE,TRUE
"","#cb1-8","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-8",TRUE,FALSE,FALSE,TRUE
"","#cb1-9","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-9",TRUE,FALSE,FALSE,TRUE
"","#cb1-10","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-10",TRUE,FALSE,FALSE,TRUE
"","#cb1-11","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-11",TRUE,FALSE,FALSE,TRUE
"","#cb1-12","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-12",TRUE,FALSE,FALSE,TRUE
"","#cb1-13","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-13",TRUE,FALSE,FALSE,TRUE
"","#cb1-14","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-14",TRUE,FALSE,FALSE,TRUE
"","#cb1-15","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-15",TRUE,FALSE,FALSE,TRUE
"","#cb1-16","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-16",TRUE,FALSE,FALSE,TRUE
