"path","role","sha256","bytes","seal_source","observed_sha256","observed_bytes","live_exact","status"
"_build/nathealth/notebooks/hypotheses/H04.html","protected_stale_result_html","cad724ca28c651db62f2bb11a51d0d53adbf133785a6d9477f600900269e3cbe",380116,"order-35b dispatch with authorized current-source identities","cad724ca28c651db62f2bb11a51d0d53adbf133785a6d9477f600900269e3cbe",380116,TRUE,"PASS_LIVE_EXACT"
"_build/nathealth/audit/hypotheses/H04/H04_analysis_preparation.html","protected_stale_companion_html","73e1c1f097b2053fd55bfea4857d3c72490af490bfa5e7ebf96c8f801bb57a8f",1207573,"order-35b dispatch with authorized current-source identities","73e1c1f097b2053fd55bfea4857d3c72490af490bfa5e7ebf96c8f801bb57a8f",1207573,TRUE,"PASS_LIVE_EXACT"
"_quarto-nathealth.yml","protected_profile","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"order-35b dispatch with authorized current-source identities","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,TRUE,"PASS_LIVE_EXACT"
"tests/report_harmonization/test_country_coded_site_names.R","protected_global_country_test","aab0faa578f2e4a0de093247dec65b395837789a5c6211ee46669b82f6402c2b",3490,"order-35b dispatch with authorized current-source identities","aab0faa578f2e4a0de093247dec65b395837789a5c6211ee46669b82f6402c2b",3490,TRUE,"PASS_LIVE_EXACT"
"audit/report_harmonization/coordination_matrix.csv","dispatch_evidence","392dfc49982e02ba487c1527175c46889ea2267d583a1109d4e7d3d9bf1f09f7",25448,"order-35b dispatch with authorized current-source identities","1adbbaa8719696565b6818d3e6220f7e59e29b948ec0cdfef8878e4a9f55714a",25540,FALSE,"ALLOWED_MUTABLE_COORDINATION_EVIDENCE"
"audit/hypotheses/H04/report017_order35b_country_label_reflow/H04_order35b_source_reflow_audit.csv","source_whitespace_contract","9f66bdac73e6a24aed4449aae94646f1d7f45efef568223c589b2856bae51f33",1530,"bounded order-35b owner evidence","9f66bdac73e6a24aed4449aae94646f1d7f45efef568223c589b2856bae51f33",1530,TRUE,"PASS_LIVE_EXACT"
"audit/hypotheses/H04/report017_order35b_country_label_reflow/H04_order35b_qmd_reverse_proof.csv","qmd_reverse_proof","e148a12863a09833ba147dd87df930ff96b0ca06dde4b7f455197484ce7aa624",664,"bounded order-35b owner evidence","e148a12863a09833ba147dd87df930ff96b0ca06dde4b7f455197484ce7aa624",664,TRUE,"PASS_LIVE_EXACT"
"audit/hypotheses/H04/report017_order35b_country_label_reflow/H04_order35b_qmd_exact_diff.patch","qmd_exact_two_hunk_diff","dde99493ac097b6f4a98db89dcc3bb2459d7925fd7c98e336c8a102aa3473327",854,"bounded order-35b owner evidence","dde99493ac097b6f4a98db89dcc3bb2459d7925fd7c98e336c8a102aa3473327",854,TRUE,"PASS_LIVE_EXACT"
"audit/hypotheses/H04/report017_order35b_country_label_reflow/H04_order35b_source_test_audit.csv","source_test_37_gate_audit","09a9d857ef2dce9d46902678e9c5630bdcb4ace93cbc00f4a5d72aa4267f621d",8648,"bounded order-35b owner evidence","09a9d857ef2dce9d46902678e9c5630bdcb4ace93cbc00f4a5d72aa4267f621d",8648,TRUE,"PASS_LIVE_EXACT"
"audit/hypotheses/H04/report017_order35b_country_label_reflow/H04_order35b_handoff_exact_diff.patch","handoff_append_exact_diff","bb857df169bf27a600c2b8efef0f3cd996fa94d661b024859830813257178e05",1948,"bounded order-35b owner evidence","bb857df169bf27a600c2b8efef0f3cd996fa94d661b024859830813257178e05",1948,TRUE,"PASS_LIVE_EXACT"
"audit/hypotheses/H04/report017_order35b_country_label_reflow/H04_order35b_handoff_reverse_proof.csv","handoff_reverse_proof","38e6b60429523dd31880bfff21005230eb81fe4a8633f65306b56f1c5b872856",467,"bounded order-35b owner evidence","38e6b60429523dd31880bfff21005230eb81fe4a8633f65306b56f1c5b872856",467,TRUE,"PASS_LIVE_EXACT"
"audit/hypotheses/H04/report017_order35b_country_label_reflow/H04_order35b_protected_identity_audit.csv","protected_identity_audit","692018e217e36e5ac79a299dff4145d1e9c3622c89077bd9c2b62cd0e6e7edda",11774,"bounded order-35b owner evidence","692018e217e36e5ac79a299dff4145d1e9c3622c89077bd9c2b62cd0e6e7edda",11774,TRUE,"PASS_LIVE_EXACT"
"audit/hypotheses/H04/report017_order35b_country_label_reflow/H04_order35b_test_execution.csv","test_execution_log","7f2f2877de55cc75e03a8daeaa262f7b31bb552591d758cb6973136b2eef1700",901,"bounded order-35b owner evidence","7f2f2877de55cc75e03a8daeaa262f7b31bb552591d758cb6973136b2eef1700",901,TRUE,"PASS_LIVE_EXACT"
"audit/hypotheses/H04/report017_order35b_country_label_reflow/H04_order35b_execution_record.md","execution_record","6be8b796639ebcd6d876989f6f1a2e08ef8de117d3a0bc2fa5609310161f1f79",3825,"bounded order-35b owner evidence","6be8b796639ebcd6d876989f6f1a2e08ef8de117d3a0bc2fa5609310161f1f79",3825,TRUE,"PASS_LIVE_EXACT"
