column_01,column_02,column_03,column_04,column_05,column_06,column_07,column_08,column_09,column_10,column_11,column_12,column_13,column_14
Intradaily variability,—,"1.32(0.96, 1.54)1.28 ±0.38n=141","1.02(0.81, 1.41)1.09 ±0.35n=13","1.27(0.96, 1.61)1.30 ±0.40n=13","1.43(1.09, 1.61)1.31 ±0.40n=18","1.21(0.85, 1.42)1.16 ±0.36n=26","1.54(1.20, 1.72)1.41 ±0.43n=10","1.27(1.06, 1.53)1.27 ±0.39n=23","1.36(0.95, 1.54)1.31 ±0.39n=17","1.37(1.24, 1.50)1.37 ±0.21n=6","1.41(1.31, 1.66)1.42 ±0.35n=15",Identity,
Exposure History,Exposure History,Exposure History,Exposure History,Exposure History,Exposure History,Exposure History,Exposure History,Exposure History,Exposure History,Exposure History,Exposure History,Exposure History,Exposure History
Dose,klx·h,"4.77(1.78, 11.67)9.77 ±15.76n=811","8.29(3.21, 19.76)18.59 ±28.29n=78","9.11(3.85, 17.39)15.09 ±19.83n=78","6.76(2.12, 14.67)13.00 ±21.85n=106","3.62(1.33, 8.68)7.12 ±9.36n=150","6.49(1.89, 14.08)9.11 ±10.30n=60","3.32(1.51, 6.39)5.96 ±8.45n=127","4.23(1.52, 9.99)7.05 ±8.55n=102","2.19(1.25, 3.84)3.10 ±2.42n=30","5.40(1.77, 13.22)9.24 ±10.56n=80",Log 10 zero inflated,
Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level
Mean,lx,"5.1(2.8, 9.2)7.5 ±9.4n=811","7.6(4.5, 11.6)9.1 ±7.1n=78","6.5(3.9, 11.7)8.2 ±6.5n=78","7.7(3.1, 13.6)11.9 ±18.6n=106","5.2(3.2, 8.1)7.2 ±6.4n=150","8.7(3.9, 14.7)12.0 ±12.0n=60","3.5(1.5, 6.2)4.2 ±3.3n=127","5.7(3.6, 7.9)7.6 ±7.0n=102","4.4(3.7, 6.9)5.3 ±2.9n=30","2.2(0.8, 4.1)3.0 ±2.9n=80",Log 10 zero inflated,
Brightest 10h mean,lx,"114.4(45.1, 250.8)222.7 ±515.4n=811","252.7(104.5, 462.0)415.0 ±545.6n=78","181.3(88.9, 315.6)280.4 ±341.3n=78","168.0(74.8, 357.2)433.9 ±1,217.9n=106","104.7(40.0, 210.4)185.0 ±240.2n=150","156.9(63.4, 264.2)208.4 ±191.4n=60","104.0(25.7, 218.5)139.5 ±136.0n=127","83.2(54.8, 151.5)121.3 ±102.3n=102","69.4(47.3, 165.7)102.8 ±72.3n=30","46.2(9.7, 104.4)86.9 ±127.6n=80",Log 10 zero inflated,
Darkest 10h mean,lx,"0.1(0.0, 0.2)0.2 ±0.5n=811","0.1(0.0, 0.2)0.2 ±0.2n=78","0.1(0.0, 0.2)0.2 ±0.2n=78","0.1(0.0, 0.2)0.2 ±0.3n=106","0.1(0.1, 0.3)0.3 ±0.5n=150","0.3(0.1, 0.7)0.5 ±0.6n=60","0.0(0.0, 0.1)0.0 ±0.1n=127","0.1(0.0, 0.5)0.5 ±0.9n=102","0.1(0.1, 0.3)0.4 ±1.1n=30","0.0(0.0, 0.1)0.1 ±0.1n=80",Log 10 zero inflated,
Spectrum,Spectrum,Spectrum,Spectrum,Spectrum,Spectrum,Spectrum,Spectrum,Spectrum,Spectrum,Spectrum,Spectrum,Spectrum,Spectrum
MDER,—,"0.71(0.63, 0.78)0.70 ±0.12n=725","0.78(0.69, 0.86)0.78 ±0.17n=61","0.72(0.66, 0.78)0.71 ±0.14n=74","0.74(0.65, 0.82)0.74 ±0.11n=93","0.64(0.58, 0.72)0.65 ±0.10n=139","0.69(0.63, 0.75)0.69 ±0.09n=52","0.66(0.61, 0.72)0.67 ±0.09n=118","0.69(0.61, 0.79)0.71 ±0.12n=91","0.69(0.64, 0.74)0.69 ±0.07n=28","0.74(0.70, 0.81)0.73 ±0.13n=69",Identity,
Timing,Timing,Timing,Timing,Timing,Timing,Timing,Timing,Timing,Timing,Timing,Timing,Timing,Timing
Brightest 10h midpoint,HH:MM (time-of-day),"13:45(12:54, 14:59)13:58 ±01:50n=811","13:14(12:35, 14:09)13:20 ±01:18n=78","14:03(13:15, 14:59)14:04 ±01:55n=78","13:56(13:09, 15:08)14:10 ±01:34n=106","13:42(12:54, 14:45)13:57 ±01:35n=150","14:48(13:13, 16:02)14:37 ±02:05n=60","13:57(13:15, 15:44)14:22 ±01:54n=127","14:12(13:26, 15:27)14:19 ±02:04n=102","12:19(11:50, 13:42)12:38 ±01:26n=30","12:48(12:05, 13:36)13:04 ±01:50n=80",Identity,
Darkest 10h midpoint,HH:MM (time-of-day),"02:48(01:51, 03:47)02:46 ±01:55n=811","01:56(01:21, 02:37)01:59 ±01:02n=78","02:52(01:53, 03:24)02:25 ±02:55n=78","02:24(01:39, 03:12)02:27 ±01:23n=106","03:05(02:05, 04:08)03:08 ±01:35n=150","02:33(01:50, 04:22)03:12 ±02:06n=60","03:21(02:40, 04:50)03:14 ±01:58n=127","03:32(02:35, 04:20)03:25 ±01:27n=102","01:44(01:04, 02:57)02:07 ±01:30n=30","02:19(01:31, 02:59)02:00 ±02:17n=80",Identity,
First timing above 250,HH:MM (time-of-day),"09:08(08:01, 10:39)09:27 ±02:28n=778","07:59(06:57, 08:42)08:09 ±01:33n=78","09:06(08:17, 09:58)09:22 ±02:05n=75","08:41(07:19, 10:16)09:00 ±02:32n=99","09:43(08:11, 10:58)09:39 ±02:31n=147","09:33(07:54, 11:06)09:33 ±03:28n=59","09:36(08:40, 11:30)10:07 ±02:26n=120","10:02(09:05, 11:54)10:21 ±02:40n=96","08:08(07:12, 09:16)08:22 ±01:27n=30","08:39(08:00, 09:54)09:12 ±01:47n=74",Identity,
Last timing above 250,HH:MM (time-of-day),"18:02(16:13, 19:37)17:49 ±02:36n=778","18:43(17:39, 19:47)18:43 ±01:42n=78","18:26(17:24, 19:52)18:21 ±02:04n=75","19:32(17:59, 20:40)18:49 ±02:40n=99","17:29(15:32, 18:51)17:02 ±02:41n=147","19:46(18:34, 20:35)19:24 ±02:09n=59","17:52(16:42, 19:18)18:01 ±02:19n=120","18:37(16:45, 19:37)18:13 ±02:16n=96","15:23(12:59, 16:36)15:17 ±02:44n=30","15:51(14:29, 17:19)15:30 ±02:13n=74",Identity,
Mean timing above 250,HH:MM (time-of-day),"13:29(12:27, 14:35)13:30 ±01:49n=778","13:20(12:24, 14:18)13:21 ±01:22n=78","13:56(13:09, 15:04)13:59 ±01:25n=75","13:50(12:32, 14:54)13:54 ±01:56n=99","13:16(12:16, 14:28)13:22 ±01:46n=147","13:58(12:56, 15:32)14:07 ±02:03n=59","13:51(13:02, 14:27)13:51 ±01:33n=120","13:50(12:58, 14:52)14:04 ±01:33n=96","11:26(10:15, 12:37)11:19 ±01:40n=30","12:10(11:05, 13:01)12:04 ±01:37n=74",Identity,
"Median (25% percentile, 75% percentile), Mean ± standard deviation , n=observations","Median (25% percentile, 75% percentile), Mean ± standard deviation , n=observations","Median (25% percentile, 75% percentile), Mean ± standard deviation , n=observations","Median (25% percentile, 75% percentile), Mean ± standard deviation , n=observations","Median (25% percentile, 75% percentile), Mean ± standard deviation , n=observations","Median (25% percentile, 75% percentile), Mean ± standard deviation , n=observations","Median (25% percentile, 75% percentile), Mean ± standard deviation , n=observations","Median (25% percentile, 75% percentile), Mean ± standard deviation , n=observations","Median (25% percentile, 75% percentile), Mean ± standard deviation , n=observations","Median (25% percentile, 75% percentile), Mean ± standard deviation , n=observations","Median (25% percentile, 75% percentile), Mean ± standard deviation , n=observations","Median (25% percentile, 75% percentile), Mean ± standard deviation , n=observations","Median (25% percentile, 75% percentile), Mean ± standard deviation , n=observations","Median (25% percentile, 75% percentile), Mean ± standard deviation , n=observations"
"1 Scaling refers to the distributional characteristics of the data and the scaling of the Plot column. Metric-values are on a linear scale. Log 10 zero inflated: logarithmic scaling (base 10), but also contains zero values (offset +0.1); Identity: linear scale","1 Scaling refers to the distributional characteristics of the data and the scaling of the Plot column. Metric-values are on a linear scale. Log 10 zero inflated: logarithmic scaling (base 10), but also contains zero values (offset +0.1); Identity: linear scale","1 Scaling refers to the distributional characteristics of the data and the scaling of the Plot column. Metric-values are on a linear scale. Log 10 zero inflated: logarithmic scaling (base 10), but also contains zero values (offset +0.1); Identity: linear scale","1 Scaling refers to the distributional characteristics of the data and the scaling of the Plot column. Metric-values are on a linear scale. Log 10 zero inflated: logarithmic scaling (base 10), but also contains zero values (offset +0.1); Identity: linear scale","1 Scaling refers to the distributional characteristics of the data and the scaling of the Plot column. Metric-values are on a linear scale. Log 10 zero inflated: logarithmic scaling (base 10), but also contains zero values (offset +0.1); Identity: linear scale","1 Scaling refers to the distributional characteristics of the data and the scaling of the Plot column. Metric-values are on a linear scale. Log 10 zero inflated: logarithmic scaling (base 10), but also contains zero values (offset +0.1); Identity: linear scale","1 Scaling refers to the distributional characteristics of the data and the scaling of the Plot column. Metric-values are on a linear scale. Log 10 zero inflated: logarithmic scaling (base 10), but also contains zero values (offset +0.1); Identity: linear scale","1 Scaling refers to the distributional characteristics of the data and the scaling of the Plot column. Metric-values are on a linear scale. Log 10 zero inflated: logarithmic scaling (base 10), but also contains zero values (offset +0.1); Identity: linear scale","1 Scaling refers to the distributional characteristics of the data and the scaling of the Plot column. Metric-values are on a linear scale. Log 10 zero inflated: logarithmic scaling (base 10), but also contains zero values (offset +0.1); Identity: linear scale","1 Scaling refers to the distributional characteristics of the data and the scaling of the Plot column. Metric-values are on a linear scale. Log 10 zero inflated: logarithmic scaling (base 10), but also contains zero values (offset +0.1); Identity: linear scale","1 Scaling refers to the distributional characteristics of the data and the scaling of the Plot column. Metric-values are on a linear scale. Log 10 zero inflated: logarithmic scaling (base 10), but also contains zero values (offset +0.1); Identity: linear scale","1 Scaling refers to the distributional characteristics of the data and the scaling of the Plot column. Metric-values are on a linear scale. Log 10 zero inflated: logarithmic scaling (base 10), but also contains zero values (offset +0.1); Identity: linear scale","1 Scaling refers to the distributional characteristics of the data and the scaling of the Plot column. Metric-values are on a linear scale. Log 10 zero inflated: logarithmic scaling (base 10), but also contains zero values (offset +0.1); Identity: linear scale","1 Scaling refers to the distributional characteristics of the data and the scaling of the Plot column. Metric-values are on a linear scale. Log 10 zero inflated: logarithmic scaling (base 10), but also contains zero values (offset +0.1); Identity: linear scale"
2 Red horizontal lines indicate the median of a site. If the scaling column indicates Log 10 zero inflated then values were transformed accordingly before plotting,2 Red horizontal lines indicate the median of a site. If the scaling column indicates Log 10 zero inflated then values were transformed accordingly before plotting,2 Red horizontal lines indicate the median of a site. If the scaling column indicates Log 10 zero inflated then values were transformed accordingly before plotting,2 Red horizontal lines indicate the median of a site. If the scaling column indicates Log 10 zero inflated then values were transformed accordingly before plotting,2 Red horizontal lines indicate the median of a site. If the scaling column indicates Log 10 zero inflated then values were transformed accordingly before plotting,2 Red horizontal lines indicate the median of a site. If the scaling column indicates Log 10 zero inflated then values were transformed accordingly before plotting,2 Red horizontal lines indicate the median of a site. If the scaling column indicates Log 10 zero inflated then values were transformed accordingly before plotting,2 Red horizontal lines indicate the median of a site. If the scaling column indicates Log 10 zero inflated then values were transformed accordingly before plotting,2 Red horizontal lines indicate the median of a site. If the scaling column indicates Log 10 zero inflated then values were transformed accordingly before plotting,2 Red horizontal lines indicate the median of a site. If the scaling column indicates Log 10 zero inflated then values were transformed accordingly before plotting,2 Red horizontal lines indicate the median of a site. If the scaling column indicates Log 10 zero inflated then values were transformed accordingly before plotting,2 Red horizontal lines indicate the median of a site. If the scaling column indicates Log 10 zero inflated then values were transformed accordingly before plotting,2 Red horizontal lines indicate the median of a site. If the scaling column indicates Log 10 zero inflated then values were transformed accordingly before plotting,2 Red horizontal lines indicate the median of a site. If the scaling column indicates Log 10 zero inflated then values were transformed accordingly before plotting
