section,characteristic,site,reader_site,previous_display,current_display,comparison_status,difference_reason,denominator_definition,placement,n_participants,n_participant_days,n_observations
Data collection,Participants,BAUA,Dortmund (DE),"24(g:19, c:22)",24 roster (near-eye 19; chest 22; paired 19),DISPLAY_CHANGED,"The earlier cell mixed the full roster and two placement-specific counts. The updated cell keeps the roster, near-eye, chest, and paired counts distinct across every available non-all-zero day.",Whole participant roster; placement counts include any recorded non-all-zero participant-day,mixed_or_not_applicable,24,,
Data collection,Participants,MPI,Tübingen (DE),"26(g:26, c:0)",26 roster (near-eye 26; chest 0; paired 0),DISPLAY_CHANGED,"The earlier cell mixed the full roster and two placement-specific counts. The updated cell keeps the roster, near-eye, chest, and paired counts distinct across every available non-all-zero day.",Whole participant roster; placement counts include any recorded non-all-zero participant-day,mixed_or_not_applicable,26,,
Data collection,Participants,TUM,Munich (DE),"10(g:10, c:10)",10 roster (near-eye 10; chest 10; paired 10),DISPLAY_CHANGED,"The earlier cell mixed the full roster and two placement-specific counts. The updated cell keeps the roster, near-eye, chest, and paired counts distinct across every available non-all-zero day.",Whole participant roster; placement counts include any recorded non-all-zero participant-day,mixed_or_not_applicable,10,,
Data collection,Participants,FUSPCEU,Madrid (ES),"23(g:23, c:22)",23 roster (near-eye 23; chest 22; paired 22),DISPLAY_CHANGED,"The earlier cell mixed the full roster and two placement-specific counts. The updated cell keeps the roster, near-eye, chest, and paired counts distinct across every available non-all-zero day.",Whole participant roster; placement counts include any recorded non-all-zero participant-day,mixed_or_not_applicable,23,,
Data collection,Participants,IZTECH,Izmir (TR),"17(g:17, c:17)",17 roster (near-eye 17; chest 17; paired 17),DISPLAY_CHANGED,"The earlier cell mixed the full roster and two placement-specific counts. The updated cell keeps the roster, near-eye, chest, and paired counts distinct across every available non-all-zero day.",Whole participant roster; placement counts include any recorded non-all-zero participant-day,mixed_or_not_applicable,17,,
Data collection,Participants,UCR,San José (CR),"39(g:6, c:39)",39 roster (near-eye 6; chest 39; paired 6),DISPLAY_CHANGED,"The earlier cell mixed the full roster and two placement-specific counts. The updated cell keeps the roster, near-eye, chest, and paired counts distinct across every available non-all-zero day.",Whole participant roster; placement counts include any recorded non-all-zero participant-day,mixed_or_not_applicable,39,,
Data collection,Participants,KNUST,Kumasi (GH),"15(g:15, c:15)",15 roster (near-eye 15; chest 15; paired 15),DISPLAY_CHANGED,"The earlier cell mixed the full roster and two placement-specific counts. The updated cell keeps the roster, near-eye, chest, and paired counts distinct across every available non-all-zero day.",Whole participant roster; placement counts include any recorded non-all-zero participant-day,mixed_or_not_applicable,15,,
Data collection,Participant-days,Overall,Overall,"1480d(g:1136d, c:1249d)",1478 roster (near-eye 1134; chest 1246; paired 902),DISPLAY_CHANGED,The earlier cell combined placement-specific data. The updated cell reports the whole available roster and placement-specific quantities across every recorded non-all-zero day.,All participant-days with recorded data except exact all-zero melEDI days; roster is the union across placements,mixed_or_not_applicable,184,1478,
Data collection,Participant-days,RISE,Borås (SE),"137d(g:107d, c:137d)",137 roster (near-eye 107; chest 137; paired 107),DISPLAY_CHANGED,The earlier cell combined placement-specific data. The updated cell reports the whole available roster and placement-specific quantities across every recorded non-all-zero day.,All participant-days with recorded data except exact all-zero melEDI days; roster is the union across placements,mixed_or_not_applicable,17,137,
Data collection,Participant-days,THUAS,Delft (NL),"125d(g:107d, c:125d)",125 roster (near-eye 107; chest 124; paired 106),DISPLAY_CHANGED,The earlier cell combined placement-specific data. The updated cell reports the whole available roster and placement-specific quantities across every recorded non-all-zero day.,All participant-days with recorded data except exact all-zero melEDI days; roster is the union across placements,mixed_or_not_applicable,15,125,
Data collection,Participant-days,BAUA,Dortmund (DE),"176d(g:145d, c:163d)",176 roster (near-eye 145; chest 163; paired 132),DISPLAY_CHANGED,The earlier cell combined placement-specific data. The updated cell reports the whole available roster and placement-specific quantities across every recorded non-all-zero day.,All participant-days with recorded data except exact all-zero melEDI days; roster is the union across placements,mixed_or_not_applicable,22,176,
Data collection,Participant-days,MPI,Tübingen (DE),"208d(g:208d, c:0d)",208 roster (near-eye 208; chest 0; paired 0),DISPLAY_CHANGED,The earlier cell combined placement-specific data. The updated cell reports the whole available roster and placement-specific quantities across every recorded non-all-zero day.,All participant-days with recorded data except exact all-zero melEDI days; roster is the union across placements,mixed_or_not_applicable,26,208,
Data collection,Participant-days,TUM,Munich (DE),"80d(g:80d, c:80d)",80 roster (near-eye 80; chest 80; paired 80),DISPLAY_CHANGED,The earlier cell combined placement-specific data. The updated cell reports the whole available roster and placement-specific quantities across every recorded non-all-zero day.,All participant-days with recorded data except exact all-zero melEDI days; roster is the union across placements,mixed_or_not_applicable,10,80,
Data collection,Participant-days,FUSPCEU,Madrid (ES),"182d(g:182d, c:174d)",182 roster (near-eye 182; chest 174; paired 174),DISPLAY_CHANGED,The earlier cell combined placement-specific data. The updated cell reports the whole available roster and placement-specific quantities across every recorded non-all-zero day.,All participant-days with recorded data except exact all-zero melEDI days; roster is the union across placements,mixed_or_not_applicable,23,182,
Data collection,Participant-days,IZTECH,Izmir (TR),"140d(g:140d, c:140d)",138 roster (near-eye 138; chest 138; paired 138),DISPLAY_CHANGED,The earlier cell combined placement-specific data. The updated cell reports the whole available roster and placement-specific quantities across every recorded non-all-zero day.,All participant-days with recorded data except exact all-zero melEDI days; roster is the union across placements,mixed_or_not_applicable,17,138,
Data collection,Participant-days,UCR,San José (CR),"312d(g:48d, c:312d)",312 roster (near-eye 48; chest 312; paired 48),DISPLAY_CHANGED,The earlier cell combined placement-specific data. The updated cell reports the whole available roster and placement-specific quantities across every recorded non-all-zero day.,All participant-days with recorded data except exact all-zero melEDI days; roster is the union across placements,mixed_or_not_applicable,39,312,
Data collection,Participant-days,KNUST,Kumasi (GH),"120d(g:119d, c:118d)",120 roster (near-eye 119; chest 118; paired 117),DISPLAY_CHANGED,The earlier cell combined placement-specific data. The updated cell reports the whole available roster and placement-specific quantities across every recorded non-all-zero day.,All participant-days with recorded data except exact all-zero melEDI days; roster is the union across placements,mixed_or_not_applicable,15,120,
Data collection,Weekday / weekend,Overall,Overall,,Near-eye 850 / 284; chest 935 / 311,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Available non-all-zero participant-days; placements remain separate,mixed_or_not_applicable,,1478,
Data collection,Weekday / weekend,RISE,Borås (SE),,Near-eye 81 / 26; chest 103 / 34,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Available non-all-zero participant-days; placements remain separate,mixed_or_not_applicable,,137,
Data collection,Weekday / weekend,THUAS,Delft (NL),,Near-eye 79 / 28; chest 93 / 31,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Available non-all-zero participant-days; placements remain separate,mixed_or_not_applicable,,125,
Data collection,Weekday / weekend,BAUA,Dortmund (DE),,Near-eye 109 / 36; chest 123 / 40,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Available non-all-zero participant-days; placements remain separate,mixed_or_not_applicable,,176,
Data collection,Weekday / weekend,MPI,Tübingen (DE),,Near-eye 156 / 52; chest 0 / 0,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Available non-all-zero participant-days; placements remain separate,mixed_or_not_applicable,,208,
Data collection,Weekday / weekend,TUM,Munich (DE),,Near-eye 60 / 20; chest 60 / 20,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Available non-all-zero participant-days; placements remain separate,mixed_or_not_applicable,,80,
Data collection,Weekday / weekend,FUSPCEU,Madrid (ES),,Near-eye 136 / 46; chest 130 / 44,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Available non-all-zero participant-days; placements remain separate,mixed_or_not_applicable,,182,
Data collection,Weekday / weekend,IZTECH,Izmir (TR),,Near-eye 104 / 34; chest 104 / 34,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Available non-all-zero participant-days; placements remain separate,mixed_or_not_applicable,,138,
Data collection,Weekday / weekend,UCR,San José (CR),,Near-eye 36 / 12; chest 233 / 79,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Available non-all-zero participant-days; placements remain separate,mixed_or_not_applicable,,312,
Data collection,Weekday / weekend,KNUST,Kumasi (GH),,Near-eye 89 / 30; chest 89 / 29,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Available non-all-zero participant-days; placements remain separate,mixed_or_not_applicable,,120,
Data collection,Workday / free-day diaries,Overall,Overall,,824 work / 451 free; n=1275 eligible diary records,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Eligible normalized sleep-diary records from the whole roster,mixed_or_not_applicable,184,,1275
Data collection,Workday / free-day diaries,RISE,Borås (SE),,77 work / 40 free; n=117 eligible diary records,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Eligible normalized sleep-diary records from the whole roster,mixed_or_not_applicable,17,,117
Data collection,Workday / free-day diaries,THUAS,Delft (NL),,70 work / 31 free; n=101 eligible diary records,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Eligible normalized sleep-diary records from the whole roster,mixed_or_not_applicable,15,,101
Data collection,Workday / free-day diaries,BAUA,Dortmund (DE),,95 work / 54 free; n=149 eligible diary records,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Eligible normalized sleep-diary records from the whole roster,mixed_or_not_applicable,22,,149
Data collection,Workday / free-day diaries,MPI,Tübingen (DE),,115 work / 66 free; n=181 eligible diary records,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Eligible normalized sleep-diary records from the whole roster,mixed_or_not_applicable,26,,181
Data collection,Workday / free-day diaries,TUM,Munich (DE),,38 work / 32 free; n=70 eligible diary records,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Eligible normalized sleep-diary records from the whole roster,mixed_or_not_applicable,10,,70
Data collection,Workday / free-day diaries,FUSPCEU,Madrid (ES),,95 work / 54 free; n=149 eligible diary records,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Eligible normalized sleep-diary records from the whole roster,mixed_or_not_applicable,23,,149
Data collection,Workday / free-day diaries,IZTECH,Izmir (TR),,99 work / 38 free; n=137 eligible diary records,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Eligible normalized sleep-diary records from the whole roster,mixed_or_not_applicable,17,,137
Data collection,Workday / free-day diaries,UCR,San José (CR),,180 work / 87 free; n=267 eligible diary records,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Eligible normalized sleep-diary records from the whole roster,mixed_or_not_applicable,39,,267
Data collection,Workday / free-day diaries,KNUST,Kumasi (GH),,55 work / 49 free; n=104 eligible diary records,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Eligible normalized sleep-diary records from the whole roster,mixed_or_not_applicable,15,,104
Data collection,Participant time,Overall,Overall,139w 22h,116w 4d,DISPLAY_CHANGED,The earlier cell combined placement-specific data. The updated cell reports the whole available roster and placement-specific quantities across every recorded non-all-zero day.,Near-eye eligible real minutes on screened participant-days,near_eye,,816,
Data collection,Participant time,RISE,Borås (SE),12w 6d,11w 23h,DISPLAY_CHANGED,The earlier cell combined placement-specific data. The updated cell reports the whole available roster and placement-specific quantities across every recorded non-all-zero day.,Near-eye eligible real minutes on screened participant-days,near_eye,,78,
Data collection,Participant time,THUAS,Delft (NL),13w 2d,11w 23h,DISPLAY_CHANGED,The earlier cell combined placement-specific data. The updated cell reports the whole available roster and placement-specific quantities across every recorded non-all-zero day.,Near-eye eligible real minutes on screened participant-days,near_eye,,78,
Data collection,Participant time,BAUA,Dortmund (DE),17w 6d,15w 2d,DISPLAY_CHANGED,The earlier cell combined placement-specific data. The updated cell reports the whole available roster and placement-specific quantities across every recorded non-all-zero day.,Near-eye eligible real minutes on screened participant-days,near_eye,,107,
Data collection,Participant time,MPI,Tübingen (DE),25w 2d,21w 3d,DISPLAY_CHANGED,The earlier cell combined placement-specific data. The updated cell reports the whole available roster and placement-specific quantities across every recorded non-all-zero day.,Near-eye eligible real minutes on screened participant-days,near_eye,,150,
Data collection,Participant time,TUM,Munich (DE),9w 4d,8w 4d,DISPLAY_CHANGED,The earlier cell combined placement-specific data. The updated cell reports the whole available roster and placement-specific quantities across every recorded non-all-zero day.,Near-eye eligible real minutes on screened participant-days,near_eye,,60,
Data collection,Participant time,FUSPCEU,Madrid (ES),22w 4d,18w 3d,DISPLAY_CHANGED,The earlier cell combined placement-specific data. The updated cell reports the whole available roster and placement-specific quantities across every recorded non-all-zero day.,Near-eye eligible real minutes on screened participant-days,near_eye,,129,
Data collection,Participant time,IZTECH,Izmir (TR),17w 2d,14w 3d,DISPLAY_CHANGED,The earlier cell combined placement-specific data. The updated cell reports the whole available roster and placement-specific quantities across every recorded non-all-zero day.,Near-eye eligible real minutes on screened participant-days,near_eye,,101,
Data collection,Participant time,UCR,San José (CR),5w 5d,4w 4d,DISPLAY_CHANGED,The earlier cell combined placement-specific data. The updated cell reports the whole available roster and placement-specific quantities across every recorded non-all-zero day.,Near-eye eligible real minutes on screened participant-days,near_eye,,32,
Data collection,Participant time,KNUST,Kumasi (GH),14w 1d,11w 4d,DISPLAY_CHANGED,The earlier cell combined placement-specific data. The updated cell reports the whole available roster and placement-specific quantities across every recorded non-all-zero day.,Near-eye eligible real minutes on screened participant-days,near_eye,,81,
Data collection,Declared non-wear,Overall,Overall,5w 4d (4.1%),Near-eye 4w 1d (3.66%),DISPLAY_CHANGED,"The earlier implementation accidentally reused the near-eye non-wear input for chest and used an unclear pooled denominator. The updated cell therefore reports near-eye wear-log off outside diary sleep only, using observed real minutes on available non-all-zero days.",Near-eye wear-log off outside diary sleep divided by eligible real minutes on screened days,near_eye,,816,
Data collection,Declared non-wear,RISE,Borås (SE),3d 11h (3.8%),Near-eye 2d 14h (3.34%),DISPLAY_CHANGED,"The earlier implementation accidentally reused the near-eye non-wear input for chest and used an unclear pooled denominator. The updated cell therefore reports near-eye wear-log off outside diary sleep only, using observed real minutes on available non-all-zero days.",Near-eye wear-log off outside diary sleep divided by eligible real minutes on screened days,near_eye,,78,
Data collection,Declared non-wear,THUAS,Delft (NL),4d 4h (4.5%),Near-eye 3d 1h (3.92%),DISPLAY_CHANGED,"The earlier implementation accidentally reused the near-eye non-wear input for chest and used an unclear pooled denominator. The updated cell therefore reports near-eye wear-log off outside diary sleep only, using observed real minutes on available non-all-zero days.",Near-eye wear-log off outside diary sleep divided by eligible real minutes on screened days,near_eye,,78,
Data collection,Declared non-wear,BAUA,Dortmund (DE),4d 14h (3.7%),Near-eye 3d 15h (3.42%),DISPLAY_CHANGED,"The earlier implementation accidentally reused the near-eye non-wear input for chest and used an unclear pooled denominator. The updated cell therefore reports near-eye wear-log off outside diary sleep only, using observed real minutes on available non-all-zero days.",Near-eye wear-log off outside diary sleep divided by eligible real minutes on screened days,near_eye,,107,
Data collection,Declared non-wear,MPI,Tübingen (DE),1w 1d (4.6%),Near-eye 6d 10h (4.30%),DISPLAY_CHANGED,"The earlier implementation accidentally reused the near-eye non-wear input for chest and used an unclear pooled denominator. The updated cell therefore reports near-eye wear-log off outside diary sleep only, using observed real minutes on available non-all-zero days.",Near-eye wear-log off outside diary sleep divided by eligible real minutes on screened days,near_eye,,150,
Data collection,Declared non-wear,TUM,Munich (DE),2d 19h (4.1%),Near-eye 2d 17h (4.55%),DISPLAY_CHANGED,"The earlier implementation accidentally reused the near-eye non-wear input for chest and used an unclear pooled denominator. The updated cell therefore reports near-eye wear-log off outside diary sleep only, using observed real minutes on available non-all-zero days.",Near-eye wear-log off outside diary sleep divided by eligible real minutes on screened days,near_eye,,60,
Data collection,Declared non-wear,FUSPCEU,Madrid (ES),4d 23h (3.1%),Near-eye 2d 20h (2.20%),DISPLAY_CHANGED,"The earlier implementation accidentally reused the near-eye non-wear input for chest and used an unclear pooled denominator. The updated cell therefore reports near-eye wear-log off outside diary sleep only, using observed real minutes on available non-all-zero days.",Near-eye wear-log off outside diary sleep divided by eligible real minutes on screened days,near_eye,,129,
Data collection,Declared non-wear,IZTECH,Izmir (TR),3d 19h (3.2%),Near-eye 3d 3h (3.13%),DISPLAY_CHANGED,"The earlier implementation accidentally reused the near-eye non-wear input for chest and used an unclear pooled denominator. The updated cell therefore reports near-eye wear-log off outside diary sleep only, using observed real minutes on available non-all-zero days.",Near-eye wear-log off outside diary sleep divided by eligible real minutes on screened days,near_eye,,101,
Data collection,Declared non-wear,UCR,San José (CR),2d 15h (6.5%),Near-eye 1d 11h (4.66%),DISPLAY_CHANGED,"The earlier implementation accidentally reused the near-eye non-wear input for chest and used an unclear pooled denominator. The updated cell therefore reports near-eye wear-log off outside diary sleep only, using observed real minutes on available non-all-zero days.",Near-eye wear-log off outside diary sleep divided by eligible real minutes on screened days,near_eye,,32,
Data collection,Declared non-wear,KNUST,Kumasi (GH),5d 22m (5.0%),Near-eye 3d 21h (4.80%),DISPLAY_CHANGED,"The earlier implementation accidentally reused the near-eye non-wear input for chest and used an unclear pooled denominator. The updated cell therefore reports near-eye wear-log off outside diary sleep only, using observed real minutes on available non-all-zero days.",Near-eye wear-log off outside diary sleep divided by eligible real minutes on screened days,near_eye,,81,
Data collection,Screened days,Overall,Overall,"1416d(g:811d, c:1249d)",Near-eye 816; chest 902,DISPLAY_CHANGED,The earlier chest complete-day count came from the wrong preparation stage. The updated cell shows only the final placement-specific result after the completeness and exact-all-zero screens.,Final participant-days after completeness and exact-all-zero screens,mixed_or_not_applicable,,816,
Data collection,Screened days,RISE,Borås (SE),"137d(g:78d, c:137d)",Near-eye 78; chest 96,DISPLAY_CHANGED,The earlier chest complete-day count came from the wrong preparation stage. The updated cell shows only the final placement-specific result after the completeness and exact-all-zero screens.,Final participant-days after completeness and exact-all-zero screens,mixed_or_not_applicable,,78,
Data collection,Screened days,THUAS,Delft (NL),"125d(g:78d, c:125d)",Near-eye 78; chest 93,DISPLAY_CHANGED,The earlier chest complete-day count came from the wrong preparation stage. The updated cell shows only the final placement-specific result after the completeness and exact-all-zero screens.,Final participant-days after completeness and exact-all-zero screens,mixed_or_not_applicable,,78,
