site,reader_site,quantity,previous_display,current_display,comparison_status,difference_reason,participants,participant_days,eligible_real_minutes,wake_valid_minutes,pre_sleep_valid_minutes,sleep_valid_minutes
RISE,Borås (SE),sleep_time_fraction,31%,32%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,13,78,112260,57952,12759,35489
RISE,Borås (SE),unclassified_time_fraction,7%,2%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,13,78,112260,57952,12759,35489
THUAS,Delft (NL),wake_fraction,30%,30%,DISPLAY_UNCHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",13,78,112260,49852,10774,34621
THUAS,Delft (NL),pre_sleep_fraction,67%,67%,DISPLAY_UNCHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",13,78,112260,49852,10774,34621
THUAS,Delft (NL),sleep_fraction,86%,86%,DISPLAY_UNCHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",13,78,112260,49852,10774,34621
THUAS,Delft (NL),combined_fraction,55%,54%,DISPLAY_CHANGED,"The updated total is the pooled fraction across all valid classified minutes, not an average of displayed state percentages.",13,78,112260,49852,10774,34621
THUAS,Delft (NL),wake_time_fraction,42%,47%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,13,78,112260,49852,10774,34621
THUAS,Delft (NL),pre_sleep_time_fraction,9%,11%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,13,78,112260,49852,10774,34621
THUAS,Delft (NL),sleep_time_fraction,31%,31%,DISPLAY_UNCHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,13,78,112260,49852,10774,34621
THUAS,Delft (NL),unclassified_time_fraction,17%,11%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,13,78,112260,49852,10774,34621
BAUA,Dortmund (DE),wake_fraction,32%,32%,DISPLAY_UNCHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",18,107,154080,69900,16361,48928
BAUA,Dortmund (DE),pre_sleep_fraction,59%,60%,DISPLAY_CHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",18,107,154080,69900,16361,48928
BAUA,Dortmund (DE),sleep_fraction,88%,88%,DISPLAY_UNCHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",18,107,154080,69900,16361,48928
BAUA,Dortmund (DE),combined_fraction,56%,56%,DISPLAY_UNCHANGED,"The updated total is the pooled fraction across all valid classified minutes, not an average of displayed state percentages.",18,107,154080,69900,16361,48928
BAUA,Dortmund (DE),wake_time_fraction,43%,48%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,18,107,154080,69900,16361,48928
BAUA,Dortmund (DE),pre_sleep_time_fraction,11%,11%,DISPLAY_UNCHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,18,107,154080,69900,16361,48928
BAUA,Dortmund (DE),sleep_time_fraction,32%,32%,DISPLAY_UNCHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,18,107,154080,69900,16361,48928
BAUA,Dortmund (DE),unclassified_time_fraction,14%,9%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,18,107,154080,69900,16361,48928
MPI,Tübingen (DE),wake_fraction,23%,23%,DISPLAY_UNCHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",26,150,216120,111396,25283,70029
MPI,Tübingen (DE),pre_sleep_fraction,62%,62%,DISPLAY_UNCHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",26,150,216120,111396,25283,70029
MPI,Tübingen (DE),sleep_fraction,86%,87%,DISPLAY_CHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",26,150,216120,111396,25283,70029
MPI,Tübingen (DE),combined_fraction,50%,49%,DISPLAY_CHANGED,"The updated total is the pooled fraction across all valid classified minutes, not an average of displayed state percentages.",26,150,216120,111396,25283,70029
MPI,Tübingen (DE),wake_time_fraction,50%,55%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,26,150,216120,111396,25283,70029
MPI,Tübingen (DE),pre_sleep_time_fraction,12%,12%,DISPLAY_UNCHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,26,150,216120,111396,25283,70029
MPI,Tübingen (DE),sleep_time_fraction,33%,32%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,26,150,216120,111396,25283,70029
MPI,Tübingen (DE),unclassified_time_fraction,6%,0%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,26,150,216120,111396,25283,70029
TUM,Munich (DE),wake_fraction,25%,25%,DISPLAY_UNCHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",10,60,86400,42685,9833,29951
TUM,Munich (DE),pre_sleep_fraction,61%,61%,DISPLAY_UNCHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",10,60,86400,42685,9833,29951
TUM,Munich (DE),sleep_fraction,72%,72%,DISPLAY_UNCHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",10,60,86400,42685,9833,29951
TUM,Munich (DE),combined_fraction,46%,46%,DISPLAY_UNCHANGED,"The updated total is the pooled fraction across all valid classified minutes, not an average of displayed state percentages.",10,60,86400,42685,9833,29951
TUM,Munich (DE),wake_time_fraction,49%,53%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,10,60,86400,42685,9833,29951
TUM,Munich (DE),pre_sleep_time_fraction,11%,12%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,10,60,86400,42685,9833,29951
TUM,Munich (DE),sleep_time_fraction,35%,35%,DISPLAY_UNCHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,10,60,86400,42685,9833,29951
TUM,Munich (DE),unclassified_time_fraction,5%,0%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,10,60,86400,42685,9833,29951
FUSPCEU,Madrid (ES),wake_fraction,24%,24%,DISPLAY_UNCHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",23,129,185880,87030,20366,60891
FUSPCEU,Madrid (ES),pre_sleep_fraction,63%,63%,DISPLAY_UNCHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",23,129,185880,87030,20366,60891
FUSPCEU,Madrid (ES),sleep_fraction,96%,96%,DISPLAY_UNCHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",23,129,185880,87030,20366,60891
FUSPCEU,Madrid (ES),combined_fraction,55%,55%,DISPLAY_UNCHANGED,"The updated total is the pooled fraction across all valid classified minutes, not an average of displayed state percentages.",23,129,185880,87030,20366,60891
FUSPCEU,Madrid (ES),wake_time_fraction,46%,48%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,23,129,185880,87030,20366,60891
FUSPCEU,Madrid (ES),pre_sleep_time_fraction,11%,12%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,23,129,185880,87030,20366,60891
FUSPCEU,Madrid (ES),sleep_time_fraction,33%,33%,DISPLAY_UNCHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,23,129,185880,87030,20366,60891
FUSPCEU,Madrid (ES),unclassified_time_fraction,11%,7%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,23,129,185880,87030,20366,60891
IZTECH,Izmir (TR),wake_fraction,18%,18%,DISPLAY_UNCHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",17,101,145440,71562,16736,50556
IZTECH,Izmir (TR),pre_sleep_fraction,56%,55%,DISPLAY_CHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",17,101,145440,71562,16736,50556
IZTECH,Izmir (TR),sleep_fraction,79%,79%,DISPLAY_UNCHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",17,101,145440,71562,16736,50556
IZTECH,Izmir (TR),combined_fraction,45%,45%,DISPLAY_UNCHANGED,"The updated total is the pooled fraction across all valid classified minutes, not an average of displayed state percentages.",17,101,145440,71562,16736,50556
IZTECH,Izmir (TR),wake_time_fraction,48%,52%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,17,101,145440,71562,16736,50556
IZTECH,Izmir (TR),pre_sleep_time_fraction,11%,12%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,17,101,145440,71562,16736,50556
IZTECH,Izmir (TR),sleep_time_fraction,34%,35%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,17,101,145440,71562,16736,50556
IZTECH,Izmir (TR),unclassified_time_fraction,7%,1%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,17,101,145440,71562,16736,50556
UCR,San José (CR),wake_fraction,15%,14%,DISPLAY_CHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",6,32,46080,23640,4839,14275
UCR,San José (CR),pre_sleep_fraction,65%,65%,DISPLAY_UNCHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",6,32,46080,23640,4839,14275
UCR,San José (CR),sleep_fraction,89%,87%,DISPLAY_CHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",6,32,46080,23640,4839,14275
UCR,San José (CR),combined_fraction,46%,44%,DISPLAY_CHANGED,"The updated total is the pooled fraction across all valid classified minutes, not an average of displayed state percentages.",6,32,46080,23640,4839,14275
UCR,San José (CR),wake_time_fraction,48%,55%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,6,32,46080,23640,4839,14275
UCR,San José (CR),pre_sleep_time_fraction,11%,12%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,6,32,46080,23640,4839,14275
UCR,San José (CR),sleep_time_fraction,30%,31%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,6,32,46080,23640,4839,14275
UCR,San José (CR),unclassified_time_fraction,11%,3%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,6,32,46080,23640,4839,14275
KNUST,Kumasi (GH),wake_fraction,14%,14%,DISPLAY_UNCHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",15,81,116640,59695,12439,38626
KNUST,Kumasi (GH),pre_sleep_fraction,75%,75%,DISPLAY_UNCHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",15,81,116640,59695,12439,38626
KNUST,Kumasi (GH),sleep_fraction,95%,96%,DISPLAY_CHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",15,81,116640,59695,12439,38626
KNUST,Kumasi (GH),combined_fraction,49%,49%,DISPLAY_UNCHANGED,"The updated total is the pooled fraction across all valid classified minutes, not an average of displayed state percentages.",15,81,116640,59695,12439,38626
KNUST,Kumasi (GH),wake_time_fraction,51%,55%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,15,81,116640,59695,12439,38626
KNUST,Kumasi (GH),pre_sleep_time_fraction,11%,12%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,15,81,116640,59695,12439,38626
KNUST,Kumasi (GH),sleep_time_fraction,33%,33%,DISPLAY_UNCHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,15,81,116640,59695,12439,38626
KNUST,Kumasi (GH),unclassified_time_fraction,6%,0%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,15,81,116640,59695,12439,38626
