artifact_class,path,sha256_before,sha256_after,status
untouched reader-facing export,artifacts/10_figures/descriptives/time_series_to_metrics.png,c6f080bd520c85f219749b2911702f6d29c3165bb2097b03e8b8437c2da96a1d,c6f080bd520c85f219749b2911702f6d29c3165bb2097b03e8b8437c2da96a1d,PASS
untouched reader-facing export,artifacts/10_figures/descriptives/time_series_to_metrics.jpeg,549e6c85cd188ac7bbb5c1d8faf3879ef29265a9f34a3a861acb5da856ad7441,549e6c85cd188ac7bbb5c1d8faf3879ef29265a9f34a3a861acb5da856ad7441,PASS
untouched reader-facing export,artifacts/10_figures/descriptives/time_series_to_metrics.pdf,28234ad7ec5425555d41c0879ab79918a3ea8fb535acb34fd321cb5a1bed150a,28234ad7ec5425555d41c0879ab79918a3ea8fb535acb34fd321cb5a1bed150a,PASS
untouched reader-facing export,artifacts/10_figures/descriptives/time_series_to_metrics.svg,61de5a9df7dda373d27935a9905bde99c2857c52787dafaedbb11a240efa7bbe,61de5a9df7dda373d27935a9905bde99c2857c52787dafaedbb11a240efa7bbe,PASS
untouched reader-facing export,artifacts/10_figures/descriptives/latitude_photoperiod_diagnostic.png,b027935213185841c3b565dfbb440cf2fcf07dca03b4e19d2c1744270fd66ed6,b027935213185841c3b565dfbb440cf2fcf07dca03b4e19d2c1744270fd66ed6,PASS
untouched reader-facing export,artifacts/10_figures/descriptives/latitude_photoperiod_diagnostic.jpeg,410da001253d656993d66db4bbdf79b742375688f9a09369ed12f4af83fd9135,410da001253d656993d66db4bbdf79b742375688f9a09369ed12f4af83fd9135,PASS
untouched reader-facing export,artifacts/10_figures/descriptives/latitude_photoperiod_diagnostic.pdf,ac9008768bc0e2d67ca0d771bfd447dc29f76129bafff393cdedf2bbdb67acba,ac9008768bc0e2d67ca0d771bfd447dc29f76129bafff393cdedf2bbdb67acba,PASS
untouched reader-facing export,artifacts/10_figures/descriptives/latitude_photoperiod_diagnostic.svg,58b7263ac915e910c268d840f00cb1a036fcc7036ed7b1ef0a201bb4202117fa,58b7263ac915e910c268d840f00cb1a036fcc7036ed7b1ef0a201bb4202117fa,PASS
untouched reader-facing export,artifacts/08_diagnostics/descriptives/a4_mockups/descriptive_overview_a4.png,41f9aa5fd6fe3bd9a280483507a2cc6c1bdce451a000bf8b6812a6ff36a2a590,41f9aa5fd6fe3bd9a280483507a2cc6c1bdce451a000bf8b6812a6ff36a2a590,PASS
untouched reader-facing export,artifacts/08_diagnostics/descriptives/a4_mockups/near_eye_site_profiles_a4.png,164b23b31237bb59d49db88243b97d9effe3d2eb82e9c8c4d19963f444941303,164b23b31237bb59d49db88243b97d9effe3d2eb82e9c8c4d19963f444941303,PASS
untouched reader-facing export,artifacts/08_diagnostics/descriptives/a4_mockups/chest_site_profiles_a4.png,700ddba96fd3ff5d476e2675efa53ea3ff82aa1788b29c73600f31ab44f6b4fa,700ddba96fd3ff5d476e2675efa53ea3ff82aa1788b29c73600f31ab44f6b4fa,PASS
untouched reader-facing export,artifacts/08_diagnostics/descriptives/a4_mockups/time_series_to_metrics_a4.png,792f331e99f1cb871d1e5cdbf3377470fc26f24ffc6c8565e6dbfeaedf814c21,792f331e99f1cb871d1e5cdbf3377470fc26f24ffc6c8565e6dbfeaedf814c21,PASS
untouched reader-facing export,artifacts/08_diagnostics/descriptives/a4_mockups/latitude_photoperiod_diagnostic_a4.png,20de3e34a47d0e5010170fdf9fddc249d42d1283af5afe24cc3cbdf65c368eaa,20de3e34a47d0e5010170fdf9fddc249d42d1283af5afe24cc3cbdf65c368eaa,PASS
untouched reader-facing export,artifacts/09_tables/descriptives/participant_site_characteristics_replica.png,875164c74f784554cc6878c330bf2df5c723325e99c1d92200ca4f848c840582,875164c74f784554cc6878c330bf2df5c723325e99c1d92200ca4f848c840582,PASS
untouched reader-facing export,artifacts/09_tables/descriptives/participant_site_characteristics_manuscript_replica.png,724998f37fd26d5f443fc77d93b04eb41ee55cbfa328649b0e8ad139b1eb767b,724998f37fd26d5f443fc77d93b04eb41ee55cbfa328649b0e8ad139b1eb767b,PASS
untouched reader-facing export,artifacts/09_tables/descriptives/recommendation_context_replica.png,c59f2c2d5cc6b27d18a30f44b9f2421ed18160e52f00828944c27842bf74fbb1,c59f2c2d5cc6b27d18a30f44b9f2421ed18160e52f00828944c27842bf74fbb1,PASS
