page,path,role,expand_manifest,path_column
preparation04,scripts/pipeline/verify_metric_derivation_core.R,described_verification_module,FALSE,
preparation04,scripts/pipeline/verify_mder_support_gate_artifacts.R,described_verification_module,FALSE,
preparation04,scripts/pipeline/verify_state_support_gate_artifacts.R,described_verification_module,FALSE,
preparation04,scripts/pipeline/verify_rolling_windows.R,described_verification_module,FALSE,
preparation04,audit/decisions/metric_implementation_parameters.md,scientific_decision,FALSE,
preparation04,audit/decisions/metric_validity.md,scientific_decision,FALSE,
preparation04,audit/decisions/preparation04_version_specific_verification.md,version_specific_reporting_decision,FALSE,
preparation04,audit/reconciliation/preparation04/core_verification.md,earlier_verification_record,FALSE,
preparation04,audit/reconciliation/preparation04/result_gate.md,earlier_verification_record,FALSE,
preparation04,audit/findings/mder_support_cutoff_gate.md,earlier_verification_record,FALSE,
preparation05,notebooks/preparation/05_model_input_acquisition.qmd,render_source,FALSE,
preparation05,config/site_display_registry.csv,reader_facing_display_registry,FALSE,
preparation05,config/site_sources.csv,fixed_site_source_registry,FALSE,
preparation05,config/model_input_availability.csv,expected_input_registry,FALSE,
preparation05,config/model_input_source_pins.csv,fixed_modality_source_registry,FALSE,
preparation05,artifacts/12_manifests/model_input_acquisition.csv,accepted_preparation_manifest,TRUE,cache_path
preparation05,artifacts/12_manifests/pinned_downloads.csv,accepted_preparation01_manifest,TRUE,local_path
preparation05,artifacts/01_imported/model_inputs/object_audit.csv,accepted_object_audit,FALSE,
preparation05,artifacts/01_imported/model_inputs/column_audit.csv,accepted_column_audit,FALSE,
preparation05,scripts/pipeline/model_input_acquisition.R,described_function_module,FALSE,
preparation05,scripts/pipeline/build_model_input_acquisition.R,described_production_script,FALSE,
preparation05,scripts/pipeline/verify_model_input_acquisition.R,described_verification_module,FALSE,
preparation05,scripts/pipeline/import_sources.R,described_source_resolution_module,FALSE,
preparation05,tests/test_model_input_acquisition.R,reported_scientific_test_source,FALSE,
preparation05,tests/test_tum_exercise_source_transition.R,reported_scientific_test_source,FALSE,
preparation05,audit/findings/preparation05_input_provenance_gaps.md,reported_verification_record,FALSE,
preparation05,audit/reconciliation/preparation06/normalization_gate.md,reported_verification_record,FALSE,
preparation06,notebooks/preparation/06_model_ready_datasets.qmd,render_source,FALSE,
preparation06,config/site_display_registry.csv,reader_facing_display_registry,FALSE,
preparation06,artifacts/12_manifests/model_input_normalization.csv,accepted_preparation_manifest,TRUE,path
preparation06,artifacts/12_manifests/manuscript_prepared_data_artifacts.csv,accepted_preparation_manifest,TRUE,path
preparation06,artifacts/12_manifests/site_solar_context_artifacts.csv,accepted_preparation_manifest,TRUE,path
preparation06,artifacts/06_model_data/temporal_provenance/artifact_manifest.csv,accepted_preparation_manifest,TRUE,path
preparation06,artifacts/12_manifests/base_model_data_artifacts.csv,accepted_preparation_manifest,TRUE,path
preparation06,artifacts/12_manifests/H01_model_data_artifacts.csv,accepted_preparation_manifest,TRUE,path
preparation06,artifacts/12_manifests/H01_manuscript_prepared_data_artifacts.csv,accepted_preparation_manifest,TRUE,path
preparation06,artifacts/12_manifests/preanalysis_comparison_artifacts.csv,accepted_preparation_manifest,TRUE,path
preparation06,scripts/pipeline/build_model_input_normalization.R,described_production_script,FALSE,
preparation06,scripts/pipeline/model_input_normalization.R,described_function_module,FALSE,
preparation06,scripts/pipeline/build_manuscript_prepared_data.R,described_production_script,FALSE,
preparation06,scripts/pipeline/manuscript_prepared_data.R,described_function_module,FALSE,
preparation06,scripts/pipeline/build_site_solar_context.R,described_production_script,FALSE,
preparation06,scripts/pipeline/site_solar_context.R,described_function_module,FALSE,
preparation06,scripts/pipeline/build_temporal_sequence_provenance.R,described_production_script,FALSE,
preparation06,scripts/pipeline/temporal_sequence_provenance.R,described_function_module,FALSE,
preparation06,scripts/pipeline/build_base_model_data.R,described_production_script,FALSE,
preparation06,scripts/pipeline/base_model_data.R,described_function_module,FALSE,
preparation06,scripts/pipeline/build_h01_model_data.R,described_production_script,FALSE,
preparation06,scripts/pipeline/h01_model_data.R,described_function_module,FALSE,
preparation06,scripts/pipeline/build_h01_manuscript_prepared_data.R,described_production_script,FALSE,
preparation06,scripts/pipeline/h01_manuscript_prepared_adapter.R,described_function_module,FALSE,
preparation06,scripts/pipeline/build_preanalysis_comparison.R,described_production_script,FALSE,
preparation06,scripts/pipeline/preanalysis_comparison.R,described_function_module,FALSE,
preparation07,notebooks/preparation/07_example_days.qmd,render_source,FALSE,
preparation07,config/site_display_registry.csv,reader_facing_display_registry,FALSE,
preparation07,config/site_metadata.csv,accepted_site_input,FALSE,
preparation07,artifacts/03_coverage/light_glasses_coverage.rds,accepted_prepared_input,FALSE,
preparation07,artifacts/06_model_data/context/site_solar_context.rds,accepted_solar_input,FALSE,
preparation07,artifacts/12_manifests/prepared_day_showcase_artifacts.csv,accepted_display_manifest,TRUE,path
preparation07,scripts/pipeline/build_prepared_day_showcase.R,described_production_script,FALSE,
preparation07,scripts/pipeline/prepared_day_showcase.R,described_function_module,FALSE,
preparation07,scripts/pipeline/verify_prepared_day_showcase_artifacts.R,described_verification_module,FALSE,
