page,path,role,expand_manifest,path_column
preparation06,audit/reconciliation/mder_METRIC-010_gap_repair/gap_repair_evidence_manifest.csv,current_gap_repair_evidence_manifest,TRUE,path
preparation06,artifacts/08_diagnostics/mder_METRIC-010/downstream_rebuild/rebuild_manifest.csv,current_downstream_rebuild_manifest,TRUE,path
preparation06,audit/decisions/mder_mean_of_viable_ratios.md,controlling_mder_decision,FALSE,
preparation06,audit/decisions/preparation06_current_base_model_gate.md,current_base_model_gate,FALSE,
preparation06,scripts/pipeline/build_metric_derivation.R,described_upstream_production_script,FALSE,
preparation06,scripts/pipeline/metric_derivation.R,described_upstream_function_module,FALSE,
preparation06,scripts/pipeline/time_support.R,described_upstream_function_module,FALSE,
preparation06,scripts/pipeline/verify_metric_derivation_mder.R,described_upstream_verification_module,FALSE,
preparation06,audit/scripts/finalize_mder_METRIC_010.R,described_upstream_audit_finalizer,FALSE,
preparation06,audit/scripts/repair_gap_mder_METRIC_010.R,described_gap_repair_script,FALSE,
preparation06,audit/scripts/finalize_gap_mder_METRIC_010_evidence.R,described_gap_repair_finalizer,FALSE,
preparation06,audit/scripts/rebuild_mder_METRIC_010_downstream.R,described_downstream_repin_script,FALSE,
preparation06,scripts/pipeline/build_model_input_normalization.R,described_production_script,FALSE,
preparation06,scripts/pipeline/model_input_normalization.R,described_function_module,FALSE,
preparation06,scripts/pipeline/build_manuscript_prepared_data.R,described_production_script,FALSE,
preparation06,scripts/pipeline/manuscript_prepared_data.R,described_function_module,FALSE,
preparation06,scripts/pipeline/build_site_solar_context.R,described_production_script,FALSE,
preparation06,scripts/pipeline/site_solar_context.R,described_function_module,FALSE,
preparation06,scripts/pipeline/build_temporal_sequence_provenance.R,described_production_script,FALSE,
preparation06,scripts/pipeline/temporal_sequence_provenance.R,described_function_module,FALSE,
preparation06,scripts/pipeline/build_base_model_data.R,described_production_script,FALSE,
preparation06,scripts/pipeline/base_model_data.R,described_function_module,FALSE,
preparation06,scripts/pipeline/build_h01_model_data.R,described_production_script,FALSE,
preparation06,scripts/pipeline/h01_model_data.R,described_function_module,FALSE,
preparation06,scripts/pipeline/build_h01_manuscript_prepared_data.R,described_production_script,FALSE,
preparation06,scripts/pipeline/h01_manuscript_prepared_adapter.R,described_function_module,FALSE,
preparation06,scripts/pipeline/build_preanalysis_comparison.R,described_production_script,FALSE,
preparation06,scripts/pipeline/preanalysis_comparison.R,described_function_module,FALSE,
preparation06,tests/test_preparation06_report.R,report_contract,FALSE,
