viewport,check,component,source_pt,display_width_px,effective_pt,threshold_pt,observed,status,detail
narrow_708x1000,figure_text_size,fig-example-days-2:legend_text,10,642,7.0394736842105265,7,natural=2850x1110; clippedX=false,PASS,Effective size = 10 pt x displayed width / (9.5 in x 96 CSS px/in)
narrow_708x1000,figure_text_size,fig-example-days-2:facet_strip,10,642,7.0394736842105265,7,natural=2850x1110; clippedX=false,PASS,Effective size = 10 pt x displayed width / (9.5 in x 96 CSS px/in)
narrow_708x1000,figure_text_size,fig-example-days-2:axis_text,10,642,7.0394736842105265,7,natural=2850x1110; clippedX=false,PASS,Effective size = 10 pt x displayed width / (9.5 in x 96 CSS px/in)
narrow_708x1000,figure_visual_integrity,fig-example-days-2,"",642,"","",alt_chars=310; caption_chars=144,PASS,"Manual screenshot review: traces, points, panels, bands, daylight regions, labels, units, colours, and site order are intact with no clipping, overlap, crowding, or broken units"
narrow_708x1000,figure_text_size,fig-example-days-3:legend_title,10,642,7.0394736842105265,7,natural=2850x1110; clippedX=false,PASS,Effective size = 10 pt x displayed width / (9.5 in x 96 CSS px/in)
narrow_708x1000,figure_text_size,fig-example-days-3:legend_text,10,642,7.0394736842105265,7,natural=2850x1110; clippedX=false,PASS,Effective size = 10 pt x displayed width / (9.5 in x 96 CSS px/in)
narrow_708x1000,figure_text_size,fig-example-days-3:facet_strip,10,642,7.0394736842105265,7,natural=2850x1110; clippedX=false,PASS,Effective size = 10 pt x displayed width / (9.5 in x 96 CSS px/in)
narrow_708x1000,figure_text_size,fig-example-days-3:axis_text,10,642,7.0394736842105265,7,natural=2850x1110; clippedX=false,PASS,Effective size = 10 pt x displayed width / (9.5 in x 96 CSS px/in)
narrow_708x1000,figure_visual_integrity,fig-example-days-3,"",642,"","",alt_chars=309; caption_chars=144,PASS,"Manual screenshot review: traces, points, panels, bands, daylight regions, labels, units, colours, and site order are intact with no clipping, overlap, crowding, or broken units"
narrow_708x1000,native_table_usability,tbl-example-day-selection,"",642,8.25,7,client=642; scroll=642; overflowX=auto,PASS,Native HTML table is contained; horizontal scrolling remains available if content later exceeds the container
narrow_708x1000,native_table_usability,tbl-example-day-availability,"",642,8.25,7,client=642; scroll=642; overflowX=auto,PASS,Native HTML table is contained; horizontal scrolling remains available if content later exceeds the container
narrow_708x1000,native_table_usability,tbl-example-day-inputs,"",642,8.25,7,client=642; scroll=642; overflowX=auto,PASS,Native HTML table is contained; horizontal scrolling remains available if content later exceeds the container
narrow_708x1000,native_table_usability,tbl-example-day-rules,"",642,8.25,7,client=642; scroll=642; overflowX=auto,PASS,Native HTML table is contained; horizontal scrolling remains available if content later exceeds the container
narrow_708x1000,native_table_usability,tbl-example-day-scripts,"",642,8.25,7,client=642; scroll=642; overflowX=auto,PASS,Native HTML table is contained; horizontal scrolling remains available if content later exceeds the container
narrow_708x1000,native_table_usability,tbl-example-day-current-checks,"",642,8.25,7,client=642; scroll=642; overflowX=auto,PASS,Native HTML table is contained; horizontal scrolling remains available if content later exceeds the container
narrow_708x1000,native_table_usability,tbl-example-day-artifacts,"",642,8.25,7,client=642; scroll=642; overflowX=auto,PASS,Native HTML table is contained; horizontal scrolling remains available if content later exceeds the container
narrow_708x1000,callout_and_navigation,page chrome,"",642,"","",callout_width=642,PASS,"Manual screenshot review: headings, callout, active navigation, breadcrumbs, captions, and links remain usable"
