path,bytes,sha256,action,sensitivity_reference_count,status
audit/hypotheses/H08/H08_analysis_preparation.html,730813,524107d84b907fd830bcc31fa0b2340c10608923a4d5f99208c40b3adf5af4ba,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
audit/hypotheses/H09/H09_analysis_preparation.html,630059,cdf9aaed6c594b365b048ee4d9256c492a1e5f41f88f33df47e829dc2eca422c,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
audit/hypotheses/H10/H10_analysis_preparation.html,650688,c679d369c1e38a2f8479a2a2bef7b2d17fee6ba6bbf17c0d1d27c180ab97693d,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
audit/hypotheses/H11/H11_analysis_preparation.html,769879,8eaf3fa9ee561f90a18ab5980c12447e33a0955d17eb6a7ebc3183c5d089517c,remove 1 exact sensitivity reference(s) from head; remove 1 exact sensitivity reference(s) from navbar; remove 1 exact sensitivity reference(s) from previous_next,3,proposed only; no candidate or public bytes changed
audit/hypotheses/implementation_result_comparison_contract.html,52485,f866ce43ee767c92cde2fb39f88fa2f89925b34dff3936666f377841dbac8e7d,remove 1 exact sensitivity reference(s) from sidebar,1,proposed only; no candidate or public bytes changed
index.html,25367739,af87852a1a5e2e5739eb87870fafcf0166e6c79e262c6e1f1f0eb9f3eed7e651,"remove 1 exact sensitivity reference(s) from navbar; remove complete section[data-site-utility=""true""][aria-labelledby=""site-downloads-title""]; preserve Other Formats Word and all science/figures/tables",1,proposed only; no candidate or public bytes changed
notebooks/descriptives 2.html,2070226,676d74983b992db194845f4ffd98c461212c0f26174131fc0c93d64eabeab66d,remove 1 exact sensitivity reference(s) from sidebar,1,proposed only; no candidate or public bytes changed
notebooks/descriptives.html,2261513,75ce099e8b94c4d6e67d2186ffdb62337c05071c769998ffe67c3e5d8419c2af,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
notebooks/hypotheses/H01 2.html,1642479,eab336d8cde80608968679d68cfc4ed67828c4f60969d51f90d3738b59e63839,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
notebooks/hypotheses/H01 3.html,4577844,4b3ee0d424f5f5eb3c49664d1e2954e89ef1d5c0146978073c2bdaf1c33ab6ef,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
notebooks/hypotheses/H01.html,4581370,421ac96ce2739b238d6e8d2e20430a7468a8c0a96aa065b3661615f4245cae41,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
notebooks/hypotheses/H02.html,295148,2f8ea6ded87b5ff9f43aec445c096369b47315c474752c06f856e68e725c7143,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
notebooks/hypotheses/H03.html,334228,8751090b4d38794c8ff24606a3c92ec2895880c97108074595dfcaf78edf551c,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
notebooks/hypotheses/H04.html,386671,9f56f3c5bda2058c7e97f524e12f4b9734c9a61b0fafee3e5a810f2444229543,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
notebooks/hypotheses/H05.html,639578,d643cf7e51a357c64e46d52e72a1607491d70ad9626bc45f06d497fd46663dda,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
notebooks/hypotheses/H06.html,4898816,4883b77a2e225c8bad8628f1a04274f5d19d81aeb7cc493949707cdc6cd98e2f,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
notebooks/hypotheses/H06_daily.html,10476929,e10dbaa356c63c808465a3a0b28963a0c84d97b03f1798f22315ee258f9cb180,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
notebooks/hypotheses/H07.html,264449,851a301c400e771cee6e9d6dff4360f2842f3fa3055190405342853563a2b284,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
notebooks/hypotheses/H08.html,338769,4943ccbb186ddc292a169513f3752da15bc29765acb5f3c33ef0f585f7d96a20,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
notebooks/hypotheses/H09.html,242853,37c06994b2eb992d924b266a6ac930090170a68642f956b9690dada379300ced,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
notebooks/hypotheses/H10.html,358429,9eccd8f7b2156aca725c884298b17111b3945ff14b8070cf131d8c7ea2fc6cb8,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
notebooks/hypotheses/H11.html,304992,5e18bb94d0ad84d0e6916a12c1eb819b224b87c9030eb2bd8dba49422d1c4d53,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
notebooks/placement_decision.html,47749,5a2cf8da79f913ac8cb90153aa648fa367eb9e7d9073d4351951c03cd76b5e3d,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
notebooks/preparation/01_import_state_alignment.html,370501,c484d5bbe2f05cc4d8893b9daf379a00563ab73cd53b533a7544aa9f01020589,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
notebooks/preparation/02_coverage_sample_flow.html,313099,c0f79f9191135222d69c4361922f49030a2458332daa3d73cc90ccb2618d0541,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
notebooks/preparation/03_reference_profiles.html,357446,8746cb53e2cc596533e719caa3a1bbdd69a80693d470628b55eeb85d30a77353,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
notebooks/preparation/04_metric_derivation.html,556902,008ffdb7044c5d45e5aa7c9343c2e0162616fa35bf4d37febd1703fed37978f8,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
notebooks/preparation/05_model_input_acquisition.html,285970,0c93060ba00e7be8ea4137410d8749c12898d7faf9c988e10b9132ebe4d632d8,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
notebooks/preparation/06_model_ready_datasets.html,664400,9888891089f5a59f02f01a7d72bb8e5fc86d8a84d8d767cf4b2107159a6ce87f,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
notebooks/preparation/07_example_days.html,295772,ffa14bf01a9d583180b5ec92a541ce252b167f256b254688023ce1c088a4967a,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
notebooks/preregistration_deviations.html,160062,623cbd4f769b547afe8d846e7c0f7145467e4610197182a651fed48db94bf636,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
search.json,2350116,aef05e5b12417168a526ee35250cfc894fd3fb069769e4687b8a26bf477ef0cd,remove exactly four records with href route notebooks/sensitivity_battery.html; preserve remaining 938 objects byte/content-equivalent,0,proposed only; no candidate or public bytes changed
sitemap.xml,6809,a45815103a7aafca2de8782f6b84a5a48651c38585647482dc1f782ef7ebe74b,remove exact sensitivity <url>; review workflow-only URL separately; preserve other URL entries and lastmod values,0,proposed only; no candidate or public bytes changed
supplementary_information.html,15674831,0a1da925d6bb63d2be7139ddcf0c511fb2c5ba10eacf2d340cfed6e61ee8b286,"remove 1 exact sensitivity reference(s) from navbar; remove passage-change paragraph from downloads utility; preserve Word + 19 editable links and return link; remove complete section[data-site-utility=""true""][aria-labelledby=""site-passage-changes""] and TOC li for #site-passage-changes",1,proposed only; no candidate or public bytes changed
