route,heading,level,id,parent_id,line
audit/hypotheses/H04/H04_analysis_preparation.html,H04 analysis preparation and provenance,h1,,,467
audit/hypotheses/H04/H04_analysis_preparation.html,Sensitivity analyses,h3,,sensitivity-analyses,14017
audit/hypotheses/H04/H04_analysis_preparation.html,Technical provenance and reproduction,h2,,technical-provenance-and-reproduction,19173
audit/hypotheses/H05/H05_analysis_preparation.html,H05 analysis preparation and provenance,h1,,,420
audit/hypotheses/H05/H05_analysis_preparation.html,5. Sensitivity analyses,h2,,sensitivity-analyses,8414
audit/hypotheses/H05/H05_analysis_preparation.html,7. Technical provenance,h2,,technical-provenance,10246
audit/hypotheses/H05/H05_analysis_preparation.html,Output and claim provenance,h3,,output-and-claim-provenance,12508
audit/hypotheses/H06/H06_analysis_preparation.html,H06 analysis preparation and provenance,h1,,,417
audit/hypotheses/H06/H06_analysis_preparation.html,Verified inputs and provenance,h3,,verified-inputs-and-provenance,1007
audit/hypotheses/H06/H06_analysis_preparation.html,"Model checks, influence, and sensitivity analyses",h2,,model-checks-influence-and-sensitivity-analyses,9732
audit/hypotheses/H06/H06_analysis_preparation.html,Sensitivity analyses,h3,,sensitivity-analyses,11481
audit/hypotheses/H06/H06_analysis_preparation.html,Technical provenance and reproduction,h2,,technical-provenance-and-reproduction,14741
audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,H06 daily-metric analysis preparation and provenance,h1,,,7515
audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,Verified provenance,h3,,verified-provenance,8058
audit/hypotheses/H07/H07_analysis_preparation.html,H07 analysis preparation and provenance,h1,,,413
audit/hypotheses/H07/H07_analysis_preparation.html,Sensitivity analyses and site influence,h2,,sensitivity-analyses-and-site-influence,7638
audit/hypotheses/H07/H07_analysis_preparation.html,Technical provenance and bounded reproduction,h2,,technical-provenance-and-bounded-reproduction,9935
audit/hypotheses/H07/H07_analysis_preparation.html,Numerical-zero provenance,h3,,numerical-zero-provenance,9950
audit/hypotheses/H08/H08_analysis_preparation.html,H08 analysis preparation and provenance,h1,,,411
audit/hypotheses/H08/H08_analysis_preparation.html,6. Sensitivity analyses,h2,,sensitivity-analyses,7856
audit/hypotheses/H08/H08_analysis_preparation.html,7. Technical provenance,h2,,technical-provenance,8424
audit/hypotheses/H09/H09_analysis_preparation.html,H09 analysis preparation and provenance,h1,,,405
audit/hypotheses/H09/H09_analysis_preparation.html,Aggregate-field provenance and missingness,h3,,aggregate-field-provenance-and-missingness,1666
audit/hypotheses/H09/H09_analysis_preparation.html,Named sensitivity analyses,h2,,named-sensitivity-analyses,6667
audit/hypotheses/H09/H09_analysis_preparation.html,Technical provenance,h2,,technical-provenance,7227
audit/hypotheses/H09/H09_analysis_preparation.html,Output and checksum provenance,h3,,output-and-checksum-provenance,9336
audit/hypotheses/H10/H10_analysis_preparation.html,H10 analysis preparation and provenance,h1,,,402
audit/hypotheses/H10/H10_analysis_preparation.html,Sensitivity analyses,h2,,sensitivity-analyses,5852
audit/hypotheses/H10/H10_analysis_preparation.html,Technical provenance,h2,,technical-provenance,6883
audit/hypotheses/H11/H11_analysis_preparation.html,H11 analysis preparation and provenance,h1,,,451
audit/hypotheses/H11/H11_analysis_preparation.html,5. Sensitivity analyses and deferred comparisons,h2,,sensitivity-analyses-and-deferred-comparisons,7718
audit/hypotheses/H11/H11_analysis_preparation.html,6. Technical provenance,h2,,technical-provenance,10979
audit/hypotheses/H11/H11_analysis_preparation.html,Output and claim provenance,h3,,output-and-claim-provenance,13176
audit/hypotheses/implementation_result_comparison_contract.html,When author approval is needed,h2,,when-author-approval-is-needed,490
index.html,Manuscript downloads,h2,site-downloads-title,,708
index.html,Supplementary Figure S14 and Table S12. Visual light sensitivity,h3,,supplementary-figure-s14-and-table-s12.-visual-light-sensitivity,9027
notebooks/descriptives.html,Source data and technical provenance,h2,,source-data-and-technical-provenance,4897
notebooks/hypotheses/H01 2.html,Sensitivity analyses,h2,,sensitivity-analyses,9723
notebooks/hypotheses/H01 2.html,Preregistered-scope sensitivity formula objects,h3,,preregistered-scope-sensitivity-formula-objects,23929
notebooks/hypotheses/H01 3.html,Sensitivity analyses,h2,,sensitivity-analyses,10661
notebooks/hypotheses/H01 3.html,Preregistered-scope sensitivity formula objects,h3,,preregistered-scope-sensitivity-formula-objects,24868
notebooks/hypotheses/H01.html,Sensitivity analyses,h2,,sensitivity-analyses,10661
notebooks/hypotheses/H01.html,Preregistered-scope sensitivity formula objects,h3,,preregistered-scope-sensitivity-formula-objects,24868
notebooks/hypotheses/H02.html,Sensitivity to other analytical choices,h2,,sensitivity-to-other-analytical-choices,5599
notebooks/hypotheses/H02.html,Source data and technical provenance,h3,,source-data-and-technical-provenance,8301
notebooks/hypotheses/H03.html,Sensitivity analyses,h2,,sensitivity-analyses,3822
notebooks/hypotheses/H03.html,"Sources, technical formulas, and provenance",h3,,sources-technical-formulas-and-provenance,7832
notebooks/hypotheses/H04.html,Sensitivity analyses,h2,,sensitivity-analyses,6526
notebooks/hypotheses/H05.html,Sensitivity analyses,h2,,sensitivity-analyses,8147
notebooks/hypotheses/H05.html,Source data and technical provenance,h2,,source-data-and-technical-provenance,17025
notebooks/hypotheses/H06.html,Sensitivity and complementary sensor evidence,h2,,sensitivity-and-complementary-sensor-evidence,6077
notebooks/hypotheses/H06.html,Required dataset sensitivity,h3,,required-dataset-sensitivity,6083
notebooks/hypotheses/H06.html,Employment-eligibility sensitivity (near-eye only),h3,,employment-eligibility-sensitivity-near-eye-only,6542
notebooks/hypotheses/H06.html,Working-variance and influence sensitivity analyses,h3,,working-variance-and-influence-sensitivity-analyses,7004
notebooks/hypotheses/H06_daily.html,Gap-timing-unaware sensitivity,h2,,gap-timing-unaware-sensitivity,8231
notebooks/hypotheses/H06_daily.html,Primary and gap-sensitivity daily grid,h3,,primary-and-gap-sensitivity-daily-grid,11093
notebooks/hypotheses/H07.html,Sensitivity analyses,h2,,sensitivity-analyses,3770
notebooks/hypotheses/H07.html,Source data and technical provenance,h2,,source-data-and-technical-provenance,6499
notebooks/hypotheses/H08.html,H08: Visual light sensitivity and personal light exposure,h1,,,394
notebooks/hypotheses/H08.html,Dataset sensitivity,h2,,dataset-sensitivity,7168
notebooks/hypotheses/H08.html,Source data and technical provenance,h2,,source-data-and-technical-provenance,8951
notebooks/hypotheses/H09.html,Dataset sensitivity,h2,,dataset-sensitivity,4880
notebooks/hypotheses/H09.html,Other named sensitivity analyses,h2,,other-named-sensitivity-analyses,5405
notebooks/hypotheses/H09.html,Source data and technical provenance,h2,,source-data-and-technical-provenance,6414
notebooks/hypotheses/H10.html,Sensitivity analyses,h1,,sensitivity-analyses,6866
notebooks/hypotheses/H10.html,Source data and technical provenance,h1,,source-data-and-technical-provenance,9123
notebooks/hypotheses/H11.html,Exploratory activity-context sensitivity,h2,,exploratory-activity-context-sensitivity,3496
notebooks/hypotheses/H11.html,Data-preparation sensitivity,h2,,data-preparation-sensitivity,5109
notebooks/hypotheses/H11.html,Source data and technical provenance,h2,,source-data-and-technical-provenance,8252
notebooks/preparation/03_reference_profiles.html,Technical provenance and file checks,h2,,technical-provenance-and-file-checks,4090
notebooks/preparation/04_metric_derivation.html,Technical provenance and version-specific verification,h2,,technical-provenance-and-version-specific-verification,5843
notebooks/preparation/05_model_input_acquisition.html,Technical provenance,h2,,technical-provenance,968
notebooks/preparation/06_model_ready_datasets.html,8. Technical provenance and stored-artifact handoff,h2,,technical-provenance-and-stored-artifact-handoff,6992
notebooks/preparation/07_example_days.html,Technical provenance and checks on the current stored bundle,h2,,technical-provenance-and-checks-on-the-current-stored-bundle,1595
notebooks/preregistration_deviations.html,IMP-009: H09 site adjustment and estimate provenance,h3,,imp-009,1865
notebooks/preregistration_deviations.html,IMP-011: H10 output provenance,h3,,imp-011,1905
notebooks/preregistration_deviations.html,Technical provenance,h1,,technical-provenance,2083
notebooks/sensitivity_battery.html,Planned sensitivity checks,h1,,,367
notebooks/sensitivity_battery.html,Manuscript-prepared-data sensitivity,h2,,manuscript-prepared-data-sensitivity,390
supplementary_information.html,Manuscript downloads,h2,site-downloads-title,,609
supplementary_information.html,Supplementary Figure S14 and Table S12. Visual light sensitivity,h3,,supplementary-figure-s14-and-table-s12.-visual-light-sensitivity,6609
supplementary_information.html,Manuscript passage changes,h2,site-passage-changes,,8633
