"link_text","href","kind","resolved_path","target_exists","fragment","fragment_resolves_once","forbidden_internal_target","interactive_control","known_doc001_hold","pass"
"07 Example days","../../../notebooks/preparation/07_example_days.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/07_example_days.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"Placement decision","../../../notebooks/placement_decision.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/placement_decision.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"Descriptive results","../../../notebooks/descriptives.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/descriptives.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"Preregistration deviations","../../../notebooks/preregistration_deviations.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preregistration_deviations.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"H01 results","../../../notebooks/hypotheses/H01.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"H01 preparation and provenance","../../../audit/hypotheses/H01/H01_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"H02 results","../../../notebooks/hypotheses/H02.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H02.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"H02 preparation and provenance","../../../audit/hypotheses/H02/H02_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"H03 results","../../../notebooks/hypotheses/H03.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H03.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"H03 preparation and provenance","../../../audit/hypotheses/H03/H03_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H03/H03_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"H04 results","../../../notebooks/hypotheses/H04.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H04.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"H04 preparation and provenance","../../../audit/hypotheses/H04/H04_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H04/H04_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"H05 results","../../../notebooks/hypotheses/H05.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H05.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"H05 preparation and provenance","../../../audit/hypotheses/H05/H05_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"H06 results","../../../notebooks/hypotheses/H06.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"H06 preparation and provenance","../../../audit/hypotheses/H06/H06_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"H06 complementary daily results","../../../notebooks/hypotheses/H06_daily.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"H06 complementary daily preparation and provenance","../../../audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"H07 results","../../../notebooks/hypotheses/H07.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H07.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"H07 preparation and provenance","../../../audit/hypotheses/H07/H07_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"H08 results","../../../notebooks/hypotheses/H08.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H08.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"H08 preparation and provenance","../../../audit/hypotheses/H08/H08_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"H09 results","../../../notebooks/hypotheses/H09.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H09.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"H09 preparation and provenance","../../../audit/hypotheses/H09/H09_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"H10 results","../../../notebooks/hypotheses/H10.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H10.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"H10 preparation and provenance","../../../audit/hypotheses/H10/H10_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H10/H10_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"H11 results","../../../notebooks/hypotheses/H11.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H11.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"H11 preparation and provenance","../../../audit/hypotheses/H11/H11_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H11/H11_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"Sensitivity checks","../../../notebooks/sensitivity_battery.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/sensitivity_battery.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"About this analysis record","#about-this-analysis-record","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"about-this-analysis-record",TRUE,FALSE,FALSE,FALSE,TRUE
"Analysis map","#analysis-map","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"analysis-map",TRUE,FALSE,FALSE,FALSE,TRUE
"Render boundary","#render-boundary","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"render-boundary",TRUE,FALSE,FALSE,FALSE,TRUE
"1. Data entering the analysis","#data-entering-the-analysis","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"data-entering-the-analysis",TRUE,FALSE,FALSE,FALSE,TRUE
"Verified inputs","#verified-inputs","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"verified-inputs",TRUE,FALSE,FALSE,FALSE,TRUE
"What these files contain","#what-these-files-contain","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"what-these-files-contain",TRUE,FALSE,FALSE,FALSE,TRUE
"Why prepared records did not enter every model frame","#why-prepared-records-did-not-enter-every-model-frame","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"why-prepared-records-did-not-enter-every-model-frame",TRUE,FALSE,FALSE,FALSE,TRUE
"2. The 17-metric response package","#the-17-metric-response-package","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"the-17-metric-response-package",TRUE,FALSE,FALSE,FALSE,TRUE
"Construct-specific rules","#construct-specific-rules","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"construct-specific-rules",TRUE,FALSE,FALSE,FALSE,TRUE
"3. Model-frame and sample construction","#model-frame-and-sample-construction","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"model-frame-and-sample-construction",TRUE,FALSE,FALSE,FALSE,TRUE
"Eight analysis scenarios","#eight-analysis-scenarios","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"eight-analysis-scenarios",TRUE,FALSE,FALSE,FALSE,TRUE
"Exact primary fitted samples","#exact-primary-fitted-samples","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"exact-primary-fitted-samples",TRUE,FALSE,FALSE,FALSE,TRUE
"Retention from prepared rows to fitted rows","#retention-from-prepared-rows-to-fitted-rows","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"retention-from-prepared-rows-to-fitted-rows",TRUE,FALSE,FALSE,FALSE,TRUE
"Site-specific support","#site-specific-support","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"site-specific-support",TRUE,FALSE,FALSE,FALSE,TRUE
"4. Model construction","#model-construction","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"model-construction",TRUE,FALSE,FALSE,FALSE,TRUE
"Exact formula set","#exact-formula-set","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"exact-formula-set",TRUE,FALSE,FALSE,FALSE,TRUE
"Central settings","#central-settings","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"central-settings",TRUE,FALSE,FALSE,FALSE,TRUE
"5. Estimands, uncertainty, and multiplicity","#estimands-uncertainty-and-multiplicity","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"estimands-uncertainty-and-multiplicity",TRUE,FALSE,FALSE,FALSE,TRUE
"6. Bootstrap, model checks, and influence","#bootstrap-model-checks-and-influence","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"bootstrap-model-checks-and-influence",TRUE,FALSE,FALSE,FALSE,TRUE
"Stored joint-refit support","#stored-joint-refit-support","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"stored-joint-refit-support",TRUE,FALSE,FALSE,FALSE,TRUE
"Model-check and influence chain","#model-check-and-influence-chain","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"model-check-and-influence-chain",TRUE,FALSE,FALSE,FALSE,TRUE
"7. Sensitivity branches","#sensitivity-branches","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"sensitivity-branches",TRUE,FALSE,FALSE,FALSE,TRUE
"8. Limitations and qualifications","#limitations-and-qualifications","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"limitations-and-qualifications",TRUE,FALSE,FALSE,FALSE,TRUE
"9. Technical provenance and reproduction","#technical-provenance-and-reproduction","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"technical-provenance-and-reproduction",TRUE,FALSE,FALSE,FALSE,TRUE
"Code map and execution order","#code-map-and-execution-order","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"code-map-and-execution-order",TRUE,FALSE,FALSE,FALSE,TRUE
"Output provenance and file identities","#output-provenance-and-file-identities","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"output-provenance-and-file-identities",TRUE,FALSE,FALSE,FALSE,TRUE
"How to examine or reproduce H01","#how-to-examine-or-reproduce-h01","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"how-to-examine-or-reproduce-h01",TRUE,FALSE,FALSE,FALSE,TRUE
"Environment","#environment","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"environment",TRUE,FALSE,FALSE,FALSE,TRUE
"Edit this page","https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/edit/main/audit/hypotheses/H01/H01_analysis_preparation.qmd","external","",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"Report an issue","https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/issues","external","",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"Hypothesis analyses","../../../notebooks/hypotheses/H01.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"H01 preparation and provenance","../../../audit/hypotheses/H01/H01_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"Show All Code","javascript:void(0)","interactive_control","",TRUE,"",TRUE,FALSE,TRUE,FALSE,TRUE
"Hide All Code","javascript:void(0)","interactive_control","",TRUE,"",TRUE,FALSE,TRUE,FALSE,TRUE
"View Source","javascript:void(0)","interactive_control","",TRUE,"",TRUE,FALSE,TRUE,FALSE,TRUE
"H01 results report","../../../notebooks/hypotheses/H01.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"linked registration-record summary","../../../notebooks/hypotheses/H01.html#h01-preregistration-deviations","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"h01-preregistration-deviations",TRUE,FALSE,FALSE,FALSE,TRUE
"","#cb1-1","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-1",TRUE,FALSE,FALSE,FALSE,TRUE
"","#cb1-2","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-2",TRUE,FALSE,FALSE,FALSE,TRUE
"","#cb1-3","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-3",TRUE,FALSE,FALSE,FALSE,TRUE
"","#cb1-4","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-4",TRUE,FALSE,FALSE,FALSE,TRUE
"","#cb1-5","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-5",TRUE,FALSE,FALSE,FALSE,TRUE
"","#cb1-6","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-6",TRUE,FALSE,FALSE,FALSE,TRUE
"","#cb1-7","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-7",TRUE,FALSE,FALSE,FALSE,TRUE
"","#cb1-8","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-8",TRUE,FALSE,FALSE,FALSE,TRUE
"","#cb1-9","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-9",TRUE,FALSE,FALSE,FALSE,TRUE
"","#cb1-10","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-10",TRUE,FALSE,FALSE,FALSE,TRUE
"","#cb1-11","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-11",TRUE,FALSE,FALSE,FALSE,TRUE
"","#cb1-12","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"cb1-12",TRUE,FALSE,FALSE,FALSE,TRUE
