site,activity_order,activity_flag,activity_code,activity_label,adapted_five_level,n_true,n_false,n_missing,n_true_in_exact_one_hours,n_true_in_multilabel_hours,n_participants_true,n_participant_days_true,n_local_clock_hours_true
RISE,1,act_sleep,sleep,Sleeping in bed,sleep,1026,1855,1,946,80,17,133,20
RISE,2,act_home,home,Awake at home,home,984,1897,1,811,173,17,132,22
RISE,3,act_road_vehicle,road_vehicle,On the road with public transport/car,road_vehicle,192,2689,1,82,110,16,80,20
RISE,4,act_road_open,road_open,On the road with bike/on foot,outdoor,80,2801,1,28,52,13,47,16
RISE,5,act_working_indoor,working_indoor,Working in the office/from home,working_indoor,623,2258,1,537,86,17,90,17
RISE,6,act_working_outdoor,working_outdoor,Working outdoors (including lunch break outdoors),outdoor,48,2833,1,15,33,9,23,11
RISE,7,act_free_outdoor,free_outdoor,Free time outdoors,outdoor,158,2723,1,100,58,16,43,16
RISE,8,act_other,other,Other,,85,2796,1,68,17,11,32,15
THUAS,1,act_sleep,sleep,Sleeping in bed,sleep,822,2068,0,766,56,15,108,18
THUAS,2,act_home,home,Awake at home,home,789,2101,0,668,121,15,118,24
THUAS,3,act_road_vehicle,road_vehicle,On the road with public transport/car,road_vehicle,118,2772,0,60,58,14,57,19
THUAS,4,act_road_open,road_open,On the road with bike/on foot,outdoor,175,2715,0,48,127,13,69,17
THUAS,5,act_working_indoor,working_indoor,Working in the office/from home,working_indoor,579,2311,0,502,77,15,89,18
THUAS,6,act_working_outdoor,working_outdoor,Working outdoors (including lunch break outdoors),outdoor,22,2868,0,16,6,7,9,12
THUAS,7,act_free_outdoor,free_outdoor,Free time outdoors,outdoor,101,2789,0,62,39,14,35,14
THUAS,8,act_other,other,Other,,111,2779,0,89,22,12,37,18
TUM,1,act_sleep,sleep,Sleeping in bed,sleep,581,1099,0,579,2,10,70,19
TUM,2,act_home,home,Awake at home,home,599,1081,0,591,8,10,68,24
TUM,3,act_road_vehicle,road_vehicle,On the road with public transport/car,road_vehicle,84,1596,0,81,3,10,38,19
TUM,4,act_road_open,road_open,On the road with bike/on foot,outdoor,48,1632,0,36,12,8,26,12
TUM,5,act_working_indoor,working_indoor,Working in the office/from home,working_indoor,292,1388,0,288,4,10,47,22
TUM,6,act_working_outdoor,working_outdoor,Working outdoors (including lunch break outdoors),outdoor,2,1678,0,2,0,1,2,2
TUM,7,act_free_outdoor,free_outdoor,Free time outdoors,outdoor,56,1624,0,55,1,9,24,11
TUM,8,act_other,other,Other,,33,1647,0,33,0,8,21,13
UCR,1,act_sleep,sleep,Sleeping in bed,sleep,1930,4236,5,1885,45,39,265,23
UCR,2,act_home,home,Awake at home,home,1734,4432,5,1534,200,39,261,24
UCR,3,act_road_vehicle,road_vehicle,On the road with public transport/car,road_vehicle,401,5765,5,283,118,37,163,21
UCR,4,act_road_open,road_open,On the road with bike/on foot,outdoor,79,6087,5,51,28,21,47,16
UCR,5,act_working_indoor,working_indoor,Working in the office/from home,working_indoor,1633,4533,5,1495,138,39,212,24
UCR,6,act_working_outdoor,working_outdoor,Working outdoors (including lunch break outdoors),outdoor,84,6082,5,70,14,14,22,15
UCR,7,act_free_outdoor,free_outdoor,Free time outdoors,outdoor,192,5974,5,154,38,34,83,19
UCR,8,act_other,other,Other,,442,5724,5,371,71,34,133,21
