site,activity_pattern,activity_cardinality,n_activity_true,n_activity_missing,n_intervals,n_participants,n_participant_days,n_local_clock_hours
FUSPCEU,home+working_indoor,multiple_selected,2,0,2,2,2,2
FUSPCEU,road_open+working_outdoor,multiple_selected,2,0,2,1,1,2
FUSPCEU,road_vehicle+other,multiple_selected,2,0,2,1,2,2
FUSPCEU,sleep+road_open,multiple_selected,2,0,2,1,1,2
FUSPCEU,working_indoor+other,multiple_selected,2,0,2,1,1,2
FUSPCEU,home+road_open+other,multiple_selected,3,0,1,1,1,1
FUSPCEU,home+road_vehicle+road_open,multiple_selected,3,0,1,1,1,1
FUSPCEU,sleep+free_outdoor,multiple_selected,2,0,1,1,1,1
FUSPCEU,sleep+home+road_open,multiple_selected,3,0,1,1,1,1
IZTECH,<all flags missing>,all_flags_missing,0,8,20,1,1,20
IZTECH,sleep,exactly_one_selected,1,0,905,16,119,21
IZTECH,home,exactly_one_selected,1,0,789,16,121,24
IZTECH,working_indoor,exactly_one_selected,1,0,596,16,107,24
IZTECH,other,exactly_one_selected,1,0,68,11,32,17
IZTECH,road_vehicle,exactly_one_selected,1,0,66,13,36,20
IZTECH,road_open,exactly_one_selected,1,0,51,10,33,17
IZTECH,free_outdoor,exactly_one_selected,1,0,41,9,21,15
IZTECH,working_outdoor,exactly_one_selected,1,0,14,5,8,8
IZTECH,sleep+home,multiple_selected,2,0,65,11,47,14
IZTECH,home+road_open,multiple_selected,2,0,20,8,17,12
IZTECH,road_open+working_indoor,multiple_selected,2,0,18,9,15,13
IZTECH,road_vehicle+road_open,multiple_selected,2,0,14,5,10,9
IZTECH,home+road_vehicle,multiple_selected,2,0,13,5,11,7
IZTECH,road_vehicle+working_indoor,multiple_selected,2,0,10,5,8,9
IZTECH,working_indoor+free_outdoor,multiple_selected,2,0,7,5,6,5
IZTECH,home+working_indoor,multiple_selected,2,0,6,4,4,6
IZTECH,road_open+other,multiple_selected,2,0,6,4,6,5
IZTECH,working_indoor+working_outdoor,multiple_selected,2,0,6,1,3,4
IZTECH,road_vehicle+road_open+working_indoor,multiple_selected,3,0,5,2,5,3
IZTECH,free_outdoor+other,multiple_selected,2,0,3,2,3,2
IZTECH,home+road_open+working_indoor,multiple_selected,3,0,3,1,3,2
IZTECH,home+road_vehicle+road_open,multiple_selected,3,0,3,1,2,3
IZTECH,road_vehicle+free_outdoor,multiple_selected,2,0,3,3,3,3
IZTECH,road_vehicle+road_open+other,multiple_selected,3,0,3,2,3,2
IZTECH,working_indoor+other,multiple_selected,2,0,3,3,3,3
IZTECH,home+free_outdoor,multiple_selected,2,0,2,2,2,2
IZTECH,home+road_vehicle+free_outdoor,multiple_selected,3,0,2,2,2,1
IZTECH,road_open+working_indoor+other,multiple_selected,3,0,2,1,2,2
IZTECH,road_vehicle+working_indoor+free_outdoor,multiple_selected,3,0,2,2,2,1
IZTECH,sleep+working_indoor,multiple_selected,2,0,2,2,2,2
IZTECH,home+road_vehicle+road_open+other,multiple_selected,4,0,1,1,1,1
IZTECH,home+road_vehicle+working_indoor,multiple_selected,3,0,1,1,1,1
IZTECH,road_open+free_outdoor,multiple_selected,2,0,1,1,1,1
IZTECH,road_vehicle+other,multiple_selected,2,0,1,1,1,1
IZTECH,road_vehicle+road_open+free_outdoor,multiple_selected,3,0,1,1,1,1
IZTECH,sleep+road_vehicle,multiple_selected,2,0,1,1,1,1
KNUST,sleep,exactly_one_selected,1,0,881,15,105,24
KNUST,home,exactly_one_selected,1,0,682,15,104,24
KNUST,working_indoor,exactly_one_selected,1,0,521,14,83,18
KNUST,road_open,exactly_one_selected,1,0,148,14,68,18
KNUST,road_vehicle,exactly_one_selected,1,0,95,13,48,15
KNUST,free_outdoor,exactly_one_selected,1,0,84,13,36,16
KNUST,working_outdoor,exactly_one_selected,1,0,72,11,27,13
KNUST,other,exactly_one_selected,1,0,37,4,6,14
MPI,<all flags missing>,all_flags_missing,0,8,2032,13,102,24
MPI,sleep,exactly_one_selected,1,0,665,13,89,20
MPI,home,exactly_one_selected,1,0,601,13,91,24
MPI,working_indoor,exactly_one_selected,1,0,555,13,81,22
MPI,other,exactly_one_selected,1,0,78,11,38,18
MPI,free_outdoor,exactly_one_selected,1,0,59,10,24,16
MPI,road_vehicle,exactly_one_selected,1,0,57,9,33,16
MPI,road_open,exactly_one_selected,1,0,49,9,28,15
MPI,working_outdoor,exactly_one_selected,1,0,15,6,13,5
MPI,sleep+home,multiple_selected,2,0,17,4,14,7
MPI,home+road_vehicle,multiple_selected,2,0,10,2,9,4
MPI,road_open+working_indoor,multiple_selected,2,0,6,2,6,4
MPI,road_vehicle+working_indoor,multiple_selected,2,0,6,2,3,6
MPI,road_open+other,multiple_selected,2,0,4,2,3,4
MPI,road_open+free_outdoor,multiple_selected,2,0,3,1,1,3
MPI,road_vehicle+road_open,multiple_selected,2,0,3,2,2,2
MPI,home+road_open,multiple_selected,2,0,1,1,1,1
RISE,<all flags missing>,all_flags_missing,0,8,1,1,1,1
RISE,sleep,exactly_one_selected,1,0,946,17,132,19
RISE,home,exactly_one_selected,1,0,811,17,128,22
RISE,working_indoor,exactly_one_selected,1,0,537,17,87,16
RISE,free_outdoor,exactly_one_selected,1,0,100,13,32,15
RISE,road_vehicle,exactly_one_selected,1,0,82,15,46,16
RISE,other,exactly_one_selected,1,0,68,11,26,15
RISE,road_open,exactly_one_selected,1,0,28,6,19,9
RISE,working_outdoor,exactly_one_selected,1,0,15,5,8,9
RISE,sleep+home,multiple_selected,2,0,67,11,52,13
RISE,home+road_vehicle,multiple_selected,2,0,33,12,24,17
RISE,road_vehicle+working_indoor,multiple_selected,2,0,33,10,28,11
RISE,home+free_outdoor,multiple_selected,2,0,30,10,20,13
RISE,working_indoor+working_outdoor,multiple_selected,2,0,16,6,12,4
RISE,road_open+working_indoor,multiple_selected,2,0,15,4,11,10
RISE,home+road_open,multiple_selected,2,0,14,8,11,10
RISE,home+working_indoor,multiple_selected,2,0,10,7,10,8
RISE,road_vehicle+free_outdoor,multiple_selected,2,0,8,2,5,7
RISE,sleep+home+road_vehicle,multiple_selected,3,0,7,1,7,2
RISE,road_vehicle+working_outdoor,multiple_selected,2,0,6,2,3,5
RISE,sleep+road_vehicle,multiple_selected,2,0,6,2,6,2
RISE,road_open+other,multiple_selected,2,0,5,1,3,5
RISE,road_vehicle+road_open,multiple_selected,2,0,5,2,2,5
RISE,road_vehicle+road_open+working_indoor,multiple_selected,3,0,5,1,3,4
RISE,working_outdoor+free_outdoor,multiple_selected,2,0,5,1,3,4
RISE,home+other,multiple_selected,2,0,4,3,3,4
RISE,free_outdoor+other,multiple_selected,2,0,3,1,3,3
RISE,home+road_vehicle+road_open,multiple_selected,3,0,3,1,2,2
RISE,home+working_outdoor,multiple_selected,2,0,3,2,3,2
RISE,road_open+free_outdoor,multiple_selected,2,0,3,3,3,3
RISE,working_indoor+free_outdoor,multiple_selected,2,0,3,2,2,2
RISE,road_vehicle+free_outdoor+other,multiple_selected,3,0,2,1,1,2
RISE,road_vehicle+other,multiple_selected,2,0,2,2,2,2
RISE,working_indoor+working_outdoor+free_outdoor,multiple_selected,3,0,2,1,1,2
RISE,home+road_open+free_outdoor,multiple_selected,3,0,1,1,1,1
RISE,home+working_indoor+free_outdoor,multiple_selected,3,0,1,1,1,1
RISE,road_open+working_outdoor,multiple_selected,2,0,1,1,1,1
RISE,working_indoor+other,multiple_selected,2,0,1,1,1,1
THUAS,<zero selected>,observed_zero_selected,0,0,429,12,43,24
THUAS,sleep,exactly_one_selected,1,0,766,14,107,17
THUAS,home,exactly_one_selected,1,0,668,15,114,24
THUAS,working_indoor,exactly_one_selected,1,0,502,15,87,17
THUAS,other,exactly_one_selected,1,0,89,12,33,17
THUAS,free_outdoor,exactly_one_selected,1,0,62,13,28,13
THUAS,road_vehicle,exactly_one_selected,1,0,60,12,33,17
THUAS,road_open,exactly_one_selected,1,0,48,9,28,14
THUAS,working_outdoor,exactly_one_selected,1,0,16,4,4,12
THUAS,sleep+home,multiple_selected,2,0,54,10,38,14
THUAS,road_open+working_indoor,multiple_selected,2,0,44,9,26,12
THUAS,home+road_open,multiple_selected,2,0,30,9,22,14
THUAS,road_open+free_outdoor,multiple_selected,2,0,20,3,5,14
THUAS,road_vehicle+road_open,multiple_selected,2,0,17,6,11,7
THUAS,home+road_vehicle,multiple_selected,2,0,12,6,10,7
THUAS,road_vehicle+working_indoor,multiple_selected,2,0,12,3,7,5
THUAS,home+free_outdoor,multiple_selected,2,0,11,7,10,7
THUAS,road_open+other,multiple_selected,2,0,10,4,9,6
THUAS,home+working_indoor,multiple_selected,2,0,9,6,7,5
THUAS,road_vehicle+other,multiple_selected,2,0,8,3,5,6
THUAS,working_indoor+working_outdoor,multiple_selected,2,0,5,2,4,3
THUAS,road_vehicle+free_outdoor,multiple_selected,2,0,3,2,2,2
THUAS,road_vehicle+road_open+working_indoor,multiple_selected,3,0,3,3,3,2
THUAS,working_indoor+free_outdoor,multiple_selected,2,0,3,2,2,3
THUAS,home+other,multiple_selected,2,0,2,1,1,2
THUAS,home+road_vehicle+road_open,multiple_selected,3,0,2,2,2,1
THUAS,free_outdoor+other,multiple_selected,2,0,1,1,1,1
THUAS,home+working_outdoor,multiple_selected,2,0,1,1,1,1
THUAS,road_vehicle+road_open+free_outdoor,multiple_selected,3,0,1,1,1,1
THUAS,sleep+other,multiple_selected,2,0,1,1,1,1
THUAS,sleep+working_indoor,multiple_selected,2,0,1,1,1,1
TUM,home,exactly_one_selected,1,0,591,10,68,24
TUM,sleep,exactly_one_selected,1,0,579,10,70,19
TUM,working_indoor,exactly_one_selected,1,0,288,10,47,22
TUM,road_vehicle,exactly_one_selected,1,0,81,9,36,19
TUM,free_outdoor,exactly_one_selected,1,0,55,9,23,11
TUM,road_open,exactly_one_selected,1,0,36,8,21,12
TUM,other,exactly_one_selected,1,0,33,8,21,13
TUM,working_outdoor,exactly_one_selected,1,0,2,1,2,2
TUM,home+road_open,multiple_selected,2,0,5,2,3,4
TUM,road_open+working_indoor,multiple_selected,2,0,4,1,1,4
TUM,road_vehicle+road_open,multiple_selected,2,0,3,2,3,3
TUM,sleep+home,multiple_selected,2,0,2,1,1,2
TUM,home+free_outdoor,multiple_selected,2,0,1,1,1,1
UCR,<all flags missing>,all_flags_missing,0,8,5,3,3,4
UCR,sleep,exactly_one_selected,1,0,1885,39,265,21
UCR,home,exactly_one_selected,1,0,1534,39,253,24
UCR,working_indoor,exactly_one_selected,1,0,1495,39,202,24
UCR,other,exactly_one_selected,1,0,371,34,130,21
UCR,road_vehicle,exactly_one_selected,1,0,283,37,134,20
UCR,free_outdoor,exactly_one_selected,1,0,154,32,63,18
UCR,working_outdoor,exactly_one_selected,1,0,70,13,18,14
UCR,road_open,exactly_one_selected,1,0,51,18,33,12
UCR,home+working_indoor,multiple_selected,2,0,64,7,22,18
UCR,home+road_vehicle,multiple_selected,2,0,47,15,36,18
UCR,sleep+home,multiple_selected,2,0,43,16,35,16
UCR,road_vehicle+working_indoor,multiple_selected,2,0,28,14,23,13
UCR,home+other,multiple_selected,2,0,22,8,15,15
UCR,road_vehicle+other,multiple_selected,2,0,22,9,18,13
UCR,working_indoor+other,multiple_selected,2,0,14,4,9,11
UCR,home+free_outdoor,multiple_selected,2,0,11,5,10,5
UCR,working_indoor+free_outdoor,multiple_selected,2,0,11,5,9,6
UCR,working_indoor+working_outdoor,multiple_selected,2,0,10,2,5,7
UCR,home+road_open,multiple_selected,2,0,8,3,6,4
UCR,road_vehicle+road_open,multiple_selected,2,0,8,3,6,4
UCR,road_vehicle+free_outdoor,multiple_selected,2,0,7,6,7,5
UCR,road_open+working_indoor,multiple_selected,2,0,6,4,5,5
UCR,road_open+other,multiple_selected,2,0,5,2,4,4
UCR,free_outdoor+other,multiple_selected,2,0,4,2,3,3
UCR,road_vehicle+working_outdoor,multiple_selected,2,0,4,2,3,3
UCR,home+free_outdoor+other,multiple_selected,3,0,2,1,2,2
UCR,home+working_indoor+free_outdoor,multiple_selected,3,0,2,1,1,2
UCR,home+road_vehicle+working_indoor,multiple_selected,3,0,1,1,1,1
UCR,road_open+free_outdoor,multiple_selected,2,0,1,1,1,1
UCR,road_vehicle+working_indoor+other,multiple_selected,3,0,1,1,1,1
UCR,sleep+other,multiple_selected,2,0,1,1,1,1
UCR,sleep+working_indoor,multiple_selected,2,0,1,1,1,1
