site,category_code,local_clock_hour,n_intervals,n_participants,n_participant_days,category_order,category_label
THUAS,electric_indoor,1,8,3,8,1,Electric light source indoors
THUAS,electric_indoor,2,4,2,4,1,Electric light source indoors
THUAS,electric_indoor,3,2,2,2,1,Electric light source indoors
THUAS,electric_indoor,4,0,0,0,1,Electric light source indoors
THUAS,electric_indoor,5,1,1,1,1,Electric light source indoors
THUAS,electric_indoor,6,4,4,4,1,Electric light source indoors
THUAS,electric_indoor,7,23,6,23,1,Electric light source indoors
THUAS,electric_indoor,8,22,7,22,1,Electric light source indoors
THUAS,electric_indoor,9,31,11,31,1,Electric light source indoors
THUAS,electric_indoor,10,35,11,35,1,Electric light source indoors
THUAS,electric_indoor,11,34,10,34,1,Electric light source indoors
THUAS,electric_indoor,12,33,10,33,1,Electric light source indoors
THUAS,electric_indoor,13,39,11,39,1,Electric light source indoors
THUAS,electric_indoor,14,39,12,39,1,Electric light source indoors
THUAS,electric_indoor,15,35,13,35,1,Electric light source indoors
THUAS,electric_indoor,16,38,13,38,1,Electric light source indoors
THUAS,electric_indoor,17,35,10,35,1,Electric light source indoors
THUAS,electric_indoor,18,38,12,38,1,Electric light source indoors
THUAS,electric_indoor,19,48,12,48,1,Electric light source indoors
THUAS,electric_indoor,20,60,11,60,1,Electric light source indoors
THUAS,electric_indoor,21,60,14,60,1,Electric light source indoors
THUAS,electric_indoor,22,62,13,62,1,Electric light source indoors
THUAS,electric_indoor,23,37,12,37,1,Electric light source indoors
TUM,electric_indoor,0,28,8,28,1,Electric light source indoors
TUM,electric_indoor,1,9,5,9,1,Electric light source indoors
TUM,electric_indoor,2,6,3,6,1,Electric light source indoors
TUM,electric_indoor,3,5,2,5,1,Electric light source indoors
TUM,electric_indoor,4,2,2,2,1,Electric light source indoors
TUM,electric_indoor,5,0,0,0,1,Electric light source indoors
TUM,electric_indoor,6,1,1,1,1,Electric light source indoors
TUM,electric_indoor,7,4,3,4,1,Electric light source indoors
TUM,electric_indoor,8,10,5,10,1,Electric light source indoors
TUM,electric_indoor,9,12,4,12,1,Electric light source indoors
TUM,electric_indoor,10,12,5,12,1,Electric light source indoors
TUM,electric_indoor,11,14,5,14,1,Electric light source indoors
TUM,electric_indoor,12,11,4,11,1,Electric light source indoors
TUM,electric_indoor,13,14,4,14,1,Electric light source indoors
TUM,electric_indoor,14,13,5,13,1,Electric light source indoors
TUM,electric_indoor,15,13,5,13,1,Electric light source indoors
TUM,electric_indoor,16,16,8,16,1,Electric light source indoors
TUM,electric_indoor,17,19,8,19,1,Electric light source indoors
TUM,electric_indoor,18,23,9,23,1,Electric light source indoors
TUM,electric_indoor,19,26,9,26,1,Electric light source indoors
TUM,electric_indoor,20,43,10,43,1,Electric light source indoors
TUM,electric_indoor,21,51,10,51,1,Electric light source indoors
TUM,electric_indoor,22,51,10,51,1,Electric light source indoors
TUM,electric_indoor,23,47,10,47,1,Electric light source indoors
UCR,electric_indoor,0,26,12,26,1,Electric light source indoors
UCR,electric_indoor,1,11,7,11,1,Electric light source indoors
UCR,electric_indoor,2,5,5,5,1,Electric light source indoors
UCR,electric_indoor,3,4,4,4,1,Electric light source indoors
UCR,electric_indoor,4,12,7,12,1,Electric light source indoors
UCR,electric_indoor,5,23,11,23,1,Electric light source indoors
UCR,electric_indoor,6,18,8,18,1,Electric light source indoors
UCR,electric_indoor,7,30,13,30,1,Electric light source indoors
UCR,electric_indoor,8,39,20,39,1,Electric light source indoors
UCR,electric_indoor,9,49,23,49,1,Electric light source indoors
UCR,electric_indoor,10,57,25,57,1,Electric light source indoors
UCR,electric_indoor,11,64,27,64,1,Electric light source indoors
UCR,electric_indoor,12,60,25,60,1,Electric light source indoors
UCR,electric_indoor,13,69,28,69,1,Electric light source indoors
UCR,electric_indoor,14,87,34,87,1,Electric light source indoors
UCR,electric_indoor,15,90,33,90,1,Electric light source indoors
UCR,electric_indoor,16,92,32,92,1,Electric light source indoors
UCR,electric_indoor,17,134,37,134,1,Electric light source indoors
UCR,electric_indoor,18,187,39,187,1,Electric light source indoors
UCR,electric_indoor,19,206,39,206,1,Electric light source indoors
UCR,electric_indoor,20,212,39,212,1,Electric light source indoors
UCR,electric_indoor,21,199,39,199,1,Electric light source indoors
UCR,electric_indoor,22,129,37,129,1,Electric light source indoors
UCR,electric_indoor,23,66,24,66,1,Electric light source indoors
BAUA,electric_outdoor,0,1,1,1,2,Electric light source outdoors
BAUA,electric_outdoor,1,0,0,0,2,Electric light source outdoors
BAUA,electric_outdoor,2,0,0,0,2,Electric light source outdoors
BAUA,electric_outdoor,3,0,0,0,2,Electric light source outdoors
BAUA,electric_outdoor,4,0,0,0,2,Electric light source outdoors
BAUA,electric_outdoor,5,0,0,0,2,Electric light source outdoors
BAUA,electric_outdoor,6,0,0,0,2,Electric light source outdoors
BAUA,electric_outdoor,7,0,0,0,2,Electric light source outdoors
BAUA,electric_outdoor,8,0,0,0,2,Electric light source outdoors
BAUA,electric_outdoor,9,0,0,0,2,Electric light source outdoors
BAUA,electric_outdoor,10,0,0,0,2,Electric light source outdoors
BAUA,electric_outdoor,11,0,0,0,2,Electric light source outdoors
BAUA,electric_outdoor,12,0,0,0,2,Electric light source outdoors
BAUA,electric_outdoor,13,1,1,1,2,Electric light source outdoors
BAUA,electric_outdoor,14,2,2,2,2,Electric light source outdoors
BAUA,electric_outdoor,15,0,0,0,2,Electric light source outdoors
BAUA,electric_outdoor,16,0,0,0,2,Electric light source outdoors
BAUA,electric_outdoor,17,0,0,0,2,Electric light source outdoors
BAUA,electric_outdoor,18,0,0,0,2,Electric light source outdoors
BAUA,electric_outdoor,19,0,0,0,2,Electric light source outdoors
BAUA,electric_outdoor,20,0,0,0,2,Electric light source outdoors
BAUA,electric_outdoor,21,0,0,0,2,Electric light source outdoors
BAUA,electric_outdoor,22,0,0,0,2,Electric light source outdoors
BAUA,electric_outdoor,23,0,0,0,2,Electric light source outdoors
FUSPCEU,electric_outdoor,0,0,0,0,2,Electric light source outdoors
FUSPCEU,electric_outdoor,1,1,1,1,2,Electric light source outdoors
FUSPCEU,electric_outdoor,2,0,0,0,2,Electric light source outdoors
FUSPCEU,electric_outdoor,3,0,0,0,2,Electric light source outdoors
FUSPCEU,electric_outdoor,4,0,0,0,2,Electric light source outdoors
FUSPCEU,electric_outdoor,5,0,0,0,2,Electric light source outdoors
FUSPCEU,electric_outdoor,6,0,0,0,2,Electric light source outdoors
FUSPCEU,electric_outdoor,7,5,2,5,2,Electric light source outdoors
FUSPCEU,electric_outdoor,8,1,1,1,2,Electric light source outdoors
FUSPCEU,electric_outdoor,9,0,0,0,2,Electric light source outdoors
FUSPCEU,electric_outdoor,10,0,0,0,2,Electric light source outdoors
FUSPCEU,electric_outdoor,11,0,0,0,2,Electric light source outdoors
FUSPCEU,electric_outdoor,12,0,0,0,2,Electric light source outdoors
FUSPCEU,electric_outdoor,13,0,0,0,2,Electric light source outdoors
FUSPCEU,electric_outdoor,14,1,1,1,2,Electric light source outdoors
FUSPCEU,electric_outdoor,15,0,0,0,2,Electric light source outdoors
FUSPCEU,electric_outdoor,16,0,0,0,2,Electric light source outdoors
FUSPCEU,electric_outdoor,17,1,1,1,2,Electric light source outdoors
FUSPCEU,electric_outdoor,18,5,4,5,2,Electric light source outdoors
FUSPCEU,electric_outdoor,19,15,7,15,2,Electric light source outdoors
FUSPCEU,electric_outdoor,20,13,8,13,2,Electric light source outdoors
FUSPCEU,electric_outdoor,21,3,3,3,2,Electric light source outdoors
FUSPCEU,electric_outdoor,22,5,2,5,2,Electric light source outdoors
FUSPCEU,electric_outdoor,23,1,1,1,2,Electric light source outdoors
IZTECH,electric_outdoor,0,5,3,5,2,Electric light source outdoors
IZTECH,electric_outdoor,1,5,2,5,2,Electric light source outdoors
IZTECH,electric_outdoor,2,3,2,3,2,Electric light source outdoors
IZTECH,electric_outdoor,3,1,1,1,2,Electric light source outdoors
IZTECH,electric_outdoor,4,1,1,1,2,Electric light source outdoors
IZTECH,electric_outdoor,5,0,0,0,2,Electric light source outdoors
IZTECH,electric_outdoor,6,0,0,0,2,Electric light source outdoors
IZTECH,electric_outdoor,7,0,0,0,2,Electric light source outdoors
IZTECH,electric_outdoor,8,1,1,1,2,Electric light source outdoors
IZTECH,electric_outdoor,9,2,1,2,2,Electric light source outdoors
IZTECH,electric_outdoor,10,2,1,2,2,Electric light source outdoors
IZTECH,electric_outdoor,11,2,1,2,2,Electric light source outdoors
IZTECH,electric_outdoor,12,1,1,1,2,Electric light source outdoors
IZTECH,electric_outdoor,13,1,1,1,2,Electric light source outdoors
IZTECH,electric_outdoor,14,1,1,1,2,Electric light source outdoors
IZTECH,electric_outdoor,15,1,1,1,2,Electric light source outdoors
IZTECH,electric_outdoor,16,0,0,0,2,Electric light source outdoors
IZTECH,electric_outdoor,17,0,0,0,2,Electric light source outdoors
IZTECH,electric_outdoor,18,1,1,1,2,Electric light source outdoors
IZTECH,electric_outdoor,19,3,2,3,2,Electric light source outdoors
IZTECH,electric_outdoor,20,2,2,2,2,Electric light source outdoors
IZTECH,electric_outdoor,21,3,3,3,2,Electric light source outdoors
IZTECH,electric_outdoor,22,5,4,5,2,Electric light source outdoors
IZTECH,electric_outdoor,23,5,3,5,2,Electric light source outdoors
KNUST,electric_outdoor,0,0,0,0,2,Electric light source outdoors
KNUST,electric_outdoor,1,0,0,0,2,Electric light source outdoors
KNUST,electric_outdoor,2,0,0,0,2,Electric light source outdoors
KNUST,electric_outdoor,3,0,0,0,2,Electric light source outdoors
KNUST,electric_outdoor,4,0,0,0,2,Electric light source outdoors
KNUST,electric_outdoor,5,0,0,0,2,Electric light source outdoors
KNUST,electric_outdoor,6,1,1,1,2,Electric light source outdoors
KNUST,electric_outdoor,7,1,1,1,2,Electric light source outdoors
KNUST,electric_outdoor,8,4,2,4,2,Electric light source outdoors
KNUST,electric_outdoor,9,1,1,1,2,Electric light source outdoors
KNUST,electric_outdoor,10,1,1,1,2,Electric light source outdoors
KNUST,electric_outdoor,11,1,1,1,2,Electric light source outdoors
KNUST,electric_outdoor,12,0,0,0,2,Electric light source outdoors
KNUST,electric_outdoor,13,0,0,0,2,Electric light source outdoors
KNUST,electric_outdoor,14,2,1,2,2,Electric light source outdoors
KNUST,electric_outdoor,15,1,1,1,2,Electric light source outdoors
KNUST,electric_outdoor,16,2,2,2,2,Electric light source outdoors
KNUST,electric_outdoor,17,4,4,4,2,Electric light source outdoors
KNUST,electric_outdoor,18,22,12,22,2,Electric light source outdoors
KNUST,electric_outdoor,19,24,11,24,2,Electric light source outdoors
KNUST,electric_outdoor,20,13,9,13,2,Electric light source outdoors
KNUST,electric_outdoor,21,4,3,4,2,Electric light source outdoors
KNUST,electric_outdoor,22,2,1,2,2,Electric light source outdoors
KNUST,electric_outdoor,23,1,1,1,2,Electric light source outdoors
MPI,electric_outdoor,0,2,2,2,2,Electric light source outdoors
MPI,electric_outdoor,1,0,0,0,2,Electric light source outdoors
MPI,electric_outdoor,2,0,0,0,2,Electric light source outdoors
MPI,electric_outdoor,3,0,0,0,2,Electric light source outdoors
MPI,electric_outdoor,4,0,0,0,2,Electric light source outdoors
MPI,electric_outdoor,5,0,0,0,2,Electric light source outdoors
MPI,electric_outdoor,6,0,0,0,2,Electric light source outdoors
MPI,electric_outdoor,7,0,0,0,2,Electric light source outdoors
MPI,electric_outdoor,8,0,0,0,2,Electric light source outdoors
MPI,electric_outdoor,9,1,1,1,2,Electric light source outdoors
MPI,electric_outdoor,10,1,1,1,2,Electric light source outdoors
MPI,electric_outdoor,11,1,1,1,2,Electric light source outdoors
MPI,electric_outdoor,12,1,1,1,2,Electric light source outdoors
MPI,electric_outdoor,13,0,0,0,2,Electric light source outdoors
MPI,electric_outdoor,14,0,0,0,2,Electric light source outdoors
MPI,electric_outdoor,15,0,0,0,2,Electric light source outdoors
MPI,electric_outdoor,16,0,0,0,2,Electric light source outdoors
MPI,electric_outdoor,17,3,3,3,2,Electric light source outdoors
MPI,electric_outdoor,18,11,8,11,2,Electric light source outdoors
MPI,electric_outdoor,19,10,7,10,2,Electric light source outdoors
MPI,electric_outdoor,20,9,6,9,2,Electric light source outdoors
MPI,electric_outdoor,21,8,8,8,2,Electric light source outdoors
MPI,electric_outdoor,22,5,4,5,2,Electric light source outdoors
MPI,electric_outdoor,23,3,3,3,2,Electric light source outdoors
RISE,electric_outdoor,0,0,0,0,2,Electric light source outdoors
RISE,electric_outdoor,1,0,0,0,2,Electric light source outdoors
RISE,electric_outdoor,2,0,0,0,2,Electric light source outdoors
RISE,electric_outdoor,3,0,0,0,2,Electric light source outdoors
RISE,electric_outdoor,4,0,0,0,2,Electric light source outdoors
RISE,electric_outdoor,5,0,0,0,2,Electric light source outdoors
RISE,electric_outdoor,6,0,0,0,2,Electric light source outdoors
RISE,electric_outdoor,7,0,0,0,2,Electric light source outdoors
RISE,electric_outdoor,8,0,0,0,2,Electric light source outdoors
RISE,electric_outdoor,9,0,0,0,2,Electric light source outdoors
RISE,electric_outdoor,10,0,0,0,2,Electric light source outdoors
RISE,electric_outdoor,11,0,0,0,2,Electric light source outdoors
RISE,electric_outdoor,12,0,0,0,2,Electric light source outdoors
RISE,electric_outdoor,13,0,0,0,2,Electric light source outdoors
RISE,electric_outdoor,14,0,0,0,2,Electric light source outdoors
RISE,electric_outdoor,15,0,0,0,2,Electric light source outdoors
RISE,electric_outdoor,16,0,0,0,2,Electric light source outdoors
RISE,electric_outdoor,17,1,1,1,2,Electric light source outdoors
RISE,electric_outdoor,18,2,1,2,2,Electric light source outdoors
RISE,electric_outdoor,19,1,1,1,2,Electric light source outdoors
RISE,electric_outdoor,20,1,1,1,2,Electric light source outdoors
RISE,electric_outdoor,21,1,1,1,2,Electric light source outdoors
RISE,electric_outdoor,22,1,1,1,2,Electric light source outdoors
RISE,electric_outdoor,23,1,1,1,2,Electric light source outdoors
THUAS,electric_outdoor,0,0,0,0,2,Electric light source outdoors
THUAS,electric_outdoor,1,1,1,1,2,Electric light source outdoors
THUAS,electric_outdoor,2,0,0,0,2,Electric light source outdoors
THUAS,electric_outdoor,3,0,0,0,2,Electric light source outdoors
THUAS,electric_outdoor,4,0,0,0,2,Electric light source outdoors
THUAS,electric_outdoor,5,1,1,1,2,Electric light source outdoors
THUAS,electric_outdoor,6,0,0,0,2,Electric light source outdoors
THUAS,electric_outdoor,7,0,0,0,2,Electric light source outdoors
THUAS,electric_outdoor,8,1,1,1,2,Electric light source outdoors
THUAS,electric_outdoor,9,1,1,1,2,Electric light source outdoors
THUAS,electric_outdoor,10,0,0,0,2,Electric light source outdoors
THUAS,electric_outdoor,11,0,0,0,2,Electric light source outdoors
THUAS,electric_outdoor,12,0,0,0,2,Electric light source outdoors
THUAS,electric_outdoor,13,0,0,0,2,Electric light source outdoors
THUAS,electric_outdoor,14,0,0,0,2,Electric light source outdoors
THUAS,electric_outdoor,15,0,0,0,2,Electric light source outdoors
THUAS,electric_outdoor,16,0,0,0,2,Electric light source outdoors
THUAS,electric_outdoor,17,0,0,0,2,Electric light source outdoors
THUAS,electric_outdoor,18,3,3,3,2,Electric light source outdoors
THUAS,electric_outdoor,19,2,2,2,2,Electric light source outdoors
THUAS,electric_outdoor,20,4,4,4,2,Electric light source outdoors
THUAS,electric_outdoor,21,5,5,5,2,Electric light source outdoors
THUAS,electric_outdoor,22,3,3,3,2,Electric light source outdoors
THUAS,electric_outdoor,23,2,2,2,2,Electric light source outdoors
TUM,electric_outdoor,0,0,0,0,2,Electric light source outdoors
TUM,electric_outdoor,1,0,0,0,2,Electric light source outdoors
TUM,electric_outdoor,2,0,0,0,2,Electric light source outdoors
TUM,electric_outdoor,3,0,0,0,2,Electric light source outdoors
TUM,electric_outdoor,4,0,0,0,2,Electric light source outdoors
TUM,electric_outdoor,5,0,0,0,2,Electric light source outdoors
TUM,electric_outdoor,6,0,0,0,2,Electric light source outdoors
TUM,electric_outdoor,7,0,0,0,2,Electric light source outdoors
TUM,electric_outdoor,8,0,0,0,2,Electric light source outdoors
TUM,electric_outdoor,9,0,0,0,2,Electric light source outdoors
TUM,electric_outdoor,10,0,0,0,2,Electric light source outdoors
TUM,electric_outdoor,11,0,0,0,2,Electric light source outdoors
TUM,electric_outdoor,12,0,0,0,2,Electric light source outdoors
TUM,electric_outdoor,13,0,0,0,2,Electric light source outdoors
TUM,electric_outdoor,14,0,0,0,2,Electric light source outdoors
TUM,electric_outdoor,15,0,0,0,2,Electric light source outdoors
TUM,electric_outdoor,16,1,1,1,2,Electric light source outdoors
TUM,electric_outdoor,17,0,0,0,2,Electric light source outdoors
TUM,electric_outdoor,18,0,0,0,2,Electric light source outdoors
TUM,electric_outdoor,19,0,0,0,2,Electric light source outdoors
TUM,electric_outdoor,20,1,1,1,2,Electric light source outdoors
TUM,electric_outdoor,21,4,2,4,2,Electric light source outdoors
TUM,electric_outdoor,22,2,2,2,2,Electric light source outdoors
TUM,electric_outdoor,23,2,2,2,2,Electric light source outdoors
UCR,electric_outdoor,0,1,1,1,2,Electric light source outdoors
UCR,electric_outdoor,1,0,0,0,2,Electric light source outdoors
UCR,electric_outdoor,2,0,0,0,2,Electric light source outdoors
UCR,electric_outdoor,3,0,0,0,2,Electric light source outdoors
UCR,electric_outdoor,4,0,0,0,2,Electric light source outdoors
UCR,electric_outdoor,5,1,1,1,2,Electric light source outdoors
UCR,electric_outdoor,6,0,0,0,2,Electric light source outdoors
UCR,electric_outdoor,7,0,0,0,2,Electric light source outdoors
UCR,electric_outdoor,8,0,0,0,2,Electric light source outdoors
UCR,electric_outdoor,9,0,0,0,2,Electric light source outdoors
UCR,electric_outdoor,10,0,0,0,2,Electric light source outdoors
UCR,electric_outdoor,11,0,0,0,2,Electric light source outdoors
UCR,electric_outdoor,12,0,0,0,2,Electric light source outdoors
UCR,electric_outdoor,13,0,0,0,2,Electric light source outdoors
UCR,electric_outdoor,14,0,0,0,2,Electric light source outdoors
UCR,electric_outdoor,15,0,0,0,2,Electric light source outdoors
UCR,electric_outdoor,16,0,0,0,2,Electric light source outdoors
UCR,electric_outdoor,17,3,3,3,2,Electric light source outdoors
UCR,electric_outdoor,18,19,12,19,2,Electric light source outdoors
UCR,electric_outdoor,19,20,12,20,2,Electric light source outdoors
UCR,electric_outdoor,20,10,6,10,2,Electric light source outdoors
UCR,electric_outdoor,21,5,5,5,2,Electric light source outdoors
UCR,electric_outdoor,22,5,4,5,2,Electric light source outdoors
UCR,electric_outdoor,23,2,2,2,2,Electric light source outdoors
BAUA,daylight_indoor,0,0,0,0,3,Daylight indoors
BAUA,daylight_indoor,1,0,0,0,3,Daylight indoors
BAUA,daylight_indoor,2,0,0,0,3,Daylight indoors
