site,local_clock_hour,activity_cardinality,n_intervals,n_participants,n_participant_days
ALL,22,exactly_one_selected,1101,169,1101
ALL,22,multiple_selected,56,29,56
ALL,23,all_flags_missing,97,15,97
ALL,23,partially_missing_flags,0,0,0
ALL,23,observed_zero_selected,20,10,20
ALL,23,exactly_one_selected,1108,168,1108
ALL,23,multiple_selected,44,28,44
BAUA,0,all_flags_missing,0,0,0
BAUA,0,partially_missing_flags,0,0,0
BAUA,0,observed_zero_selected,0,0,0
BAUA,0,exactly_one_selected,138,21,138
BAUA,0,multiple_selected,3,2,3
BAUA,1,all_flags_missing,0,0,0
BAUA,1,partially_missing_flags,0,0,0
BAUA,1,observed_zero_selected,0,0,0
BAUA,1,exactly_one_selected,141,21,141
BAUA,1,multiple_selected,0,0,0
BAUA,2,all_flags_missing,0,0,0
BAUA,2,partially_missing_flags,0,0,0
BAUA,2,observed_zero_selected,0,0,0
BAUA,2,exactly_one_selected,141,21,141
BAUA,2,multiple_selected,0,0,0
BAUA,3,all_flags_missing,0,0,0
BAUA,3,partially_missing_flags,0,0,0
BAUA,3,observed_zero_selected,0,0,0
BAUA,3,exactly_one_selected,141,21,141
BAUA,3,multiple_selected,0,0,0
BAUA,4,all_flags_missing,0,0,0
BAUA,4,partially_missing_flags,0,0,0
BAUA,4,observed_zero_selected,0,0,0
BAUA,4,exactly_one_selected,142,21,142
BAUA,4,multiple_selected,2,2,2
BAUA,5,all_flags_missing,0,0,0
BAUA,5,partially_missing_flags,0,0,0
BAUA,5,observed_zero_selected,0,0,0
BAUA,5,exactly_one_selected,140,21,140
BAUA,5,multiple_selected,5,3,5
BAUA,6,all_flags_missing,0,0,0
BAUA,6,partially_missing_flags,0,0,0
BAUA,6,observed_zero_selected,0,0,0
BAUA,6,exactly_one_selected,145,22,145
BAUA,6,multiple_selected,3,2,3
BAUA,7,all_flags_missing,0,0,0
BAUA,7,partially_missing_flags,0,0,0
BAUA,7,observed_zero_selected,0,0,0
BAUA,7,exactly_one_selected,132,22,132
BAUA,7,multiple_selected,18,8,18
BAUA,8,all_flags_missing,0,0,0
BAUA,8,partially_missing_flags,0,0,0
BAUA,8,observed_zero_selected,0,0,0
BAUA,8,exactly_one_selected,144,22,144
BAUA,8,multiple_selected,9,5,9
BAUA,9,all_flags_missing,0,0,0
BAUA,9,partially_missing_flags,0,0,0
BAUA,9,observed_zero_selected,0,0,0
BAUA,9,exactly_one_selected,145,22,145
BAUA,9,multiple_selected,7,5,7
BAUA,10,all_flags_missing,0,0,0
BAUA,10,partially_missing_flags,0,0,0
BAUA,10,observed_zero_selected,0,0,0
BAUA,10,exactly_one_selected,140,22,140
BAUA,10,multiple_selected,10,8,10
BAUA,11,all_flags_missing,0,0,0
BAUA,11,partially_missing_flags,0,0,0
BAUA,11,observed_zero_selected,0,0,0
BAUA,11,exactly_one_selected,146,22,146
BAUA,11,multiple_selected,4,4,4
BAUA,12,all_flags_missing,1,1,1
BAUA,12,partially_missing_flags,0,0,0
BAUA,12,observed_zero_selected,0,0,0
BAUA,12,exactly_one_selected,140,22,140
BAUA,12,multiple_selected,9,7,9
BAUA,13,all_flags_missing,0,0,0
BAUA,13,partially_missing_flags,0,0,0
BAUA,13,observed_zero_selected,0,0,0
BAUA,13,exactly_one_selected,142,22,142
BAUA,13,multiple_selected,9,7,9
BAUA,14,all_flags_missing,0,0,0
BAUA,14,partially_missing_flags,0,0,0
BAUA,14,observed_zero_selected,0,0,0
BAUA,14,exactly_one_selected,139,22,139
BAUA,14,multiple_selected,12,7,12
BAUA,15,all_flags_missing,0,0,0
BAUA,15,partially_missing_flags,0,0,0
BAUA,15,observed_zero_selected,0,0,0
BAUA,15,exactly_one_selected,137,22,137
BAUA,15,multiple_selected,10,4,10
BAUA,16,all_flags_missing,0,0,0
BAUA,16,partially_missing_flags,0,0,0
BAUA,16,observed_zero_selected,0,0,0
BAUA,16,exactly_one_selected,129,22,129
BAUA,16,multiple_selected,15,6,15
BAUA,17,all_flags_missing,0,0,0
BAUA,17,partially_missing_flags,0,0,0
BAUA,17,observed_zero_selected,0,0,0
BAUA,17,exactly_one_selected,130,22,130
BAUA,17,multiple_selected,15,7,15
BAUA,18,all_flags_missing,0,0,0
BAUA,18,partially_missing_flags,0,0,0
BAUA,18,observed_zero_selected,0,0,0
BAUA,18,exactly_one_selected,135,22,135
BAUA,18,multiple_selected,12,7,12
BAUA,19,all_flags_missing,0,0,0
BAUA,19,partially_missing_flags,0,0,0
BAUA,19,observed_zero_selected,0,0,0
BAUA,19,exactly_one_selected,135,22,135
BAUA,19,multiple_selected,10,3,10
BAUA,20,all_flags_missing,0,0,0
BAUA,20,partially_missing_flags,0,0,0
BAUA,20,observed_zero_selected,0,0,0
BAUA,20,exactly_one_selected,138,22,138
BAUA,20,multiple_selected,7,3,7
BAUA,21,all_flags_missing,0,0,0
BAUA,21,partially_missing_flags,0,0,0
BAUA,21,observed_zero_selected,0,0,0
BAUA,21,exactly_one_selected,135,22,135
BAUA,21,multiple_selected,8,3,8
BAUA,22,all_flags_missing,0,0,0
BAUA,22,partially_missing_flags,0,0,0
BAUA,22,observed_zero_selected,0,0,0
BAUA,22,exactly_one_selected,137,22,137
BAUA,22,multiple_selected,2,1,2
BAUA,23,all_flags_missing,0,0,0
BAUA,23,partially_missing_flags,0,0,0
BAUA,23,observed_zero_selected,0,0,0
BAUA,23,exactly_one_selected,129,22,129
BAUA,23,multiple_selected,7,4,7
FUSPCEU,0,all_flags_missing,7,1,7
FUSPCEU,0,partially_missing_flags,0,0,0
FUSPCEU,0,observed_zero_selected,0,0,0
FUSPCEU,0,exactly_one_selected,144,22,144
FUSPCEU,0,multiple_selected,0,0,0
FUSPCEU,1,all_flags_missing,7,1,7
FUSPCEU,1,partially_missing_flags,0,0,0
FUSPCEU,1,observed_zero_selected,0,0,0
FUSPCEU,1,exactly_one_selected,144,22,144
FUSPCEU,1,multiple_selected,2,2,2
FUSPCEU,2,all_flags_missing,7,1,7
FUSPCEU,2,partially_missing_flags,0,0,0
FUSPCEU,2,observed_zero_selected,0,0,0
FUSPCEU,2,exactly_one_selected,145,22,145
FUSPCEU,2,multiple_selected,0,0,0
FUSPCEU,3,all_flags_missing,7,1,7
FUSPCEU,3,partially_missing_flags,0,0,0
FUSPCEU,3,observed_zero_selected,0,0,0
FUSPCEU,3,exactly_one_selected,145,22,145
FUSPCEU,3,multiple_selected,0,0,0
FUSPCEU,4,all_flags_missing,7,1,7
FUSPCEU,4,partially_missing_flags,0,0,0
FUSPCEU,4,observed_zero_selected,0,0,0
FUSPCEU,4,exactly_one_selected,145,22,145
FUSPCEU,4,multiple_selected,0,0,0
FUSPCEU,5,all_flags_missing,7,1,7
FUSPCEU,5,partially_missing_flags,0,0,0
FUSPCEU,5,observed_zero_selected,0,0,0
FUSPCEU,5,exactly_one_selected,146,22,146
FUSPCEU,5,multiple_selected,0,0,0
FUSPCEU,6,all_flags_missing,7,1,7
FUSPCEU,6,partially_missing_flags,0,0,0
FUSPCEU,6,observed_zero_selected,0,0,0
FUSPCEU,6,exactly_one_selected,145,22,145
FUSPCEU,6,multiple_selected,1,1,1
FUSPCEU,7,all_flags_missing,7,1,7
FUSPCEU,7,partially_missing_flags,0,0,0
FUSPCEU,7,observed_zero_selected,0,0,0
FUSPCEU,7,exactly_one_selected,136,22,136
FUSPCEU,7,multiple_selected,10,4,10
FUSPCEU,8,all_flags_missing,7,1,7
FUSPCEU,8,partially_missing_flags,0,0,0
FUSPCEU,8,observed_zero_selected,0,0,0
FUSPCEU,8,exactly_one_selected,132,22,132
FUSPCEU,8,multiple_selected,13,7,13
FUSPCEU,9,all_flags_missing,7,1,7
FUSPCEU,9,partially_missing_flags,0,0,0
FUSPCEU,9,observed_zero_selected,0,0,0
FUSPCEU,9,exactly_one_selected,139,22,139
FUSPCEU,9,multiple_selected,4,3,4
FUSPCEU,10,all_flags_missing,7,1,7
FUSPCEU,10,partially_missing_flags,0,0,0
FUSPCEU,10,observed_zero_selected,0,0,0
FUSPCEU,10,exactly_one_selected,140,22,140
FUSPCEU,10,multiple_selected,3,2,3
FUSPCEU,11,all_flags_missing,7,1,7
FUSPCEU,11,partially_missing_flags,0,0,0
FUSPCEU,11,observed_zero_selected,0,0,0
FUSPCEU,11,exactly_one_selected,139,22,139
FUSPCEU,11,multiple_selected,3,3,3
FUSPCEU,12,all_flags_missing,7,1,7
FUSPCEU,12,partially_missing_flags,0,0,0
FUSPCEU,12,observed_zero_selected,0,0,0
FUSPCEU,12,exactly_one_selected,133,22,133
FUSPCEU,12,multiple_selected,5,4,5
FUSPCEU,13,all_flags_missing,7,1,7
FUSPCEU,13,partially_missing_flags,0,0,0
FUSPCEU,13,observed_zero_selected,1,1,1
FUSPCEU,13,exactly_one_selected,127,22,127
FUSPCEU,13,multiple_selected,6,5,6
FUSPCEU,14,all_flags_missing,6,1,6
FUSPCEU,14,partially_missing_flags,0,0,0
FUSPCEU,14,observed_zero_selected,1,1,1
FUSPCEU,14,exactly_one_selected,120,22,120
FUSPCEU,14,multiple_selected,12,5,12
FUSPCEU,15,all_flags_missing,7,1,7
FUSPCEU,15,partially_missing_flags,0,0,0
FUSPCEU,15,observed_zero_selected,0,0,0
FUSPCEU,15,exactly_one_selected,137,22,137
FUSPCEU,15,multiple_selected,7,3,7
FUSPCEU,16,all_flags_missing,7,1,7
FUSPCEU,16,partially_missing_flags,0,0,0
FUSPCEU,16,observed_zero_selected,0,0,0
FUSPCEU,16,exactly_one_selected,142,22,142
FUSPCEU,16,multiple_selected,4,3,4
FUSPCEU,17,all_flags_missing,7,1,7
FUSPCEU,17,partially_missing_flags,0,0,0
FUSPCEU,17,observed_zero_selected,0,0,0
FUSPCEU,17,exactly_one_selected,139,22,139
FUSPCEU,17,multiple_selected,8,5,8
FUSPCEU,18,all_flags_missing,7,1,7
FUSPCEU,18,partially_missing_flags,0,0,0
FUSPCEU,18,observed_zero_selected,0,0,0
FUSPCEU,18,exactly_one_selected,136,22,136
FUSPCEU,18,multiple_selected,10,5,10
FUSPCEU,19,all_flags_missing,7,1,7
FUSPCEU,19,partially_missing_flags,0,0,0
FUSPCEU,19,observed_zero_selected,0,0,0
FUSPCEU,19,exactly_one_selected,135,22,135
FUSPCEU,19,multiple_selected,7,4,7
FUSPCEU,20,all_flags_missing,7,1,7
FUSPCEU,20,partially_missing_flags,0,0,0
FUSPCEU,20,observed_zero_selected,0,0,0
FUSPCEU,20,exactly_one_selected,141,22,141
FUSPCEU,20,multiple_selected,3,3,3
FUSPCEU,21,all_flags_missing,7,1,7
FUSPCEU,21,partially_missing_flags,0,0,0
FUSPCEU,21,observed_zero_selected,0,0,0
FUSPCEU,21,exactly_one_selected,141,22,141
FUSPCEU,21,multiple_selected,4,3,4
FUSPCEU,22,all_flags_missing,7,1,7
FUSPCEU,22,partially_missing_flags,0,0,0
FUSPCEU,22,observed_zero_selected,0,0,0
FUSPCEU,22,exactly_one_selected,144,22,144
FUSPCEU,22,multiple_selected,2,1,2
FUSPCEU,23,all_flags_missing,7,1,7
FUSPCEU,23,partially_missing_flags,0,0,0
FUSPCEU,23,observed_zero_selected,0,0,0
FUSPCEU,23,exactly_one_selected,143,22,143
FUSPCEU,23,multiple_selected,4,2,4
IZTECH,0,all_flags_missing,1,1,1
IZTECH,0,partially_missing_flags,0,0,0
IZTECH,0,observed_zero_selected,0,0,0
IZTECH,0,exactly_one_selected,103,16,103
IZTECH,0,multiple_selected,14,5,14
IZTECH,1,all_flags_missing,1,1,1
IZTECH,1,partially_missing_flags,0,0,0
IZTECH,1,observed_zero_selected,0,0,0
IZTECH,1,exactly_one_selected,108,16,108
IZTECH,1,multiple_selected,9,6,9
IZTECH,2,all_flags_missing,1,1,1
IZTECH,2,partially_missing_flags,0,0,0
IZTECH,2,observed_zero_selected,0,0,0
IZTECH,2,exactly_one_selected,112,16,112
IZTECH,2,multiple_selected,5,4,5
IZTECH,3,all_flags_missing,1,1,1
IZTECH,3,partially_missing_flags,0,0,0
IZTECH,3,observed_zero_selected,0,0,0
IZTECH,3,exactly_one_selected,113,16,113
IZTECH,3,multiple_selected,4,2,4
IZTECH,4,all_flags_missing,1,1,1
IZTECH,4,partially_missing_flags,0,0,0
IZTECH,4,observed_zero_selected,0,0,0
IZTECH,4,exactly_one_selected,117,16,117
IZTECH,4,multiple_selected,0,0,0
IZTECH,5,all_flags_missing,1,1,1
IZTECH,5,partially_missing_flags,0,0,0
IZTECH,5,observed_zero_selected,0,0,0
IZTECH,5,exactly_one_selected,117,16,117
IZTECH,5,multiple_selected,0,0,0
IZTECH,6,all_flags_missing,1,1,1
IZTECH,6,partially_missing_flags,0,0,0
IZTECH,6,observed_zero_selected,0,0,0
IZTECH,6,exactly_one_selected,112,16,112
IZTECH,6,multiple_selected,5,3,5
IZTECH,7,all_flags_missing,1,1,1
IZTECH,7,partially_missing_flags,0,0,0
IZTECH,7,observed_zero_selected,0,0,0
IZTECH,7,exactly_one_selected,112,16,112
IZTECH,7,multiple_selected,5,4,5
IZTECH,8,all_flags_missing,1,1,1
IZTECH,8,partially_missing_flags,0,0,0
IZTECH,8,observed_zero_selected,0,0,0
IZTECH,8,exactly_one_selected,96,16,96
IZTECH,8,multiple_selected,21,8,21
IZTECH,9,all_flags_missing,1,1,1
IZTECH,9,partially_missing_flags,0,0,0
IZTECH,9,observed_zero_selected,0,0,0
IZTECH,9,exactly_one_selected,103,16,103
IZTECH,9,multiple_selected,14,8,14
IZTECH,10,all_flags_missing,1,1,1
IZTECH,10,partially_missing_flags,0,0,0
IZTECH,10,observed_zero_selected,0,0,0
IZTECH,10,exactly_one_selected,106,16,106
IZTECH,10,multiple_selected,10,6,10
IZTECH,11,all_flags_missing,1,1,1
IZTECH,11,partially_missing_flags,0,0,0
IZTECH,11,observed_zero_selected,0,0,0
IZTECH,11,exactly_one_selected,100,16,100
IZTECH,11,multiple_selected,16,8,16
IZTECH,12,all_flags_missing,1,1,1
IZTECH,12,partially_missing_flags,0,0,0
IZTECH,12,observed_zero_selected,0,0,0
IZTECH,12,exactly_one_selected,97,16,97
IZTECH,12,multiple_selected,14,7,14
IZTECH,13,all_flags_missing,1,1,1
IZTECH,13,partially_missing_flags,0,0,0
IZTECH,13,observed_zero_selected,0,0,0
IZTECH,13,exactly_one_selected,102,16,102
IZTECH,13,multiple_selected,4,4,4
IZTECH,14,all_flags_missing,1,1,1
IZTECH,14,partially_missing_flags,0,0,0
IZTECH,14,observed_zero_selected,0,0,0
IZTECH,14,exactly_one_selected,98,16,98
IZTECH,14,multiple_selected,9,7,9
IZTECH,15,all_flags_missing,1,1,1
IZTECH,15,partially_missing_flags,0,0,0
IZTECH,15,observed_zero_selected,0,0,0
IZTECH,15,exactly_one_selected,101,16,101
IZTECH,15,multiple_selected,8,4,8
IZTECH,16,all_flags_missing,1,1,1
IZTECH,16,partially_missing_flags,0,0,0
IZTECH,16,observed_zero_selected,0,0,0
IZTECH,16,exactly_one_selected,100,16,100
IZTECH,16,multiple_selected,10,7,10
IZTECH,17,all_flags_missing,1,1,1
IZTECH,17,partially_missing_flags,0,0,0
IZTECH,17,observed_zero_selected,0,0,0
IZTECH,17,exactly_one_selected,103,16,103
IZTECH,17,multiple_selected,9,9,9
IZTECH,18,all_flags_missing,1,1,1
IZTECH,18,partially_missing_flags,0,0,0
IZTECH,18,observed_zero_selected,0,0,0
IZTECH,18,exactly_one_selected,103,16,103
IZTECH,18,multiple_selected,10,8,10
IZTECH,19,all_flags_missing,1,1,1
IZTECH,19,partially_missing_flags,0,0,0
IZTECH,19,observed_zero_selected,0,0,0
IZTECH,19,exactly_one_selected,107,16,107
IZTECH,19,multiple_selected,6,6,6
IZTECH,20,all_flags_missing,0,0,0
IZTECH,20,partially_missing_flags,0,0,0
IZTECH,20,observed_zero_selected,0,0,0
IZTECH,20,exactly_one_selected,99,16,99
IZTECH,20,multiple_selected,14,8,14
IZTECH,21,all_flags_missing,0,0,0
IZTECH,21,partially_missing_flags,0,0,0
IZTECH,21,observed_zero_selected,0,0,0
IZTECH,21,exactly_one_selected,108,16,108
IZTECH,21,multiple_selected,5,3,5
IZTECH,22,all_flags_missing,0,0,0
IZTECH,22,partially_missing_flags,0,0,0
IZTECH,22,observed_zero_selected,0,0,0
IZTECH,22,exactly_one_selected,106,16,106
IZTECH,22,multiple_selected,7,5,7
IZTECH,23,all_flags_missing,0,0,0
IZTECH,23,partially_missing_flags,0,0,0
IZTECH,23,observed_zero_selected,0,0,0
IZTECH,23,exactly_one_selected,107,16,107
IZTECH,23,multiple_selected,5,4,5
KNUST,0,all_flags_missing,0,0,0
KNUST,0,partially_missing_flags,0,0,0
KNUST,0,observed_zero_selected,0,0,0
KNUST,0,exactly_one_selected,105,15,105
KNUST,0,multiple_selected,0,0,0
KNUST,1,all_flags_missing,0,0,0
KNUST,1,partially_missing_flags,0,0,0
KNUST,1,observed_zero_selected,0,0,0
KNUST,1,exactly_one_selected,105,15,105
KNUST,1,multiple_selected,0,0,0
KNUST,2,all_flags_missing,0,0,0
KNUST,2,partially_missing_flags,0,0,0
KNUST,2,observed_zero_selected,0,0,0
KNUST,2,exactly_one_selected,105,15,105
KNUST,2,multiple_selected,0,0,0
KNUST,3,all_flags_missing,0,0,0
KNUST,3,partially_missing_flags,0,0,0
KNUST,3,observed_zero_selected,0,0,0
KNUST,3,exactly_one_selected,105,15,105
KNUST,3,multiple_selected,0,0,0
KNUST,4,all_flags_missing,0,0,0
KNUST,4,partially_missing_flags,0,0,0
KNUST,4,observed_zero_selected,0,0,0
KNUST,4,exactly_one_selected,105,15,105
KNUST,4,multiple_selected,0,0,0
KNUST,5,all_flags_missing,0,0,0
KNUST,5,partially_missing_flags,0,0,0
KNUST,5,observed_zero_selected,0,0,0
KNUST,5,exactly_one_selected,105,15,105
KNUST,5,multiple_selected,0,0,0
KNUST,6,all_flags_missing,0,0,0
KNUST,6,partially_missing_flags,0,0,0
KNUST,6,observed_zero_selected,0,0,0
KNUST,6,exactly_one_selected,105,15,105
KNUST,6,multiple_selected,0,0,0
KNUST,7,all_flags_missing,0,0,0
KNUST,7,partially_missing_flags,0,0,0
KNUST,7,observed_zero_selected,0,0,0
KNUST,7,exactly_one_selected,105,15,105
KNUST,7,multiple_selected,0,0,0
KNUST,8,all_flags_missing,0,0,0
KNUST,8,partially_missing_flags,0,0,0
KNUST,8,observed_zero_selected,0,0,0
KNUST,8,exactly_one_selected,105,15,105
KNUST,8,multiple_selected,0,0,0
KNUST,9,all_flags_missing,0,0,0
KNUST,9,partially_missing_flags,0,0,0
KNUST,9,observed_zero_selected,0,0,0
KNUST,9,exactly_one_selected,105,15,105
KNUST,9,multiple_selected,0,0,0
KNUST,10,all_flags_missing,0,0,0
KNUST,10,partially_missing_flags,0,0,0
KNUST,10,observed_zero_selected,0,0,0
KNUST,10,exactly_one_selected,105,15,105
KNUST,10,multiple_selected,0,0,0
KNUST,11,all_flags_missing,0,0,0
KNUST,11,partially_missing_flags,0,0,0
KNUST,11,observed_zero_selected,0,0,0
KNUST,11,exactly_one_selected,105,15,105
KNUST,11,multiple_selected,0,0,0
KNUST,12,all_flags_missing,0,0,0
KNUST,12,partially_missing_flags,0,0,0
KNUST,12,observed_zero_selected,0,0,0
KNUST,12,exactly_one_selected,105,15,105
KNUST,12,multiple_selected,0,0,0
KNUST,13,all_flags_missing,0,0,0
KNUST,13,partially_missing_flags,0,0,0
KNUST,13,observed_zero_selected,0,0,0
KNUST,13,exactly_one_selected,105,15,105
KNUST,13,multiple_selected,0,0,0
KNUST,14,all_flags_missing,0,0,0
KNUST,14,partially_missing_flags,0,0,0
KNUST,14,observed_zero_selected,0,0,0
KNUST,14,exactly_one_selected,105,15,105
KNUST,14,multiple_selected,0,0,0
KNUST,15,all_flags_missing,0,0,0
KNUST,15,partially_missing_flags,0,0,0
KNUST,15,observed_zero_selected,0,0,0
KNUST,15,exactly_one_selected,105,15,105
KNUST,15,multiple_selected,0,0,0
KNUST,16,all_flags_missing,0,0,0
KNUST,16,partially_missing_flags,0,0,0
KNUST,16,observed_zero_selected,0,0,0
KNUST,16,exactly_one_selected,105,15,105
KNUST,16,multiple_selected,0,0,0
KNUST,17,all_flags_missing,0,0,0
KNUST,17,partially_missing_flags,0,0,0
KNUST,17,observed_zero_selected,0,0,0
KNUST,17,exactly_one_selected,105,15,105
KNUST,17,multiple_selected,0,0,0
KNUST,18,all_flags_missing,0,0,0
KNUST,18,partially_missing_flags,0,0,0
KNUST,18,observed_zero_selected,0,0,0
KNUST,18,exactly_one_selected,105,15,105
KNUST,18,multiple_selected,0,0,0
KNUST,19,all_flags_missing,0,0,0
KNUST,19,partially_missing_flags,0,0,0
KNUST,19,observed_zero_selected,0,0,0
KNUST,19,exactly_one_selected,105,15,105
KNUST,19,multiple_selected,0,0,0
KNUST,20,all_flags_missing,0,0,0
KNUST,20,partially_missing_flags,0,0,0
KNUST,20,observed_zero_selected,0,0,0
KNUST,20,exactly_one_selected,105,15,105
KNUST,20,multiple_selected,0,0,0
KNUST,21,all_flags_missing,0,0,0
KNUST,21,partially_missing_flags,0,0,0
KNUST,21,observed_zero_selected,0,0,0
KNUST,21,exactly_one_selected,105,15,105
KNUST,21,multiple_selected,0,0,0
KNUST,22,all_flags_missing,0,0,0
KNUST,22,partially_missing_flags,0,0,0
KNUST,22,observed_zero_selected,0,0,0
KNUST,22,exactly_one_selected,105,15,105
KNUST,22,multiple_selected,0,0,0
KNUST,23,all_flags_missing,0,0,0
KNUST,23,partially_missing_flags,0,0,0
KNUST,23,observed_zero_selected,0,0,0
KNUST,23,exactly_one_selected,105,15,105
KNUST,23,multiple_selected,0,0,0
MPI,0,all_flags_missing,89,13,89
MPI,0,partially_missing_flags,0,0,0
MPI,0,observed_zero_selected,0,0,0
MPI,0,exactly_one_selected,88,13,88
MPI,0,multiple_selected,0,0,0
MPI,1,all_flags_missing,85,13,85
MPI,1,partially_missing_flags,0,0,0
MPI,1,observed_zero_selected,0,0,0
MPI,1,exactly_one_selected,88,13,88
MPI,1,multiple_selected,0,0,0
MPI,2,all_flags_missing,85,13,85
MPI,2,partially_missing_flags,0,0,0
MPI,2,observed_zero_selected,0,0,0
MPI,2,exactly_one_selected,88,13,88
MPI,2,multiple_selected,0,0,0
MPI,3,all_flags_missing,85,13,85
MPI,3,partially_missing_flags,0,0,0
MPI,3,observed_zero_selected,0,0,0
MPI,3,exactly_one_selected,88,13,88
MPI,3,multiple_selected,0,0,0
MPI,4,all_flags_missing,85,13,85
MPI,4,partially_missing_flags,0,0,0
MPI,4,observed_zero_selected,0,0,0
MPI,4,exactly_one_selected,88,13,88
MPI,4,multiple_selected,0,0,0
MPI,5,all_flags_missing,85,13,85
MPI,5,partially_missing_flags,0,0,0
MPI,5,observed_zero_selected,0,0,0
MPI,5,exactly_one_selected,86,13,86
MPI,5,multiple_selected,2,1,2
MPI,6,all_flags_missing,78,13,78
MPI,6,partially_missing_flags,0,0,0
MPI,6,observed_zero_selected,0,0,0
