run_id,method,elapsed_seconds,.type,.term,.concurvity
alternative_preprocessing__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),135.87599999999998,observed,s(time_hour):sex_smoothFemale,0.996070083964922
alternative_preprocessing__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),135.87599999999998,observed,"s(time_hour,site)",0.9926591015940684
alternative_preprocessing__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),135.87599999999998,observed,"s(time_hour,participant)",0.4121918216313962
alternative_preprocessing__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),135.87599999999998,observed,s(participant_day),0.033705073759496954
alternative_preprocessing__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),135.87599999999998,estimate,para,1
alternative_preprocessing__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),135.87599999999998,estimate,s(time_hour),0.9657290288017581
alternative_preprocessing__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),135.87599999999998,estimate,s(time_hour):sex_smoothFemale,0.9557374848616225
alternative_preprocessing__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),135.87599999999998,estimate,"s(time_hour,site)",0.9987894046501596
alternative_preprocessing__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),135.87599999999998,estimate,"s(time_hour,participant)",0.16852952877891575
alternative_preprocessing__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),135.87599999999998,estimate,s(participant_day),0.17892788938923082
alternative_preprocessing__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173.51100000000042,worst,para,1.0000000000000004
alternative_preprocessing__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173.51100000000042,worst,s(time_hour),0.9999999733605585
alternative_preprocessing__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173.51100000000042,worst,s(time_hour):sex_smoothFemale,0.9999999731051576
alternative_preprocessing__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173.51100000000042,worst,"s(time_hour,site)",1.0000000000003642
alternative_preprocessing__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173.51100000000042,worst,"s(time_hour,participant)",1.0000000000000084
alternative_preprocessing__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173.51100000000042,worst,s(participant_day),1.0000000000000089
alternative_preprocessing__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173.51100000000042,observed,para,1.0000000000000002
alternative_preprocessing__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173.51100000000042,observed,s(time_hour),0.9998320012821303
alternative_preprocessing__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173.51100000000042,observed,s(time_hour):sex_smoothFemale,0.9999825606088101
alternative_preprocessing__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173.51100000000042,observed,"s(time_hour,site)",0.9900009835873794
alternative_preprocessing__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173.51100000000042,observed,"s(time_hour,participant)",0.4181752083088052
alternative_preprocessing__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173.51100000000042,observed,s(participant_day),0.04346435866055465
alternative_preprocessing__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173.51100000000042,estimate,para,1
alternative_preprocessing__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173.51100000000042,estimate,s(time_hour),0.9622854152613843
alternative_preprocessing__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173.51100000000042,estimate,s(time_hour):sex_smoothFemale,0.9546205099917796
alternative_preprocessing__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173.51100000000042,estimate,"s(time_hour,site)",0.9988215393511524
alternative_preprocessing__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173.51100000000042,estimate,"s(time_hour,participant)",0.15662730110220593
alternative_preprocessing__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173.51100000000042,estimate,s(participant_day),0.17626108138508598
