frame_id,run_order,run_id,data_scenario_id,reader_scenario,placement,placement_label,sample_scenario,analytical_role,metric_id,instrument_id,availability,row_key_hash,model_frame_hash,participants,participant_days,observations,sites,derivation_hours,min_days_per_participant,median_days_per_participant,max_days_per_participant
primary__glasses__all_available__mean_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,mean_timing_above_250,MCTQ,ESTIMABLE,95c788d9f24f3be5dfcb16df9c55a86a4dd5339929ce9a4751b1104e79c61829,ef95245b9292a64a735ed9f773d12351dae5034066e0edef4af6f4435ebe7505,140,736,736,9,17070.316666666666,2,5.5,7
primary__glasses__all_available__mean_timing_above_250__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,mean_timing_above_250,MEQ,ESTIMABLE,00d504fedfc57a0513be3fd459fdcd99f63a252d839327f7cee5203d21a65736,429b944ba95b8f9851ad52f7ca2ec6291d37543e80e8071a170537891208bd77,141,742,742,9,17209.633333333335,2,6,7
primary__chest__all_available__first_timing_above_250__MCTQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,first_timing_above_250,MCTQ,ESTIMABLE,2686fa682d40e8ef613b8441d9afefea73b72685097e7455c9bc2f42e073b156,b79a693fa59a427918e9b05aa29d13477332434d17fe551e52af791598e93677,153,797,797,8,18518.416666666668,1,6,7
primary__chest__all_available__first_timing_above_250__MEQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,first_timing_above_250,MEQ,ESTIMABLE,6f770b18d6cbbfbeb5f661f348887869b29d44fe11bdbd349a5dd4662b7c4e43,d6e1bd5da7456bbc54d33c6dbf3e96ae3bebe1b11ab1cff6d6ce30164077482e,154,802,802,8,18634.65,1,6,7
primary__chest__all_available__l10_midpoint__MCTQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,l10_midpoint,MCTQ,ESTIMABLE,7c71e2e3a958ce98e767038ec07d8cd2044de75ee11c46fbf063e8a112b33e2a,96198c05c0e57dc31e47356a0cb9fadf4c7abf0b7422bdb2e163cbd94899345b,153,896,896,8,20752.433333333334,2,6,8
primary__chest__all_available__l10_midpoint__MEQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,l10_midpoint,MEQ,ESTIMABLE,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099,a1c7e8a1ccc8bc3545a3a5ec6bc54cb1c9f141ac4d44594fe4d3dbbb49c3717e,154,902,902,8,20891.75,2,6,8
primary__chest__all_available__last_timing_above_250__MCTQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,last_timing_above_250,MCTQ,ESTIMABLE,6d692f12236dbb899e5d86d1c00fd6209cc200edf0ed7c4a7f7f0ba1e4e570a2,5d6857ab479a69dceefafef8dbfada8bb076da744cff597d36ce944007a6ba50,153,783,783,8,18263.85,2,5,7
primary__chest__all_available__last_timing_above_250__MEQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,last_timing_above_250,MEQ,ESTIMABLE,af544e57c0ec2cbfc3370f8bc8a2758575541a6768d247f0b79fe458e2d60b52,6e67065f0522eeb169c7184f6525b7a89e0d3f2313b65df5fbccfdfa5e2ef78a,154,787,787,8,18358.116666666665,2,5,7
primary__chest__all_available__longest_period_midpoint__MCTQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,longest_period_midpoint,MCTQ,ESTIMABLE,a7cc6709b751267c2ee88145f2c47547e5aa1c035f65e819d307a30380048d27,d648d8b4095da8bb330ab92926664015c51e8e2886895208ef7e024e5d880019,149,547,547,8,12980.05,1,4,7
primary__chest__all_available__longest_period_midpoint__MEQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,longest_period_midpoint,MEQ,ESTIMABLE,1907b1e46384901f463be25c32a2f6c825a358de50139ec89478fffe2933eb1f,9dd94b99107b7ecdd32932d90ac68e9e0091a7f95c1366dd8d62b19224971e0d,150,549,549,8,13027.8,1,4,7
primary__chest__all_available__m10_midpoint__MCTQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,m10_midpoint,MCTQ,ESTIMABLE,7c71e2e3a958ce98e767038ec07d8cd2044de75ee11c46fbf063e8a112b33e2a,5bf2f9057cb34327bed3dc16a5899984062b1bb5f2903f66f5b486448cf93d0c,153,896,896,8,20752.433333333334,2,6,8
primary__chest__all_available__m10_midpoint__MEQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,m10_midpoint,MEQ,ESTIMABLE,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099,5f2c7bd24d9b1a055922fe7ebe67816eafa759801bdb945144b988bcd19a7943,154,902,902,8,20891.75,2,6,8
primary__chest__all_available__mean_timing_above_250__MCTQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,mean_timing_above_250,MCTQ,ESTIMABLE,00077b75ea786147cf82f8c5d8d5bb8903460ae2561fbdf56ed89c566abb8a4c,3a8b46bb48a6f39018950db55864ee737817a80320a2fa3e7cb626852e343ac7,153,825,825,8,19196.816666666666,2,6,7
primary__chest__all_available__mean_timing_above_250__MEQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,mean_timing_above_250,MEQ,ESTIMABLE,61a7b57f8de7dd440eb961dc8333da2f02c0e811f8cf6532e10f0d1d7175fb90,da4c208a520c3f43f35dd33fc12579d15a450ab28dbee34da18202665c54fe5c,154,831,831,8,19336.133333333335,2,6,7
primary__glasses__paired_common__first_timing_above_250__MCTQ,3,primary__glasses__paired_common,primary,Primary dataset,glasses,Near eye,paired_common,paired_placement_sensitivity,first_timing_above_250,MCTQ,ESTIMABLE,4d7f5884323df82a23446d8a2c2445f2a022e69aa1b5542b16e0baf0d45aa537,091320926bec1d6ec7127dd51eaca482ce4996500261c1482d8d6a27d4e4cf1f,111,558,558,8,12943.483333333334,1,5,7
primary__glasses__paired_common__first_timing_above_250__MEQ,3,primary__glasses__paired_common,primary,Primary dataset,glasses,Near eye,paired_common,paired_placement_sensitivity,first_timing_above_250,MEQ,ESTIMABLE,345c252f0c9601f8b26fc09d3317cb330481d6203fbabab6ed04551cc66ef3f7,c237b7a6f47f1590d4f5e9504e44991339f674bbf378edb8b9cda51b79ae659e,112,563,563,8,13059.716666666667,1,5,7
primary__glasses__paired_common__l10_midpoint__MCTQ,3,primary__glasses__paired_common,primary,Primary dataset,glasses,Near eye,paired_common,paired_placement_sensitivity,l10_midpoint,MCTQ,ESTIMABLE,f4eb99bba1f6bbea64cd929474b079b966341939a601088025f4550048eb1e9b,04ecb8ba6ba3c606980a5715eb75a3f17a0a36e698e1c2ee56a94669f9477e40,111,637,637,8,14734.8,3,6,8
primary__glasses__paired_common__l10_midpoint__MEQ,3,primary__glasses__paired_common,primary,Primary dataset,glasses,Near eye,paired_common,paired_placement_sensitivity,l10_midpoint,MEQ,ESTIMABLE,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516,643085a0a236d8f299418da7a55d88ce99fa986db4ecde057a82a7db95d00630,112,643,643,8,14874.116666666667,3,6,8
primary__glasses__paired_common__last_timing_above_250__MCTQ,3,primary__glasses__paired_common,primary,Primary dataset,glasses,Near eye,paired_common,paired_placement_sensitivity,last_timing_above_250,MCTQ,ESTIMABLE,26c5d1aab74d2fe26c0a446cbf05b476ada858146b4d4741178794aa2c0a78e7,cca9895ae4b31131a29577168339bcdff03f5979742cdff5687970e65f00c50b,111,520,520,8,12131.816666666668,2,5,7
primary__glasses__paired_common__last_timing_above_250__MEQ,3,primary__glasses__paired_common,primary,Primary dataset,glasses,Near eye,paired_common,paired_placement_sensitivity,last_timing_above_250,MEQ,ESTIMABLE,00493dd1095273812da93f4bdb1fc3343ae41e2dbd9310853fedacee804af87e,8adf690553cc6bf33e484c1839ec3a587ab39e918839ca53b93164e57a92aebb,112,524,524,8,12226.083333333334,2,5,7
primary__glasses__paired_common__longest_period_midpoint__MCTQ,3,primary__glasses__paired_common,primary,Primary dataset,glasses,Near eye,paired_common,paired_placement_sensitivity,longest_period_midpoint,MCTQ,ESTIMABLE,f3746d1ac910b04692d48fe478c73006c509f1faebacdcfbb4f5c3060c3b7d8f,bf030655d37c366f6178164207afcc482a351aba3e2f0b79db1adc78738275c5,104,355,355,8,8428.933333333332,1,4,7
primary__glasses__paired_common__longest_period_midpoint__MEQ,3,primary__glasses__paired_common,primary,Primary dataset,glasses,Near eye,paired_common,paired_placement_sensitivity,longest_period_midpoint,MEQ,ESTIMABLE,45eb634ca54fba7c5d2dba612b55b612958581b678553cadd1650c31d474f12c,ab7c8b6554939c7af5af361ba82b24f6ccc53bb5d81b02812aabb073d8bdf004,105,357,357,8,8476.683333333332,1,4,7
primary__glasses__paired_common__m10_midpoint__MCTQ,3,primary__glasses__paired_common,primary,Primary dataset,glasses,Near eye,paired_common,paired_placement_sensitivity,m10_midpoint,MCTQ,ESTIMABLE,f4eb99bba1f6bbea64cd929474b079b966341939a601088025f4550048eb1e9b,236642e3a1a60ce0d004b39994368c6041f5b6e13ec61f79109edbc3d5017bab,111,637,637,8,14734.8,3,6,8
primary__glasses__paired_common__m10_midpoint__MEQ,3,primary__glasses__paired_common,primary,Primary dataset,glasses,Near eye,paired_common,paired_placement_sensitivity,m10_midpoint,MEQ,ESTIMABLE,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516,0ed469b8be3c3f5171de336a4716a0ab7535c32ec6a4c243bfc60faf7a8ab92b,112,643,643,8,14874.116666666667,3,6,8
primary__glasses__paired_common__mean_timing_above_250__MCTQ,3,primary__glasses__paired_common,primary,Primary dataset,glasses,Near eye,paired_common,paired_placement_sensitivity,mean_timing_above_250,MCTQ,ESTIMABLE,d48caa80ffef6b0c8cca423378b9c7b7fe1f6598069b6a0c33f75efabe0cfbe7,73a84ff1a5c4e5927776fc94ebb7c76d75d3cbd93d6c6ac9443974748a72ff71,111,567,567,8,13171.083333333334,2,5,7
primary__glasses__paired_common__mean_timing_above_250__MEQ,3,primary__glasses__paired_common,primary,Primary dataset,glasses,Near eye,paired_common,paired_placement_sensitivity,mean_timing_above_250,MEQ,ESTIMABLE,e9335af9515f3a9b0a0a7a11144e0d569bdf6bd21304a07f49b1bda5f968965a,f111c0a02582c4631113369e91a050e5d9bb48bdee9e432f4eb8105544b0992e,112,573,573,8,13310.4,2,5,7
primary__chest__paired_common__first_timing_above_250__MCTQ,4,primary__chest__paired_common,primary,Primary dataset,chest,Chest,paired_common,paired_placement_sensitivity,first_timing_above_250,MCTQ,ESTIMABLE,4d7f5884323df82a23446d8a2c2445f2a022e69aa1b5542b16e0baf0d45aa537,b1d02abfb24a1823285a2a8f891492ac93683a865e78679475fa5504798b7ddb,111,558,558,8,12939.05,1,5,7
primary__chest__paired_common__first_timing_above_250__MEQ,4,primary__chest__paired_common,primary,Primary dataset,chest,Chest,paired_common,paired_placement_sensitivity,first_timing_above_250,MEQ,ESTIMABLE,345c252f0c9601f8b26fc09d3317cb330481d6203fbabab6ed04551cc66ef3f7,d3cfc7855d0c7e86e974889b30bba995f799644a6727472a5937e0376d9c75c6,112,563,563,8,13055.283333333333,1,5,7
primary__chest__paired_common__l10_midpoint__MCTQ,4,primary__chest__paired_common,primary,Primary dataset,chest,Chest,paired_common,paired_placement_sensitivity,l10_midpoint,MCTQ,ESTIMABLE,f4eb99bba1f6bbea64cd929474b079b966341939a601088025f4550048eb1e9b,f1afa1b82e005aaf2df9618b6b484d7b642cc340cd3923d242c6d1e796efb588,111,637,637,8,14734.4,3,6,8
primary__chest__paired_common__l10_midpoint__MEQ,4,primary__chest__paired_common,primary,Primary dataset,chest,Chest,paired_common,paired_placement_sensitivity,l10_midpoint,MEQ,ESTIMABLE,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516,31209a732eb1b170b9c91caa1ab3ad6ae1d693008fb0379b75ad2bbe48ed3548,112,643,643,8,14873.716666666667,3,6,8
primary__chest__paired_common__last_timing_above_250__MCTQ,4,primary__chest__paired_common,primary,Primary dataset,chest,Chest,paired_common,paired_placement_sensitivity,last_timing_above_250,MCTQ,ESTIMABLE,26c5d1aab74d2fe26c0a446cbf05b476ada858146b4d4741178794aa2c0a78e7,6efb46e5a4c91074e2952a0118db85e05b9917676496a1170aac5747a82cd7b8,111,520,520,8,12132.316666666668,2,5,7
primary__chest__paired_common__last_timing_above_250__MEQ,4,primary__chest__paired_common,primary,Primary dataset,chest,Chest,paired_common,paired_placement_sensitivity,last_timing_above_250,MEQ,ESTIMABLE,00493dd1095273812da93f4bdb1fc3343ae41e2dbd9310853fedacee804af87e,110cae7f333f18da84cb9c8df13d293d2df4191ba1e5824af57f33069937adaa,112,524,524,8,12226.583333333334,2,5,7
primary__chest__paired_common__longest_period_midpoint__MCTQ,4,primary__chest__paired_common,primary,Primary dataset,chest,Chest,paired_common,paired_placement_sensitivity,longest_period_midpoint,MCTQ,ESTIMABLE,f3746d1ac910b04692d48fe478c73006c509f1faebacdcfbb4f5c3060c3b7d8f,b19d9753bd4e75ea253eba86c9b0b2b9452387016bc94a411a15ebe7e0a179d0,104,355,355,8,8428.466666666667,1,4,7
primary__chest__paired_common__longest_period_midpoint__MEQ,4,primary__chest__paired_common,primary,Primary dataset,chest,Chest,paired_common,paired_placement_sensitivity,longest_period_midpoint,MEQ,ESTIMABLE,45eb634ca54fba7c5d2dba612b55b612958581b678553cadd1650c31d474f12c,086f97776752803449a892431f6defc585cce1283dce723a95bc99a982a9cb02,105,357,357,8,8476.216666666667,1,4,7
primary__chest__paired_common__m10_midpoint__MCTQ,4,primary__chest__paired_common,primary,Primary dataset,chest,Chest,paired_common,paired_placement_sensitivity,m10_midpoint,MCTQ,ESTIMABLE,f4eb99bba1f6bbea64cd929474b079b966341939a601088025f4550048eb1e9b,1a709b3dbcaec6871dfbd0abf94d7db555647bf4b2b9cb61b4dfa803b7a680e3,111,637,637,8,14734.4,3,6,8
primary__chest__paired_common__m10_midpoint__MEQ,4,primary__chest__paired_common,primary,Primary dataset,chest,Chest,paired_common,paired_placement_sensitivity,m10_midpoint,MEQ,ESTIMABLE,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516,2011aede4f5b45e31e09158e2d4bc7d21867b6d063ef2bbf53d6f4e491fc4bec,112,643,643,8,14873.716666666667,3,6,8
primary__chest__paired_common__mean_timing_above_250__MCTQ,4,primary__chest__paired_common,primary,Primary dataset,chest,Chest,paired_common,paired_placement_sensitivity,mean_timing_above_250,MCTQ,ESTIMABLE,d48caa80ffef6b0c8cca423378b9c7b7fe1f6598069b6a0c33f75efabe0cfbe7,dc6db170c699b588cbeca4b3f02c9c3eeade8b93c09936d0bb701050afccd6e1,111,567,567,8,13173.366666666667,2,5,7
primary__chest__paired_common__mean_timing_above_250__MEQ,4,primary__chest__paired_common,primary,Primary dataset,chest,Chest,paired_common,paired_placement_sensitivity,mean_timing_above_250,MEQ,ESTIMABLE,e9335af9515f3a9b0a0a7a11144e0d569bdf6bd21304a07f49b1bda5f968965a,ec85f60a78da81abbd57b1ef4cd82224815ed1ca475fc45141e277ab6f621d7c,112,573,573,8,13312.683333333332,2,5,7
gap__glasses__all_available__first_timing_above_250__MCTQ,5,gap__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,data_preparation_sensitivity,first_timing_above_250,MCTQ,ESTIMABLE,4cbf5db2e080bf2bcc55807d295df4a0de7bd0983ab4f790afa4f387420378fa,62146ec5d24f500ba67ebc851b9f2572c0b2ebb694573ee2c7cd3c11efbe8b76,140,772,772,9,,2,6,7
gap__glasses__all_available__first_timing_above_250__MEQ,5,gap__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,data_preparation_sensitivity,first_timing_above_250,MEQ,ESTIMABLE,524421f35c1dde4a487dc4f1b52f3409ae0aad5a9cf5ec77979ebcbb4f4c433a,ddcffaab842891bb0d26bb0e75f2f3c372b6a055b24bbb3c399ce32602ec8420,141,778,778,9,,2,6,7
gap__glasses__all_available__l10_midpoint__MCTQ,5,gap__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,data_preparation_sensitivity,l10_midpoint,MCTQ,ESTIMABLE,46ae8773269a7fffe08895d619e6f91f8727d90b6212c6ba35dafb3f0709a675,d76e3f45b71fdb3c53bd7ad928f90f5d75864c9653907d9d2933f9e01ec325ba,140,805,805,9,,3,6,8
gap__glasses__all_available__l10_midpoint__MEQ,5,gap__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,data_preparation_sensitivity,l10_midpoint,MEQ,ESTIMABLE,e3cb946628555c4b277767992c79327826b151e78d9a882a930f97da60f36b4b,1934b45764f2504490de4ef9ac77bc6991590be78f7fd220b33819238b107bcd,141,811,811,9,,3,6,8
gap__glasses__all_available__last_timing_above_250__MCTQ,5,gap__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,data_preparation_sensitivity,last_timing_above_250,MCTQ,ESTIMABLE,4cbf5db2e080bf2bcc55807d295df4a0de7bd0983ab4f790afa4f387420378fa,0b804d7d5eaf05ae5f089df0f88416f4558e636cef191aff14b10dd39cbce4db,140,772,772,9,,2,6,7
gap__glasses__all_available__last_timing_above_250__MEQ,5,gap__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,data_preparation_sensitivity,last_timing_above_250,MEQ,ESTIMABLE,524421f35c1dde4a487dc4f1b52f3409ae0aad5a9cf5ec77979ebcbb4f4c433a,2ffec528233b8e5bcafb4288ec30e5eba2ab0943dc8af2e24fa4b355d1b1c657,141,778,778,9,,2,6,7
gap__glasses__all_available__m10_midpoint__MCTQ,5,gap__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,data_preparation_sensitivity,m10_midpoint,MCTQ,ESTIMABLE,46ae8773269a7fffe08895d619e6f91f8727d90b6212c6ba35dafb3f0709a675,5f22eeefa3f2cfa98e16ae8e2652d639b6654b28dd6622eb8a0aef908f56c126,140,805,805,9,,3,6,8
gap__glasses__all_available__m10_midpoint__MEQ,5,gap__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,data_preparation_sensitivity,m10_midpoint,MEQ,ESTIMABLE,e3cb946628555c4b277767992c79327826b151e78d9a882a930f97da60f36b4b,805fea91d892cf1883e376ced9bd160263ae2cf03835716b725e0a3e40d976db,141,811,811,9,,3,6,8
gap__glasses__all_available__mean_timing_above_250__MCTQ,5,gap__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,data_preparation_sensitivity,mean_timing_above_250,MCTQ,ESTIMABLE,4cbf5db2e080bf2bcc55807d295df4a0de7bd0983ab4f790afa4f387420378fa,419fb264e39d309575125cdc964ca235d3c6f8a9faa22d450d8ce2dd1659a811,140,772,772,9,,2,6,7
gap__glasses__all_available__mean_timing_above_250__MEQ,5,gap__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,data_preparation_sensitivity,mean_timing_above_250,MEQ,ESTIMABLE,524421f35c1dde4a487dc4f1b52f3409ae0aad5a9cf5ec77979ebcbb4f4c433a,7b931e44020ac4410aca168ccd502fbbe895c14f9668ec9effe5a919d3c08053,141,778,778,9,,2,6,7
gap__chest__all_available__first_timing_above_250__MCTQ,6,gap__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,complementary_data_preparation_sensitivity,first_timing_above_250,MCTQ,ESTIMABLE,925d8e638d11c2ebd91a46ee82ec2a71646b452f5d1431fd7329a3d559cb63bd,e70cd1329126f446919bdcd77a7ff579ee58676b9fb6b454ff316fb0b4e8d8cb,153,861,861,8,,2,6,7
gap__chest__all_available__first_timing_above_250__MEQ,6,gap__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,complementary_data_preparation_sensitivity,first_timing_above_250,MEQ,ESTIMABLE,7b31d3e42c219fa88b2875eb0fc8e2a350c5000f3c64385706facae131cef818,ef5c05a0a7c07dd95a236aa7956ea89a0c7a74b26da4fa1d5b15d4681a800ec4,154,867,867,8,,2,6,7
gap__chest__all_available__l10_midpoint__MCTQ,6,gap__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,complementary_data_preparation_sensitivity,l10_midpoint,MCTQ,ESTIMABLE,24afd58f6dd680494af0ad6773b59dc3d39ac04f9dc2f2f92744d8f1bbc01c24,d2f0c70cfbf14b45d87faabacd4066c412858656d6a2068fb817cadc24780328,153,891,891,8,,2,6,8
gap__chest__all_available__l10_midpoint__MEQ,6,gap__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,complementary_data_preparation_sensitivity,l10_midpoint,MEQ,ESTIMABLE,8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426,99f7dad96efb467b4468ab109d71d586637d71ce4ec63ead298542b6dea38a87,154,897,897,8,,2,6,8
gap__chest__all_available__last_timing_above_250__MCTQ,6,gap__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,complementary_data_preparation_sensitivity,last_timing_above_250,MCTQ,ESTIMABLE,925d8e638d11c2ebd91a46ee82ec2a71646b452f5d1431fd7329a3d559cb63bd,e067ad1bc24a30a869f810927557c68e74006449d282fe7a85f7d495dcbd3c6b,153,861,861,8,,2,6,7
gap__chest__all_available__last_timing_above_250__MEQ,6,gap__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,complementary_data_preparation_sensitivity,last_timing_above_250,MEQ,ESTIMABLE,7b31d3e42c219fa88b2875eb0fc8e2a350c5000f3c64385706facae131cef818,117b4d674696a6a31d9caa62c58ab8dcdd6b3ef12831d213511275ee26f449e1,154,867,867,8,,2,6,7
gap__chest__all_available__m10_midpoint__MCTQ,6,gap__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,complementary_data_preparation_sensitivity,m10_midpoint,MCTQ,ESTIMABLE,24afd58f6dd680494af0ad6773b59dc3d39ac04f9dc2f2f92744d8f1bbc01c24,4009045708e1a9eaa1c0d6ea3a1ef548242277c1bed9f1555ec2f9dad6016dc9,153,891,891,8,,2,6,8
gap__chest__all_available__m10_midpoint__MEQ,6,gap__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,complementary_data_preparation_sensitivity,m10_midpoint,MEQ,ESTIMABLE,8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426,6b18aa0e65acc05802f2bab1aa4f2a7d9c759b63b9ddf467bdf3183cd3d4435f,154,897,897,8,,2,6,8
gap__chest__all_available__mean_timing_above_250__MCTQ,6,gap__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,complementary_data_preparation_sensitivity,mean_timing_above_250,MCTQ,ESTIMABLE,925d8e638d11c2ebd91a46ee82ec2a71646b452f5d1431fd7329a3d559cb63bd,58cb48265c1b4e7e4fb13ae2d60631e66caf69cb0122a5431860d67fdb0b67fc,153,861,861,8,,2,6,7
