artifact_id,baseline_path,baseline_file_sha256,updated_file_sha256,invariant_scope,allowed_derived_fields,baseline_non_mder_digest,updated_non_mder_digest,invariant_verified,non_mder_rows,verification_basis,decision_id,r_version,scientific_recomputation
spearman,artifacts/09_tables/H05/H05_descriptive_spearman.csv,0a8e964c36aaac5364a0605066f9144f0251de58429a8a54314a15d33c7c086e,8107b811294dc10bf60d7a67bcd468320a8f94353b3d078301272dd23a3ecc96,all non-MDER fields except declared complete-family BH derivatives,,314192506faed6761f8bb00291bab4a4284a6d33b39fa53743c676d2e0c401a6,314192506faed6761f8bb00291bab4a4284a6d33b39fa53743c676d2e0c401a6,TRUE,512,pre-install and post-merge serialized digests were asserted identical by refresh_h05_mder_metric010.R before atomic installation; this row records the installed digest,METRIC-010,4.6.1,FALSE
site_spearman,artifacts/08_diagnostics/H05/H05_site_stratified_spearman.csv,6bcd0776e15eb703f25bd510e04d4545bf2c7fe8de67e3f942477ca76693f049,b72cd056732d774d54efe465729532a09409153d9cbc7041ab4eec2dc06608d4,all non-MDER fields except declared complete-family BH derivatives,,404b91dee74d013533f2e07a0e49fbbc62579463a2de601186141353691d04d3,404b91dee74d013533f2e07a0e49fbbc62579463a2de601186141353691d04d3,TRUE,1088,pre-install and post-merge serialized digests were asserted identical by refresh_h05_mder_metric010.R before atomic installation; this row records the installed digest,METRIC-010,4.6.1,FALSE
loo_spearman,artifacts/08_diagnostics/H05/H05_leave_one_site_out_spearman.csv,0e38d82b2bd0f1790f1a7e7fef0387d28471618dadaca279a80d87203e57a441,38f205745d3699db64092129231bf3a9dd27f72a7b9b2e665367082fea1d9038,all non-MDER fields except declared complete-family BH derivatives,,a180251214e15bafbe46119ce3b0460e95c29a1a7a329708d8f16e2422992f0c,a180251214e15bafbe46119ce3b0460e95c29a1a7a329708d8f16e2422992f0c,TRUE,1088,pre-install and post-merge serialized digests were asserted identical by refresh_h05_mder_metric010.R before atomic installation; this row records the installed digest,METRIC-010,4.6.1,FALSE
paired,artifacts/09_tables/H05/H05_paired_placement_comparison.csv,6c32b46e027911976a272111824a31bd2bb9c97df5a67e3f9939b3dc0fe29864,c8ed4d4cfb962360b843ffc0c033619377863656d6d3c407321fa2429574d2d7,all non-MDER fields except declared complete-family BH derivatives,,f3e171e1d31dc09d76117af246836aaad167ea731d16f998f1e3d34d9720b0d3,f3e171e1d31dc09d76117af246836aaad167ea731d16f998f1e3d34d9720b0d3,TRUE,64,pre-install and post-merge serialized digests were asserted identical by refresh_h05_mder_metric010.R before atomic installation; this row records the installed digest,METRIC-010,4.6.1,FALSE
gap,artifacts/09_tables/H05/H05_manuscript_prepared_comparison.csv,f15b70e9bc3310194487bcdd0292d93f6fa5ca9ce7a3afa9eed637f96ee815ed,ec6786a6eb61d604a065205c5004f178f416cf9807e1001cdc1db9a49c9a0386,all non-MDER fields except declared complete-family BH derivatives,,f8eee652ea6dd2f6e877fbdb7f2fe481ccc1b9d668af463945ac89ceb2bd449f,f8eee652ea6dd2f6e877fbdb7f2fe481ccc1b9d668af463945ac89ceb2bd449f,TRUE,64,pre-install and post-merge serialized digests were asserted identical by refresh_h05_mder_metric010.R before atomic installation; this row records the installed digest,METRIC-010,4.6.1,FALSE
v0,artifacts/09_tables/H05/H05_v0_reproduction.csv,447a69dd9d0d354fecd33fb85c69cfd25efe7cbf918ca7a4f5678c69eb8a1ba2,4ccde869fdce5b8dce1e29e74ef51b3234669d8881314954a1dd6c3235c3febe,all non-MDER fields except declared complete-family BH derivatives,,00d3f3511c5b2dd646c0747445c90d11d7bba9c067a031f38c745a9547a2724c,00d3f3511c5b2dd646c0747445c90d11d7bba9c067a031f38c745a9547a2724c,TRUE,128,pre-install and post-merge serialized digests were asserted identical by refresh_h05_mder_metric010.R before atomic installation; this row records the installed digest,METRIC-010,4.6.1,FALSE
v0_to_new,artifacts/09_tables/H05/H05_v0_to_new_comparison.csv,f99016634168d8a0e673d6be810b2ae6be61d10777e8d021441bea93dc273be8,fe75cd56231bbbc3cbf9bdeb394876a5654e7afc2cee0d93b5950b9eb71c6411,all non-MDER fields except declared complete-family BH derivatives,fixed_site_p_adjusted;primary_bh_flag,7964d24ec3b83976c6fd44aabfd8684bb16c89575623b22f6759f92c8f70632b,7964d24ec3b83976c6fd44aabfd8684bb16c89575623b22f6759f92c8f70632b,TRUE,64,pre-install and post-merge serialized digests were asserted identical by refresh_h05_mder_metric010.R before atomic installation; this row records the installed digest,METRIC-010,4.6.1,FALSE
diagnostic_plot,artifacts/11_source_data/H05/H05_primary_diagnostic_plot_data.csv,510976d6f7b6f27253f60124720924bb525a7c36125938c6e8730965133c26b9,30e7415e297e86f70aab6e10ea715557f79f467898ccdc74c404dc9dd7c67cf9,all non-MDER fields except declared complete-family BH derivatives,,af87191a5ff467e9838ff3678cc6294fd82ac2e031ae4422deb3a99e7c5f9734,af87191a5ff467e9838ff3678cc6294fd82ac2e031ae4422deb3a99e7c5f9734,TRUE,88648,pre-install and post-merge serialized digests were asserted identical by refresh_h05_mder_metric010.R before atomic installation; this row records the installed digest,METRIC-010,4.6.1,FALSE
model_frame_objects,artifacts/06_model_data/H05/H05_model_frames.rds,d99af99105547141bdd183f1d326502b4cbe97cf580a0fc434de732387fb1819,834cf48d99a9ff555c754d0d4de8fba7ee42261511a30767404e389698f5bf25,all 128 non-MDER model-frame objects,,447d7f2cd95758dc83239d576d033a0eb7bf50fef99feeeee5f337e68dbdb709,447d7f2cd95758dc83239d576d033a0eb7bf50fef99feeeee5f337e68dbdb709,TRUE,128,pre-install and post-replacement object-list digests were asserted identical by refresh_h05_mder_metric010.R; this row records the installed object-list digest,METRIC-010,4.6.1,FALSE
inferential_model_objects,artifacts/07_models/H05/H05_inferential_model_objects.rds,713cfb8ce1defe76f4ae0fb81958ac0db5c5ddfd5533afa4cdbeed0ad648deb0,1c7bb1507506f59da2aa081435106b1f726e9a1815ac57b102c01affa6e88d3e,all 192 non-MDER inferential model bundles,,b069dcc9a5ea23e66761a825a16a27f900643ecbef6dc7c10769e76a91f796f2,b069dcc9a5ea23e66761a825a16a27f900643ecbef6dc7c10769e76a91f796f2,TRUE,192,pre-install and post-replacement object-list digests were asserted identical by refresh_h05_mder_metric010.R; this row records the installed object-list digest,METRIC-010,4.6.1,FALSE
