run_id,working_power,formula,scenario_id,placement,observations,participants,participant_days,sites,exact_zero_hours,boundary_hours
influence__Near-eye__site__RISE,1.539919,geo_medi_1h ~ site + light_source,delete_site,Near-eye,16119,127,723,8,4466,2159
influence__Near-eye__site__THUAS,1.539919,geo_medi_1h ~ site + light_source,delete_site,Near-eye,16288,127,725,8,4528,2199
influence__Near-eye__site__TUM,1.539919,geo_medi_1h ~ site + light_source,delete_site,Near-eye,16545,130,741,8,4683,2190
influence__Near-eye__site__UCR,1.539919,geo_medi_1h ~ site + light_source,delete_site,Near-eye,17277,134,769,8,4869,2293
influence__Near-eye__participant__BAUA.BAUA_S012,1.539919,geo_medi_1h ~ site + light_source,delete_participant,Near-eye,17805,139,795,9,4953,2382
influence__Near-eye__participant__KNUST.KNUST_S013,1.539919,geo_medi_1h ~ site + light_source,delete_participant,Near-eye,17793,139,795,9,4928,2382
influence__Near-eye__participant__TUM.TUM_S008,1.539919,geo_medi_1h ~ site + light_source,delete_participant,Near-eye,17803,139,795,9,4960,2370
influence__Near-eye__participant__RISE.RISE_S012,1.539919,geo_medi_1h ~ site + light_source,delete_participant,Near-eye,17767,139,794,9,4910,2379
influence__Near-eye__participant__MPI.MPI_S204,1.539919,geo_medi_1h ~ site + light_source,delete_participant,Near-eye,17818,139,796,9,4954,2377
influence__Chest__participant__KNUST.KNUST_S007,1.539919,geo_medi_1h ~ site + light_source,delete_participant,Chest,19420,150,876,8,5376,2558
influence__Chest__participant__RISE.RISE_S008,1.539919,geo_medi_1h ~ site + light_source,delete_participant,Chest,19370,150,874,8,5366,2559
influence__Chest__participant__TUM.TUM_S008,1.539919,geo_medi_1h ~ site + light_source,delete_participant,Chest,19380,150,874,8,5388,2544
influence__Chest__participant__BAUA.BAUA_S009,1.539919,geo_medi_1h ~ site + light_source,delete_participant,Chest,19372,150,874,8,5378,2550
influence__Chest__participant__RISE.RISE_S012,1.539919,geo_medi_1h ~ site + light_source,delete_participant,Chest,19344,150,873,8,5342,2553
