site,location,modality,object_name,repository,commit,doi,source_url,source_sha256,source_bytes,source_timezone,source_rows,source_participants,source_columns,source_start_utc,source_end_utc
IZTECH,"Izmir, Türkiye",light_glasses,light_glasses,DidikogluEtAl_Dataset_2025,15b1150ce0c62339d299de24359b4257218560d8,10.5281/zenodo.16568109,https://raw.githubusercontent.com/MeLiDosProject/DidikogluEtAl_Dataset_2025/15b1150ce0c62339d299de24359b4257218560d8/data/imported/light/light_glasses.RData,e78582d1c1de6be748dbca679a5aae333131c0e08373569300a84058e7537ab5,25227820,Europe/Istanbul,1209600,17,37,2024-12-22 21:00:00 UTC,2025-06-02 20:59:50 UTC
IZTECH,"Izmir, Türkiye",light_chest,light_chest,DidikogluEtAl_Dataset_2025,15b1150ce0c62339d299de24359b4257218560d8,10.5281/zenodo.16568109,https://raw.githubusercontent.com/MeLiDosProject/DidikogluEtAl_Dataset_2025/15b1150ce0c62339d299de24359b4257218560d8/data/imported/light/light_chest.RData,9edfa5993674db94ad15f562521c6ff44f558d117aa4662cd2141e6e1ff31800,25485763,Europe/Istanbul,1209600,17,37,2024-12-22 21:00:06 UTC,2025-06-02 20:59:59 UTC
KNUST,"Kumasi, Ghana",sleepdiaries,sleepdiary,AkuffoEtAl_Dataset_2025,ea49a38edfb1f6397302f37776a4496ed0ca2dd5,10.5281/zenodo.15576731,https://raw.githubusercontent.com/MeLiDosProject/AkuffoEtAl_Dataset_2025/ea49a38edfb1f6397302f37776a4496ed0ca2dd5/data/imported/continuous/sleepdiaries.RData,e60e14a538f8765aa60eeaadfdfdcc1f0edd6dca487d03c534f066bb1d04b197,4025,Africa/Accra,104,15,14,2024-10-07 20:10:00 UTC,2025-02-03 06:00:00 UTC
KNUST,"Kumasi, Ghana",wearlog,wearlog,AkuffoEtAl_Dataset_2025,ea49a38edfb1f6397302f37776a4496ed0ca2dd5,10.5281/zenodo.15576731,https://raw.githubusercontent.com/MeLiDosProject/AkuffoEtAl_Dataset_2025/ea49a38edfb1f6397302f37776a4496ed0ca2dd5/data/imported/continuous/wearlog.RData,75ad3dbb6e519fa8d526b833483b7cb480fc2d94b8ebc99f8f4b33ffd5f27f82,3495,Africa/Accra,164,15,14,2024-10-10 14:53:00 UTC,2025-02-03 07:48:00 UTC
KNUST,"Kumasi, Ghana",light_glasses,light_glasses,AkuffoEtAl_Dataset_2025,ea49a38edfb1f6397302f37776a4496ed0ca2dd5,10.5281/zenodo.15576731,https://raw.githubusercontent.com/MeLiDosProject/AkuffoEtAl_Dataset_2025/ea49a38edfb1f6397302f37776a4496ed0ca2dd5/data/imported/light/light_glasses.RData,405d423f4a322fb66d0fc1225456a2456404d4f9ab42a209e31e27c1ebe7e0e9,17344087,Africa/Accra,1028160,15,30,2024-10-07 00:00:02 UTC,2025-02-03 23:59:50 UTC
KNUST,"Kumasi, Ghana",light_chest,light_chest,AkuffoEtAl_Dataset_2025,ea49a38edfb1f6397302f37776a4496ed0ca2dd5,10.5281/zenodo.15576731,https://raw.githubusercontent.com/MeLiDosProject/AkuffoEtAl_Dataset_2025/ea49a38edfb1f6397302f37776a4496ed0ca2dd5/data/imported/light/light_chest.RData,0397df1b2c4d5c2ea98fa7707bcd07048140fa1c239823c814733da81b5d1377,18214427,Africa/Accra,1019520,15,29,2024-10-07 00:00:08 UTC,2025-02-03 23:59:50 UTC
MPI,"Tübingen, Germany",sleepdiaries,sleepdiary,GuidolinEtAl_Dataset_2025,cd0099b0eed758692bdc9f23071d4a052ff8f72f,10.5281/zenodo.16895188,https://raw.githubusercontent.com/MeLiDosProject/GuidolinEtAl_Dataset_2025/cd0099b0eed758692bdc9f23071d4a052ff8f72f/data/imported/continuous/sleepdiaries.RData,868b51fdfd4c8632ee3e12478dc1410a1d7901b9781a00dda71c1a6103abdb91,7757,Europe/Berlin,182,26,14,2023-08-14 20:30:00 UTC,2023-11-13 07:15:00 UTC
MPI,"Tübingen, Germany",wearlog,wearlog,GuidolinEtAl_Dataset_2025,cd0099b0eed758692bdc9f23071d4a052ff8f72f,10.5281/zenodo.16895188,https://raw.githubusercontent.com/MeLiDosProject/GuidolinEtAl_Dataset_2025/cd0099b0eed758692bdc9f23071d4a052ff8f72f/data/imported/continuous/wearlog.RData,21bb71c2cef2e70f32f72927c597eb808acb417bce4c91cba80ee30a50abdc5b,6142,Europe/Berlin,372,26,14,2023-08-14 15:40:00 UTC,2023-11-13 07:15:00 UTC
MPI,"Tübingen, Germany",light_glasses,light_glasses,GuidolinEtAl_Dataset_2025,cd0099b0eed758692bdc9f23071d4a052ff8f72f,10.5281/zenodo.16895188,https://raw.githubusercontent.com/MeLiDosProject/GuidolinEtAl_Dataset_2025/cd0099b0eed758692bdc9f23071d4a052ff8f72f/data/imported/light/light_glasses.RData,17de149ce4be62ab0074f7942279030ebc889b4af947d54c892f1a869232d787,37617638,Europe/Berlin,1797840,26,37,2023-08-13 22:00:01 UTC,2023-11-13 22:59:56 UTC
RISE,"Borås, Sweden",sleepdiaries,sleepdiary,NilssonTengelinEtAl_Dataset_2026,12ca7139b78949ab84e0be92822d03910c1e47c8,10.5281/zenodo.18925834,https://raw.githubusercontent.com/MeLiDosProject/NilssonTengelinEtAl_Dataset_2026/12ca7139b78949ab84e0be92822d03910c1e47c8/data/imported/continuous/sleepdiaries.RData,a958d83f02bce5b44f4d30ecd058b046cae762f6b298921c3e9862992d94bf4b,5145,Europe/Stockholm,117,17,14,2025-03-03 22:13:00 UTC,2025-10-20 04:03:00 UTC
RISE,"Borås, Sweden",wearlog,wearlog,NilssonTengelinEtAl_Dataset_2026,12ca7139b78949ab84e0be92822d03910c1e47c8,10.5281/zenodo.18925834,https://raw.githubusercontent.com/MeLiDosProject/NilssonTengelinEtAl_Dataset_2026/12ca7139b78949ab84e0be92822d03910c1e47c8/data/imported/continuous/wearlog.RData,f17e772770b942d62f6922ef3b786f84131c237e37df1482fb53ab78c55d3586,3859,Europe/Stockholm,185,16,14,2025-03-03 22:11:00 UTC,2025-10-20 05:02:00 UTC
RISE,"Borås, Sweden",light_glasses,light_glasses,NilssonTengelinEtAl_Dataset_2026,12ca7139b78949ab84e0be92822d03910c1e47c8,10.5281/zenodo.18925834,https://raw.githubusercontent.com/MeLiDosProject/NilssonTengelinEtAl_Dataset_2026/12ca7139b78949ab84e0be92822d03910c1e47c8/data/imported/light/light_glasses.RData,ad5ff229ea7d0431196771d8cb85c799f625d878c88c4035873622ee473f958b,23275541,Europe/Stockholm,1079640,14,29,2025-03-02 23:00:07 UTC,2025-10-13 21:59:52 UTC
RISE,"Borås, Sweden",light_chest,light_chest,NilssonTengelinEtAl_Dataset_2026,12ca7139b78949ab84e0be92822d03910c1e47c8,10.5281/zenodo.18925834,https://raw.githubusercontent.com/MeLiDosProject/NilssonTengelinEtAl_Dataset_2026/12ca7139b78949ab84e0be92822d03910c1e47c8/data/imported/light/light_chest.RData,070555298f7a20c421ba25dd8372f1c18d18eab0f1a7bf2c987fb5eaf96ecd72,26619740,Europe/Stockholm,1183320,17,29,2025-03-02 23:00:06 UTC,2025-10-20 21:59:52 UTC
THUAS,"Delft, the Netherlands",sleepdiaries,sleepdiary,AertsEtAl_Dataset_2025,19bf83f353e1cbdd33cd22621b2484bc3ead0c7d,10.5281/zenodo.17979893,https://raw.githubusercontent.com/MeLiDosProject/AertsEtAl_Dataset_2025/19bf83f353e1cbdd33cd22621b2484bc3ead0c7d/data/imported/continuous/sleepdiaries.RData,b143d5948aa5b43d99aa00eb8d7f17d37705413c07ba3cd4b90372d12d94c305,6382,Europe/Amsterdam,101,15,14,2025-02-23 01:15:00 UTC,2025-10-14 05:30:00 UTC
THUAS,"Delft, the Netherlands",wearlog,wearlog,AertsEtAl_Dataset_2025,19bf83f353e1cbdd33cd22621b2484bc3ead0c7d,10.5281/zenodo.17979893,https://raw.githubusercontent.com/MeLiDosProject/AertsEtAl_Dataset_2025/19bf83f353e1cbdd33cd22621b2484bc3ead0c7d/data/imported/continuous/wearlog.RData,7ed4931e81afc0cf24d1cb5d307f80aa48d96d665574879917e1aca557574d68,3434,Europe/Amsterdam,123,12,14,2025-02-23 10:23:00 UTC,2025-09-28 08:04:00 UTC
THUAS,"Delft, the Netherlands",light_glasses,light_glasses,AertsEtAl_Dataset_2025,19bf83f353e1cbdd33cd22621b2484bc3ead0c7d,10.5281/zenodo.17979893,https://raw.githubusercontent.com/MeLiDosProject/AertsEtAl_Dataset_2025/19bf83f353e1cbdd33cd22621b2484bc3ead0c7d/data/imported/light/light_glasses.RData,51025e37bad8516558845d177ac0d00a1c3bf8357b518448aa24d4ff8d6f56e7,19532673,Europe/Amsterdam,924120,13,29,2025-02-20 23:00:00 UTC,2025-09-28 21:59:50 UTC
THUAS,"Delft, the Netherlands",light_chest,light_chest,AertsEtAl_Dataset_2025,19bf83f353e1cbdd33cd22621b2484bc3ead0c7d,10.5281/zenodo.17979893,https://raw.githubusercontent.com/MeLiDosProject/AertsEtAl_Dataset_2025/19bf83f353e1cbdd33cd22621b2484bc3ead0c7d/data/imported/light/light_chest.RData,a13b91ac2843ee841d79ac6ba4b1b8652a5be55ebb59db1c467bf04561ded32d,23817165,Europe/Amsterdam,1079640,15,29,2025-02-20 23:00:06 UTC,2025-10-14 21:59:54 UTC
TUM,"Munich, Germany",sleepdiaries,sleepdiary,HildenEtAl_Dataset_2025,eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57,10.5281/zenodo.16893901,https://raw.githubusercontent.com/MeLiDosProject/HildenEtAl_Dataset_2025/eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57/data/imported/continuous/sleepdiaries.RData,2806ea1d87d407ef67732c01d0430b562c1bc8c5b7a5e5af4aeab5ca6ad65004,3117,Europe/Berlin,70,10,14,2024-05-13 22:15:00 UTC,2024-07-29 06:00:00 UTC
TUM,"Munich, Germany",wearlog,wearlog,HildenEtAl_Dataset_2025,eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57,10.5281/zenodo.16893901,https://raw.githubusercontent.com/MeLiDosProject/HildenEtAl_Dataset_2025/eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57/data/imported/continuous/wearlog.RData,43c2b326af597b1efc2a6232dd477e2e3797cd6c84b9171587ff391747166158,3521,Europe/Berlin,155,10,14,2024-05-13 22:30:00 UTC,2024-07-29 06:59:00 UTC
TUM,"Munich, Germany",light_glasses,light_glasses,HildenEtAl_Dataset_2025,eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57,10.5281/zenodo.16893901,https://raw.githubusercontent.com/MeLiDosProject/HildenEtAl_Dataset_2025/eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57/data/imported/light/light_glasses.RData,7c5b6c7b386c953d30b44451159c990c9fb16e05fa4384d4656bd8d6884e86b0,14685903,Europe/Berlin,691200,10,37,2024-05-12 22:00:03 UTC,2024-07-29 21:59:57 UTC
TUM,"Munich, Germany",light_chest,light_chest,HildenEtAl_Dataset_2025,eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57,10.5281/zenodo.16893901,https://raw.githubusercontent.com/MeLiDosProject/HildenEtAl_Dataset_2025/eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57/data/imported/light/light_chest.RData,6894aa8edc3d22560605cac4314b0b5da6d81826cc33ff6b1231dada52268091,14119078,Europe/Berlin,691200,10,37,2024-05-12 22:00:05 UTC,2024-07-29 21:59:50 UTC
UCR,"San José, Costa Rica",sleepdiaries,sleepdiary,Sancho-SalasEtAl_Dataset_2025,ed90d9ac91b9fa81c0869dafbe6efb3c8d9faed3,10.5281/zenodo.17289456,https://raw.githubusercontent.com/MeLiDosProject/Sancho-SalasEtAl_Dataset_2025/ed90d9ac91b9fa81c0869dafbe6efb3c8d9faed3/data/imported/continuous/sleepdiaries.RData,7be2c52ae5dda7c7bd46dee30a13aef7fddc5c35fdd711b074dd9b1e59465ed9,13513,America/Costa_Rica,267,39,14,2025-06-17 03:30:00 UTC,2025-09-07 13:25:00 UTC
UCR,"San José, Costa Rica",wearlog,wearlog,Sancho-SalasEtAl_Dataset_2025,ed90d9ac91b9fa81c0869dafbe6efb3c8d9faed3,10.5281/zenodo.17289456,https://raw.githubusercontent.com/MeLiDosProject/Sancho-SalasEtAl_Dataset_2025/ed90d9ac91b9fa81c0869dafbe6efb3c8d9faed3/data/imported/continuous/wearlog.RData,1e27bd6f03f35d172b16dbed5ba296bd9a60d10e961b180ca52c9e87b62306c8,9618,America/Costa_Rica,510,39,14,2025-06-17 03:22:00 UTC,2025-09-07 16:43:00 UTC
UCR,"San José, Costa Rica",light_glasses,light_glasses,Sancho-SalasEtAl_Dataset_2025,ed90d9ac91b9fa81c0869dafbe6efb3c8d9faed3,10.5281/zenodo.17289456,https://raw.githubusercontent.com/MeLiDosProject/Sancho-SalasEtAl_Dataset_2025/ed90d9ac91b9fa81c0869dafbe6efb3c8d9faed3/data/imported/light/light_glasses.RData,2c0bd29db10c7995b24aa6f2b5764e40ac3697b143684fbda4a0f17033c7c95a,8551810,America/Costa_Rica,414720,6,29,2025-06-16 06:00:00 UTC,2025-07-01 05:59:50 UTC
UCR,"San José, Costa Rica",light_chest,light_chest,Sancho-SalasEtAl_Dataset_2025,ed90d9ac91b9fa81c0869dafbe6efb3c8d9faed3,10.5281/zenodo.17289456,https://raw.githubusercontent.com/MeLiDosProject/Sancho-SalasEtAl_Dataset_2025/ed90d9ac91b9fa81c0869dafbe6efb3c8d9faed3/data/imported/light/light_chest.RData,52e56ae7b3e8a2971cac855ed660b0a6febf08e408df6b1530a47a7fe854aa05,59543045,America/Costa_Rica,2695680,39,29,2025-06-16 06:00:02 UTC,2025-09-08 05:59:57 UTC
