placement,site,light_source,hours,participants,participant_days,reference_hours,reference_participants,shared_participants,site_present,supported,category_order,category_code,short_label,display_order,display_name,color_hex,support_status
Near-eye,MPI,Darkness during sleep,940,24,136,821,26,24,TRUE,TRUE,6,sleep_darkness,Sleep darkness,4,Tübingen (DE),#DDCC77,Supported
Near-eye,MPI,Light entering from outside during sleep,286,19,81,821,26,19,TRUE,TRUE,7,sleep_external_light,External light during sleep,4,Tübingen (DE),#DDCC77,Supported
Near-eye,TUM,Electric light source indoors,338,10,58,338,10,10,TRUE,TRUE,1,electric_indoor,Indoor electric,5,Munich (DE),#DDCC77,Supported
Near-eye,TUM,Electric light source outdoors,6,2,4,338,10,2,TRUE,FALSE,2,electric_outdoor,Outdoor electric,5,Munich (DE),#DDCC77,Observed but sparse
Near-eye,TUM,Daylight indoors,430,10,52,338,10,10,TRUE,TRUE,3,daylight_indoor,Indoor daylight,5,Munich (DE),#DDCC77,Supported
Near-eye,TUM,Daylight outdoors (including shade),82,10,41,338,10,10,TRUE,TRUE,4,daylight_outdoor,Outdoor daylight,5,Munich (DE),#DDCC77,Supported
Near-eye,TUM,Emissive display light,34,4,13,338,10,4,TRUE,FALSE,5,display,Emissive display,5,Munich (DE),#DDCC77,Observed but sparse
Near-eye,TUM,Darkness during sleep,371,9,48,338,10,9,TRUE,TRUE,6,sleep_darkness,Sleep darkness,5,Munich (DE),#DDCC77,Supported
Near-eye,TUM,Light entering from outside during sleep,129,6,20,338,10,6,TRUE,TRUE,7,sleep_external_light,External light during sleep,5,Munich (DE),#DDCC77,Supported
Near-eye,FUSPCEU,Electric light source indoors,868,23,112,868,23,23,TRUE,TRUE,1,electric_indoor,Indoor electric,6,Madrid (ES),#CC6677,Supported
Near-eye,FUSPCEU,Electric light source outdoors,35,11,24,868,23,11,TRUE,TRUE,2,electric_outdoor,Outdoor electric,6,Madrid (ES),#CC6677,Supported
Near-eye,FUSPCEU,Daylight indoors,502,23,92,868,23,23,TRUE,TRUE,3,daylight_indoor,Indoor daylight,6,Madrid (ES),#CC6677,Supported
Near-eye,FUSPCEU,Daylight outdoors (including shade),218,21,72,868,23,21,TRUE,TRUE,4,daylight_outdoor,Outdoor daylight,6,Madrid (ES),#CC6677,Supported
Near-eye,FUSPCEU,Emissive display light,94,11,30,868,23,11,TRUE,TRUE,5,display,Emissive display,6,Madrid (ES),#CC6677,Supported
Near-eye,FUSPCEU,Darkness during sleep,834,19,103,868,23,19,TRUE,TRUE,6,sleep_darkness,Sleep darkness,6,Madrid (ES),#CC6677,Supported
Near-eye,FUSPCEU,Light entering from outside during sleep,2,1,1,868,23,1,TRUE,FALSE,7,sleep_external_light,External light during sleep,6,Madrid (ES),#CC6677,Observed but sparse
Near-eye,IZTECH,Electric light source indoors,695,16,93,695,16,16,TRUE,TRUE,1,electric_indoor,Indoor electric,7,Izmir (TR),#332288,Supported
Near-eye,IZTECH,Electric light source outdoors,41,6,17,695,16,6,TRUE,TRUE,2,electric_outdoor,Outdoor electric,7,Izmir (TR),#332288,Supported
Near-eye,IZTECH,Daylight indoors,587,16,80,695,16,16,TRUE,TRUE,3,daylight_indoor,Indoor daylight,7,Izmir (TR),#332288,Supported
Near-eye,IZTECH,Daylight outdoors (including shade),95,14,43,695,16,14,TRUE,TRUE,4,daylight_outdoor,Outdoor daylight,7,Izmir (TR),#332288,Supported
Near-eye,IZTECH,Emissive display light,65,10,28,695,16,10,TRUE,TRUE,5,display,Emissive display,7,Izmir (TR),#332288,Supported
Near-eye,IZTECH,Darkness during sleep,602,16,86,695,16,16,TRUE,TRUE,6,sleep_darkness,Sleep darkness,7,Izmir (TR),#332288,Supported
Near-eye,IZTECH,Light entering from outside during sleep,130,8,29,695,16,8,TRUE,TRUE,7,sleep_external_light,External light during sleep,7,Izmir (TR),#332288,Supported
Near-eye,UCR,Electric light source indoors,208,6,27,208,6,6,TRUE,TRUE,1,electric_indoor,Indoor electric,8,San José (CR),#44AA99,Supported
Near-eye,UCR,Electric light source outdoors,5,2,5,208,6,2,TRUE,FALSE,2,electric_outdoor,Outdoor electric,8,San José (CR),#44AA99,Observed but sparse
Near-eye,UCR,Daylight indoors,212,6,30,208,6,6,TRUE,TRUE,3,daylight_indoor,Indoor daylight,8,San José (CR),#44AA99,Supported
Near-eye,UCR,Daylight outdoors (including shade),23,5,12,208,6,5,TRUE,TRUE,4,daylight_outdoor,Outdoor daylight,8,San José (CR),#44AA99,Supported
Near-eye,UCR,Emissive display light,46,5,16,208,6,5,TRUE,TRUE,5,display,Emissive display,8,San José (CR),#44AA99,Supported
Near-eye,UCR,Darkness during sleep,141,5,22,208,6,5,TRUE,TRUE,6,sleep_darkness,Sleep darkness,8,San José (CR),#44AA99,Supported
Near-eye,UCR,Light entering from outside during sleep,23,4,14,208,6,4,TRUE,FALSE,7,sleep_external_light,External light during sleep,8,San José (CR),#44AA99,Observed but sparse
Near-eye,KNUST,Electric light source indoors,610,15,77,610,15,15,TRUE,TRUE,1,electric_indoor,Indoor electric,9,Kumasi (GH),#AA4499,Supported
Near-eye,KNUST,Electric light source outdoors,59,15,38,610,15,15,TRUE,TRUE,2,electric_outdoor,Outdoor electric,9,Kumasi (GH),#AA4499,Supported
Near-eye,KNUST,Daylight indoors,260,15,59,610,15,15,TRUE,TRUE,3,daylight_indoor,Indoor daylight,9,Kumasi (GH),#AA4499,Supported
Near-eye,KNUST,Daylight outdoors (including shade),239,15,69,610,15,15,TRUE,TRUE,4,daylight_outdoor,Outdoor daylight,9,Kumasi (GH),#AA4499,Supported
Near-eye,KNUST,Emissive display light,57,9,23,610,15,9,TRUE,TRUE,5,display,Emissive display,9,Kumasi (GH),#AA4499,Supported
Near-eye,KNUST,Darkness during sleep,624,15,81,610,15,15,TRUE,TRUE,6,sleep_darkness,Sleep darkness,9,Kumasi (GH),#AA4499,Supported
Near-eye,KNUST,Light entering from outside during sleep,12,5,7,610,15,5,TRUE,FALSE,7,sleep_external_light,External light during sleep,9,Kumasi (GH),#AA4499,Observed but sparse
Chest,RISE,Electric light source indoors,549,16,76,549,16,16,TRUE,TRUE,1,electric_indoor,Indoor electric,1,Borås (SE),#88CCEE,Supported
Chest,RISE,Electric light source outdoors,8,2,4,549,16,2,TRUE,FALSE,2,electric_outdoor,Outdoor electric,1,Borås (SE),#88CCEE,Observed but sparse
Chest,RISE,Daylight indoors,582,15,83,549,16,15,TRUE,TRUE,3,daylight_indoor,Indoor daylight,1,Borås (SE),#88CCEE,Supported
Chest,RISE,Daylight outdoors (including shade),177,16,61,549,16,16,TRUE,TRUE,4,daylight_outdoor,Outdoor daylight,1,Borås (SE),#88CCEE,Supported
Chest,RISE,Emissive display light,143,13,50,549,16,13,TRUE,TRUE,5,display,Emissive display,1,Borås (SE),#88CCEE,Supported
Chest,RISE,Darkness during sleep,666,16,94,549,16,16,TRUE,TRUE,6,sleep_darkness,Sleep darkness,1,Borås (SE),#88CCEE,Supported
Chest,RISE,Light entering from outside during sleep,119,10,38,549,16,10,TRUE,TRUE,7,sleep_external_light,External light during sleep,1,Borås (SE),#88CCEE,Supported
Chest,THUAS,Electric light source indoors,550,15,74,550,15,15,TRUE,TRUE,1,electric_indoor,Indoor electric,2,Delft (NL),#117733,Supported
Chest,THUAS,Electric light source outdoors,15,6,7,550,15,6,TRUE,FALSE,2,electric_outdoor,Outdoor electric,2,Delft (NL),#117733,Observed but sparse
Chest,THUAS,Daylight indoors,472,14,74,550,15,14,TRUE,TRUE,3,daylight_indoor,Indoor daylight,2,Delft (NL),#117733,Supported
Chest,THUAS,Daylight outdoors (including shade),188,15,66,550,15,15,TRUE,TRUE,4,daylight_outdoor,Outdoor daylight,2,Delft (NL),#117733,Supported
Chest,THUAS,Emissive display light,137,12,33,550,15,12,TRUE,TRUE,5,display,Emissive display,2,Delft (NL),#117733,Supported
Chest,THUAS,Darkness during sleep,620,15,82,550,15,15,TRUE,TRUE,6,sleep_darkness,Sleep darkness,2,Delft (NL),#117733,Supported
Chest,THUAS,Light entering from outside during sleep,19,5,10,550,15,5,TRUE,FALSE,7,sleep_external_light,External light during sleep,2,Delft (NL),#117733,Observed but sparse
Chest,BAUA,Electric light source indoors,347,17,67,347,17,17,TRUE,TRUE,1,electric_indoor,Indoor electric,3,Dortmund (DE),#DDCC77,Supported
Chest,BAUA,Electric light source outdoors,2,2,2,347,17,2,TRUE,FALSE,2,electric_outdoor,Outdoor electric,3,Dortmund (DE),#DDCC77,Observed but sparse
Chest,BAUA,Daylight indoors,766,19,101,347,17,17,TRUE,TRUE,3,daylight_indoor,Indoor daylight,3,Dortmund (DE),#DDCC77,Supported
Chest,BAUA,Daylight outdoors (including shade),364,19,80,347,17,17,TRUE,TRUE,4,daylight_outdoor,Outdoor daylight,3,Dortmund (DE),#DDCC77,Supported
Chest,BAUA,Emissive display light,105,11,24,347,17,11,TRUE,TRUE,5,display,Emissive display,3,Dortmund (DE),#DDCC77,Supported
Chest,BAUA,Darkness during sleep,774,18,103,347,17,16,TRUE,TRUE,6,sleep_darkness,Sleep darkness,3,Dortmund (DE),#DDCC77,Supported
Chest,BAUA,Light entering from outside during sleep,140,11,41,347,17,11,TRUE,TRUE,7,sleep_external_light,External light during sleep,3,Dortmund (DE),#DDCC77,Supported
Chest,MPI,Electric light source indoors,0,0,0,0,0,0,FALSE,FALSE,1,electric_indoor,Indoor electric,4,Tübingen (DE),#DDCC77,No observations
Chest,MPI,Electric light source outdoors,0,0,0,0,0,0,FALSE,FALSE,2,electric_outdoor,Outdoor electric,4,Tübingen (DE),#DDCC77,No observations
Chest,MPI,Daylight indoors,0,0,0,0,0,0,FALSE,FALSE,3,daylight_indoor,Indoor daylight,4,Tübingen (DE),#DDCC77,No observations
Chest,MPI,Daylight outdoors (including shade),0,0,0,0,0,0,FALSE,FALSE,4,daylight_outdoor,Outdoor daylight,4,Tübingen (DE),#DDCC77,No observations
Chest,MPI,Emissive display light,0,0,0,0,0,0,FALSE,FALSE,5,display,Emissive display,4,Tübingen (DE),#DDCC77,No observations
Chest,MPI,Darkness during sleep,0,0,0,0,0,0,FALSE,FALSE,6,sleep_darkness,Sleep darkness,4,Tübingen (DE),#DDCC77,No observations
Chest,MPI,Light entering from outside during sleep,0,0,0,0,0,0,FALSE,FALSE,7,sleep_external_light,External light during sleep,4,Tübingen (DE),#DDCC77,No observations
Chest,TUM,Electric light source indoors,338,10,58,338,10,10,TRUE,TRUE,1,electric_indoor,Indoor electric,5,Munich (DE),#DDCC77,Supported
Chest,TUM,Electric light source outdoors,6,2,4,338,10,2,TRUE,FALSE,2,electric_outdoor,Outdoor electric,5,Munich (DE),#DDCC77,Observed but sparse
Chest,TUM,Daylight indoors,430,10,52,338,10,10,TRUE,TRUE,3,daylight_indoor,Indoor daylight,5,Munich (DE),#DDCC77,Supported
Chest,TUM,Daylight outdoors (including shade),82,10,41,338,10,10,TRUE,TRUE,4,daylight_outdoor,Outdoor daylight,5,Munich (DE),#DDCC77,Supported
Chest,TUM,Emissive display light,34,4,13,338,10,4,TRUE,FALSE,5,display,Emissive display,5,Munich (DE),#DDCC77,Observed but sparse
Chest,TUM,Darkness during sleep,371,9,48,338,10,9,TRUE,TRUE,6,sleep_darkness,Sleep darkness,5,Munich (DE),#DDCC77,Supported
Chest,TUM,Light entering from outside during sleep,129,6,20,338,10,6,TRUE,TRUE,7,sleep_external_light,External light during sleep,5,Munich (DE),#DDCC77,Supported
Chest,FUSPCEU,Electric light source indoors,854,22,109,854,22,22,TRUE,TRUE,1,electric_indoor,Indoor electric,6,Madrid (ES),#CC6677,Supported
Chest,FUSPCEU,Electric light source outdoors,30,10,21,854,22,10,TRUE,TRUE,2,electric_outdoor,Outdoor electric,6,Madrid (ES),#CC6677,Supported
Chest,FUSPCEU,Daylight indoors,495,22,90,854,22,22,TRUE,TRUE,3,daylight_indoor,Indoor daylight,6,Madrid (ES),#CC6677,Supported
Chest,FUSPCEU,Daylight outdoors (including shade),207,20,69,854,22,20,TRUE,TRUE,4,daylight_outdoor,Outdoor daylight,6,Madrid (ES),#CC6677,Supported
Chest,FUSPCEU,Emissive display light,93,10,29,854,22,10,TRUE,TRUE,5,display,Emissive display,6,Madrid (ES),#CC6677,Supported
Chest,FUSPCEU,Darkness during sleep,834,19,103,854,22,19,TRUE,TRUE,6,sleep_darkness,Sleep darkness,6,Madrid (ES),#CC6677,Supported
Chest,FUSPCEU,Light entering from outside during sleep,0,0,0,854,22,0,TRUE,FALSE,7,sleep_external_light,External light during sleep,6,Madrid (ES),#CC6677,No observations
Chest,IZTECH,Electric light source indoors,706,16,94,706,16,16,TRUE,TRUE,1,electric_indoor,Indoor electric,7,Izmir (TR),#332288,Supported
Chest,IZTECH,Electric light source outdoors,41,6,17,706,16,6,TRUE,TRUE,2,electric_outdoor,Outdoor electric,7,Izmir (TR),#332288,Supported
Chest,IZTECH,Daylight indoors,588,16,81,706,16,16,TRUE,TRUE,3,daylight_indoor,Indoor daylight,7,Izmir (TR),#332288,Supported
Chest,IZTECH,Daylight outdoors (including shade),96,14,44,706,16,14,TRUE,TRUE,4,daylight_outdoor,Outdoor daylight,7,Izmir (TR),#332288,Supported
Chest,IZTECH,Emissive display light,67,10,29,706,16,10,TRUE,TRUE,5,display,Emissive display,7,Izmir (TR),#332288,Supported
Chest,IZTECH,Darkness during sleep,610,16,87,706,16,16,TRUE,TRUE,6,sleep_darkness,Sleep darkness,7,Izmir (TR),#332288,Supported
Chest,IZTECH,Light entering from outside during sleep,130,8,29,706,16,8,TRUE,TRUE,7,sleep_external_light,External light during sleep,7,Izmir (TR),#332288,Supported
Chest,UCR,Electric light source indoors,1494,38,207,1494,38,38,TRUE,TRUE,1,electric_indoor,Indoor electric,8,San José (CR),#44AA99,Supported
Chest,UCR,Electric light source outdoors,52,16,33,1494,38,16,TRUE,TRUE,2,electric_outdoor,Outdoor electric,8,San José (CR),#44AA99,Supported
Chest,UCR,Daylight indoors,1381,37,200,1494,38,37,TRUE,TRUE,3,daylight_indoor,Indoor daylight,8,San José (CR),#44AA99,Supported
Chest,UCR,Daylight outdoors (including shade),331,36,122,1494,38,36,TRUE,TRUE,4,daylight_outdoor,Outdoor daylight,8,San José (CR),#44AA99,Supported
Chest,UCR,Emissive display light,220,28,72,1494,38,28,TRUE,TRUE,5,display,Emissive display,8,San José (CR),#44AA99,Supported
Chest,UCR,Darkness during sleep,1009,34,166,1494,38,34,TRUE,TRUE,6,sleep_darkness,Sleep darkness,8,San José (CR),#44AA99,Supported
Chest,UCR,Light entering from outside during sleep,210,18,80,1494,38,18,TRUE,TRUE,7,sleep_external_light,External light during sleep,8,San José (CR),#44AA99,Supported
Chest,KNUST,Electric light source indoors,630,15,80,630,15,15,TRUE,TRUE,1,electric_indoor,Indoor electric,9,Kumasi (GH),#AA4499,Supported
Chest,KNUST,Electric light source outdoors,65,15,41,630,15,15,TRUE,TRUE,2,electric_outdoor,Outdoor electric,9,Kumasi (GH),#AA4499,Supported
Chest,KNUST,Daylight indoors,265,15,60,630,15,15,TRUE,TRUE,3,daylight_indoor,Indoor daylight,9,Kumasi (GH),#AA4499,Supported
Chest,KNUST,Daylight outdoors (including shade),241,15,71,630,15,15,TRUE,TRUE,4,daylight_outdoor,Outdoor daylight,9,Kumasi (GH),#AA4499,Supported
Chest,KNUST,Emissive display light,62,9,25,630,15,9,TRUE,TRUE,5,display,Emissive display,9,Kumasi (GH),#AA4499,Supported
Chest,KNUST,Darkness during sleep,656,15,84,630,15,15,TRUE,TRUE,6,sleep_darkness,Sleep darkness,9,Kumasi (GH),#AA4499,Supported
Chest,KNUST,Light entering from outside during sleep,12,5,7,630,15,5,TRUE,FALSE,7,sleep_external_light,External light during sleep,9,Kumasi (GH),#AA4499,Observed but sparse
