placement,log10_lower,log10_upper,log10_midpoint,mel_edi_lower_lx,mel_edi_upper_lx,mel_edi_midpoint_lx,interval,positive_hours
Near-eye,4.5,4.75,4.625,31622.776601683792,56234.13251903491,42169.65034285822,39,0
Near-eye,4.75,5,4.875,56234.13251903491,100000,74989.42093324558,40,1
Chest,-5,-4.75,-4.875,1e-5,1.778279410038923e-5,1.333521432163324e-5,1,0
Chest,-4.75,-4.5,-4.625,1.778279410038923e-5,3.1622776601683795e-5,2.3713737056616554e-5,2,3
Chest,-4.5,-4.25,-4.375,3.1622776601683795e-5,5.623413251903491e-5,4.216965034285822e-5,3,8
Chest,-4.25,-4,-4.125,5.623413251903491e-5,1e-4,7.498942093324559e-5,4,6
Chest,-4,-3.75,-3.875,1e-4,1.7782794100389227e-4,1.333521432163324e-4,5,8
Chest,-3.75,-3.5,-3.625,1.7782794100389227e-4,3.1622776601683794e-4,2.3713737056616554e-4,6,15
Chest,-3.5,-3.25,-3.375,3.1622776601683794e-4,5.623413251903491e-4,4.2169650342858224e-4,7,18
Chest,-3.25,-3,-3.125,5.623413251903491e-4,0.001,7.498942093324559e-4,8,24
Chest,-3,-2.75,-2.875,0.001,0.0017782794100389228,0.001333521432163324,9,29
Chest,-2.75,-2.5,-2.625,0.0017782794100389228,0.0031622776601683794,0.0023713737056616554,10,55
Chest,-2.5,-2.25,-2.375,0.0031622776601683794,0.005623413251903491,0.004216965034285823,11,48
Chest,-2.25,-2,-2.125,0.005623413251903491,0.01,0.007498942093324558,12,89
Chest,-2,-1.75,-1.875,0.01,0.01778279410038923,0.01333521432163324,13,87
Chest,-1.75,-1.5,-1.625,0.01778279410038923,0.03162277660168379,0.023713737056616554,14,114
Chest,-1.5,-1.25,-1.375,0.03162277660168379,0.05623413251903491,0.042169650342858224,15,159
Chest,-1.25,-1,-1.125,0.05623413251903491,0.1,0.07498942093324558,16,215
Chest,-1,-0.75,-0.875,0.1,0.1778279410038923,0.1333521432163324,17,265
Chest,-0.75,-0.5,-0.625,0.1778279410038923,0.31622776601683794,0.23713737056616552,18,329
Chest,-0.5,-0.25,-0.375,0.31622776601683794,0.5623413251903491,0.4216965034285822,19,370
Chest,-0.25,0,-0.125,0.5623413251903491,1,0.7498942093324559,20,405
Chest,0,0.25,0.125,1,1.7782794100389228,1.333521432163324,21,494
Chest,0.25,0.5,0.375,1.7782794100389228,3.1622776601683795,2.371373705661655,22,549
Chest,0.5,0.75,0.625,3.1622776601683795,5.623413251903491,4.216965034285822,23,690
Chest,0.75,1,0.875,5.623413251903491,10,7.498942093324558,24,874
Chest,1,1.25,1.125,10,17.78279410038923,13.33521432163324,25,991
Chest,1.25,1.5,1.375,17.78279410038923,31.622776601683793,23.71373705661655,26,1105
Chest,1.5,1.75,1.625,31.622776601683793,56.23413251903491,42.169650342858226,27,1266
Chest,1.75,2,1.875,56.23413251903491,100,74.98942093324558,28,1396
Chest,2,2.25,2.125,100,177.82794100389228,133.3521432163324,29,1379
Chest,2.25,2.5,2.375,177.82794100389228,316.22776601683796,237.13737056616552,30,1200
Chest,2.5,2.75,2.625,316.22776601683796,562.341325190349,421.6965034285823,31,778
Chest,2.75,3,2.875,562.341325190349,1000,749.8942093324558,32,444
Chest,3,3.25,3.125,1000,1778.2794100389228,1333.521432163324,33,280
Chest,3.25,3.5,3.375,1778.2794100389228,3162.2776601683795,2371.373705661655,34,170
Chest,3.5,3.75,3.625,3162.2776601683795,5623.413251903491,4216.965034285822,35,119
Chest,3.75,4,3.875,5623.413251903491,10000,7498.942093324558,36,61
Chest,4,4.25,4.125,10000,17782.794100389227,13335.21432163324,37,39
Chest,4.25,4.5,4.375,17782.794100389227,31622.776601683792,23713.737056616552,38,14
Chest,4.5,4.75,4.625,31622.776601683792,56234.13251903491,42169.65034285822,39,7
Chest,4.75,5,4.875,56234.13251903491,100000,74989.42093324558,40,0
