comparison_id,comparison_role,placement,metric_id,run_a,run_b,metric_order,manuscript_name,effect_scale,display_unit
gap_total__near_eye,preparation_total_difference,near_eye,l10_mean_medi,primary__near_eye,gap_timing_unaware__near_eye,3,Darkest 10 h mean,ratio,lx
gap_total__near_eye,preparation_total_difference,near_eye,longest_bout_above_250,primary__near_eye,gap_timing_unaware__near_eye,8,Longest continuous period above 250 lx melEDI,ratio,h
gap_total__near_eye,preparation_total_difference,near_eye,m10_mean_medi,primary__near_eye,gap_timing_unaware__near_eye,2,Brightest 10 h mean,ratio,lx
gap_value_common__chest,preparation_value_on_exact_common_rows,chest,daily_geometric_mean_medi,prep_common_primary__chest,prep_common_gap__chest,1,Mean melEDI,ratio,lx
gap_value_common__chest,preparation_value_on_exact_common_rows,chest,dose_time_sensitive_corrected_medi,prep_common_primary__chest,prep_common_gap__chest,9,melEDI dose,ratio,lx·h
gap_value_common__chest,preparation_value_on_exact_common_rows,chest,duration_above_1000,prep_common_primary__chest,prep_common_gap__chest,4,"Time above 1,000 lx melEDI",ratio,h
gap_value_common__chest,preparation_value_on_exact_common_rows,chest,duration_above_250_wake,prep_common_primary__chest,prep_common_gap__chest,5,Time above 250 lx melEDI during wake,ratio,h
gap_value_common__chest,preparation_value_on_exact_common_rows,chest,duration_below_1_sleep_environment,prep_common_primary__chest,prep_common_gap__chest,7,Time below 1 lx melEDI during sleep,ratio,h
gap_value_common__chest,preparation_value_on_exact_common_rows,chest,duration_below_10_pre_sleep,prep_common_primary__chest,prep_common_gap__chest,6,Time below 10 lx melEDI before sleep,difference,h
gap_value_common__chest,preparation_value_on_exact_common_rows,chest,l10_mean_medi,prep_common_primary__chest,prep_common_gap__chest,3,Darkest 10 h mean,ratio,lx
gap_value_common__chest,preparation_value_on_exact_common_rows,chest,longest_bout_above_250,prep_common_primary__chest,prep_common_gap__chest,8,Longest continuous period above 250 lx melEDI,ratio,h
gap_value_common__chest,preparation_value_on_exact_common_rows,chest,m10_mean_medi,prep_common_primary__chest,prep_common_gap__chest,2,Brightest 10 h mean,ratio,lx
gap_value_common__near_eye,preparation_value_on_exact_common_rows,near_eye,daily_geometric_mean_medi,prep_common_primary__near_eye,prep_common_gap__near_eye,1,Mean melEDI,ratio,lx
gap_value_common__near_eye,preparation_value_on_exact_common_rows,near_eye,dose_time_sensitive_corrected_medi,prep_common_primary__near_eye,prep_common_gap__near_eye,9,melEDI dose,ratio,lx·h
gap_value_common__near_eye,preparation_value_on_exact_common_rows,near_eye,duration_above_1000,prep_common_primary__near_eye,prep_common_gap__near_eye,4,"Time above 1,000 lx melEDI",ratio,h
gap_value_common__near_eye,preparation_value_on_exact_common_rows,near_eye,duration_above_250_wake,prep_common_primary__near_eye,prep_common_gap__near_eye,5,Time above 250 lx melEDI during wake,ratio,h
gap_value_common__near_eye,preparation_value_on_exact_common_rows,near_eye,duration_below_1_sleep_environment,prep_common_primary__near_eye,prep_common_gap__near_eye,7,Time below 1 lx melEDI during sleep,ratio,h
gap_value_common__near_eye,preparation_value_on_exact_common_rows,near_eye,duration_below_10_pre_sleep,prep_common_primary__near_eye,prep_common_gap__near_eye,6,Time below 10 lx melEDI before sleep,difference,h
gap_value_common__near_eye,preparation_value_on_exact_common_rows,near_eye,l10_mean_medi,prep_common_primary__near_eye,prep_common_gap__near_eye,3,Darkest 10 h mean,ratio,lx
gap_value_common__near_eye,preparation_value_on_exact_common_rows,near_eye,longest_bout_above_250,prep_common_primary__near_eye,prep_common_gap__near_eye,8,Longest continuous period above 250 lx melEDI,ratio,h
gap_value_common__near_eye,preparation_value_on_exact_common_rows,near_eye,m10_mean_medi,prep_common_primary__near_eye,prep_common_gap__near_eye,2,Brightest 10 h mean,ratio,lx
exact_period__near_eye,longest_period_exact_only,near_eye,longest_bout_above_250,primary__near_eye,exact_period__near_eye,8,Longest continuous period above 250 lx melEDI,ratio,h
exact_period__chest,longest_period_exact_only,chest,longest_bout_above_250,primary__chest,exact_period__chest,8,Longest continuous period above 250 lx melEDI,ratio,h
observed_dose__near_eye,observed_vs_corrected_dose_exact_common_rows,near_eye,dose_time_sensitive_corrected_medi,dose_common_corrected__near_eye,dose_common_observed__near_eye,9,melEDI dose,ratio,lx·h
observed_dose__chest,observed_vs_corrected_dose_exact_common_rows,chest,dose_time_sensitive_corrected_medi,dose_common_corrected__chest,dose_common_observed__chest,9,melEDI dose,ratio,lx·h
