run_id,metric_id,participants,participant_days,observations,sites,first_date,last_date,photoperiod_min,photoperiod_max,unique_photoperiod,unique_latitude,placement,omitted_site
loso__near_eye__omit_tum,duration_below_10_pre_sleep,129,603,603,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,398,8,near_eye,TUM
loso__near_eye__omit_fuspceu,duration_below_10_pre_sleep,116,550,550,8,2023-08-15,2025-10-19,10.489451321429677,20.52484733098083,382,8,near_eye,FUSPCEU
loso__near_eye__omit_iztech,duration_below_10_pre_sleep,122,573,573,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,386,8,near_eye,IZTECH
loso__near_eye__omit_ucr,duration_below_10_pre_sleep,133,630,630,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,438,8,near_eye,UCR
loso__near_eye__omit_knust,duration_below_10_pre_sleep,125,597,597,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,392,8,near_eye,KNUST
loso__near_eye__omit_rise,duration_below_1_sleep_environment,128,702,702,8,2023-08-15,2025-10-19,10.329644992086623,18.223782843152684,449,8,near_eye,RISE
loso__near_eye__omit_thuas,duration_below_1_sleep_environment,128,710,710,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,452,8,near_eye,THUAS
loso__near_eye__omit_baua,duration_below_1_sleep_environment,123,683,683,8,2023-08-15,2025-10-12,10.329644992086623,20.52484733098083,469,8,near_eye,BAUA
loso__near_eye__omit_mpi,duration_below_1_sleep_environment,115,628,628,8,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,448,8,near_eye,MPI
loso__near_eye__omit_tum,duration_below_1_sleep_environment,131,718,718,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,448,8,near_eye,TUM
loso__near_eye__omit_fuspceu,duration_below_1_sleep_environment,118,660,660,8,2023-08-15,2025-10-19,10.489451321429677,20.52484733098083,439,8,near_eye,FUSPCEU
loso__near_eye__omit_iztech,duration_below_1_sleep_environment,124,679,679,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,436,8,near_eye,IZTECH
loso__near_eye__omit_ucr,duration_below_1_sleep_environment,135,747,747,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,496,8,near_eye,UCR
loso__near_eye__omit_knust,duration_below_1_sleep_environment,126,697,697,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,427,8,near_eye,KNUST
loso__near_eye__omit_rise,longest_bout_above_250,128,738,738,8,2023-08-15,2025-10-19,10.329644992086623,18.223782843152684,466,8,near_eye,RISE
loso__near_eye__omit_thuas,longest_bout_above_250,128,738,738,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,461,8,near_eye,THUAS
loso__near_eye__omit_baua,longest_bout_above_250,123,709,709,8,2023-08-15,2025-10-12,10.329644992086623,20.52484733098083,484,8,near_eye,BAUA
loso__near_eye__omit_mpi,longest_bout_above_250,115,666,666,8,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,467,8,near_eye,MPI
loso__near_eye__omit_tum,longest_bout_above_250,131,756,756,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,467,8,near_eye,TUM
loso__near_eye__omit_fuspceu,longest_bout_above_250,118,687,687,8,2023-08-15,2025-10-19,10.489451321429677,20.52484733098083,455,8,near_eye,FUSPCEU
loso__near_eye__omit_iztech,longest_bout_above_250,124,715,715,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,455,8,near_eye,IZTECH
loso__near_eye__omit_ucr,longest_bout_above_250,135,784,784,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,515,8,near_eye,UCR
loso__near_eye__omit_knust,longest_bout_above_250,126,735,735,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,446,8,near_eye,KNUST
loso__near_eye__omit_rise,dose_time_sensitive_corrected_medi,128,690,690,8,2023-08-15,2025-10-19,10.329644992086623,18.223782843152684,452,8,near_eye,RISE
loso__near_eye__omit_thuas,dose_time_sensitive_corrected_medi,128,687,687,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,444,8,near_eye,THUAS
loso__near_eye__omit_baua,dose_time_sensitive_corrected_medi,123,664,664,8,2023-08-15,2025-10-12,10.329644992086623,20.52484733098083,465,8,near_eye,BAUA
loso__near_eye__omit_mpi,dose_time_sensitive_corrected_medi,115,624,624,8,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,448,8,near_eye,MPI
loso__near_eye__omit_tum,dose_time_sensitive_corrected_medi,131,706,706,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,453,8,near_eye,TUM
loso__near_eye__omit_fuspceu,dose_time_sensitive_corrected_medi,118,636,636,8,2023-08-15,2025-10-19,10.489451321429677,20.52484733098083,436,8,near_eye,FUSPCEU
loso__near_eye__omit_iztech,dose_time_sensitive_corrected_medi,124,665,665,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,438,8,near_eye,IZTECH
loso__near_eye__omit_ucr,dose_time_sensitive_corrected_medi,135,731,731,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,496,8,near_eye,UCR
loso__near_eye__omit_knust,dose_time_sensitive_corrected_medi,126,685,685,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,432,8,near_eye,KNUST
loso__chest__omit_rise,daily_geometric_mean_medi,138,806,806,7,2024-05-14,2025-10-19,10.329644992086623,18.223782843152684,483,7,chest,RISE
loso__chest__omit_thuas,daily_geometric_mean_medi,139,809,809,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,469,7,chest,THUAS
loso__chest__omit_baua,daily_geometric_mean_medi,134,788,788,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,508,7,chest,BAUA
loso__chest__omit_tum,daily_geometric_mean_medi,144,842,842,7,2024-10-08,2025-10-19,10.329644992086623,20.52484733098083,490,7,chest,TUM
loso__chest__omit_fuspceu,daily_geometric_mean_medi,132,779,779,7,2024-05-14,2025-10-19,10.489451321429677,20.52484733098083,479,7,chest,FUSPCEU
loso__chest__omit_iztech,daily_geometric_mean_medi,137,800,800,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,478,7,chest,IZTECH
loso__chest__omit_ucr,daily_geometric_mean_medi,115,672,672,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,477,7,chest,UCR
loso__chest__omit_knust,daily_geometric_mean_medi,139,818,818,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,466,7,chest,KNUST
loso__chest__omit_rise,m10_mean_medi,138,806,806,7,2024-05-14,2025-10-19,10.329644992086623,18.223782843152684,483,7,chest,RISE
loso__chest__omit_thuas,m10_mean_medi,139,809,809,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,469,7,chest,THUAS
loso__chest__omit_baua,m10_mean_medi,134,788,788,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,508,7,chest,BAUA
loso__chest__omit_tum,m10_mean_medi,144,842,842,7,2024-10-08,2025-10-19,10.329644992086623,20.52484733098083,490,7,chest,TUM
loso__chest__omit_fuspceu,m10_mean_medi,132,779,779,7,2024-05-14,2025-10-19,10.489451321429677,20.52484733098083,479,7,chest,FUSPCEU
loso__chest__omit_iztech,m10_mean_medi,137,800,800,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,478,7,chest,IZTECH
loso__chest__omit_ucr,m10_mean_medi,115,672,672,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,477,7,chest,UCR
loso__chest__omit_knust,m10_mean_medi,139,818,818,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,466,7,chest,KNUST
loso__chest__omit_rise,l10_mean_medi,138,806,806,7,2024-05-14,2025-10-19,10.329644992086623,18.223782843152684,483,7,chest,RISE
loso__chest__omit_thuas,l10_mean_medi,139,809,809,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,469,7,chest,THUAS
loso__chest__omit_baua,l10_mean_medi,134,788,788,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,508,7,chest,BAUA
loso__chest__omit_tum,l10_mean_medi,144,842,842,7,2024-10-08,2025-10-19,10.329644992086623,20.52484733098083,490,7,chest,TUM
loso__chest__omit_fuspceu,l10_mean_medi,132,779,779,7,2024-05-14,2025-10-19,10.489451321429677,20.52484733098083,479,7,chest,FUSPCEU
loso__chest__omit_iztech,l10_mean_medi,137,800,800,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,478,7,chest,IZTECH
loso__chest__omit_ucr,l10_mean_medi,115,672,672,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,477,7,chest,UCR
loso__chest__omit_knust,l10_mean_medi,139,818,818,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,466,7,chest,KNUST
loso__chest__omit_rise,duration_above_1000,138,806,806,7,2024-05-14,2025-10-19,10.329644992086623,18.223782843152684,483,7,chest,RISE
loso__chest__omit_thuas,duration_above_1000,139,809,809,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,469,7,chest,THUAS
loso__chest__omit_baua,duration_above_1000,134,788,788,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,508,7,chest,BAUA
loso__chest__omit_tum,duration_above_1000,144,842,842,7,2024-10-08,2025-10-19,10.329644992086623,20.52484733098083,490,7,chest,TUM
loso__chest__omit_fuspceu,duration_above_1000,132,779,779,7,2024-05-14,2025-10-19,10.489451321429677,20.52484733098083,479,7,chest,FUSPCEU
loso__chest__omit_iztech,duration_above_1000,137,800,800,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,478,7,chest,IZTECH
loso__chest__omit_ucr,duration_above_1000,115,672,672,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,477,7,chest,UCR
loso__chest__omit_knust,duration_above_1000,139,818,818,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,466,7,chest,KNUST
loso__chest__omit_rise,duration_above_250_wake,138,729,729,7,2024-05-14,2025-10-19,10.329644992086623,18.223782843152684,455,7,chest,RISE
loso__chest__omit_thuas,duration_above_250_wake,139,739,739,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,449,7,chest,THUAS
loso__chest__omit_baua,duration_above_250_wake,134,720,720,7,2024-05-14,2025-10-17,10.329644992086623,20.52484733098083,475,7,chest,BAUA
loso__chest__omit_tum,duration_above_250_wake,144,764,764,7,2024-10-08,2025-10-19,10.329644992086623,20.52484733098083,463,7,chest,TUM
loso__chest__omit_fuspceu,duration_above_250_wake,132,707,707,7,2024-05-14,2025-10-19,10.489451321429677,20.52484733098083,449,7,chest,FUSPCEU
loso__chest__omit_iztech,duration_above_250_wake,137,723,723,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,447,7,chest,IZTECH
loso__chest__omit_ucr,duration_above_250_wake,115,607,607,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,445,7,chest,UCR
loso__chest__omit_knust,duration_above_250_wake,139,737,737,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,436,7,chest,KNUST
loso__chest__omit_rise,duration_below_10_pre_sleep,137,662,662,7,2024-05-14,2025-10-19,10.329644992086623,18.211450270281897,415,7,chest,RISE
loso__chest__omit_thuas,duration_below_10_pre_sleep,139,680,680,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,418,7,chest,THUAS
loso__chest__omit_baua,duration_below_10_pre_sleep,133,651,651,7,2024-05-14,2025-10-17,10.329644992086623,20.52484733098083,432,7,chest,BAUA
loso__chest__omit_tum,duration_below_10_pre_sleep,143,691,691,7,2024-10-08,2025-10-19,10.329644992086623,20.52484733098083,422,7,chest,TUM
loso__chest__omit_fuspceu,duration_below_10_pre_sleep,131,640,640,7,2024-05-14,2025-10-19,10.489451321429677,20.52484733098083,407,7,chest,FUSPCEU
loso__chest__omit_iztech,duration_below_10_pre_sleep,136,660,660,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,410,7,chest,IZTECH
loso__chest__omit_ucr,duration_below_10_pre_sleep,114,535,535,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,401,7,chest,UCR
loso__chest__omit_knust,duration_below_10_pre_sleep,138,682,682,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,413,7,chest,KNUST
loso__chest__omit_rise,duration_below_1_sleep_environment,138,769,769,7,2024-05-14,2025-10-19,10.329644992086623,18.223782843152684,470,7,chest,RISE
loso__chest__omit_thuas,duration_below_1_sleep_environment,139,778,778,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,462,7,chest,THUAS
loso__chest__omit_baua,duration_below_1_sleep_environment,134,759,759,7,2024-05-14,2025-10-17,10.329644992086623,20.52484733098083,491,7,chest,BAUA
loso__chest__omit_tum,duration_below_1_sleep_environment,144,801,801,7,2024-10-08,2025-10-19,10.329644992086623,20.52484733098083,473,7,chest,TUM
loso__chest__omit_fuspceu,duration_below_1_sleep_environment,132,746,746,7,2024-05-14,2025-10-19,10.489451321429677,20.52484733098083,465,7,chest,FUSPCEU
loso__chest__omit_iztech,duration_below_1_sleep_environment,137,761,761,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,461,7,chest,IZTECH
loso__chest__omit_ucr,duration_below_1_sleep_environment,115,636,636,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,460,7,chest,UCR
loso__chest__omit_knust,duration_below_1_sleep_environment,139,777,777,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,449,7,chest,KNUST
loso__chest__omit_rise,longest_bout_above_250,138,806,806,7,2024-05-14,2025-10-19,10.329644992086623,18.223782843152684,483,7,chest,RISE
loso__chest__omit_thuas,longest_bout_above_250,139,809,809,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,469,7,chest,THUAS
loso__chest__omit_baua,longest_bout_above_250,134,788,788,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,508,7,chest,BAUA
loso__chest__omit_tum,longest_bout_above_250,144,842,842,7,2024-10-08,2025-10-19,10.329644992086623,20.52484733098083,490,7,chest,TUM
loso__chest__omit_fuspceu,longest_bout_above_250,132,779,779,7,2024-05-14,2025-10-19,10.489451321429677,20.52484733098083,479,7,chest,FUSPCEU
loso__chest__omit_iztech,longest_bout_above_250,137,800,800,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,478,7,chest,IZTECH
loso__chest__omit_ucr,longest_bout_above_250,115,672,672,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,477,7,chest,UCR
loso__chest__omit_knust,longest_bout_above_250,139,818,818,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,466,7,chest,KNUST
loso__chest__omit_rise,dose_time_sensitive_corrected_medi,138,761,761,7,2024-05-14,2025-10-19,10.329644992086623,18.223782843152684,469,7,chest,RISE
loso__chest__omit_thuas,dose_time_sensitive_corrected_medi,139,762,762,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,455,7,chest,THUAS
loso__chest__omit_baua,dose_time_sensitive_corrected_medi,134,746,746,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,492,7,chest,BAUA
loso__chest__omit_tum,dose_time_sensitive_corrected_medi,144,796,796,7,2024-10-08,2025-10-19,10.329644992086623,20.52484733098083,479,7,chest,TUM
loso__chest__omit_fuspceu,dose_time_sensitive_corrected_medi,132,733,733,7,2024-05-14,2025-10-19,10.489451321429677,20.52484733098083,463,7,chest,FUSPCEU
loso__chest__omit_iztech,dose_time_sensitive_corrected_medi,137,753,753,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,463,7,chest,IZTECH
loso__chest__omit_ucr,dose_time_sensitive_corrected_medi,115,634,634,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,462,7,chest,UCR
loso__chest__omit_knust,dose_time_sensitive_corrected_medi,139,772,772,7,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,455,7,chest,KNUST
