comparison_id,comparison_role,placement,metric_id,run_a,run_b,metric_order,manuscript_name,effect_scale,display_unit,common_supported_points,common_support_min,common_support_max,net_change_a,net_change_b,maximum_absolute_difference,median_absolute_difference,maximum_absolute_log_ratio,direction_agreement,stability_classification,inferential_stability
paired_sample__chest,placement_sample_restriction,chest,duration_below_1_sleep_environment,primary__chest,paired__chest,7,Time below 1 lx melEDI during sleep,ratio,h,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
paired_sample__chest,placement_sample_restriction,chest,longest_bout_above_250,primary__chest,paired__chest,8,Longest continuous period above 250 lx melEDI,ratio,h,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
paired_sample__chest,placement_sample_restriction,chest,dose_time_sensitive_corrected_medi,primary__chest,paired__chest,9,melEDI dose,ratio,lx·h,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
paired_sample__near_eye,placement_sample_restriction,near_eye,daily_geometric_mean_medi,primary__near_eye,paired__near_eye,1,Mean melEDI,ratio,lx,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
paired_sample__near_eye,placement_sample_restriction,near_eye,m10_mean_medi,primary__near_eye,paired__near_eye,2,Brightest 10 h mean,ratio,lx,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
paired_sample__near_eye,placement_sample_restriction,near_eye,l10_mean_medi,primary__near_eye,paired__near_eye,3,Darkest 10 h mean,ratio,lx,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
paired_sample__near_eye,placement_sample_restriction,near_eye,duration_above_1000,primary__near_eye,paired__near_eye,4,"Time above 1,000 lx melEDI",ratio,h,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
paired_sample__near_eye,placement_sample_restriction,near_eye,duration_above_250_wake,primary__near_eye,paired__near_eye,5,Time above 250 lx melEDI during wake,ratio,h,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
paired_sample__near_eye,placement_sample_restriction,near_eye,duration_below_10_pre_sleep,primary__near_eye,paired__near_eye,6,Time below 10 lx melEDI before sleep,difference,h,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
paired_sample__near_eye,placement_sample_restriction,near_eye,duration_below_1_sleep_environment,primary__near_eye,paired__near_eye,7,Time below 1 lx melEDI during sleep,ratio,h,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
paired_sample__near_eye,placement_sample_restriction,near_eye,longest_bout_above_250,primary__near_eye,paired__near_eye,8,Longest continuous period above 250 lx melEDI,ratio,h,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
paired_sample__near_eye,placement_sample_restriction,near_eye,dose_time_sensitive_corrected_medi,primary__near_eye,paired__near_eye,9,melEDI dose,ratio,lx·h,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_total__chest,preparation_total_difference,chest,daily_geometric_mean_medi,primary__chest,gap_timing_unaware__chest,1,Mean melEDI,ratio,lx,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_total__chest,preparation_total_difference,chest,m10_mean_medi,primary__chest,gap_timing_unaware__chest,2,Brightest 10 h mean,ratio,lx,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_total__chest,preparation_total_difference,chest,l10_mean_medi,primary__chest,gap_timing_unaware__chest,3,Darkest 10 h mean,ratio,lx,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_total__chest,preparation_total_difference,chest,duration_above_1000,primary__chest,gap_timing_unaware__chest,4,"Time above 1,000 lx melEDI",ratio,h,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_total__chest,preparation_total_difference,chest,duration_above_250_wake,primary__chest,gap_timing_unaware__chest,5,Time above 250 lx melEDI during wake,ratio,h,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_total__chest,preparation_total_difference,chest,duration_below_10_pre_sleep,primary__chest,gap_timing_unaware__chest,6,Time below 10 lx melEDI before sleep,difference,h,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_total__chest,preparation_total_difference,chest,duration_below_1_sleep_environment,primary__chest,gap_timing_unaware__chest,7,Time below 1 lx melEDI during sleep,ratio,h,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_total__chest,preparation_total_difference,chest,longest_bout_above_250,primary__chest,gap_timing_unaware__chest,8,Longest continuous period above 250 lx melEDI,ratio,h,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_total__chest,preparation_total_difference,chest,dose_time_sensitive_corrected_medi,primary__chest,gap_timing_unaware__chest,9,melEDI dose,ratio,lx·h,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_total__near_eye,preparation_total_difference,near_eye,daily_geometric_mean_medi,primary__near_eye,gap_timing_unaware__near_eye,1,Mean melEDI,ratio,lx,4,10.6,11,0.26286496438745566,0.24809690591756883,0.029081328483242963,0.02151383774473592,0.011396190806990975,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_total__near_eye,preparation_total_difference,near_eye,m10_mean_medi,primary__near_eye,gap_timing_unaware__near_eye,2,Brightest 10 h mean,ratio,lx,4,10.6,11,5.256716894129596,5.434882831941124,2.574687006767647,2.484814354138713,0.0657438782472298,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_total__near_eye,preparation_total_difference,near_eye,l10_mean_medi,primary__near_eye,gap_timing_unaware__near_eye,3,Darkest 10 h mean,ratio,lx,4,10.6,11,0.0024349083585050446,0.004436369232903581,0.005123393967888079,0.004116382217030812,0.08250658126443022,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_total__near_eye,preparation_total_difference,near_eye,duration_above_1000,primary__near_eye,gap_timing_unaware__near_eye,4,"Time above 1,000 lx melEDI",ratio,h,4,10.6,11,0.05936953132676487,0.057389996405246446,0.0030752276135920797,0.0021298734013225906,0.0075955139832390006,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_total__near_eye,preparation_total_difference,near_eye,duration_above_250_wake,primary__near_eye,gap_timing_unaware__near_eye,5,Time above 250 lx melEDI during wake,ratio,h,5,10.6,11,0.13715605684336785,0.12058783198910983,0.028238222642092525,0.020270797289132947,0.019367813098479406,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_total__near_eye,preparation_total_difference,near_eye,duration_below_10_pre_sleep,primary__near_eye,gap_timing_unaware__near_eye,6,Time below 10 lx melEDI before sleep,difference,h,5,10.6,11,-0.033954260511766865,-0.023693514271552196,0.23322340823893928,0.22809307537087875,0.11436149186114514,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_total__near_eye,preparation_total_difference,near_eye,duration_below_1_sleep_environment,primary__near_eye,gap_timing_unaware__near_eye,7,Time below 1 lx melEDI during sleep,ratio,h,5,10.6,11,-0.12052801743314046,-0.12080693537015463,0.016398675376961158,0.016133068543281226,0.0021717892360335264,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_total__near_eye,preparation_total_difference,near_eye,longest_bout_above_250,primary__near_eye,gap_timing_unaware__near_eye,8,Longest continuous period above 250 lx melEDI,ratio,h,4,10.6,11,0.01979155441198821,0.020593564675031373,0.009563277256836922,0.009169512024744031,0.02368953146109782,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_total__near_eye,preparation_total_difference,near_eye,dose_time_sensitive_corrected_medi,primary__near_eye,gap_timing_unaware__near_eye,9,melEDI dose,ratio,lx·h,4,10.6,11,265.1682038102804,176.35755781839316,98.96322016117892,56.04284919678662,0.044419610324044886,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_value_common__chest,preparation_value_on_exact_common_rows,chest,daily_geometric_mean_medi,prep_common_primary__chest,prep_common_gap__chest,1,Mean melEDI,ratio,lx,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_value_common__chest,preparation_value_on_exact_common_rows,chest,m10_mean_medi,prep_common_primary__chest,prep_common_gap__chest,2,Brightest 10 h mean,ratio,lx,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_value_common__chest,preparation_value_on_exact_common_rows,chest,l10_mean_medi,prep_common_primary__chest,prep_common_gap__chest,3,Darkest 10 h mean,ratio,lx,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_value_common__chest,preparation_value_on_exact_common_rows,chest,duration_above_1000,prep_common_primary__chest,prep_common_gap__chest,4,"Time above 1,000 lx melEDI",ratio,h,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_value_common__chest,preparation_value_on_exact_common_rows,chest,duration_above_250_wake,prep_common_primary__chest,prep_common_gap__chest,5,Time above 250 lx melEDI during wake,ratio,h,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_value_common__chest,preparation_value_on_exact_common_rows,chest,duration_below_10_pre_sleep,prep_common_primary__chest,prep_common_gap__chest,6,Time below 10 lx melEDI before sleep,difference,h,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_value_common__chest,preparation_value_on_exact_common_rows,chest,duration_below_1_sleep_environment,prep_common_primary__chest,prep_common_gap__chest,7,Time below 1 lx melEDI during sleep,ratio,h,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_value_common__chest,preparation_value_on_exact_common_rows,chest,longest_bout_above_250,prep_common_primary__chest,prep_common_gap__chest,8,Longest continuous period above 250 lx melEDI,ratio,h,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_value_common__chest,preparation_value_on_exact_common_rows,chest,dose_time_sensitive_corrected_medi,prep_common_primary__chest,prep_common_gap__chest,9,melEDI dose,ratio,lx·h,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_value_common__near_eye,preparation_value_on_exact_common_rows,near_eye,daily_geometric_mean_medi,prep_common_primary__near_eye,prep_common_gap__near_eye,1,Mean melEDI,ratio,lx,4,10.6,11,0.26583746553929544,0.259764516007007,0.012481182054152828,0.009347393018927619,0.004859524801980739,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_value_common__near_eye,preparation_value_on_exact_common_rows,near_eye,m10_mean_medi,prep_common_primary__near_eye,prep_common_gap__near_eye,2,Brightest 10 h mean,ratio,lx,4,10.6,11,5.37414111546218,5.837102645354854,2.7665696078327287,2.5281780637815316,0.06610788523219446,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_value_common__near_eye,preparation_value_on_exact_common_rows,near_eye,l10_mean_medi,prep_common_primary__near_eye,prep_common_gap__near_eye,3,Darkest 10 h mean,ratio,lx,4,10.6,11,0.002323252941654086,0.004987401841291539,0.006282191595377268,0.004940942150028785,0.10057796846368741,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_value_common__near_eye,preparation_value_on_exact_common_rows,near_eye,duration_above_1000,prep_common_primary__near_eye,prep_common_gap__near_eye,4,"Time above 1,000 lx melEDI",ratio,h,4,10.6,11,0.060138624802931084,0.05812087350991174,0.0023845494929599087,0.0014232545662725138,0.005867281549760935,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_value_common__near_eye,preparation_value_on_exact_common_rows,near_eye,duration_above_250_wake,prep_common_primary__near_eye,prep_common_gap__near_eye,5,Time above 250 lx melEDI during wake,ratio,h,4,10.7,11,0.10396747568313036,0.10076559128324947,0.0064167978518669955,0.00477699016770361,0.004038050444639996,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_value_common__near_eye,preparation_value_on_exact_common_rows,near_eye,duration_below_10_pre_sleep,prep_common_primary__near_eye,prep_common_gap__near_eye,6,Time below 10 lx melEDI before sleep,difference,h,5,10.6,11,-0.03382397442998686,-0.033644606479922956,0.0039956765812037,0.0039059887255534775,0.0018532631590026142,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_value_common__near_eye,preparation_value_on_exact_common_rows,near_eye,duration_below_1_sleep_environment,prep_common_primary__near_eye,prep_common_gap__near_eye,7,Time below 1 lx melEDI during sleep,ratio,h,5,10.6,11,-0.12228054918314513,-0.12735940934181134,0.013772549972390635,0.01118961911209393,0.001792141709926593,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_value_common__near_eye,preparation_value_on_exact_common_rows,near_eye,longest_bout_above_250,prep_common_primary__near_eye,prep_common_gap__near_eye,8,Longest continuous period above 250 lx melEDI,ratio,h,4,10.6,11,0.019804288150175542,0.020463503160726315,0.002156477518744593,0.0018319547048204488,0.005311969129341255,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
gap_value_common__near_eye,preparation_value_on_exact_common_rows,near_eye,dose_time_sensitive_corrected_medi,prep_common_primary__near_eye,prep_common_gap__near_eye,9,melEDI dose,ratio,lx·h,4,10.6,11,269.19702445705843,250.88645521659146,97.7794476930444,88.36543300627386,0.04066174586770222,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
