run_id,placement,metric_id,metric_order,manuscript_name,effect_scale,display_unit,model_id,fit_status,evaluated_grid_points,maximum_absolute_difference,maximum_absolute_log_ratio,main_net_change,alternative_net_change,direction_agreement,comparison_disposition
primary__near_eye,near_eye,duration_below_10_pre_sleep,6,Time below 10 lx melEDI before sleep,difference,h,adapted_photoperiod_expanded_basis,WARN_CONCURVITY,5,3.394347262464237e-5,1.572765183423135e-5,-0.033954260511766865,-0.03396494992031185,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE
primary__near_eye,near_eye,duration_below_10_pre_sleep,6,Time below 10 lx melEDI before sleep,difference,h,adapted_photoperiod_fixed_site,WARN_CONCURVITY,5,0.19500583256099935,0.0865045603884587,-0.033954260511766865,-0.05342906476071807,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE
primary__near_eye,near_eye,duration_below_1_sleep_environment,7,Time below 1 lx melEDI during sleep,ratio,h,adapted_photoperiod_expanded_basis,WARN_CONCURVITY,5,0.004757457176941315,6.295771922241323e-4,-0.12052801743314046,-0.12837479398346652,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE
primary__near_eye,near_eye,duration_below_1_sleep_environment,7,Time below 1 lx melEDI during sleep,ratio,h,adapted_photoperiod_fixed_site,WARN_CONCURVITY,5,0.13567830415694093,0.017825536367102775,-0.12052801743314046,-0.11202647763456142,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE
primary__near_eye,near_eye,longest_bout_above_250,8,Longest continuous period above 250 lx melEDI,ratio,h,adapted_photoperiod_expanded_basis,FAIL_HESSIAN,4,6.414019685363481e-5,1.570044485747631e-4,0.01979155441198821,0.01979054103306066,TRUE,ALTERNATIVE_FIT_FAILED
primary__near_eye,near_eye,longest_bout_above_250,8,Longest continuous period above 250 lx melEDI,ratio,h,adapted_photoperiod_fixed_site,WARN_CONCURVITY,4,0.10331963560654994,0.29159505291065957,0.01979155441198821,0.03612584075955988,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE
primary__near_eye,near_eye,dose_time_sensitive_corrected_medi,9,melEDI dose,ratio,lx·h,adapted_photoperiod_expanded_basis,WARN_CONCURVITY,4,2.1019407202111324,9.642580797284498e-4,265.1682038102804,262.5011550969216,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE
primary__near_eye,near_eye,dose_time_sensitive_corrected_medi,9,melEDI dose,ratio,lx·h,adapted_photoperiod_fixed_site,WARN_CONCURVITY,4,647.6404974872294,0.3527485762848654,265.1682038102804,300.01453231784444,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE
primary__chest,chest,daily_geometric_mean_medi,1,Mean melEDI,ratio,lx,adapted_photoperiod_expanded_basis,WARN_CONCURVITY,0,,,,,,NO_POOLED_SUPPORT_FOR_CURVE_COMPARISON
primary__chest,chest,daily_geometric_mean_medi,1,Mean melEDI,ratio,lx,adapted_photoperiod_fixed_site,WARN_CONCURVITY,0,,,,,,NO_POOLED_SUPPORT_FOR_CURVE_COMPARISON
primary__chest,chest,m10_mean_medi,2,Brightest 10 h mean,ratio,lx,adapted_photoperiod_expanded_basis,WARN_CONCURVITY,0,,,,,,NO_POOLED_SUPPORT_FOR_CURVE_COMPARISON
primary__chest,chest,m10_mean_medi,2,Brightest 10 h mean,ratio,lx,adapted_photoperiod_fixed_site,WARN_CONCURVITY,0,,,,,,NO_POOLED_SUPPORT_FOR_CURVE_COMPARISON
primary__chest,chest,l10_mean_medi,3,Darkest 10 h mean,ratio,lx,adapted_photoperiod_expanded_basis,WARN_CONCURVITY,0,,,,,,NO_POOLED_SUPPORT_FOR_CURVE_COMPARISON
primary__chest,chest,l10_mean_medi,3,Darkest 10 h mean,ratio,lx,adapted_photoperiod_fixed_site,WARN_CONCURVITY,0,,,,,,NO_POOLED_SUPPORT_FOR_CURVE_COMPARISON
primary__chest,chest,duration_above_1000,4,"Time above 1,000 lx melEDI",ratio,h,adapted_photoperiod_expanded_basis,WARN_CONCURVITY,0,,,,,,NO_POOLED_SUPPORT_FOR_CURVE_COMPARISON
primary__chest,chest,duration_above_1000,4,"Time above 1,000 lx melEDI",ratio,h,adapted_photoperiod_fixed_site,WARN_CONCURVITY,0,,,,,,NO_POOLED_SUPPORT_FOR_CURVE_COMPARISON
primary__chest,chest,duration_above_250_wake,5,Time above 250 lx melEDI during wake,ratio,h,adapted_photoperiod_expanded_basis,WARN_CONCURVITY,0,,,,,,NO_POOLED_SUPPORT_FOR_CURVE_COMPARISON
primary__chest,chest,duration_above_250_wake,5,Time above 250 lx melEDI during wake,ratio,h,adapted_photoperiod_fixed_site,WARN_CONCURVITY,0,,,,,,NO_POOLED_SUPPORT_FOR_CURVE_COMPARISON
primary__chest,chest,duration_below_10_pre_sleep,6,Time below 10 lx melEDI before sleep,difference,h,adapted_photoperiod_expanded_basis,WARN_CONCURVITY,0,,,,,,NO_POOLED_SUPPORT_FOR_CURVE_COMPARISON
primary__chest,chest,duration_below_10_pre_sleep,6,Time below 10 lx melEDI before sleep,difference,h,adapted_photoperiod_fixed_site,WARN_CONCURVITY,0,,,,,,NO_POOLED_SUPPORT_FOR_CURVE_COMPARISON
primary__chest,chest,duration_below_1_sleep_environment,7,Time below 1 lx melEDI during sleep,ratio,h,adapted_photoperiod_expanded_basis,WARN_CONCURVITY,0,,,,,,NO_POOLED_SUPPORT_FOR_CURVE_COMPARISON
primary__chest,chest,duration_below_1_sleep_environment,7,Time below 1 lx melEDI during sleep,ratio,h,adapted_photoperiod_fixed_site,WARN_CONCURVITY,0,,,,,,NO_POOLED_SUPPORT_FOR_CURVE_COMPARISON
primary__chest,chest,longest_bout_above_250,8,Longest continuous period above 250 lx melEDI,ratio,h,adapted_photoperiod_expanded_basis,WARN_CONCURVITY,0,,,,,,NO_POOLED_SUPPORT_FOR_CURVE_COMPARISON
primary__chest,chest,longest_bout_above_250,8,Longest continuous period above 250 lx melEDI,ratio,h,adapted_photoperiod_fixed_site,WARN_CONCURVITY,0,,,,,,NO_POOLED_SUPPORT_FOR_CURVE_COMPARISON
primary__chest,chest,dose_time_sensitive_corrected_medi,9,melEDI dose,ratio,lx·h,adapted_photoperiod_expanded_basis,WARN_CONCURVITY,0,,,,,,NO_POOLED_SUPPORT_FOR_CURVE_COMPARISON
primary__chest,chest,dose_time_sensitive_corrected_medi,9,melEDI dose,ratio,lx·h,adapted_photoperiod_fixed_site,WARN_CONCURVITY,0,,,,,,NO_POOLED_SUPPORT_FOR_CURVE_COMPARISON
