logical_order,path,role,accepted_source_sha256,live_source_sha256,live_bytes,live_mtime_utc,corpus_acceptance_claim
11,notebooks/descriptives.qmd,shared,b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c,b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c,25629,2026-08-12 11:40:52 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
12,notebooks/preregistration_deviations.qmd,shared,b542018a0e127b280fc5a106928d8689307c420f2e62913f4047d5c4c292bc6d,b542018a0e127b280fc5a106928d8689307c420f2e62913f4047d5c4c292bc6d,94061,2026-08-12 15:07:16 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
13,notebooks/hypotheses/H01.qmd,hypothesis_result,9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb,9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb,93260,2026-08-14 18:44:54 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
14,audit/hypotheses/H01/H01_analysis_preparation.qmd,hypothesis_companion,ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f,ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f,55827,2026-08-14 18:34:22 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
15,notebooks/hypotheses/H02.qmd,hypothesis_result,4f431eaba1fd449837186497dc988f95c30a9ece7ae83d57b2f0c377690f0f6d,4f431eaba1fd449837186497dc988f95c30a9ece7ae83d57b2f0c377690f0f6d,57148,2026-08-14 19:21:33 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
16,audit/hypotheses/H02/H02_analysis_preparation.qmd,hypothesis_companion,92424e41a7f54d05b816ff79144850a27aabc8181aa705384b22f4c7cdc3b9a1,92424e41a7f54d05b816ff79144850a27aabc8181aa705384b22f4c7cdc3b9a1,55146,2026-08-14 19:34:40 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
17,notebooks/hypotheses/H03.qmd,hypothesis_result,45ea5a009efd3b451c392dfc23bef584c7b16e087bf4093780b051cfde42ae41,45ea5a009efd3b451c392dfc23bef584c7b16e087bf4093780b051cfde42ae41,68198,2026-08-14 19:41:50 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
18,audit/hypotheses/H03/H03_analysis_preparation.qmd,hypothesis_companion,59270288388e48ceef880ffa4a2ba0e87b8deeb9a8046b49510c4e525ff8c131,59270288388e48ceef880ffa4a2ba0e87b8deeb9a8046b49510c4e525ff8c131,75638,2026-08-14 19:58:32 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
19,notebooks/hypotheses/H04.qmd,hypothesis_result,f8adb6d78be041ce296dd7e89eb92769b128631c1b4227ce5d8ab3d526daf1d5,f8adb6d78be041ce296dd7e89eb92769b128631c1b4227ce5d8ab3d526daf1d5,83285,2026-08-20 07:59:12 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
20,audit/hypotheses/H04/H04_analysis_preparation.qmd,hypothesis_companion,efdb5be8dc194695f40c50249fab14905ec337bc63079ae589557de860188474,efdb5be8dc194695f40c50249fab14905ec337bc63079ae589557de860188474,91202,2026-08-20 07:59:12 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
21,notebooks/hypotheses/H05.qmd,hypothesis_result,7c20e16629729de433d1ab400038e9d32c73aeb25c95ecd44d581b876755d5e0,7c20e16629729de433d1ab400038e9d32c73aeb25c95ecd44d581b876755d5e0,74309,2026-08-20 06:41:11 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
22,audit/hypotheses/H05/H05_analysis_preparation.qmd,hypothesis_companion,843f60f890daac0e41c6655bc365ab0325e3f582e011610469a799946b2f2811,843f60f890daac0e41c6655bc365ab0325e3f582e011610469a799946b2f2811,77823,2026-08-20 20:31:07 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
23,notebooks/hypotheses/H06.qmd,hypothesis_result,d65c197cb37db32101d8a43fcdc80198ab599a95cb73259abd187c9b2b58d350,d65c197cb37db32101d8a43fcdc80198ab599a95cb73259abd187c9b2b58d350,60791,2026-08-21 00:29:09 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
24,audit/hypotheses/H06/H06_analysis_preparation.qmd,hypothesis_companion,f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b,f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b,59613,2026-08-14 21:08:39 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
25,notebooks/hypotheses/H06_daily.qmd,shared,8f696f3f89fe9ea18c8066b756a01fc5da6b41e86f8ac7d37d1e16f9c10ba639,8f696f3f89fe9ea18c8066b756a01fc5da6b41e86f8ac7d37d1e16f9c10ba639,65349,2026-08-21 05:33:41 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
26,audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd,shared,b1d2c9ec6184e9c537af04119d94040b581ae691069e38e0a713935ab1582536,b1d2c9ec6184e9c537af04119d94040b581ae691069e38e0a713935ab1582536,35521,2026-08-21 09:57:11 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
27,notebooks/hypotheses/H07.qmd,hypothesis_result,c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226,c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226,45440,2026-08-12 17:12:39 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
28,audit/hypotheses/H07/H07_analysis_preparation.qmd,hypothesis_companion,a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b,a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b,49762,2026-08-12 19:45:40 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
29,notebooks/hypotheses/H08.qmd,hypothesis_result,1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1,1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1,44031,2026-08-12 17:41:58 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
30,audit/hypotheses/H08/H08_analysis_preparation.qmd,hypothesis_companion,3eeeda47c909be2ca32bf234af18f2d690f1c3e7b26e854f7311c0d8300f6f2d,3eeeda47c909be2ca32bf234af18f2d690f1c3e7b26e854f7311c0d8300f6f2d,57777,2026-08-12 17:46:52 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
31,notebooks/hypotheses/H09.qmd,hypothesis_result,c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6,9db9671d61b39a81fa83b234e08832cef516ee91688ac8bc4150385629648df9,39543,2026-08-24 08:18:47 UTC,SOURCE_ONLY_NOT_RENDERED_OR_ACCEPTED_BY_THIS_MANIFEST
32,audit/hypotheses/H09/H09_analysis_preparation.qmd,hypothesis_companion,394a976e52faf002cb2034a13353a053aae8bfda8942a79c2eb007017cae014f,394a976e52faf002cb2034a13353a053aae8bfda8942a79c2eb007017cae014f,51736,2026-08-22 10:45:22 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
33,notebooks/hypotheses/H10.qmd,hypothesis_result,0cf302f74c482168c5f5d4c640bbc6a80ef451333f7d76f3c3be204ac1b5f64d,0cf302f74c482168c5f5d4c640bbc6a80ef451333f7d76f3c3be204ac1b5f64d,49224,2026-08-22 12:15:12 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
34,audit/hypotheses/H10/H10_analysis_preparation.qmd,hypothesis_companion,706fe46f293bd09bfd3cb75c14bc3082410a452acfff666d76219f266fded1a6,706fe46f293bd09bfd3cb75c14bc3082410a452acfff666d76219f266fded1a6,58446,2026-08-22 12:17:10 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
35,notebooks/hypotheses/H11.qmd,hypothesis_result,7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867,7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867,57462,2026-08-12 19:20:42 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
36,audit/hypotheses/H11/H11_analysis_preparation.qmd,hypothesis_companion,3f5a0d2ead03d2cb149451709110b59ba1387401f9ff633dfba1a0663f4b0816,3f5a0d2ead03d2cb149451709110b59ba1387401f9ff633dfba1a0663f4b0816,54527,2026-08-12 19:14:45 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
37,notebooks/sensitivity_battery.qmd,shared,d2d1777062dbf58eca69cc58eadd6ad17a7ce80f4a8f335b6828f54ffcbfeb70,d2d1777062dbf58eca69cc58eadd6ad17a7ce80f4a8f335b6828f54ffcbfeb70,3623,2026-07-30 17:28:23 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
