logical_order,source,route,header_count,navbar_route_count,navbar_route_set_exact,navbar_route_unique,active_state,breadcrumb_count,expected_breadcrumb_count,old_sidebar_count,margin_toc_count,toc_title_exact,nathealth_styles_count,mobile_script_count,search_count,bootstrap_exact,body_nav_fixed,content_page_navbar,layout_class_affected,main_column_page_left,title_meta_column_page_left,main_column_page_right,title_meta_column_page_right,protected_main_exact,page_navigation_exact,main_semantics_exact,new_duplicate_ids,gt_tables,header_tokens,unresolved_header_tokens,figures,error_nodes
16,audit/hypotheses/H02/H02_analysis_preparation.qmd,audit/hypotheses/H02/H02_analysis_preparation.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,16,527,0,4,0
17,notebooks/hypotheses/H03.qmd,notebooks/hypotheses/H03.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,14,1082,0,8,0
18,audit/hypotheses/H03/H03_analysis_preparation.qmd,audit/hypotheses/H03/H03_analysis_preparation.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,27,1537,0,4,0
19,notebooks/hypotheses/H04.qmd,notebooks/hypotheses/H04.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,17,1164,0,7,0
20,audit/hypotheses/H04/H04_analysis_preparation.qmd,audit/hypotheses/H04/H04_analysis_preparation.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,37,1968,0,4,0
21,notebooks/hypotheses/H05.qmd,notebooks/hypotheses/H05.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,30,2514,0,7,0
22,audit/hypotheses/H05/H05_analysis_preparation.qmd,audit/hypotheses/H05/H05_analysis_preparation.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,22,1925,0,3,0
23,notebooks/hypotheses/H06.qmd,notebooks/hypotheses/H06.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,13,406,0,6,0
24,audit/hypotheses/H06/H06_analysis_preparation.qmd,audit/hypotheses/H06/H06_analysis_preparation.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,30,1142,0,3,0
25,notebooks/hypotheses/H06_daily.qmd,notebooks/hypotheses/H06_daily.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,14,1293,0,5,0
26,audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd,audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,17,1193,0,1,0
27,notebooks/hypotheses/H07.qmd,notebooks/hypotheses/H07.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,11,965,0,2,0
28,audit/hypotheses/H07/H07_analysis_preparation.qmd,audit/hypotheses/H07/H07_analysis_preparation.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,21,1144,0,2,0
29,notebooks/hypotheses/H08.qmd,notebooks/hypotheses/H08.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,15,864,0,5,0
30,audit/hypotheses/H08/H08_analysis_preparation.qmd,audit/hypotheses/H08/H08_analysis_preparation.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,19,1581,0,3,0
31,notebooks/hypotheses/H09.qmd,notebooks/hypotheses/H09.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,11,505,0,4,0
32,audit/hypotheses/H09/H09_analysis_preparation.qmd,audit/hypotheses/H09/H09_analysis_preparation.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,19,831,0,1,0
33,notebooks/hypotheses/H10.qmd,notebooks/hypotheses/H10.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,15,1038,0,8,0
34,audit/hypotheses/H10/H10_analysis_preparation.qmd,audit/hypotheses/H10/H10_analysis_preparation.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,19,1050,0,2,0
35,notebooks/hypotheses/H11.qmd,notebooks/hypotheses/H11.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,15,584,0,8,0
36,audit/hypotheses/H11/H11_analysis_preparation.qmd,audit/hypotheses/H11/H11_analysis_preparation.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,26,1193,0,3,0
37,notebooks/sensitivity_battery.qmd,notebooks/sensitivity_battery.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0
