logical_order,source,expected_html,historical_source_sha256,live_authoring_source_sha256,source_matches_accepted_baseline,historical_html_sha256,resealed_html_sha256,live_html_sha256,html_changed
19,notebooks/hypotheses/H04.qmd,_build/nathealth/notebooks/hypotheses/H04.html,f8adb6d78be041ce296dd7e89eb92769b128631c1b4227ce5d8ab3d526daf1d5,f8adb6d78be041ce296dd7e89eb92769b128631c1b4227ce5d8ab3d526daf1d5,TRUE,da5f7f7195da843e46014d4796d35381f74d223ba79c37bb78fb8ce6dfa67c9f,edb592760ee086c4b58abf7ab8946dbdf2be2c4b35bb7e6f11d84f66f71160e0,edb592760ee086c4b58abf7ab8946dbdf2be2c4b35bb7e6f11d84f66f71160e0,TRUE
20,audit/hypotheses/H04/H04_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H04/H04_analysis_preparation.html,efdb5be8dc194695f40c50249fab14905ec337bc63079ae589557de860188474,efdb5be8dc194695f40c50249fab14905ec337bc63079ae589557de860188474,TRUE,e5f0861ef1b1e4accf4e6a924155c6ec5ce77a9c9865d6dc7bf5427e3de860ea,52c6024ab04de8b6480e17234b456eca7baacefec7a87cca81014bb79bceefe4,52c6024ab04de8b6480e17234b456eca7baacefec7a87cca81014bb79bceefe4,TRUE
21,notebooks/hypotheses/H05.qmd,_build/nathealth/notebooks/hypotheses/H05.html,7c20e16629729de433d1ab400038e9d32c73aeb25c95ecd44d581b876755d5e0,7c20e16629729de433d1ab400038e9d32c73aeb25c95ecd44d581b876755d5e0,TRUE,a088e105be1987508280e91b938142773c8fb9275f1e924ac1ec9958a9b199f1,579921b11cced98f3e39f67f5eb87f43d6b54eebfb6d0903a8b9af9ffdd189fd,579921b11cced98f3e39f67f5eb87f43d6b54eebfb6d0903a8b9af9ffdd189fd,TRUE
22,audit/hypotheses/H05/H05_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.html,843f60f890daac0e41c6655bc365ab0325e3f582e011610469a799946b2f2811,843f60f890daac0e41c6655bc365ab0325e3f582e011610469a799946b2f2811,TRUE,856dbd21920b65dce6437172022d0e6130410d9e357259a4d50aa1f6fe2461d8,a2d3dea4576685982838fec366669165c4c26617fb6cc3fc8c5512b0277a0d91,a2d3dea4576685982838fec366669165c4c26617fb6cc3fc8c5512b0277a0d91,TRUE
23,notebooks/hypotheses/H06.qmd,_build/nathealth/notebooks/hypotheses/H06.html,d65c197cb37db32101d8a43fcdc80198ab599a95cb73259abd187c9b2b58d350,d65c197cb37db32101d8a43fcdc80198ab599a95cb73259abd187c9b2b58d350,TRUE,8b5f1b0ada997290ec5324de35e0c874fd25e2e9ef052281acaab07d0a3dccaa,bf3f70118afca9264aba77f9483a1cdd783e3c43996c9049fce67780ceca539b,bf3f70118afca9264aba77f9483a1cdd783e3c43996c9049fce67780ceca539b,TRUE
24,audit/hypotheses/H06/H06_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html,f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b,f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b,TRUE,f9a4f51db555454a2e7cd0ea70895978b71016e6bd2c7310ae5033ad3c7ed378,ae3dd53c5c3947e163a6048807f1e639197548e8e824c9d52709da3a65f74683,ae3dd53c5c3947e163a6048807f1e639197548e8e824c9d52709da3a65f74683,TRUE
25,notebooks/hypotheses/H06_daily.qmd,_build/nathealth/notebooks/hypotheses/H06_daily.html,8f696f3f89fe9ea18c8066b756a01fc5da6b41e86f8ac7d37d1e16f9c10ba639,8f696f3f89fe9ea18c8066b756a01fc5da6b41e86f8ac7d37d1e16f9c10ba639,TRUE,74a63bd09b266709630e92241a17735298dffd5fc6d1746887621eb6288f2e6c,7fd65a465185a341d5065a2c47b07d510b2ff331a3a99e56bc7f90044e755a02,7fd65a465185a341d5065a2c47b07d510b2ff331a3a99e56bc7f90044e755a02,TRUE
26,audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,b1d2c9ec6184e9c537af04119d94040b581ae691069e38e0a713935ab1582536,b1d2c9ec6184e9c537af04119d94040b581ae691069e38e0a713935ab1582536,TRUE,768d4675a54e183ddc06df66a255c6d83919268d16f02d27169ec89f5bbb0fd6,29f03d5b13833d793653d4061ab8deea47596765ba6aec22a77a8c07bc71b6de,29f03d5b13833d793653d4061ab8deea47596765ba6aec22a77a8c07bc71b6de,TRUE
27,notebooks/hypotheses/H07.qmd,_build/nathealth/notebooks/hypotheses/H07.html,c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226,c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226,TRUE,7814860467f71311c56e22960e757059524ccc3890b0721708eda7a5c661ab40,878f1f7bec7dad63ea5b2b18f74502053f1d5d9b3de2a96588e1d2ef1e437462,878f1f7bec7dad63ea5b2b18f74502053f1d5d9b3de2a96588e1d2ef1e437462,TRUE
28,audit/hypotheses/H07/H07_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html,a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b,a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b,TRUE,4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93,bebaadfd61b1ff20462c54e5e37ad35de65903c3c9596027de21e5fdb41cecb8,bebaadfd61b1ff20462c54e5e37ad35de65903c3c9596027de21e5fdb41cecb8,TRUE
29,notebooks/hypotheses/H08.qmd,_build/nathealth/notebooks/hypotheses/H08.html,1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1,1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1,TRUE,472848d0da3e3996fa1727151048e3cab4a7e363dba3dc8eda8b024eb5a4ca9a,d264716572c7e00230544fcb90990a488b970b259b3cacb50c84de5ef9bc4860,d264716572c7e00230544fcb90990a488b970b259b3cacb50c84de5ef9bc4860,TRUE
30,audit/hypotheses/H08/H08_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation.html,3eeeda47c909be2ca32bf234af18f2d690f1c3e7b26e854f7311c0d8300f6f2d,3eeeda47c909be2ca32bf234af18f2d690f1c3e7b26e854f7311c0d8300f6f2d,TRUE,cd0ce2210949559408d07bcbccac502d3b0a372b4229da70bdfc6dbe0c52f66b,c8e9eda22c20463b3f554371b93a6b40d113f509380f697ce855af2ce0c02a3c,c8e9eda22c20463b3f554371b93a6b40d113f509380f697ce855af2ce0c02a3c,TRUE
31,notebooks/hypotheses/H09.qmd,_build/nathealth/notebooks/hypotheses/H09.html,c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6,9db9671d61b39a81fa83b234e08832cef516ee91688ac8bc4150385629648df9,FALSE,901fd63b45182be70ef77166c418633220a7226d86f52e14d1c79afbfc7cdd16,2815dfb547ef1bb268fcaa36e6d816819b7a1215c118e9e01cd46c83babb8ea7,2815dfb547ef1bb268fcaa36e6d816819b7a1215c118e9e01cd46c83babb8ea7,TRUE
32,audit/hypotheses/H09/H09_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html,394a976e52faf002cb2034a13353a053aae8bfda8942a79c2eb007017cae014f,394a976e52faf002cb2034a13353a053aae8bfda8942a79c2eb007017cae014f,TRUE,09b604b011ef14c138c15720b419a9ca200e15f71ce3e40a9b85c23f6803f96d,603bb751141231944a4b677cc15f58e597cd28346a2f672ffbd053d755cffe37,603bb751141231944a4b677cc15f58e597cd28346a2f672ffbd053d755cffe37,TRUE
33,notebooks/hypotheses/H10.qmd,_build/nathealth/notebooks/hypotheses/H10.html,0cf302f74c482168c5f5d4c640bbc6a80ef451333f7d76f3c3be204ac1b5f64d,0cf302f74c482168c5f5d4c640bbc6a80ef451333f7d76f3c3be204ac1b5f64d,TRUE,37d5ffb4b5e33f23690e222c90ac6c26b70a222298c7c631005d41e3db4bee14,c0f4cbc78b899b41cad904e723891c9ac499bf4485233cf7aefff2ebaa059409,c0f4cbc78b899b41cad904e723891c9ac499bf4485233cf7aefff2ebaa059409,TRUE
34,audit/hypotheses/H10/H10_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H10/H10_analysis_preparation.html,706fe46f293bd09bfd3cb75c14bc3082410a452acfff666d76219f266fded1a6,706fe46f293bd09bfd3cb75c14bc3082410a452acfff666d76219f266fded1a6,TRUE,dc2aa864a1b1edf01043444af425df40564779e83b72f00c206068fdba19a7b9,8def05900ef9cdb38b588de1eb46465945b43a1403984514de84bdf11a81d1a9,8def05900ef9cdb38b588de1eb46465945b43a1403984514de84bdf11a81d1a9,TRUE
35,notebooks/hypotheses/H11.qmd,_build/nathealth/notebooks/hypotheses/H11.html,7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867,7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867,TRUE,2c8a34ec47c10b3b4b1be600093cb03837bd0beb3b617f7e04f156529076d21a,8728ef781e8b814ccc5ffd2388dfe388529f3e0dbbd9782f343503e99a45e88e,8728ef781e8b814ccc5ffd2388dfe388529f3e0dbbd9782f343503e99a45e88e,TRUE
36,audit/hypotheses/H11/H11_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H11/H11_analysis_preparation.html,3f5a0d2ead03d2cb149451709110b59ba1387401f9ff633dfba1a0663f4b0816,3f5a0d2ead03d2cb149451709110b59ba1387401f9ff633dfba1a0663f4b0816,TRUE,58518d708e4feb6145bd8eb773b6b9ae4937afdf4a9e44e19d4215d9ca86162c,a7f13fda8a5a99deda8821c4bd9b990bbcf80bb07592317108532391592aa33e,a7f13fda8a5a99deda8821c4bd9b990bbcf80bb07592317108532391592aa33e,TRUE
37,notebooks/sensitivity_battery.qmd,_build/nathealth/notebooks/sensitivity_battery.html,d2d1777062dbf58eca69cc58eadd6ad17a7ce80f4a8f335b6828f54ffcbfeb70,d2d1777062dbf58eca69cc58eadd6ad17a7ce80f4a8f335b6828f54ffcbfeb70,TRUE,875f53995f5f47ec30b630a5cf47edfef1d0fe925034d3fab4944be8c6c6b4be,20cb3da96ee563067fbef387c60346cd0815ee09b3ea997750be81f134920170,20cb3da96ee563067fbef387c60346cd0815ee09b3ea997750be81f134920170,TRUE
