logical_order,route,accepted_sha256,candidate_sha256,layout_class_affected,main_right_before,main_layout_replacements,main_left_after,title_meta_right_before,title_meta_layout_replacements,title_meta_left_after,protected_main_sha256,page_navigation_sha256
13,notebooks/hypotheses/H01.html,df78ac3c2ed91515058b6af38e01b85b4baae74118699c008a29ba4dacf4d007,eab336d8cde80608968679d68cfc4ed67828c4f60969d51f90d3738b59e63839,TRUE,1,1,1,1,1,1,4338d0e333f9d8dd753fbb8fc6c4d3d686f07a3b0ed9d053ec6533455a120b77,39063a8ee6708b61f8c681e9a60910147895bc4e3e5148eb411e230bbfa03c17
14,audit/hypotheses/H01/H01_analysis_preparation.html,5ab6587465f01f946fcf133f9f81a69168e08fa866f69830c2378e6c3cf250fe,52b24d00ed6e5a9251b813932969376e396b6ff89239de9ef413d1a3e9054578,TRUE,1,1,1,1,1,1,7e7785f22823adeb2bdb36a4007cd335bf2d6c9d172bc6f101f3f577e5378782,0f21b08f1c4d9101c240d499db8b94474399c4d63813452e3e29827c08732feb
15,notebooks/hypotheses/H02.html,736dc6311e53f2b70349326ce0845cc35d23e3b68c000a300833952e81190dd9,4298689a560cf3ceb693360533dec03c0f724c02022638b7cc8b075c8968f474,TRUE,1,1,1,1,1,1,2b1d008e754043af44eedcc67e0d96710aed9b4f3c3f37d6b540ec2f20824adb,be3c1de7f66bb94a1bd9b8aaff7a4c840a62eb63911f708098b7df25b074e8c2
16,audit/hypotheses/H02/H02_analysis_preparation.html,966f5556a637aece91ef2e2905dcfea8d0d0587ff8d4d61c47e89e9106bbc253,438cb5fe7505999f38ed9e17c424fb77bc3a380bc363ef1cb5b0e57a9c4402e6,TRUE,1,1,1,1,1,1,b052b114f6b28d7904f64a10ace69ce18196a27309957521a121f2bbd131b657,74672ad45d59c6d67c7d10c62cb5c48baa55f55dedf43cb576cd71c0a86ca30c
17,notebooks/hypotheses/H03.html,abe4be0b127c66b357eca66ab5e90609e0ac7902ca611c5f0e8a9adf410f2cc1,1ad80c1574ada455e978ce905a1e5bb4f53b0392bf5e4433cdeac41da85f7cac,TRUE,1,1,1,1,1,1,c8cac117d5c6ef4af9b3991761276b6b6338cc6db4277796cd3fca140446c9aa,dd5cb72a6222b176da757a2747baca68563cbc56d2af8589a26c3db8b01cce0f
18,audit/hypotheses/H03/H03_analysis_preparation.html,2583f765edc9ed9f01753ab452e5096fb0bf7ed68f22718fad3682450c1da91c,a95e89c6771b7b752b9968e0fa24b0d99f68e1d30853554ced33479ce4eb294e,TRUE,1,1,1,1,1,1,15ce7979b5ce0e1a32cac39c196807b47068b43f9e66ffc76424f8fdb10a2f4d,b3d75f57cb248e49b672d9b1d57f64dd152d8f2fd557ee9f7edce2fd08ab9f07
19,notebooks/hypotheses/H04.html,da5f7f7195da843e46014d4796d35381f74d223ba79c37bb78fb8ce6dfa67c9f,edb592760ee086c4b58abf7ab8946dbdf2be2c4b35bb7e6f11d84f66f71160e0,TRUE,1,1,1,1,1,1,1847cbeb5913a8b59ee73fb8ed2efa9951440a37d15d14e4fc0517b435203c9b,d9ed1086eade0fd072457a7feb08b070ca1cc0c6563b6924fea588800ad69f54
20,audit/hypotheses/H04/H04_analysis_preparation.html,e5f0861ef1b1e4accf4e6a924155c6ec5ce77a9c9865d6dc7bf5427e3de860ea,52c6024ab04de8b6480e17234b456eca7baacefec7a87cca81014bb79bceefe4,TRUE,1,1,1,1,1,1,97400a8931a4b5241035d3dff01094520975cadb78a3bd64edfd8db862a583a4,00b9da417d0d053848eb8d3f1ed38aa1dff6ea98af3336711db68331c3e3ecef
21,notebooks/hypotheses/H05.html,a088e105be1987508280e91b938142773c8fb9275f1e924ac1ec9958a9b199f1,579921b11cced98f3e39f67f5eb87f43d6b54eebfb6d0903a8b9af9ffdd189fd,TRUE,1,1,1,1,1,1,97e4e7920f0dbeecd78215a11d3c3469d975035ae14461b661252ec60658590b,db3be0c1a892ccb631e85a5871bc026adb7d744759bb3d34649afe2194d94dfa
22,audit/hypotheses/H05/H05_analysis_preparation.html,856dbd21920b65dce6437172022d0e6130410d9e357259a4d50aa1f6fe2461d8,a2d3dea4576685982838fec366669165c4c26617fb6cc3fc8c5512b0277a0d91,TRUE,1,1,1,1,1,1,d395a5a9b917f0c7e91947927d5d39c64685086d2a518dde592a7c86ce53c8c0,155b211349a4ac6df92f3a1222689c4d4dad4e3a072cce33b42e8673643322c9
23,notebooks/hypotheses/H06.html,8b5f1b0ada997290ec5324de35e0c874fd25e2e9ef052281acaab07d0a3dccaa,bf3f70118afca9264aba77f9483a1cdd783e3c43996c9049fce67780ceca539b,TRUE,1,1,1,1,1,1,3d1dcba1c4d343713d68322982339937d5216b46fdca372c36961c5ebc9b2479,7ad34aae65de3c5751020e2e4d08f768722c4043d0d90ba38a83302b294dab89
24,audit/hypotheses/H06/H06_analysis_preparation.html,f9a4f51db555454a2e7cd0ea70895978b71016e6bd2c7310ae5033ad3c7ed378,ae3dd53c5c3947e163a6048807f1e639197548e8e824c9d52709da3a65f74683,TRUE,1,1,1,1,1,1,bf6bb488b2a9bb6c8e44c195bc0fa61fd35eefee43b38f604d1e5edc87f23c0e,e0a98ca6259cdbf41696fa294e2e67e31f061391504cca5a9fa0537ef8f2d83d
25,notebooks/hypotheses/H06_daily.html,74a63bd09b266709630e92241a17735298dffd5fc6d1746887621eb6288f2e6c,7fd65a465185a341d5065a2c47b07d510b2ff331a3a99e56bc7f90044e755a02,FALSE,0,0,0,0,0,0,4df20e59568758cf95d88ff4aa290b7e83675bc22db6110ee5227556186e67b6,69f731a5f60f0af9678d6821b228f12f0747adce512e15a41db856e66d9267a5
26,audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,768d4675a54e183ddc06df66a255c6d83919268d16f02d27169ec89f5bbb0fd6,29f03d5b13833d793653d4061ab8deea47596765ba6aec22a77a8c07bc71b6de,TRUE,1,1,1,1,1,1,75acf28bb62c95f769192aa9c2adb3d97ff69b2a642831e5e9760f99ba9c8b34,7c1f91ce0242a04e61a50fcbfa11085ec102212decf216e2b1e776099f40987d
27,notebooks/hypotheses/H07.html,7814860467f71311c56e22960e757059524ccc3890b0721708eda7a5c661ab40,878f1f7bec7dad63ea5b2b18f74502053f1d5d9b3de2a96588e1d2ef1e437462,FALSE,0,0,0,0,0,0,18433cf288d287ee1daafbf2fcf4c372e004dbdc58030d2895eb67a1fd1f923f,618fb73243cda9d67b096c780bf283a138758d48e5f760b4bbc8138fbea0c0bf
28,audit/hypotheses/H07/H07_analysis_preparation.html,4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93,bebaadfd61b1ff20462c54e5e37ad35de65903c3c9596027de21e5fdb41cecb8,TRUE,1,1,1,1,1,1,b4f54eb422bc151c58e5dc2a7e5b13b504882786444c40d7545b9c2a71f3179e,4df4803aff836c30b2ef7505895962619536d96961d3d98a9113d90324d11af8
29,notebooks/hypotheses/H08.html,472848d0da3e3996fa1727151048e3cab4a7e363dba3dc8eda8b024eb5a4ca9a,d264716572c7e00230544fcb90990a488b970b259b3cacb50c84de5ef9bc4860,TRUE,1,1,1,1,1,1,413338f30facc84765105d6d5785d9e0982723d8160bc30816593df026788996,09dd2bd2e6f0911880f9b1f4ba8879abee7dd0e67303ae8128e65137f6c758bc
30,audit/hypotheses/H08/H08_analysis_preparation.html,cd0ce2210949559408d07bcbccac502d3b0a372b4229da70bdfc6dbe0c52f66b,c8e9eda22c20463b3f554371b93a6b40d113f509380f697ce855af2ce0c02a3c,TRUE,1,1,1,1,1,1,25a28b1f9f8e99f40c8662859c435beca1f59686d0ec0b7f1589a2bed42c0535,3a3695812811f9cee19e147ca2f15bc9092ad5698fe43db147d8f041740823e8
31,notebooks/hypotheses/H09.html,901fd63b45182be70ef77166c418633220a7226d86f52e14d1c79afbfc7cdd16,2815dfb547ef1bb268fcaa36e6d816819b7a1215c118e9e01cd46c83babb8ea7,TRUE,1,1,1,1,1,1,94cdedd715836fd39ce9de42d3588ce780ae421370a2d2dad9a7978b13855f58,f6579188e058680a5302cc25f194c3436053f261bb4e8c1d11f1244897c3417e
32,audit/hypotheses/H09/H09_analysis_preparation.html,09b604b011ef14c138c15720b419a9ca200e15f71ce3e40a9b85c23f6803f96d,603bb751141231944a4b677cc15f58e597cd28346a2f672ffbd053d755cffe37,TRUE,1,1,1,1,1,1,ff53e1c9ef4440d7007ece7bc6a1fe4a4c703144dbf44314a71715969fc8d8aa,1ace83322e98738f1b8a11d2902a3a09285c9b31942cfba7e34689ad7044fb0a
33,notebooks/hypotheses/H10.html,37d5ffb4b5e33f23690e222c90ac6c26b70a222298c7c631005d41e3db4bee14,c0f4cbc78b899b41cad904e723891c9ac499bf4485233cf7aefff2ebaa059409,TRUE,1,1,1,1,1,1,5486826a06f44bd0b011d9c53e2b76a740963b23f9440faffde6be70b597b678,7659fb09a1c9a6cdd5f0c19ea84bc96dd98913374629b70e5810f1c4c7608304
34,audit/hypotheses/H10/H10_analysis_preparation.html,dc2aa864a1b1edf01043444af425df40564779e83b72f00c206068fdba19a7b9,8def05900ef9cdb38b588de1eb46465945b43a1403984514de84bdf11a81d1a9,TRUE,1,1,1,1,1,1,ee596e0c5fbebc0c2b0277294c3c408972f46c358dd4b1f7622c29c3f105b1cb,a5ed10842dde9265fb3d19001d8215521bbbaed3c81d6d96f6db0992d938f6a1
35,notebooks/hypotheses/H11.html,2c8a34ec47c10b3b4b1be600093cb03837bd0beb3b617f7e04f156529076d21a,8728ef781e8b814ccc5ffd2388dfe388529f3e0dbbd9782f343503e99a45e88e,TRUE,1,1,1,1,1,1,80391f2ed155c32de84dff9422f53b732d75d6798eeb601c2343e526ef7c55ef,1d2647dbfb9108b3f26a5cecd21d91c9b921ab6116a2bd0d08aed212f8ae75a2
36,audit/hypotheses/H11/H11_analysis_preparation.html,58518d708e4feb6145bd8eb773b6b9ae4937afdf4a9e44e19d4215d9ca86162c,a7f13fda8a5a99deda8821c4bd9b990bbcf80bb07592317108532391592aa33e,TRUE,1,1,1,1,1,1,afcd3291783dc7df87cf1bc3ad6343e2ada70f573513705fc57266aa526d9b21,3efd4af1fb45ce91a559b7ab3362356d530c4445a8dd314df4459240e31cc3ab
37,notebooks/sensitivity_battery.html,875f53995f5f47ec30b630a5cf47edfef1d0fe925034d3fab4944be8c6c6b4be,20cb3da96ee563067fbef387c60346cd0815ee09b3ea997750be81f134920170,TRUE,1,1,1,1,1,1,f0294a92365d96373f6311faa25795367e699f8c45737fbf79df5cf6733b5c76,3498d33bea13d58813bf1a679f83c568a47807f8e426390dd63bd1949c0e0f53
