run_id,site,clock_bin,time_hour,eta,standard_error,lower_eta,upper_eta,estimate_melEDI_lx,lower_melEDI_lx,upper_melEDI_lx,simultaneous_critical_value,equal_site_deviation_eta,deviation_standard_error,site_to_equal_site_ratio,ratio_lower,ratio_upper,deviation_simultaneous_critical_value,display_order,display_name,color_hex,pointwise_lower_melEDI_lx,pointwise_upper_melEDI_lx
main__chest__all_available,RISE,750,12.75,2.618755815786853,0.1645915626198097,2.0448620981563206,3.1926495334173852,415.5768284319086,110.78226740848908,1558.194484172696,3.486774829133679,0.35143947210135656,0.15315148878259638,2.246153706302879,0.6617619015533132,7.623899865640278,3.4654427171698163,1,Borås (SE),#88CCEE,197.6708503624295,873.5738775131181
main__chest__all_available,RISE,780,13.25,2.646617947337978,0.1627498131538689,2.0791459953868583,3.2140898992890974,443.11856912071295,119.89026027776062,1637.0553787672015,3.486774829133679,0.36043003623285685,0.15139092476575883,2.2931371819600583,0.6851622999868575,7.6747919951062435,3.4654427171698163,1,Borås (SE),#88CCEE,212.53471776586085,923.750545561999
main__chest__all_available,RISE,810,13.75,2.656458466486899,0.15945889768780325,2.100461195747664,3.212455737226134,453.2759373481098,125.92630282449136,1630.90667050856,3.486774829133679,0.3651062975887072,0.148548118755062,2.3179619231489954,0.7084697331618792,7.583877229573783,3.4654427171698163,1,Borås (SE),#88CCEE,220.6622287910111,930.9910733777058
main__chest__all_available,RISE,840,14.25,2.6468706997431024,0.15538591012921002,2.1050750195025447,3.18866637998366,443.3765902759,127.2723083396626,1543.9678487059875,3.486774829133679,0.3641705835003433,0.14490873922875502,2.3129731083521814,0.7277758639389412,7.350950842207638,3.4654427171698163,1,Borås (SE),#88CCEE,219.84794678189428,894.0728668090852
main__chest__all_available,RISE,870,14.75,2.619810557734324,0.15097402406827473,2.093398130760041,3.1462229847086065,416.58758180792813,123.8932749164671,1400.206112971937,3.486774829133679,0.359684257005345,0.1406921551635444,2.28920273974444,0.7449440445358886,7.034688339468947,3.4654427171698163,1,Borås (SE),#88CCEE,210.71762089838384,823.4959598302719
main__chest__all_available,RISE,900,15.25,2.578615539081241,0.145888830845385,2.069934035837812,3.0872970423246704,378.8793434593315,117.37191155380498,1222.5356144982125,3.486774829133679,0.35509026913423675,0.1357780821028531,2.265115068186066,0.7665828577198626,6.693009399381232,3.4654427171698163,1,Borås (SE),#88CCEE,196.09082113371366,731.9696347510483
main__chest__all_available,RISE,930,15.75,2.5251996552923295,0.1396313733299469,2.038336497408103,3.012062813176556,335.0194659770008,109.12863273100474,1028.0649936357047,3.486774829133679,0.35265156822501786,0.13005853575835655,2.2524313752891425,0.7978865839094686,6.358606853029365,3.4654427171698163,1,Borås (SE),#88CCEE,178.35437205689522,629.2208464565097
main__chest__all_available,RISE,960,16.25,2.4566245714919455,0.13275246173044167,1.9937466294247097,2.9195025135591814,286.07030836980744,98.47042507843412,830.7115271625005,3.486774829133679,0.35147680121050134,0.12387044998955392,2.2463467792612555,0.8360088067101689,6.03590992366999,3.4654427171698163,1,Borås (SE),#88CCEE,157.09347965042807,520.8722793501868
main__chest__all_available,RISE,990,16.75,2.365568055479425,0.12623744124613834,1.9254065228481485,2.805729588110702,231.94277763101871,84.11831011990316,639.2366308829982,3.486774829133679,0.34701382300520384,0.11776341870379498,2.223380656720433,0.8687832542223997,5.690051598776691,3.4654427171698163,1,Borås (SE),#88CCEE,131.16447839191835,410.09361300439565
main__chest__all_available,RISE,1020,17.25,2.2422425630350538,0.1203070249972338,1.8227590565067424,2.661726069563365,174.57975054035424,66.3904169745892,458.8084658696251,3.486774829133679,0.33224784848725275,0.1119438866540612,2.1490565741275165,0.879655701144306,5.250286166272514,3.4654427171698163,1,Borås (SE),#88CCEE,101.3951119539712,300.53531791243574
main__chest__all_available,RISE,1050,17.75,2.0769323361549574,0.11449511095237398,1.677713665227352,2.4761510070825627,119.28020935058623,47.51169745332924,299.23052478458214,3.486774829133679,0.300124070847968,0.10641014780615694,1.9958324102891625,0.85381896891177,4.665329718590815,3.4654427171698163,1,Borås (SE),#88CCEE,71.10754980209148,200.04218189222405
main__chest__all_available,RISE,1080,18.25,1.8680046759861293,0.10922921222230218,1.4871470082033054,2.248862343768953,73.69121750804274,30.600610247969836,177.26272137063947,3.486774829133679,0.2462218541739913,0.1017151085070619,1.76287636086972,0.7829498985472019,3.969261723489335,3.4654427171698163,1,Borås (SE),#88CCEE,44.97329982010252,120.70641539563434
main__chest__all_available,RISE,1110,18.75,1.6261280762274914,0.10629029841458355,1.255517739134414,1.9967384133205688,42.17932803316885,17.910166970270545,99.15180493256942,3.486774829133679,0.17063014188820522,0.09904242512121952,1.4812560660658385,0.6720541868491834,3.2647955718327064,3.4654427171698163,1,Borås (SE),#88CCEE,26.069951599633445,68.20511596977255
main__chest__all_available,RISE,1140,19.25,1.3674534823468665,0.1067560149143958,0.9952192966847312,1.7396876680090012,23.20523477551919,9.79052389876336,54.81458020843352,3.486774829133679,0.07832110870414635,0.09918624058461176,1.1976257046588443,0.5427463026924959,2.642684660115005,3.4654427171698163,1,Borås (SE),#88CCEE,14.295128233627077,37.63040150301034
main__chest__all_available,RISE,1170,19.75,1.111789936753093,0.11013024892121163,0.7277905568883858,1.4957893166178002,12.835700051706532,5.2430662222865,31.217660846081102,3.486774829133679,-0.02207497372363177,0.10206492513350512,0.9504407017035102,0.4209445342443542,2.1459775670356667,3.4654427171698163,1,Borås (SE),#88CCEE,7.76934553679624,21.163818578723205
main__chest__all_available,RISE,1200,20.25,0.8769058668987391,0.11595473012164025,0.4725978325916151,1.281213901205863,7.431922920054168,2.868915469394459,19.007941421184324,3.486774829133679,-0.12058848185368726,0.10771023144378586,0.7575503761033731,0.3207361272821164,1.7892670127228305,3.4654427171698163,1,Borås (SE),#88CCEE,4.363122139006059,12.610802238154987
main__chest__all_available,RISE,1230,20.75,0.6615766246765129,0.12535233325045117,0.22450126432566303,1.0986519850273628,4.487505782422462,1.576877217495661,12.450238672327828,3.486774829133679,-0.20846086214256243,0.1168106284760964,0.6187840887780636,0.243634393012516,1.5715915302041463,3.4654427171698163,1,Borås (SE),#88CCEE,2.5054969320647835,7.977234344345122
main__chest__all_available,RISE,1260,21.25,0.45561045967859265,0.13891867675737687,-0.02876768573558691,0.9399886050927722,2.755028577437162,0.8359061783494806,8.609407381365845,3.486774829133679,-0.28007360050972147,0.12956003153533688,0.5247185279115453,0.18661370345012865,1.4753982609173142,3.4654427171698163,1,Borås (SE),#88CCEE,1.4252283056812256,5.244241349062974
main__chest__all_available,RISE,1290,21.75,0.24488711998017057,0.15539089692352798,-0.29692594808929285,0.7867001880496339,1.6574667611208735,0.40474735511473936,6.019278060887654,3.486774829133679,-0.3337333044247701,0.1448885118136682,0.4637316049124819,0.14593647686984337,1.4735658007319208,3.4654427171698163,1,Borås (SE),#88CCEE,0.7716187387567157,3.4436243842696936
main__chest__all_available,RISE,1320,22.25,0.01241620554785691,0.1732751449652687,-0.5917552084315313,0.6165876195272452,0.9290019684316854,0.15600284490964336,4.036067516788747,3.486774829133679,-0.3712676364422547,0.16170251010045192,0.42533621649166425,0.11704734785556786,1.5456214974019,3.4654427171698163,1,Borås (SE),#88CCEE,0.370763910769749,2.149206081462274
main__chest__all_available,RISE,1350,22.75,-0.24235455864418692,0.19286704449958175,-0.9148385147747338,0.43012939748636,0.4723285903119091,0.02166383033955569,2.5923368627653653,3.486774829133679,-0.39679142600505474,0.18035631991091652,0.40105928386235296,0.09510296973689472,1.691309426163829,3.4654427171698163,1,Borås (SE),#88CCEE,0.13968065360357365,1.2666518776696671
main__chest__all_available,RISE,1380,23.25,-0.49964704078910854,0.2154551647102521,-1.2508906859076665,0.25159660432944947,0.2164848746739735,0,1.6848289611863752,3.486774829133679,-0.4151732745015622,0.20222851870383116,0.3844383684978568,0.07656237167873632,1.930358946996159,3.4654427171698163,1,Borås (SE),#88CCEE,0.019692956942503018,0.7368301565606397
main__chest__all_available,RISE,1410,23.75,-0.737912847875294,0.24116976433541504,-1.5788175117081205,0.10299181595753248,0.08284671073002156,0,1.1676279778754142,3.486774829133679,-0.43063628937055426,0.2279615279161578,0.3709912875263538,0.06016945723608279,2.2874485119657044,3.4654427171698163,1,Borås (SE),#88CCEE,0,0.44296421097744887
main__chest__all_available,THUAS,0,0.25,-0.5196523167821544,0.2506416310292199,-1.3935832469878493,0.3542786134235404,0.20223703717591004,0,2.160885733620207,3.486774829133679,-0.03065284126620028,0.23634013411714885,0.9318524657696812,0.1413591620795032,6.1428562902251675,3.4654427171698163,2,Delft (NL),#117733,0,0.8366907964818217
main__chest__all_available,THUAS,30,0.75,-0.6641752058811092,0.22442974011608272,-1.4467111746268797,0.11836076286466111,0.11668297720242812,0,1.2132903795330396,3.486774829133679,-0.04111698879498496,0.21012801904235712,0.9096681962485944,0.1700968996994929,4.864851909282851,3.4654427171698163,2,Delft (NL),#117733,0,0.4966216403371858
main__chest__all_available,THUAS,60,1.25,-0.7684583787274117,0.20106958470032427,-1.4695427455648646,-0.06737401188995873,0.07042826440099656,0,0.7563000869289842,3.486774829133679,-0.04720216220754795,0.18752909236853008,0.8970111424840423,0.20087528705439517,4.005614635525777,3.4654427171698163,2,Delft (NL),#117733,0,0.3223094168891548
main__chest__all_available,THUAS,90,1.75,-0.8419670905974034,0.1805655561819416,-1.4715585269011204,-0.2123756542936862,0.04389076097948105,0,0.5132313453119761,3.486774829133679,-0.04577071679997699,0.1680267404501449,0.8999725913300538,0.2354736085248232,3.4396664246980717,3.4654427171698163,2,Delft (NL),#117733,0,0.22503856828913302
main__chest__all_available,THUAS,120,2.25,-0.8976034011076713,0.1618396775956999,-1.4619019153034676,-0.3333048869118751,0.02658918356322809,0,0.3641892869058799,3.486774829133679,-0.03766254630279895,0.150428736851216,0.9169326846248168,0.2760802141282836,3.045366908266026,3.4654427171698163,2,Delft (NL),#117733,0,0.16278255944224831
main__chest__all_available,THUAS,150,2.75,-0.9431082436826131,0.14462806637379422,-1.447393745101034,-0.4388227422641924,0.0139965626787077,0,0.2640635987363559,3.486774829133679,-0.02869267912188526,0.13440811099606548,0.9360678318322476,0.3202754953045434,2.735841482214998,3.4654427171698163,2,Delft (NL),#117733,0,0.11895635644607316
main__chest__all_available,THUAS,180,3.25,-0.9804951913969636,0.1302572554448814,-1.434672910994212,-0.5263174717997152,0.00459352712220473,0,0.1976339912164521,3.486774829133679,-0.02795100462232763,0.12091598176116466,0.9376677849124824,0.35729059715789663,2.4608004852535457,3.4654427171698163,2,Delft (NL),#117733,0,0.08828006432100288
main__chest__all_available,THUAS,210,3.75,-1.0111007248021746,0.11990118218208932,-1.4291691488180551,-0.5930323007862941,0,0,0.1552511451773241,3.486774829133679,-0.04416324446896236,0.1109402952697724,0.9033098699196884,0.3727172707067864,2.189243121326246,3.4654427171698163,2,Delft (NL),#117733,0,0.06745621628020626
main__chest__all_available,THUAS,240,4.25,-1.0318462683559062,0.11311626627358257,-1.4262572183642168,-0.6374353183475956,0,0,0.13044361617186334,3.486774829133679,-0.08164049352547782,0.10441353602242257,0.8286278132232254,0.3601806508309392,1.906332423085633,3.4654427171698163,2,Delft (NL),#117733,0,0.05483086482838062
main__chest__all_available,THUAS,270,4.75,-1.0317573317523496,0.10896443446471388,-1.4116917791147003,-0.6518228843899989,0,0,0.1229344143421314,3.486774829133679,-0.13753803241096874,0.100813710803363,0.7285543701277888,0.3259101061338107,1.6286437893225965,3.4654427171698163,2,Delft (NL),#117733,0,0.05198790733251965
main__chest__all_available,THUAS,300,5.25,-0.990240994592267,0.10791272021857612,-1.3665083511937433,-0.6139736379907907,0.0022725313717799,0,0.14323516502094885,3.486774829133679,-0.20165122025307128,0.10013492245782717,0.6285629519608983,0.28270724733686764,1.397528320549266,3.4654427171698163,2,Delft (NL),#117733,0,0.0664424310725012
main__chest__all_available,THUAS,330,5.75,-0.8814833984160975,0.11041960411385282,-1.266491694683185,-0.4964751021490098,0.03137617145906965,0,0.21880483394209263,3.486774829133679,-0.25898377076345813,0.10242215917963604,0.5508282800319374,0.2432641456598823,1.247252418805503,3.4654427171698163,2,Delft (NL),#117733,0,0.11623951012760836
main__chest__all_available,THUAS,360,6.25,-0.6793619157985069,0.11545241608620804,-1.0819184941705653,-0.2768053374264484,0.10923680710863018,0,0.4286821683713003,3.486774829133679,-0.29423062868802935,0.10690727610223354,0.5078896601021389,0.21641548383754908,1.1919290721004796,3.4654427171698163,2,Delft (NL),#117733,0.02426691210802824,0.25230650465471494
main__chest__all_available,THUAS,390,6.75,-0.36438037388764277,0.12128861925463544,-0.7872864785650842,0.05852573078979856,0.33213518256095675,0.06319750746419256,1.044262672320314,3.486774829133679,-0.296564569737136,0.11244834911189254,0.5051675324045967,0.20594541032990452,1.2391353387626014,3.4654427171698163,2,Delft (NL),#117733,0.1499759920788678,0.6470350030577114
main__chest__all_available,THUAS,420,7.25,0.04717709341526158,0.1274535715391085,-0.39722481171049057,0.4915789985410138,1.0147490050897698,0.3006592634340194,3.001551512119909,3.486774829133679,-0.2630003052480626,0.1184537220810392,0.5457574775002327,0.21208263286917503,1.4044111967958686,3.4654427171698163,2,Delft (NL),#117733,0.5271518150372302,1.8814426340691721
main__chest__all_available,THUAS,450,7.75,0.5108745209175909,0.13429368068743247,0.04262269538493568,0.979126346450246,3.142459206516047,1.0031198394576966,9.430733950981448,3.486774829133679,-0.19916631068748503,0.12482745096535144,0.6321697190943699,0.23348087298151088,1.7116543579631966,3.4654427171698163,2,Delft (NL),#117733,1.668738965266678,5.844088931367844
main__chest__all_available,THUAS,480,8.25,0.9752613176033276,0.14151596343458608,0.4818270183790108,1.4686956168276446,9.34629094329469,2.932683011090529,29.3235870544492,3.486774829133679,-0.11730477798403126,0.1313036563248821,0.7632999290548603,0.2677132845824664,2.176308817113192,3.4654427171698163,2,Delft (NL),#117733,4.887640307646363,17.79070724458065
main__chest__all_available,THUAS,510,8.75,1.3862621671860575,0.14814455141554309,0.8697154742370418,1.9028088601350732,24.23672682075936,7.30824734821585,79.84823127644458,3.486774829133679,-0.03233891622469691,0.1373383838936658,0.9282417195850144,0.31025785206896184,2.7771503097579204,3.4654427171698163,2,Delft (NL),#117733,12.37108335229478,47.39196646490896
main__chest__all_available,THUAS,540,9.25,1.7067342924131206,0.15364200977829873,1.171019200020638,2.242449384805603,50.80193504383683,14.72583628246838,174.6629571676076,3.486774829133679,0.04250661235520769,0.1425984900723144,1.102825024795755,0.35345954450481937,3.440911567459948,3.4654427171698163,2,Delft (NL),#117733,25.34494325787061,101.72797284900747
main__chest__all_available,THUAS,570,9.75,1.9403063034078565,0.15845985653881858,1.3877924642001698,2.4928201426155425,87.05780882452372,24.322631923174853,310.94279272553945,3.486774829133679,0.0990050380909898,0.14715146534669962,1.2560445345223,0.3882040520225856,4.063965495681004,3.4654427171698163,2,Delft (NL),#117733,42.53150764886952,178.08942040849152
main__chest__all_available,THUAS,600,10.25,2.101967680157437,0.16287634630132788,1.5340545356127069,2.669880824702168,126.3642230321631,34.102238855660744,467.5068071047254,3.486774829133679,0.13516086289046161,0.15107515852589742,1.3650886724758566,0.40890136001668503,4.557253327907393,3.4654427171698163,2,Delft (NL),#117733,60.536748810448096,263.6542417903012
main__chest__all_available,THUAS,630,10.75,2.211988784374449,0.1664455658723804,1.631630574869721,2.7923469938791765,162.82539567234474,42.718413797026656,619.8361956942313,3.486774829133679,0.1542594703868455,0.15415491889832228,1.4264595811152203,0.41691203239692465,4.880614562398078,3.4654427171698163,2,Delft (NL),#117733,76.77081222216829,345.2155207762334
main__chest__all_available,THUAS,660,11.25,2.2923932136930576,0.16853180994487252,1.704760740868935,2.8800256865171803,195.96190302578003,50.57114766612501,758.5224427237257,3.486774829133679,0.16243873358217334,0.15613268086481952,1.4535793130517545,0.4181863681399855,5.052514812306677,3.4654427171698163,2,Delft (NL),#117733,91.53828144030295,419.37829241136484
main__chest__all_available,THUAS,690,11.75,2.354980915317382,0.16933285396003242,1.764555382384172,2.9454064482505924,226.3544792010811,58.0507582969662,881.7738164745186,3.486774829133679,0.1659419928894464,0.15705266303983303,1.4653521062136012,0.4184899043595342,5.130964386036611,3.4654427171698163,2,Delft (NL),#117733,105.36166417046562,486.15850496103025
main__chest__all_available,THUAS,720,12.25,2.4040275159883775,0.1694140786170761,1.8133187709654823,2.9947362610112727,253.42892560243664,64.96070589352188,987.8529469342254,3.486774829133679,0.1691477059282102,0.1571276564836815,1.47620851449612,0.4213381781974428,5.172072437379869,3.4654427171698163,2,Delft (NL),#117733,117.92717801301043,544.4941960083165
main__chest__all_available,THUAS,750,12.75,2.441285436324932,0.16877329799887922,1.8528109490325624,3.0297599236173016,276.1392818718262,71.15427884984695,1070.8271370195923,3.486774829133679,0.17396909263943658,0.15635622777331157,1.4926881759166637,0.4286724191333687,5.197717163669921,3.4654427171698163,2,Delft (NL),#117733,128.8721235678569,591.5638319823724
main__chest__all_available,THUAS,780,13.25,2.466722286506057,0.1668466418833614,1.8849656152616712,3.0484789577504428,292.8019658434183,76.63007368525857,1117.995649781989,3.486774829133679,0.18053437540093573,0.15452687436237728,1.51542474828442,0.4416013008356673,5.200419843345291,3.4654427171698163,2,Delft (NL),#117733,137.84592556256476,621.8216786945159
main__chest__all_available,THUAS,810,13.75,2.4798585567972107,0.16344561466084676,1.9099605016654877,3.0497566119289337,301.79683275418574,81.1756593991372,1121.2898269274008,3.486774829133679,0.1885063878990184,0.15160181283859608,1.543499125993922,0.4604038956351617,5.174564278300286,3.4654427171698163,2,Delft (NL),#117733,144.2813301785874,631.1568080254857
main__chest__all_available,THUAS,840,14.25,2.4809070909051996,0.15920907706551135,1.9257808884235703,3.036033293386829,302.52659464527414,84.19093832551087,1086.408913128059,3.486774829133679,0.1982069746624403,0.1478417508935915,1.57836330177258,0.4851430963962854,5.135043105606717,3.4654427171698163,2,Delft (NL),#117733,147.42412038981934,620.6991991044961
main__chest__all_available,THUAS,870,14.75,2.4710534807522992,0.1545731879740748,1.9320915796653464,3.010015381839252,295.7376750417682,85.42470397907967,1023.229235907408,3.486774829133679,0.21092718002332145,0.14345511726101207,1.6252762160246292,0.5173586190051773,5.105786743158332,3.4654427171698163,2,Delft (NL),#117733,147.16366318270187,594.2077068885467
main__chest__all_available,THUAS,900,15.25,2.451817943211284,0.14924720752658135,1.9314265366891097,2.9722093497334585,282.9205321486851,85.293838680499,937.9140634902404,3.486774829133679,0.22829267326428024,0.13835559101304432,1.6915805123421468,0.5608274961703649,5.102183201207537,3.4654427171698163,2,Delft (NL),#117733,144.210785851224,554.956374651746
main__chest__all_available,THUAS,930,15.75,2.423614380117661,0.14277620510893285,1.9257859019446064,2.9214428582907157,265.12495238670505,84.1919113906759,834.4317386682402,3.486774829133679,0.25106629305035033,0.1324704737968066,1.7826508601156108,0.6194374442453674,5.130209867991352,3.4654427171698163,2,Delft (NL),#117733,139.14453533589514,505.0851779952492
