frame_id,run_id,placement,placement_label,metric_id,instrument_id,participants,participant_days,observations,sites,derivation_hours,domain,assessment,assessment_basis,evidence
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MEQ,140,727,727,9,16832.5,Chronotype linearity,acceptable,Prespecified quantitative or identity rule,spline AIC improvement -3.251; maximum anchored departure 0.397 h
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MEQ,140,727,727,9,16832.5,Response and residual distribution,acceptable,Final author visual adjudication H09-002; quantitative screen retained as not acceptable,Q-Q r 0.952; skewness -0.426; excess kurtosis 4.850; maximum |standardized residual| 4.550; quantitative screen not acceptable; author visual adjudication H09-002 using Figure 2: acceptable
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MEQ,140,727,727,9,16832.5,Residual heteroscedasticity,acceptable,Final author visual adjudication H09-002; quantitative screen retained as not acceptable,"|Spearman(abs residual, fitted)| 0.169; site residual-SD ratio 2.590; quantitative screen not acceptable; author visual adjudication H09-002 using Figure 2: acceptable"
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MEQ,140,727,727,9,16832.5,Convergence and Hessian,acceptable,Prespecified quantitative or identity rule,5/5 declared fits converged; 5/5 had a positive-definite Hessian; maximum optimizer gradient 0.000006
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MEQ,140,727,727,9,16832.5,Singularity and variance,acceptable,Prespecified quantitative or identity rule,isSingular(tolerance = 1e-4) false for 5/5 declared fits
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MEQ,140,727,727,9,16832.5,Fixed-effect rank,acceptable,Prespecified quantitative or identity rule,fixed-effect model matrices are full rank for 5/5 declared fits
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MEQ,140,727,727,9,16832.5,Temporal dependence,acceptable,Prespecified quantitative or identity rule,one-day residual correlation -0.078; corCAR1 phi 0.107; slope change -0.006 h
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MEQ,140,727,727,9,16832.5,Participant influence,acceptable,Prespecified quantitative or identity rule,12 DFBETA flags; 0 sign reversals; 0 material participant-deletion changes; maximum |DFBETA| 0.389
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MEQ,140,727,727,9,16832.5,Site influence,acceptable,Prespecified quantitative or identity rule,0 leave-site-out sign reversals; 0 material changes; maximum slope change 0.065 h
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MEQ,140,727,727,9,16832.5,Placement and common sample,acceptable,Prespecified quantitative or identity rule,"Near-eye and chest fits use separately fitted, exactly matched paired/common frames"
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MEQ,140,727,727,9,16832.5,Prepared-data sensitivity,acceptable,Prespecified quantitative or identity rule,All-available and exact primary/gap common-sample results are estimable
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MEQ,140,727,727,9,16832.5,Multiplicity,acceptable,Prespecified quantitative or identity rule,Main and interaction tests reproduce complete five-member BH families
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MCTQ,140,810,810,9,18711.683333333334,Questionnaire scoring,acceptable,Prespecified quantitative or identity rule,Pinned msf_sc/meq aggregates accepted under H09-G4; item-level reconstruction unavailable
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MCTQ,140,810,810,9,18711.683333333334,Join and sample identity,acceptable,Prespecified quantitative or identity rule,140 participants; 810 participant-days; 810 observations; 9 sites; frame hash ab4c2d2a634dc21d4481bba842ae47f0c092b1b795fca3f506979d601cab8592
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MCTQ,140,810,810,9,18711.683333333334,Site and instrument support,acceptable,Prespecified quantitative or identity rule,minimum site participants 6; minimum within-site predictor range 2.060
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MCTQ,140,810,810,9,18711.683333333334,Clock representation,acceptable,Prespecified quantitative or identity rule,strict >16:00 versus >12:00 cut slope difference -0.004 h
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MCTQ,140,810,810,9,18711.683333333334,Chronotype linearity,acceptable,Prespecified quantitative or identity rule,spline AIC improvement 1.778; maximum anchored departure 0.477 h
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MCTQ,140,810,810,9,18711.683333333334,Response and residual distribution,acceptable,Final author visual adjudication H09-002; quantitative screen retained as not acceptable,Q-Q r 0.916; skewness 0.134; excess kurtosis 12.529; maximum |standardized residual| 6.437; quantitative screen not acceptable; author visual adjudication H09-002 using Figure 2: acceptable
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MCTQ,140,810,810,9,18711.683333333334,Residual heteroscedasticity,acceptable,Final author visual adjudication H09-002; quantitative screen retained as not acceptable,"|Spearman(abs residual, fitted)| 0.178; site residual-SD ratio 2.541; quantitative screen not acceptable; author visual adjudication H09-002 using Figure 2: acceptable"
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MCTQ,140,810,810,9,18711.683333333334,Convergence and Hessian,acceptable,Prespecified quantitative or identity rule,5/5 declared fits converged; 5/5 had a positive-definite Hessian; maximum optimizer gradient 0.000005
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MCTQ,140,810,810,9,18711.683333333334,Singularity and variance,acceptable,Prespecified quantitative or identity rule,isSingular(tolerance = 1e-4) false for 5/5 declared fits
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MCTQ,140,810,810,9,18711.683333333334,Fixed-effect rank,acceptable,Prespecified quantitative or identity rule,fixed-effect model matrices are full rank for 5/5 declared fits
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MCTQ,140,810,810,9,18711.683333333334,Temporal dependence,acceptable,Prespecified quantitative or identity rule,one-day residual correlation -0.049; corCAR1 phi 0.094; slope change 0.003 h
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MCTQ,140,810,810,9,18711.683333333334,Participant influence,acceptable,Prespecified quantitative or identity rule,11 DFBETA flags; 0 sign reversals; 0 material participant-deletion changes; maximum |DFBETA| 0.706
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MCTQ,140,810,810,9,18711.683333333334,Site influence,acceptable,Prespecified quantitative or identity rule,0 leave-site-out sign reversals; 0 material changes; maximum slope change 0.091 h
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MCTQ,140,810,810,9,18711.683333333334,Placement and common sample,acceptable,Prespecified quantitative or identity rule,"Near-eye and chest fits use separately fitted, exactly matched paired/common frames"
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MCTQ,140,810,810,9,18711.683333333334,Prepared-data sensitivity,acceptable,Prespecified quantitative or identity rule,All-available and exact primary/gap common-sample results are estimable
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MCTQ,140,810,810,9,18711.683333333334,Multiplicity,acceptable,Prespecified quantitative or identity rule,Main and interaction tests reproduce complete five-member BH families
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MEQ,141,816,816,9,18851,Questionnaire scoring,acceptable,Prespecified quantitative or identity rule,Pinned msf_sc/meq aggregates accepted under H09-G4; item-level reconstruction unavailable
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MEQ,141,816,816,9,18851,Join and sample identity,acceptable,Prespecified quantitative or identity rule,141 participants; 816 participant-days; 816 observations; 9 sites; frame hash 25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MEQ,141,816,816,9,18851,Site and instrument support,acceptable,Prespecified quantitative or identity rule,minimum site participants 6; minimum within-site predictor range 1.800
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MEQ,141,816,816,9,18851,Clock representation,acceptable,Prespecified quantitative or identity rule,strict >16:00 versus >12:00 cut slope difference 0.032 h
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MEQ,141,816,816,9,18851,Chronotype linearity,acceptable,Prespecified quantitative or identity rule,spline AIC improvement -3.658; maximum anchored departure 0.125 h
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MEQ,141,816,816,9,18851,Response and residual distribution,acceptable,Final author visual adjudication H09-002; quantitative screen retained as not acceptable,Q-Q r 0.918; skewness 0.144; excess kurtosis 12.337; maximum |standardized residual| 6.396; quantitative screen not acceptable; author visual adjudication H09-002 using Figure 2: acceptable
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MEQ,141,816,816,9,18851,Residual heteroscedasticity,acceptable,Final author visual adjudication H09-002; quantitative screen retained as not acceptable,"|Spearman(abs residual, fitted)| 0.150; site residual-SD ratio 2.518; quantitative screen not acceptable; author visual adjudication H09-002 using Figure 2: acceptable"
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MEQ,141,816,816,9,18851,Convergence and Hessian,acceptable,Prespecified quantitative or identity rule,5/5 declared fits converged; 5/5 had a positive-definite Hessian; maximum optimizer gradient 0.000007
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MEQ,141,816,816,9,18851,Singularity and variance,acceptable,Prespecified quantitative or identity rule,isSingular(tolerance = 1e-4) false for 5/5 declared fits
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MEQ,141,816,816,9,18851,Fixed-effect rank,acceptable,Prespecified quantitative or identity rule,fixed-effect model matrices are full rank for 5/5 declared fits
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MEQ,141,816,816,9,18851,Temporal dependence,acceptable,Prespecified quantitative or identity rule,one-day residual correlation -0.047; corCAR1 phi 0.096; slope change -0.004 h
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MEQ,141,816,816,9,18851,Participant influence,acceptable,Prespecified quantitative or identity rule,7 DFBETA flags; 0 sign reversals; 0 material participant-deletion changes; maximum |DFBETA| 0.308
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MEQ,141,816,816,9,18851,Site influence,acceptable,Prespecified quantitative or identity rule,0 leave-site-out sign reversals; 0 material changes; maximum slope change 0.049 h
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MEQ,141,816,816,9,18851,Placement and common sample,acceptable,Prespecified quantitative or identity rule,"Near-eye and chest fits use separately fitted, exactly matched paired/common frames"
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MEQ,141,816,816,9,18851,Prepared-data sensitivity,acceptable,Prespecified quantitative or identity rule,All-available and exact primary/gap common-sample results are estimable
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,glasses,Near eye,l10_midpoint,MEQ,141,816,816,9,18851,Multiplicity,acceptable,Prespecified quantitative or identity rule,Main and interaction tests reproduce complete five-member BH families
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MCTQ,140,683,683,9,15900.783333333333,Questionnaire scoring,acceptable,Prespecified quantitative or identity rule,Pinned msf_sc/meq aggregates accepted under H09-G4; item-level reconstruction unavailable
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MCTQ,140,683,683,9,15900.783333333333,Join and sample identity,acceptable,Prespecified quantitative or identity rule,140 participants; 683 participant-days; 683 observations; 9 sites; frame hash 1a6f413dca085875bfa1088b9abe8757974a9424f1c646cfca1a056c57402ad1
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MCTQ,140,683,683,9,15900.783333333333,Site and instrument support,acceptable,Prespecified quantitative or identity rule,minimum site participants 6; minimum within-site predictor range 2.060
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MCTQ,140,683,683,9,15900.783333333333,Clock representation,acceptable,Prespecified quantitative or identity rule,Fixed outcome-specific linear clock support retained
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MCTQ,140,683,683,9,15900.783333333333,Chronotype linearity,acceptable,Prespecified quantitative or identity rule,spline AIC improvement -3.936; maximum anchored departure 0.117 h
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MCTQ,140,683,683,9,15900.783333333333,Response and residual distribution,acceptable,Final author visual adjudication H09-002; quantitative screen retained as acceptable,Q-Q r 0.984; skewness -0.544; excess kurtosis 1.471; maximum |standardized residual| 3.547; quantitative screen acceptable; author visual adjudication H09-002 using Figure 2: acceptable
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MCTQ,140,683,683,9,15900.783333333333,Residual heteroscedasticity,acceptable,Final author visual adjudication H09-002; quantitative screen retained as acceptable,"|Spearman(abs residual, fitted)| 0.178; site residual-SD ratio 1.686; quantitative screen acceptable; author visual adjudication H09-002 using Figure 2: acceptable"
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MCTQ,140,683,683,9,15900.783333333333,Convergence and Hessian,acceptable,Prespecified quantitative or identity rule,5/5 declared fits converged; 5/5 had a positive-definite Hessian; maximum optimizer gradient 0.000007
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MCTQ,140,683,683,9,15900.783333333333,Singularity and variance,acceptable,Prespecified quantitative or identity rule,isSingular(tolerance = 1e-4) false for 5/5 declared fits
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MCTQ,140,683,683,9,15900.783333333333,Fixed-effect rank,acceptable,Prespecified quantitative or identity rule,fixed-effect model matrices are full rank for 5/5 declared fits
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MCTQ,140,683,683,9,15900.783333333333,Temporal dependence,acceptable,Prespecified quantitative or identity rule,one-day residual correlation -0.063; corCAR1 phi 0.139; slope change -0.009 h
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MCTQ,140,683,683,9,15900.783333333333,Participant influence,not acceptable,Prespecified quantitative or identity rule,13 DFBETA flags; 3 sign reversals; 0 material participant-deletion changes; maximum |DFBETA| 0.413
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MCTQ,140,683,683,9,15900.783333333333,Site influence,not acceptable,Prespecified quantitative or identity rule,2 leave-site-out sign reversals; 0 material changes; maximum slope change 0.058 h
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MCTQ,140,683,683,9,15900.783333333333,Placement and common sample,acceptable,Prespecified quantitative or identity rule,"Near-eye and chest fits use separately fitted, exactly matched paired/common frames"
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MCTQ,140,683,683,9,15900.783333333333,Prepared-data sensitivity,acceptable,Prespecified quantitative or identity rule,All-available and exact primary/gap common-sample results are estimable
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MCTQ,140,683,683,9,15900.783333333333,Multiplicity,acceptable,Prespecified quantitative or identity rule,Main and interaction tests reproduce complete five-member BH families
primary__glasses__all_available__last_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MEQ,141,687,687,9,15995.05,Questionnaire scoring,acceptable,Prespecified quantitative or identity rule,Pinned msf_sc/meq aggregates accepted under H09-G4; item-level reconstruction unavailable
primary__glasses__all_available__last_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MEQ,141,687,687,9,15995.05,Join and sample identity,acceptable,Prespecified quantitative or identity rule,141 participants; 687 participant-days; 687 observations; 9 sites; frame hash 19d69ac7ca5c0e39ec329b92242fe35f48e5f068139bfeb96592ff51579a2290
primary__glasses__all_available__last_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MEQ,141,687,687,9,15995.05,Site and instrument support,acceptable,Prespecified quantitative or identity rule,minimum site participants 6; minimum within-site predictor range 1.800
primary__glasses__all_available__last_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MEQ,141,687,687,9,15995.05,Clock representation,acceptable,Prespecified quantitative or identity rule,Fixed outcome-specific linear clock support retained
primary__glasses__all_available__last_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MEQ,141,687,687,9,15995.05,Chronotype linearity,acceptable,Prespecified quantitative or identity rule,spline AIC improvement -3.089; maximum anchored departure 0.266 h
primary__glasses__all_available__last_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MEQ,141,687,687,9,15995.05,Response and residual distribution,acceptable,Final author visual adjudication H09-002; quantitative screen retained as acceptable,Q-Q r 0.984; skewness -0.533; excess kurtosis 1.444; maximum |standardized residual| 3.523; quantitative screen acceptable; author visual adjudication H09-002 using Figure 2: acceptable
primary__glasses__all_available__last_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MEQ,141,687,687,9,15995.05,Residual heteroscedasticity,acceptable,Final author visual adjudication H09-002; quantitative screen retained as acceptable,"|Spearman(abs residual, fitted)| 0.172; site residual-SD ratio 1.687; quantitative screen acceptable; author visual adjudication H09-002 using Figure 2: acceptable"
primary__glasses__all_available__last_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MEQ,141,687,687,9,15995.05,Convergence and Hessian,acceptable,Prespecified quantitative or identity rule,5/5 declared fits converged; 5/5 had a positive-definite Hessian; maximum optimizer gradient 0.000072
primary__glasses__all_available__last_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MEQ,141,687,687,9,15995.05,Singularity and variance,acceptable,Prespecified quantitative or identity rule,isSingular(tolerance = 1e-4) false for 5/5 declared fits
primary__glasses__all_available__last_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MEQ,141,687,687,9,15995.05,Fixed-effect rank,acceptable,Prespecified quantitative or identity rule,fixed-effect model matrices are full rank for 5/5 declared fits
primary__glasses__all_available__last_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MEQ,141,687,687,9,15995.05,Temporal dependence,acceptable,Prespecified quantitative or identity rule,one-day residual correlation -0.070; corCAR1 phi 0.134; slope change 0.003 h
primary__glasses__all_available__last_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MEQ,141,687,687,9,15995.05,Participant influence,not acceptable,Prespecified quantitative or identity rule,9 DFBETA flags; 2 sign reversals; 0 material participant-deletion changes; maximum |DFBETA| 0.322
primary__glasses__all_available__last_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MEQ,141,687,687,9,15995.05,Site influence,not acceptable,Prespecified quantitative or identity rule,3 leave-site-out sign reversals; 0 material changes; maximum slope change 0.083 h
primary__glasses__all_available__last_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MEQ,141,687,687,9,15995.05,Placement and common sample,acceptable,Prespecified quantitative or identity rule,"Near-eye and chest fits use separately fitted, exactly matched paired/common frames"
primary__glasses__all_available__last_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MEQ,141,687,687,9,15995.05,Prepared-data sensitivity,acceptable,Prespecified quantitative or identity rule,All-available and exact primary/gap common-sample results are estimable
primary__glasses__all_available__last_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,last_timing_above_250,MEQ,141,687,687,9,15995.05,Multiplicity,acceptable,Prespecified quantitative or identity rule,Main and interaction tests reproduce complete five-member BH families
primary__glasses__all_available__longest_period_midpoint__MCTQ,primary__glasses__all_available,glasses,Near eye,longest_period_midpoint,MCTQ,131,478,478,9,11325.55,Questionnaire scoring,acceptable,Prespecified quantitative or identity rule,Pinned msf_sc/meq aggregates accepted under H09-G4; item-level reconstruction unavailable
