metric_order,metric_id,manuscript_name,abbreviation,predictor,placement,standardized_estimate_gap_timing_unaware,standardized_estimate_primary,standardized_conf_low_gap_timing_unaware,standardized_conf_low_primary,standardized_conf_high_gap_timing_unaware,standardized_conf_high_primary,participants_gap_timing_unaware,participants_primary,participant_days_gap_timing_unaware,participant_days_primary,row_key_hash_gap_timing_unaware,row_key_hash_primary,placement_label,predictor_label
11,m10_midpoint,Midpoint of the brightest 10 hours,M10,age,chest,-0.01874167322825719,-0.00754681177872229,-0.10330668356943508,-0.09052646999042274,0.0658233371129207,0.07543284643297817,154,154,894,894,006628d542b74969b1d92ccf79ce79289a0356823e6a7e6b7d0e01bcf2182f32,a3114e147f82583af6a68214ffef2e5a2a9ceb0d6cbdc3988cf77d56b83aeccc,Chest,Age per 10 years
12,l10_midpoint,Midpoint of the darkest 10 hours,L10,age,chest,-0.02071467658205592,0.00763138138016825,-0.11168181195707644,-0.08694012276063683,0.07025245879296461,0.10220288552097335,154,154,894,894,d88e566c599384d1f195c44ca3101998c8972cae909ec832f57014d43a324e5e,07afa6f0eeaf8c45ee08a50f73b3c1db5f55d58b724e65a926e0d01353791e03,Chest,Age per 10 years
13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,MLIT250,age,chest,-0.02109425740081756,-0.02126405071809349,-0.09907430779581586,-0.09919807534431968,0.05688579299418074,0.05666997390813266,154,154,826,826,3f1aa671f73944460243e8874d78c4bd9dc1518c819b0e6635c7e979e9740e46,011b59e2050a531d9385d75d8b6fb4a3e0679c10f5478c857f8dcda365033134,Chest,Age per 10 years
14,first_timing_above_250,First light timing above 250 lx melEDI,FLIT250,age,chest,-0.10312477219594716,-0.1034237393852436,-0.1970722464498774,-0.1976510870889432,-0.00917729794201691,-0.00919639168154398,154,154,795,795,33996b0089aaf2b2879e57e544a1e66b35f3bb2730a7f57c9cf9f2366a300cb2,71d2b2f6b013183cba303e6481949b367b0ee496eea418e4c3d3a6c9bc4a0d6b,Chest,Age per 10 years
15,last_timing_above_250,Last light timing above 250 lx melEDI,LLIT250,age,chest,0.05801585859768014,0.05690715090477789,-0.04059664465555108,-0.0407827780245673,0.15662836185091136,0.15459707983412307,154,154,784,784,96678cd62b86af887b9abd8499ee0b92732dd345f9073a77838b1fe28194c9dc,43f3e3f21851bc1df6d7b1433e51da649c47daf88e644d9047b627e0149767a8,Chest,Age per 10 years
16,dose_time_sensitive_corrected_medi,melEDI dose,Dose,age,chest,0.2208526979856766,0.21693548180435865,0.1286365569251016,0.12468461051781904,0.31306883904625166,0.3091863530908982,154,154,847,847,d8a6f9bd7b21d092b7d4276dd906d5773d32aa73fab398eae714ab09ab1d1d89,2d963626cc5d1ae1e712c3bc1cef35e2146e866847879da7511cf11e6f99c35a,Chest,Age per 10 years
17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,MDER,age,chest,0.05965454582977315,0.0608494150294885,-0.17420669760752802,-0.1702014728736643,0.29351578926707433,0.2919003029326413,152,152,723,723,98ac1f4c6bf77fb8ff69ddb65470349cf20f3ea2568ea147efcb580a465067b7,6d6dc744378ec28d66433b82af7fcb8221956599743a296ed628eafecd3f4ee8,Chest,Age per 10 years
1,interdaily_stability,Interdaily stability,IS,biological_sex,chest,0.09519165244918704,0.10328656373759942,-0.2341623525415703,-0.22751681701595344,0.4245456574399444,0.43408994449115224,153,153,,,5c25faa1e3c1fffecd29b62392cac80ab592269f55bfbf77460d7078447b243f,2f89e43a8768a2387807ae3b612ab4f2b9947d4fdbb0b38141c6b86b1ecdc853,Chest,Female minus Male
2,intradaily_variability,Intradaily variability,IV,biological_sex,chest,0.22387694147134793,0.13997980553956868,-0.10012185913652576,-0.1794939493492165,0.5478757420792216,0.45945356042835384,153,153,,,0699dc8eba9acc9aa9a0b9720262d7c2ffd229dc2178f16b01bb4014cc82bb7a,e3afc75122d7cab8c1a76441c8c4d8d6363e5e54760bf9ddbc779dabb79f22f8,Chest,Female minus Male
3,daily_geometric_mean_medi,Mean melEDI,Mean,biological_sex,chest,-0.29369926522390416,-0.29175399036415317,-0.5055816515586659,-0.5031555535215413,-0.08181687888914244,-0.08035242720676503,154,154,894,894,159d7eaf43c98a61e8f64fbffb71c7d5e9de739223fc9f1ec8f787c1a1f9daba,078e684ca0fd6c790c239a473962386b1ee741c6df951e251302d91ebea110a6,Chest,Female minus Male
4,m10_mean_medi,Brightest 10 h mean,M10mean,biological_sex,chest,-0.1867298322617912,-0.21710647154093152,-0.3858140902216912,-0.4154507097312966,0.01235442569810873,-0.01876223335056637,154,154,894,894,56ee6efce25a05ca2b3521788511d3c6318fb5d299595e96a33d7a8ee0187ae8,391051c9b037517bb68c53dddb8f1c52bfa81e02131c5f2373106399c67144d6,Chest,Female minus Male
5,l10_mean_medi,Darkest 10 h mean,L10mean,biological_sex,chest,-0.34751144499079983,-0.36294176768664344,-0.5681848658511015,-0.5837670771007425,-0.12683802413049816,-0.14211645827254438,154,154,894,894,e24ba781f35e8597ed5689cfc3d276f343f6d2b1c20527d975ccee040a53a8c0,4190a1292bcde2ac38cf896196dce5023ddcbf11bd61d41726fce15ff8068c34,Chest,Female minus Male
6,duration_above_1000,"Time above 1,000 lx melEDI",TAT1000,biological_sex,chest,-0.11823887521827324,-0.11634525011566632,-0.2765339101906205,-0.27265521633148293,0.04005615975407404,0.03996471610015024,154,154,894,894,136c059504189a589ef8f65f0d96a0717f70f14f9232e92b431a4b3cc520f142,74a6336f860a2b6a737ec2d5ef893435700ad86a99865d8a76e3731edad032dc,Chest,Female minus Male
7,duration_above_250_wake,Time above 250 lx melEDI during wake,TAT250,biological_sex,chest,-0.05488119785808772,-0.05488676897421594,-0.13427790528080963,-0.13368184409450598,0.02451550956463417,0.02390830614607409,153,153,800,800,f13b28f7820e2a4bdb5946974739754d71c28a146ebe2c3fdec5851c285ba98c,fd923d4bb88360078fa7606c81f490011ef16013de724d5870a4adc4af53cab9,Chest,Female minus Male
8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,TBT10,biological_sex,chest,0.01298856294358435,0.01402544246126992,-0.20459548440357336,-0.2037045601146792,0.23057261029074205,0.2317554450372191,153,153,740,740,80fa32021b16e8b66b85d9fcc7241a35dde78b5d8d11b3e431bf0c9a1584567b,5c675bb2df82ac5bc747555401689b13942e287f0720980363f8559b089f3b2a,Chest,Female minus Male
9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,TBT1,biological_sex,chest,0.03041527139472435,0.03052570159933576,0.00128367696158266,0.00138483032632994,0.05954686582786604,0.05966657287234157,154,154,853,853,1f93c6edbe7f312798c7800d9e66c57088d823d12b38beb644aa4aa78cb12e0d,ee0052b2617083b43fbbb9bc4e47b1182cdd711b6efa053a842878701dd057ef,Chest,Female minus Male
10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,PAT250,biological_sex,chest,-0.17056470125884823,-0.16636670267260073,-0.36651511188992225,-0.35959635085136665,0.02538570937222581,0.02686294550616514,154,154,894,894,c2cbf9ee4e9f42f6d4dcd3d52d9fb0b0f90f6da0763f0401c6b77033d9e784f0,49076d3f3884d5457bbe65ecbb35cddc66a7eb2442254b8c1ef7b0a4b69a3f5f,Chest,Female minus Male
11,m10_midpoint,Midpoint of the brightest 10 hours,M10,biological_sex,chest,0.07807948434470141,0.07819484962400756,-0.08918699313520238,-0.08589756544956006,0.24534596182460525,0.24228726469757517,154,154,894,894,006628d542b74969b1d92ccf79ce79289a0356823e6a7e6b7d0e01bcf2182f32,a3114e147f82583af6a68214ffef2e5a2a9ceb0d6cbdc3988cf77d56b83aeccc,Chest,Female minus Male
12,l10_midpoint,Midpoint of the darkest 10 hours,L10,biological_sex,chest,0.03790320947229041,0.05464145355975235,-0.1424731128723164,-0.13265368592930554,0.2182795318168972,0.24193659304881027,154,154,894,894,d88e566c599384d1f195c44ca3101998c8972cae909ec832f57014d43a324e5e,07afa6f0eeaf8c45ee08a50f73b3c1db5f55d58b724e65a926e0d01353791e03,Chest,Female minus Male
13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,MLIT250,biological_sex,chest,-0.13037108383836066,-0.110124065516985,-0.2848451547048357,-0.2648968171362421,0.02410298702811431,0.04464868610227209,154,154,826,826,3f1aa671f73944460243e8874d78c4bd9dc1518c819b0e6635c7e979e9740e46,011b59e2050a531d9385d75d8b6fb4a3e0679c10f5478c857f8dcda365033134,Chest,Female minus Male
14,first_timing_above_250,First light timing above 250 lx melEDI,FLIT250,biological_sex,chest,-0.02269599474870812,-0.02872283677191054,-0.21366535541717507,-0.22022366229936172,0.16827336591975883,0.1627779887555406,154,154,795,795,33996b0089aaf2b2879e57e544a1e66b35f3bb2730a7f57c9cf9f2366a300cb2,71d2b2f6b013183cba303e6481949b367b0ee496eea418e4c3d3a6c9bc4a0d6b,Chest,Female minus Male
15,last_timing_above_250,Last light timing above 250 lx melEDI,LLIT250,biological_sex,chest,-0.14356558839692116,-0.13981144900804204,-0.3388823679072065,-0.3333549270450817,0.05175119111336419,0.05373202902899755,154,154,784,784,96678cd62b86af887b9abd8499ee0b92732dd345f9073a77838b1fe28194c9dc,43f3e3f21851bc1df6d7b1433e51da649c47daf88e644d9047b627e0149767a8,Chest,Female minus Male
16,dose_time_sensitive_corrected_medi,melEDI dose,Dose,biological_sex,chest,-0.1158008054397838,-0.11459278040833812,-0.31181135438057206,-0.3102083353735453,0.08020974350100446,0.08102277455686904,154,154,847,847,d8a6f9bd7b21d092b7d4276dd906d5773d32aa73fab398eae714ab09ab1d1d89,2d963626cc5d1ae1e712c3bc1cef35e2146e866847879da7511cf11e6f99c35a,Chest,Female minus Male
17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,MDER,biological_sex,chest,-0.21998579346460984,-0.21663866610527044,-0.6838138000583224,-0.6749695074859541,0.24384221312910268,0.2416921752754132,152,152,723,723,98ac1f4c6bf77fb8ff69ddb65470349cf20f3ea2568ea147efcb580a465067b7,6d6dc744378ec28d66433b82af7fcb8221956599743a296ed628eafecd3f4ee8,Chest,Female minus Male
1,interdaily_stability,Interdaily stability,IS,age,glasses,0.10622992510626753,0.12477655785400033,-0.06833292069803855,-0.05041307772010991,0.2807927709105736,0.29996619342811054,141,141,,,38dd7f3eba32523cd5f1c70ef2d48f33e6612a399e074ae0a73dbbe55d1bd3c2,fb4831b31ea19bcc2309d87a7b0e88e1b9ee57560f649a31924be8723bfd78d9,Near eye,Age per 10 years
2,intradaily_variability,Intradaily variability,IV,age,glasses,-0.2114344773191228,-0.14661151172114897,-0.3921174907403787,-0.33120322358440724,-0.03075146389786687,0.03798020014210926,141,141,,,9a14132ff6e0fce84abb964bd2b3959cd514d55560c76282aaf1f5b2c1104c87,f642e63b1df400c3673b6dd05e8cf5476b94203e68237592ad10f141ce86ba50,Near eye,Age per 10 years
3,daily_geometric_mean_medi,Mean melEDI,Mean,age,glasses,0.11060491559868132,0.10856326290691866,-0.01766700987020794,-0.01955276638852203,0.2388768410675706,0.23667929220235936,141,141,809,809,3b7a77b935284d441ac1d2ebe202b78d6433bb93df2943cbbd882bcf5fd3ed62,c82cfb4f8d693b2e7ee6348c3c3584ec7bba62825882a86150fbf984e1779bf4,Near eye,Age per 10 years
4,m10_mean_medi,Brightest 10 h mean,M10mean,age,glasses,0.18092605785330815,0.176137165091156,0.06139370824124894,0.0552957235277513,0.3004584074653674,0.2969786066545607,141,141,809,809,7849e3afde56116ec79a0fb6b3c9cc70848c1c2438db714dd41971ce77d97afc,910eee8209895b3022d5449b3c5186d0a329182f10c4cb6a1921e27d89b62fa8,Near eye,Age per 10 years
5,l10_mean_medi,Darkest 10 h mean,L10mean,age,glasses,-0.12327296571011678,-0.1325790559604416,-0.25293344769065457,-0.262044401011462,0.00638751627042102,-0.00311371090942119,141,141,809,809,4f254373010ff64a0dcde67a196211bb0150444b0a5dcc47e5ed4fd7a8e98433,ff15d803cae1c8f685674feeb625405cc101c113254910a247dd2ff97f80da97,Near eye,Age per 10 years
6,duration_above_1000,"Time above 1,000 lx melEDI",TAT1000,age,glasses,0.16565466525194936,0.16256279118426187,0.07485887182479198,0.07283398432548734,0.2564504586791067,0.25229159804303636,141,141,809,809,30c33a84ea2da4b16a5bf6ab2e9626bff8612fcaafd427f18c50e81716a86e90,7f4e00da8a990ece8bc2140caa89c10a5a2eb3c759486e8ebf881d87a28d50fa,Near eye,Age per 10 years
7,duration_above_250_wake,Time above 250 lx melEDI during wake,TAT250,age,glasses,0.04659400587975847,0.04519462299189173,1.713366170265676e-5,-0.00103232575157328,0.09317087809781428,0.09142157173535675,140,140,719,719,e401ed06a17cb4c52e7d76638875cf4251a516aa7b66479f5474c46db1604acc,32abe5d5c724d94591cef12cb9e2285ffd142683c49c63ad4d1c7831de735041,Near eye,Age per 10 years
8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,TBT10,age,glasses,-0.05090272693536027,-0.05168218448835812,-0.18489320784423868,-0.18568325848434847,0.08308775397351813,0.0823188895076322,139,139,653,653,2927c079fe845f166d06b7a433831cb2a5fb1594abf0a29590536e99a32a96a1,14464793dd6cfd93305a358677906abf04ae67ce1f6aeb003d283fb0badc9dc4,Near eye,Age per 10 years
9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,TBT1,age,glasses,0.0053529569551348,0.00593394616459476,-0.01342817719244728,-0.01286181599992451,0.02413409110271689,0.02472970832911403,141,141,771,771,4ca5c245ab5075ef3bf09377c2f07f235b267c57935e8a68e5c7f81aa4b28617,00522787ba6d2aa5a357308fa44ed6d870c6fe40f50fd09760e261992b8666b8,Near eye,Age per 10 years
10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,PAT250,age,glasses,0.14765895274163757,0.1484087403161225,0.028333883524794,0.03001442397882793,0.26698402195848114,0.266803056653417,141,141,809,809,8a616e067390254785905dd342b4aaa0adc1dbe10be5c25f5ab27694e70f039a,707a537e8c33fb1b8309fee1a8e68a455912a6a05fc4f7608b1e53b299be7f30,Near eye,Age per 10 years
11,m10_midpoint,Midpoint of the brightest 10 hours,M10,age,glasses,0.02338049355146866,0.03586601252762871,-0.08205112381351877,-0.06444292574551083,0.12881211091645609,0.13617495080076825,141,141,809,809,bfebbaae614bbd13757ef64a8472950009b0fa84efb5d8637b8fd6e4edb49f20,046a25e52139c59e56b588ed9c15f08af4ef3c790a297e1a53ba1064ec8f4167,Near eye,Age per 10 years
12,l10_midpoint,Midpoint of the darkest 10 hours,L10,age,glasses,-0.03739067287594504,-0.02894011732638875,-0.1470405939089258,-0.13699991070569362,0.07225924815703569,0.07911967605291609,141,141,809,809,5e79dae6fee7edd71f23f3421f2d9da6afe2f2a2418a0c5f18ba4fbe37477eaf,abc066d6872f9700e008d98b2635e92b3a04b8898a84b0a1fb558ff815311586,Near eye,Age per 10 years
13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,MLIT250,age,glasses,0.01432509023837543,0.01914482208595324,-0.0779131490544946,-0.07503584895500653,0.10656332953124548,0.113325493126913,141,141,737,737,b913ab772b2eb81729c48be2de647c62cf48f739345693fb7861568b787aed00,a62337386ef11450607818d2420aea226295042f5d144fa173eea3105d306a7b,Near eye,Age per 10 years
14,first_timing_above_250,First light timing above 250 lx melEDI,FLIT250,age,glasses,-0.01851375192197711,-0.01705669393885144,-0.13213376037100624,-0.1306716932718119,0.09510625652705204,0.09655830539410903,140,140,720,720,87d50b179b28895977ae358c1cc9f7678e113e5996e92effaec0cc3b1b681adb,3bf3174113353438ab844e8975cd9b74c3711533dadb623a65d90361f50b77dd,Near eye,Age per 10 years
15,last_timing_above_250,Last light timing above 250 lx melEDI,LLIT250,age,glasses,0.00462369725860126,0.00242733564573627,-0.10373374246174244,-0.10525430749292324,0.11298113697894498,0.11010897878439578,141,141,684,684,74f22f3138424233ef8c398126f6d8be5cc15c5cbe0bfb176509a74e5fddfe01,83104e1f2189cd01748adb32027bc608e92015c3340092695dd5381d57197c57,Near eye,Age per 10 years
16,dose_time_sensitive_corrected_medi,melEDI dose,Dose,age,glasses,0.1804355845945029,0.17533324480245624,0.06391213987879679,0.05897296569766485,0.296959029310209,0.2916935239072477,141,141,757,757,31e75550cb4cf6aa97035b0864ed8662940d003e97ac0cfc5945cae80277424d,21e6241c91923a3eaaee93b5e44810c311509bbefb924d38c0b6a98eb962fb8e,Near eye,Age per 10 years
17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,MDER,age,glasses,0.0959164908802886,0.09538438576447404,-0.04087109408299631,-0.04141754184226809,0.23270407584357353,0.2321863133712162,137,137,687,687,741136d70f95f63ff4e5226715e991d9deed7fc706d7365104b93ec7d8b33adf,ebb907f0efbc1cda885c9251005be222e04fe6e70438a35452f89be981d242b1,Near eye,Age per 10 years
1,interdaily_stability,Interdaily stability,IS,biological_sex,glasses,0.15127437528833776,0.15056614119631956,-0.1693910604502892,-0.1719229779896082,0.4719398110269647,0.4730552603822474,141,141,,,38dd7f3eba32523cd5f1c70ef2d48f33e6612a399e074ae0a73dbbe55d1bd3c2,fb4831b31ea19bcc2309d87a7b0e88e1b9ee57560f649a31924be8723bfd78d9,Near eye,Female minus Male
2,intradaily_variability,Intradaily variability,IV,biological_sex,glasses,0.09406257369960846,-0.00472687780169764,-0.24343463836942397,-0.3462460803234126,0.43155978576864096,0.3367923247200173,141,141,,,9a14132ff6e0fce84abb964bd2b3959cd514d55560c76282aaf1f5b2c1104c87,f642e63b1df400c3673b6dd05e8cf5476b94203e68237592ad10f141ce86ba50,Near eye,Female minus Male
3,daily_geometric_mean_medi,Mean melEDI,Mean,biological_sex,glasses,-0.24741429002060647,-0.2458569978851345,-0.4819040859447515,-0.4800124691021995,-0.01292449409646144,-0.01170152666806944,141,141,809,809,3b7a77b935284d441ac1d2ebe202b78d6433bb93df2943cbbd882bcf5fd3ed62,c82cfb4f8d693b2e7ee6348c3c3584ec7bba62825882a86150fbf984e1779bf4,Near eye,Female minus Male
4,m10_mean_medi,Brightest 10 h mean,M10mean,biological_sex,glasses,-0.22528373380063896,-0.24225224917681343,-0.44943105756840185,-0.4678074127966456,-0.00113641003287603,-0.01669708555698132,141,141,809,809,7849e3afde56116ec79a0fb6b3c9cc70848c1c2438db714dd41971ce77d97afc,910eee8209895b3022d5449b3c5186d0a329182f10c4cb6a1921e27d89b62fa8,Near eye,Female minus Male
5,l10_mean_medi,Darkest 10 h mean,L10mean,biological_sex,glasses,-0.15751616822892234,-0.1883916343392348,-0.3971527752632847,-0.4275321105592103,0.08212043880544,0.05074884188074072,141,141,809,809,4f254373010ff64a0dcde67a196211bb0150444b0a5dcc47e5ed4fd7a8e98433,ff15d803cae1c8f685674feeb625405cc101c113254910a247dd2ff97f80da97,Near eye,Female minus Male
6,duration_above_1000,"Time above 1,000 lx melEDI",TAT1000,biological_sex,glasses,-0.2072146082395351,-0.20572318439362225,-0.38247117261161273,-0.3787891469221981,-0.03195804386745755,-0.03265722186504645,141,141,809,809,30c33a84ea2da4b16a5bf6ab2e9626bff8612fcaafd427f18c50e81716a86e90,7f4e00da8a990ece8bc2140caa89c10a5a2eb3c759486e8ebf881d87a28d50fa,Near eye,Female minus Male
7,duration_above_250_wake,Time above 250 lx melEDI during wake,TAT250,biological_sex,glasses,-0.08953355485581584,-0.08900398148239935,-0.17591958468383537,-0.1746856885190139,-0.00314752502779631,-0.00332227444578483,140,140,719,719,e401ed06a17cb4c52e7d76638875cf4251a516aa7b66479f5474c46db1604acc,32abe5d5c724d94591cef12cb9e2285ffd142683c49c63ad4d1c7831de735041,Near eye,Female minus Male
8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,TBT10,biological_sex,glasses,-0.05890366731612335,-0.05921193631298183,-0.3034319795051279,-0.3037801231794979,0.18562464487288116,0.18535625055353425,139,139,653,653,2927c079fe845f166d06b7a433831cb2a5fb1594abf0a29590536e99a32a96a1,14464793dd6cfd93305a358677906abf04ae67ce1f6aeb003d283fb0badc9dc4,Near eye,Female minus Male
9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,TBT1,biological_sex,glasses,0.02611438469295172,0.02585371957672277,-0.00802006789547092,-0.00833376040089996,0.06024883728137437,0.06004119955434551,141,141,771,771,4ca5c245ab5075ef3bf09377c2f07f235b267c57935e8a68e5c7f81aa4b28617,00522787ba6d2aa5a357308fa44ed6d870c6fe40f50fd09760e261992b8666b8,Near eye,Female minus Male
10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,PAT250,biological_sex,glasses,-0.18299095646852293,-0.18427609199812273,-0.4052094350240432,-0.4048273130708188,0.03922752208699734,0.03627512907457331,141,141,809,809,8a616e067390254785905dd342b4aaa0adc1dbe10be5c25f5ab27694e70f039a,707a537e8c33fb1b8309fee1a8e68a455912a6a05fc4f7608b1e53b299be7f30,Near eye,Female minus Male
11,m10_midpoint,Midpoint of the brightest 10 hours,M10,biological_sex,glasses,0.07483351246223753,0.00621646451813199,-0.11896803829842018,-0.1789759918579299,0.2686350632228952,0.19140892089419387,141,141,809,809,bfebbaae614bbd13757ef64a8472950009b0fa84efb5d8637b8fd6e4edb49f20,046a25e52139c59e56b588ed9c15f08af4ef3c790a297e1a53ba1064ec8f4167,Near eye,Female minus Male
12,l10_midpoint,Midpoint of the darkest 10 hours,L10,biological_sex,glasses,0.05647795883558161,0.05930388943928472,-0.1453392397763058,-0.13946753669645467,0.25829515744746906,0.2580753155750241,141,141,809,809,5e79dae6fee7edd71f23f3421f2d9da6afe2f2a2418a0c5f18ba4fbe37477eaf,abc066d6872f9700e008d98b2635e92b3a04b8898a84b0a1fb558ff815311586,Near eye,Female minus Male
13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,MLIT250,biological_sex,glasses,-0.10247790463185008,-0.07907732528092362,-0.27291182130858854,-0.2534665805871251,0.06795601204488844,0.0953119300252779,141,141,737,737,b913ab772b2eb81729c48be2de647c62cf48f739345693fb7861568b787aed00,a62337386ef11450607818d2420aea226295042f5d144fa173eea3105d306a7b,Near eye,Female minus Male
14,first_timing_above_250,First light timing above 250 lx melEDI,FLIT250,biological_sex,glasses,0.09109499851831904,0.08791763069674717,-0.12078545361297158,-0.12397374187592972,0.3029754506496097,0.29980900326942406,140,140,720,720,87d50b179b28895977ae358c1cc9f7678e113e5996e92effaec0cc3b1b681adb,3bf3174113353438ab844e8975cd9b74c3711533dadb623a65d90361f50b77dd,Near eye,Female minus Male
15,last_timing_above_250,Last light timing above 250 lx melEDI,LLIT250,biological_sex,glasses,-0.12516709108882873,-0.12408270634083556,-0.3245962729277742,-0.3223060186209788,0.07426209075011676,0.07414060593930763,141,141,684,684,74f22f3138424233ef8c398126f6d8be5cc15c5cbe0bfb176509a74e5fddfe01,83104e1f2189cd01748adb32027bc608e92015c3340092695dd5381d57197c57,Near eye,Female minus Male
16,dose_time_sensitive_corrected_medi,melEDI dose,Dose,biological_sex,glasses,-0.18142506275679257,-0.1797131481593436,-0.4018591755281138,-0.39947737428816943,0.03900905001452872,0.04005107796948218,141,141,757,757,31e75550cb4cf6aa97035b0864ed8662940d003e97ac0cfc5945cae80277424d,21e6241c91923a3eaaee93b5e44810c311509bbefb924d38c0b6a98eb962fb8e,Near eye,Female minus Male
