placement,placement_label,metric_order,metric_id,manuscript_name,analysis_unit,analysis_unit_label,display_unit,observations,base_rows,retention_fraction,rows_not_fitted,participants,participant_days,contributing_participant_days,metric_support_valid_hours,metric_support_expected_hours,sites,female_participants,male_participants,age_min,age_max,row_key_hash,model_frame_sha256
glasses,Near eye (primary),6,duration_above_1000,"Time above 1,000 lx melEDI",participant_day,Participant-day metrics,h,816,816,1,0,141,816,816,18851,19586,9,79,62,18,68,84b72c6d52771ddc442514ea001ec5fb5955cb7eb32555ba4c461b17e912fc6d,bcc2f38e697363929e736a01adaeef16cf570d987a1e8ff25db654b399f3bbb8
chest,Chest (complementary),6,duration_above_1000,"Time above 1,000 lx melEDI",participant_day,Participant-day metrics,h,902,902,1,0,154,902,902,20891.75,21648,8,86,68,18,68,7df68d980596a4817aaef3dc833c4813f528487f8997af09ff5138ea6c7cb5d0,c268c341ea023b5c1aa397b1c766796b25860393c66f4af3f7da06fbe6119c8c
glasses,Near eye (primary),7,duration_above_250_wake,Time above 250 lx melEDI during wake,participant_day,Participant-day metrics,h,737,816,0.9031862745098039,79,141,737,737,9174.283333333333,9586.383333333331,9,79,62,18,68,18d3eca325f1437969c1e8c676d52e2122da109f7d000c349cd2dae9f159f3bf,9445372bfd6c49b1fff5de732bc84c2b75687bca91ae55cd186cbbacaa8b5250
chest,Chest (complementary),7,duration_above_250_wake,Time above 250 lx melEDI during wake,participant_day,Participant-day metrics,h,818,902,0.9068736141906873,84,154,818,818,10297.716666666667,10727.6,8,86,68,18,68,b6e47c01f23246cf40654ae7b54817b0fb19612bad60d9e8318b6b02b0289fc6,8e678131453e04a32de7e2d8a39e7e448431ebe00d1d1619e04396fe39f26d31
glasses,Near eye (primary),8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,participant_day,Participant-day metrics,h,655,816,0.8026960784313726,161,139,655,655,1925.5333333333333,1954.25,9,77,62,18,68,ecef236f64a8cf124e1e755b5d7c1a60932ce3f613a71bb6a5a71b75e608561c,c4653256d1d8668c4397e01001c22c2e236f6d9d260237c1251d95b8b106d602
chest,Chest (complementary),8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,participant_day,Participant-day metrics,h,743,902,0.8237250554323725,159,153,743,743,2180.1,2205.5,8,85,68,18,68,e8ab5327b72d363aa3148bdbbbc9506b3c0bc7f76d0aa23d406d9ac7a26ca239,46e7b335e822ecb5ecf378346d4598d21251ed7cf9ee66f3351179b2ebc942e1
glasses,Near eye (primary),9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,participant_day,Participant-day metrics,h,778,816,0.9534313725490197,38,141,778,778,6282.516666666666,6286.533333333334,9,79,62,18,68,7a916633e78bde092ed7fc48214e99143a53ca6a9770c694adf719842747ae60,627e817f05b42bc9c3414f76a4f7ddf833f44760fff0e086628be206a322d01f
chest,Chest (complementary),9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,participant_day,Participant-day metrics,h,861,902,0.9545454545454546,41,154,861,861,6871.416666666667,6873.866666666667,8,86,68,18,68,464bcd3e1e294b100ceb3bb66b51c9e13d9856642f03cad68fb17d250273f2ae,424a713d9e88eda8ac3368781cc3f8ab559316c5e339690e2e252bc27ce5d752
glasses,Near eye (primary),10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,participant_day,Participant-day metrics,h,816,816,1,0,141,816,816,18851,19586,9,79,62,18,68,2f1cce2567aa02b1f4083c00771daf2e54f99c35761cb6f823af5d741ecaa0c7,1edafe047962e093d89b0d54221551347a06e7075c214adf806cc096196cb056
chest,Chest (complementary),10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,participant_day,Participant-day metrics,h,902,902,1,0,154,902,902,20891.75,21648,8,86,68,18,68,a18dee5adc57f0930e63b81726024add1465cb5496ee3e4200b0452c6450ed23,6806e1ac4b0a3f8473a818c3fd040b035fc33195add048469c6f82a33b62b7b7
glasses,Near eye (primary),11,m10_midpoint,Midpoint of the brightest 10 hours,participant_day,Participant-day metrics,clock time,816,816,1,0,141,816,816,,,9,79,62,18,68,d7ec905d369e69659457b17ef82ae09e8734768efcc8acbeef59c9c407f09b10,711ec5b606db3db6a14bc16bba6102df527cf55548878d20d531d1506c06adf5
chest,Chest (complementary),11,m10_midpoint,Midpoint of the brightest 10 hours,participant_day,Participant-day metrics,clock time,902,902,1,0,154,902,902,,,8,86,68,18,68,b3485713e613e9bb5cd37dde55793cfe8453a01134579b400bd20f2641d51f21,dfb3bcc90872541ec303f9142e713f894b46011a06a980917c64afdedd5f6f3b
glasses,Near eye (primary),12,l10_midpoint,Midpoint of the darkest 10 hours,participant_day,Participant-day metrics,clock time,816,816,1,0,141,816,816,,,9,79,62,18,68,fa1868ef929c542d7b297d57ce22d5cb803c3e7d2e77a6c3e7ab8625cb1e9f3c,132e43e582ee9d87cd54af8703baaaeb90247e027883c5af0f7272fcb62bc12e
chest,Chest (complementary),12,l10_midpoint,Midpoint of the darkest 10 hours,participant_day,Participant-day metrics,clock time,902,902,1,0,154,902,902,,,8,86,68,18,68,20ef6f58d3bbb09b1d74a5094cbc9cc7bf5a3e83466d57139478c9c9e894ad19,1ee84cd405f1cbfb5e022901e4ad0ce42d84e8ddce009ebbafd748e68666a385
glasses,Near eye (primary),13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,participant_day,Participant-day metrics,clock time,742,816,0.9093137254901961,74,141,742,742,17209.633333333335,17808,9,79,62,18,68,75469babf75073fe70d6eb6200f2efe0ffcd54e5070f5dc1083599fc9499527c,02730c0665a7b9cb7797143b56df8b060bf5648d10ebab882a185f22fbbfeee2
chest,Chest (complementary),13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,participant_day,Participant-day metrics,clock time,831,902,0.9212860310421286,71,154,831,831,19336.133333333335,19943,8,86,68,18,68,1d9f9454b32dc78331919c677e139e291c0ba7be383350079135a8582af72833,6bcce9313f1627442435c4d312c25ae69607e71e31d199e161eab9382193599c
glasses,Near eye (primary),14,first_timing_above_250,First light timing above 250 lx melEDI,participant_day,Participant-day metrics,clock time,727,816,0.8909313725490197,89,140,727,727,16832.5,17448,9,78,62,18,68,a4d06b7c91955ac5cb7b14900bd45fc6cc8f04695388e7319d7572f194513eaa,48b336ebaf1c8adf0877f4e56c71f9d7610e0bfe8c305bbd3e58a50888a19f48
chest,Chest (complementary),14,first_timing_above_250,First light timing above 250 lx melEDI,participant_day,Participant-day metrics,clock time,802,902,0.8891352549889135,100,154,802,802,18634.65,19247,8,86,68,18,68,970ac5eeded850ae77137febccfa4c7a90364b1ea0926bc9c2b536cf9187035b,765a612aab1762d9b7d7ce8eb8307e9eab5d7c3a1175ef007e8f3955f283149b
glasses,Near eye (primary),15,last_timing_above_250,Last light timing above 250 lx melEDI,participant_day,Participant-day metrics,clock time,687,816,0.8419117647058824,129,141,687,687,15995.05,16487,9,79,62,18,68,432a0ebfbf35fec0aa0db5ac8f2666c0da8c9c83ddc9345927fc2bc44bba663d,854106597c9eb840ab9f8742873691a517efdb89bd3a38ef1ee3fbd8cd7439e2
chest,Chest (complementary),15,last_timing_above_250,Last light timing above 250 lx melEDI,participant_day,Participant-day metrics,clock time,787,902,0.8725055432372506,115,154,787,787,18358.116666666665,18887,8,86,68,18,68,d17659e9bc38a166856476eb57ee70377c1984a82fbff0f6c029f3cf32a6862a,1f7444b03ad72e5943f4bcb330e393df7f1668eb98e5ee66ea099bc7cd777c8d
glasses,Near eye (primary),16,dose_time_sensitive_corrected_medi,melEDI dose,participant_day,Participant-day metrics,lx·h,761,816,0.9325980392156863,55,141,761,761,17678.816666666666,18265,9,79,62,18,68,db878c9612f03daced09f186b907aeb532410ad8dac189955a54c75aef48048e,f5d7377ba8ab0480fbca231553ececd6e6371c5969c7e01ba8c1a86f07220461
chest,Chest (complementary),16,dose_time_sensitive_corrected_medi,melEDI dose,participant_day,Participant-day metrics,lx·h,851,902,0.9434589800443459,51,154,851,851,19814.9,20424,8,86,68,18,68,8f18adadd72ed17e2adb3eafe24288d7153d6fe3c70a65d053977f41bc4e4deb,927b821d9c4e8b0df2e061798632d45b22467333246f02aafa3fc9ff2e4fe058
glasses,Near eye (primary),17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,participant_day,Participant-day metrics,dimensionless,702,816,0.8602941176470589,114,137,702,702,10949.916666666666,16848,9,76,61,18,68,39203c22fc0b18e3428e7a73f5d108cc3146c4508f4b16ddf90505e339c2383b,d9cc5f593365eaf9c6a0a751b2ef4902c012ebb9f928b4b1cc398a7bad468d34
chest,Chest (complementary),17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,participant_day,Participant-day metrics,dimensionless,732,902,0.811529933481153,170,152,732,732,11145.3,17568,8,84,68,18,68,8594a63748c840d24b017daee083ebfe72eb593927643ee438f28b4c6839cef6,af9aa412add568e76c69658f119df388362e4f632fb0f34c9ee001affa272a7f
