path,sha256,bytes,role,current_sha256,current_bytes,exact
audit/hypotheses/H01/H01_analysis_preparation.qmd,ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f,55827,frozen H01 companion source,ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f,55827,TRUE
_build/nathealth/notebooks/hypotheses/H01.html,d1bc9159526c92b9cc9256c58a8232d4779f0014a3aa39ed3680b4e58fb25410,1643915,stopped H01 result HTML,d1bc9159526c92b9cc9256c58a8232d4779f0014a3aa39ed3680b4e58fb25410,1643915,TRUE
_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,5857f9e0655e5c1a8530c5794008d20dcb364749a8a7c36bd3e7815c15c36d38,667418,frozen companion HTML,5857f9e0655e5c1a8530c5794008d20dcb364749a8a7c36bd3e7815c15c36d38,667418,TRUE
_quarto-nathealth.yml,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480,accepted Nature Health profile,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480,TRUE
scripts/report_harmonization/post_render_gt_html_semantics.R,28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205,21453,accepted post-render semantic wrapper,28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205,21453,TRUE
scripts/report_harmonization/repair_gt_html_semantics.R,7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1,17747,accepted native-gt semantic repair engine,7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1,17747,TRUE
tests/report_harmonization/test_post_render_gt_html_semantics.R,696e3308275d366dcc4aefb8e60c36d7c4c42d02a88402e3d06717b6383d0fae,16662,accepted pre-integration semantic transition test,696e3308275d366dcc4aefb8e60c36d7c4c42d02a88402e3d06717b6383d0fae,16662,TRUE
tests/hypotheses/H01/test_h01_reporting_inputs.R,48f374cc70b69a6d96a95dc425ffd9676b2e83133a5554ae1c19eda939c0c8af,23014,current complete H01 reporting test,48f374cc70b69a6d96a95dc425ffd9676b2e83133a5554ae1c19eda939c0c8af,23014,TRUE
tests/hypotheses/H01/test_h01_preparation_report.R,379414830e5bcd656ac460c2ad93616ecbcab104259c56a8fcf9296da8c0f2c4,10993,current H01 companion test,379414830e5bcd656ac460c2ad93616ecbcab104259c56a8fcf9296da8c0f2c4,10993,TRUE
tests/hypotheses/H01/test_h01_report016_deviation_reconciliation.R,c359489b45703ae243d277817832e305716271dd54a7713620ceb4a7943d6393,14658,current REPORT-016 reconciliation test,09e8daa4a62a2fe18f29527bc6c5fca610175d651eedc1da10f51fadc9d3af5e,14922,FALSE
tests/hypotheses/H01/test_h01_stage3_model_support_display_refresh.R,121135a4ea1c86cc6e11fc476615ee207fb34fe01270912d3f74ef2c8b5ad9cb,6747,accepted existing display-refresh test,dcd3e62574a493d18733a9cb50eb6eb9d7493f8ac7bbb27918dc6535dcd1a603,8224,FALSE
artifacts/12_manifests/H01_reporting_artifacts.csv,dfa9e15f44f0919277264765e84b49b7be78e4822df014abed678b29a9a951b4,11054,current H01 reporting manifest,dfa9e15f44f0919277264765e84b49b7be78e4822df014abed678b29a9a951b4,11054,TRUE
artifacts/12_manifests/H01_stage3_reporting_artifacts.csv,e9fe8740785e9f4d29e17c4333fdc0615347299c1dabea1d62ffad1cdafd11f9,26497,current H01 Stage 3 manifest,e9fe8740785e9f4d29e17c4333fdc0615347299c1dabea1d62ffad1cdafd11f9,26497,TRUE
artifacts/12_manifests/H01/H01_preparation_report_manifest.csv,cb89845e92b39f5bab7a0524508a3f7e2ce1d19ebbc99afe12f1ebf8eb9aefb5,13841,current H01 companion manifest,cb89845e92b39f5bab7a0524508a3f7e2ce1d19ebbc99afe12f1ebf8eb9aefb5,13841,TRUE
artifacts/12_manifests/H01_worker_artifacts.csv,0d98bcc4ffe312e27ec89e352fdd84eea4ce1b8b8f9b9169307d314ba466b031,394888,current H01 worker manifest,0d98bcc4ffe312e27ec89e352fdd84eea4ce1b8b8f9b9169307d314ba466b031,394888,TRUE
audit/handoffs/H01_worker_handoff.md,0de574566315d44934d3c6dd5fd91be9045e2f6b43887c9e3ad98d97caf1f19b,97406,current H01 owner handoff,0de574566315d44934d3c6dd5fd91be9045e2f6b43887c9e3ad98d97caf1f19b,97406,TRUE
artifacts/11_source_data/H01/stage3/H01_stage3_METRIC011_l10_mean_medi_model_support_figure_source.csv,cf869aa233aca9230a9d295f7efae69fc51c1258a80daf90258d08122f5effc0,96013,frozen Figure 1 source data,cf869aa233aca9230a9d295f7efae69fc51c1258a80daf90258d08122f5effc0,96013,TRUE
artifacts/11_source_data/H01/stage3/H01_stage3_METRIC011_l10_mean_medi_paired_placement_figure_source.csv,8e1672e499e6bee05cde70647165e780dfa5cb9195ed0c3f1bd203da5d838853,21978,frozen Figure 5 source data,8e1672e499e6bee05cde70647165e780dfa5cb9195ed0c3f1bd203da5d838853,21978,TRUE
artifacts/11_source_data/H01/stage3/H01_stage3_diagnostic_figure_source.csv,d9b424ae246fc688670a77a561717701fec3ddffaf000af72ea6b68f214b9397,21261,frozen Figure 6 source data,d9b424ae246fc688670a77a561717701fec3ddffaf000af72ea6b68f214b9397,21261,TRUE
artifacts/10_figures/H01/stage3/H01_stage3_model_support.png,2244f043d4fb676200524440098be223e23106578513f4ac61567ba3f636da8b,238682,current durable Figure 1 PNG,a06d33e4d9708e7a60c0296a645b7c136ffea9f6be5bcf0c7a5e38615a3069de,332771,FALSE
artifacts/10_figures/H01/stage3/H01_stage3_model_support.svg,602dd62de063d3e12ac53ca7d22dd2563e64213255b9cdc7e138941450ce1966,54757,current durable Figure 1 SVG,897e7b11a27136fd2f3ffca978af72c108ba1f443bb8941ce7d9a5515847e8ba,54914,FALSE
artifacts/10_figures/H01/stage3/H01_stage3_paired_placement.png,866670f47457bf304467e787481589298d9b7cf7c2c5de560ac9500f044c4608,226285,current durable Figure 5 PNG,5ca5a91ed367bdf0158bae99a671819eccf14de0d06938c91a2268275998fee5,237215,FALSE
artifacts/10_figures/H01/stage3/H01_stage3_paired_placement.svg,fe101f32cb0ffd4912b81ddbad4090c9558263aa85cc4f13ecad73369ac074f0,22471,current durable Figure 5 SVG,87d0df52d9e5134b4a760cea63acd3bdd6f9bc82b675551a3325e30e3afa8a2b,22469,FALSE
artifacts/10_figures/H01/stage3/H01_stage3_diagnostic_assessment.png,95f46b0909b43c9b281a93a860d577b38a7753cb4d151ad751e2aca8a017b12d,326759,current durable Figure 6 PNG,103556d8d6ca681cb8fba1ba65f4b1d7d5839ee477215becdfbc7480af0613c4,495057,FALSE
artifacts/10_figures/H01/stage3/H01_stage3_diagnostic_assessment.svg,a15b3bae14b1b76d5a48ae9a21d0eb86dfd264db238179fb2a4486c002876a52,75987,current durable Figure 6 SVG,be25f8b9c83996a2e70cd7333283ae8111a659392f577f02a585508f37116f44,76304,FALSE
