"position","field","expected_literal","source","source_sha256","selector","derivation","found_in_candidate"
"P-R04B","Sleep Kumasi (GH) conf_low","3.5","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M6_primary_source.csv","660884e745e0210b92e5363d76f8e668bca2ea5ff2264f6b02ea8c5bd9b30930","Sleep Kumasi (GH) conf_low","Stored value, unit conversion and display rounding only",TRUE
"P-R04B","Sleep Kumasi (GH) conf_high","9.1","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M6_primary_source.csv","660884e745e0210b92e5363d76f8e668bca2ea5ff2264f6b02ea8c5bd9b30930","Sleep Kumasi (GH) conf_high","Stored value, unit conversion and display rounding only",TRUE
"P-R04B","Sleep Kumasi (GH) FDR","<0.001","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M6_primary_source.csv","660884e745e0210b92e5363d76f8e668bca2ea5ff2264f6b02ea8c5bd9b30930","Sleep Kumasi (GH) p_adjusted","Stored value, unit conversion and display rounding only",TRUE
"P-R04C","marginal_r2","58.0","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_r2_variance_decomposition_source.csv","5fe5a5209bd9884f653185964497d74ba59ce70f5db5a4203072a6a5d8c8b53a","primary_any_valid global marginal_r2","Stored value, unit conversion and display rounding only",TRUE
"P-R04C","random_effect_increment","2.3","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_r2_variance_decomposition_source.csv","5fe5a5209bd9884f653185964497d74ba59ce70f5db5a4203072a6a5d8c8b53a","primary_any_valid global random_effect_increment","Stored value, unit conversion and display rounding only",TRUE
"P-R04C","observation_distribution_share","39.8","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_r2_variance_decomposition_source.csv","5fe5a5209bd9884f653185964497d74ba59ce70f5db5a4203072a6a5d8c8b53a","primary_any_valid global observation_distribution_share","Stored value, unit conversion and display rounding only",TRUE
"P-R04C","conditional_r2","60.2","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_r2_variance_decomposition_source.csv","5fe5a5209bd9884f653185964497d74ba59ce70f5db5a4203072a6a5d8c8b53a","primary_any_valid global conditional_r2","Stored value, unit conversion and display rounding only",TRUE
"P-R04C","analysis_state relative share","94.2","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_r2_shapley_global_source.csv","3e8a2f478f97562e8ee2627120c8ac3159c1a1fb7216dc9a4d6e162f93012355","primary_any_valid analysis_state relative_weight_percent","Stored value, unit conversion and display rounding only",TRUE
"P-R04C","site relative share","4.8","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_r2_shapley_global_source.csv","3e8a2f478f97562e8ee2627120c8ac3159c1a1fb7216dc9a4d6e162f93012355","primary_any_valid site relative_weight_percent","Stored value, unit conversion and display rounding only",TRUE
"P-R04C","site absolute contribution","2.8","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_r2_shapley_global_source.csv","3e8a2f478f97562e8ee2627120c8ac3159c1a1fb7216dc9a4d6e162f93012355","primary_any_valid site absolute_r2_contribution","Stored value, unit conversion and display rounding only",TRUE
"P-R04C","day_type relative share","1.0","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_r2_shapley_global_source.csv","3e8a2f478f97562e8ee2627120c8ac3159c1a1fb7216dc9a4d6e162f93012355","primary_any_valid day_type relative_weight_percent","Stored value, unit conversion and display rounding only",TRUE
"P-R04C","day_type absolute contribution","0.6","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_r2_shapley_global_source.csv","3e8a2f478f97562e8ee2627120c8ac3159c1a1fb7216dc9a4d6e162f93012355","primary_any_valid day_type absolute_r2_contribution","Stored value, unit conversion and display rounding only",TRUE
"P-R04C","site / participant increment","1.2","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_r2_shapley_global_source.csv","3e8a2f478f97562e8ee2627120c8ac3159c1a1fb7216dc9a4d6e162f93012355","site absolute contribution / stored random_effect_increment","Arithmetic comparison of two frozen contributions on the same denominator; not a new decomposition",TRUE
"P-R04D","within Sleep response_effect_percentage_points","-0.26","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/stage3_cross_state_association_source_data_table_association_effects_source.csv","304eac7c2521ebeb1217dbfd6a2fc27ad07c74ebe00f75bfe026d1cff3ab10b9","within Sleep response_effect_percentage_points","Stored value, unit conversion and display rounding only",TRUE
"P-R04D","within Sleep response_conf_low_percentage_points","-0.95","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/stage3_cross_state_association_source_data_table_association_effects_source.csv","304eac7c2521ebeb1217dbfd6a2fc27ad07c74ebe00f75bfe026d1cff3ab10b9","within Sleep response_conf_low_percentage_points","Stored value, unit conversion and display rounding only",TRUE
"P-R04D","within Sleep response_conf_high_percentage_points","0.43","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/stage3_cross_state_association_source_data_table_association_effects_source.csv","304eac7c2521ebeb1217dbfd6a2fc27ad07c74ebe00f75bfe026d1cff3ab10b9","within Sleep response_conf_high_percentage_points","Stored value, unit conversion and display rounding only",TRUE
"P-R04D","within Pre-sleep response_effect_percentage_points","-1.09","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/stage3_cross_state_association_source_data_table_association_effects_source.csv","304eac7c2521ebeb1217dbfd6a2fc27ad07c74ebe00f75bfe026d1cff3ab10b9","within Pre-sleep response_effect_percentage_points","Stored value, unit conversion and display rounding only",TRUE
"P-R04D","within Pre-sleep response_conf_low_percentage_points","-2.75","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/stage3_cross_state_association_source_data_table_association_effects_source.csv","304eac7c2521ebeb1217dbfd6a2fc27ad07c74ebe00f75bfe026d1cff3ab10b9","within Pre-sleep response_conf_low_percentage_points","Stored value, unit conversion and display rounding only",TRUE
"P-R04D","within Pre-sleep response_conf_high_percentage_points","0.56","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/stage3_cross_state_association_source_data_table_association_effects_source.csv","304eac7c2521ebeb1217dbfd6a2fc27ad07c74ebe00f75bfe026d1cff3ab10b9","within Pre-sleep response_conf_high_percentage_points","Stored value, unit conversion and display rounding only",TRUE
"P-R04D","between Sleep response_effect_percentage_points","2.52","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/stage3_cross_state_association_source_data_table_association_effects_source.csv","304eac7c2521ebeb1217dbfd6a2fc27ad07c74ebe00f75bfe026d1cff3ab10b9","between Sleep response_effect_percentage_points","Stored value, unit conversion and display rounding only",TRUE
"P-R04D","between Sleep response_conf_low_percentage_points","3.55","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/stage3_cross_state_association_source_data_table_association_effects_source.csv","304eac7c2521ebeb1217dbfd6a2fc27ad07c74ebe00f75bfe026d1cff3ab10b9","between Sleep response_conf_low_percentage_points","Stored value, unit conversion and display rounding only",TRUE
"P-R04D","between Sleep response_conf_high_percentage_points","1.48","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/stage3_cross_state_association_source_data_table_association_effects_source.csv","304eac7c2521ebeb1217dbfd6a2fc27ad07c74ebe00f75bfe026d1cff3ab10b9","between Sleep response_conf_high_percentage_points","Stored value, unit conversion and display rounding only",TRUE
"P-R04D","between Pre-sleep response_effect_percentage_points","3.59","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/stage3_cross_state_association_source_data_table_association_effects_source.csv","304eac7c2521ebeb1217dbfd6a2fc27ad07c74ebe00f75bfe026d1cff3ab10b9","between Pre-sleep response_effect_percentage_points","Stored value, unit conversion and display rounding only",TRUE
"P-R04D","between Pre-sleep response_conf_low_percentage_points","5.94","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/stage3_cross_state_association_source_data_table_association_effects_source.csv","304eac7c2521ebeb1217dbfd6a2fc27ad07c74ebe00f75bfe026d1cff3ab10b9","between Pre-sleep response_conf_low_percentage_points","Stored value, unit conversion and display rounding only",TRUE
"P-R04D","between Pre-sleep response_conf_high_percentage_points","1.25","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/stage3_cross_state_association_source_data_table_association_effects_source.csv","304eac7c2521ebeb1217dbfd6a2fc27ad07c74ebe00f75bfe026d1cff3ab10b9","between Pre-sleep response_conf_high_percentage_points","Stored value, unit conversion and display rounding only",TRUE
"P-R04D","largest coverage shift","0.60","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/stage3_cross_state_association_source_data_table_coverage_gate_source.csv","762efe853d3b764939c9fadcecf7682c3c5df44490ac1f259ee7fff88f787f84","maximum stored absolute_response_shift_percentage_points","Maximum of four frozen displayed shifts, not new inference",TRUE
"P-R04D","Sleep FDR","<0.001","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/stage3_cross_state_association_source_data_table_association_effects_source.csv","304eac7c2521ebeb1217dbfd6a2fc27ad07c74ebe00f75bfe026d1cff3ab10b9","between Sleep adjusted_p_value","Stored value, unit conversion and display rounding only",TRUE
"P-R04D","Pre-sleep FDR","0.005","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/stage3_cross_state_association_source_data_table_association_effects_source.csv","304eac7c2521ebeb1217dbfd6a2fc27ad07c74ebe00f75bfe026d1cff3ab10b9","between Pre-sleep adjusted_p_value","Stored value, unit conversion and display rounding only",TRUE
"P-M12B","rows","1,376","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/brown_final_integration_2026_09_13/frozen/table_selected_sample.csv","503e010a7e5ef3a214987e753acf2d05e69dabc4c57fb61eed0cc37292827338","primary_any_valid rows","Stored value, unit conversion and display rounding only",TRUE
"P-M12B","participants","140","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/brown_final_integration_2026_09_13/frozen/table_selected_sample.csv","503e010a7e5ef3a214987e753acf2d05e69dabc4c57fb61eed0cc37292827338","primary_any_valid participants","Stored value, unit conversion and display rounding only",TRUE
"P-M12B","association_cycles","761","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/brown_final_integration_2026_09_13/frozen/table_selected_sample.csv","503e010a7e5ef3a214987e753acf2d05e69dabc4c57fb61eed0cc37292827338","primary_any_valid association_cycles","Stored value, unit conversion and display rounding only",TRUE
"P-M12B","Sleep eligible pairs","758","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/brown_final_integration_2026_09_13/frozen/table_pair_eligibility_source.csv","6205e6812fea5beface21af3a1861fce74e4ac5b21c05a7be80c0352876f946e","Any valid period Sleep Eligible pairs used","Stored value, unit conversion and display rounding only",TRUE
