"path","expected_sha256","actual_sha256","expected_bytes","actual_bytes","classification","status"
"notebooks/hypotheses/H06.qmd","5f8ec988d680e1a3e3dbf2410f0d4e6a49ded80a9990b3a09661aebdc98cbd4e","5f8ec988d680e1a3e3dbf2410f0d4e6a49ded80a9990b3a09661aebdc98cbd4e",65023,65023,"must remain exact","PASS"
"audit/hypotheses/H06/H06_analysis_preparation.qmd","5b128499a1f1a9312089ec47dfd1ba30cebb2a31059608659c0aa464753abfa0","5b128499a1f1a9312089ec47dfd1ba30cebb2a31059608659c0aa464753abfa0",63867,63867,"must remain exact","PASS"
"tests/hypotheses/H06/employment_eligibility_sensitivity/test_h06_employment_eligibility_reader_integration.R","aa3031f939f0d4ac5f0621e60e18c32fbe5e9716a8fa577a94d2582a620892b0","aa3031f939f0d4ac5f0621e60e18c32fbe5e9716a8fa577a94d2582a620892b0",6014,6014,"must remain exact","PASS"
"audit/hypotheses/H06/employment_eligibility_sensitivity/H06_employment_eligibility_sensitivity.qmd","199808d90b0c282b64fe5fba4706bec4845f8f79a73e4365c471cb05ada4e80f","199808d90b0c282b64fe5fba4706bec4845f8f79a73e4365c471cb05ada4e80f",19444,19444,"must remain exact","PASS"
"audit/hypotheses/H06/employment_eligibility_sensitivity/H06_employment_eligibility_sensitivity.html","4abe8a146f716a170b3fc9ea1a54aefe246b438a2a784c43cd855ce0570bdb98","4abe8a146f716a170b3fc9ea1a54aefe246b438a2a784c43cd855ce0570bdb98",1324553,1324553,"must remain exact","PASS"
"artifacts/12_manifests/H06/employment_eligibility_sensitivity/H06_employment_eligibility_report_manifest.csv","aa820c8d2df6bf19db9141141220c722ca5b88862d172c1d0b947c9835fc1ed9","aa820c8d2df6bf19db9141141220c722ca5b88862d172c1d0b947c9835fc1ed9",12053,12053,"must remain exact","PASS"
"_build/nathealth/notebooks/hypotheses/H06.html","bf3f70118afca9264aba77f9483a1cdd783e3c43996c9049fce67780ceca539b","b701a6d6e10e37fbe143117b70c0ba78e2d65ade0b973f3e1cd3e43a6f658dc9",3404538,4898662,"authorized result render","PASS"
"_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html","ae3dd53c5c3947e163a6048807f1e639197548e8e824c9d52709da3a65f74683","ae3dd53c5c3947e163a6048807f1e639197548e8e824c9d52709da3a65f74683",849545,849545,"must remain exact","PASS"
"_quarto-nathealth.yml","e54c71794f4f763a8b50417ab83ff3db37bc9af3fef3f4d1910576ab12c61bc7","e54c71794f4f763a8b50417ab83ff3db37bc9af3fef3f4d1910576ab12c61bc7",10042,10042,"must remain exact","PASS"
"renv.lock","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350",603493,603493,"must remain exact","PASS"
"/Users/zauner/Library/Caches/quarto/sass/sass.kv","22f60821f5020edfa0900fc872503bbe993388c7f5acb86c059bc53dcd606853",,36864,,"must remain exact","FAIL"
