path,sha256,bytes,role,live_exists,live_sha256,live_bytes,exact
_quarto.yml,44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c,2517,base Quarto configuration,TRUE,44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c,2517,TRUE
scripts/report_harmonization/post_render_gt_html_semantics.R,28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205,21453,semantic wrapper,TRUE,28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205,21453,TRUE
scripts/report_harmonization/repair_gt_html_semantics.R,7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1,17747,semantic engine,TRUE,7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1,17747,TRUE
renv.lock,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,603493,package lock,TRUE,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,603493,TRUE
scripts/pipeline/hypothesis_preparation_provenance_contract.R,6afff45a29a0bb96a49dbf46e611fce15dfd1618b4699da40d4b1f15cdbed026,13175,shared companion contract,TRUE,6afff45a29a0bb96a49dbf46e611fce15dfd1618b4699da40d4b1f15cdbed026,13175,TRUE
scripts/pipeline/paths_io.R,ad7ec3eb6fe76b0b47498d3efa0ae247ac0da3b9cd43a7d3731ea102d3bedc6c,4596,shared path helper,TRUE,ad7ec3eb6fe76b0b47498d3efa0ae247ac0da3b9cd43a7d3731ea102d3bedc6c,4596,TRUE
artifacts/12_manifests/H06/H06_stage3_artifacts.csv,d4cbb953428123510bbc1e996ec681dbfbafe4c3a79a66c93a581453584308f1,75394,current H06 Stage 3 manifest,TRUE,d4cbb953428123510bbc1e996ec681dbfbafe4c3a79a66c93a581453584308f1,75394,TRUE
artifacts/12_manifests/base_model_data_artifacts.csv,8344bdc0339a53079bf9eeb7d86de1ad7c15373641c3a0a5a01d040b418895ce,10273,current base model-data manifest,TRUE,8344bdc0339a53079bf9eeb7d86de1ad7c15373641c3a0a5a01d040b418895ce,10273,TRUE
artifacts/08_diagnostics/mder_METRIC-010/downstream_rebuild/h06_hourly_frame_invariance.csv,75794d5dc13392a05cd81ac57456bd03ccc5f12713f8f774db72f2bfab44de4f,825,accepted H06 hourly invariance evidence,TRUE,75794d5dc13392a05cd81ac57456bd03ccc5f12713f8f774db72f2bfab44de4f,825,TRUE
bibliography.bib,a8f9799d8dd02d097586f7b95d241997e7bee724d0197332e252a6cda263f249,46504,bibliography,TRUE,a8f9799d8dd02d097586f7b95d241997e7bee724d0197332e252a6cda263f249,46504,TRUE
nature.csl,15b1272a3c360168e0b51ab9257534b08ced67190ed57be7a1c32cea8fc87be8,6444,citation style,TRUE,15b1272a3c360168e0b51ab9257534b08ced67190ed57be7a1c32cea8fc87be8,6444,TRUE
styles.css,557cf99b617ba158611d5326a76716c871f7373357e11d0295012600c0e6994b,302,shared styles,TRUE,557cf99b617ba158611d5326a76716c871f7373357e11d0295012600c0e6994b,302,TRUE
notebooks/hypotheses/H06_daily.qmd,01213a193515c49419dcd1ed9cffcc070a88d639a7382e218275a89bd704cb08,65344,held H06 daily result source,TRUE,01213a193515c49419dcd1ed9cffcc070a88d639a7382e218275a89bd704cb08,65344,TRUE
audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd,ef4fde67d5dd2ebbb14deb76c025b5ac2ac9b6a34f7b34ca62c2fdb382bde709,35409,held H06 daily companion source,TRUE,ef4fde67d5dd2ebbb14deb76c025b5ac2ac9b6a34f7b34ca62c2fdb382bde709,35409,TRUE
_build/nathealth/notebooks/hypotheses/H06_daily.html,5a20c0680011be17111f72bb6b15aed6a4f4700c8866a13ea6dcf49a589fcce3,3617976,held H06 daily result HTML,TRUE,5a20c0680011be17111f72bb6b15aed6a4f4700c8866a13ea6dcf49a589fcce3,3617976,TRUE
_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,7f3adfd0d80c9e083baa34f6aa056bc12e0a30e233f786fbc55a6ad6ac176259,4613650,held H06 daily companion HTML,TRUE,7f3adfd0d80c9e083baa34f6aa056bc12e0a30e233f786fbc55a6ad6ac176259,4613650,TRUE
audit/report_harmonization/coordination_matrix.csv,495cf47eb5070808c260cd5a4e4a3f5521164d3021c8de4205457b54b87858c2,28553,dispatch-time coordination evidence,TRUE,e50de62b5882855f681d13d0561355155a1211797f5b8d3cde05fa701337541c,28537,FALSE
