"key","note","utc","view_id","status","observation","page","screenshot","state"
"10_page14_figure2","Main Figure2 and legend; Go To page 14; formatting marks hidden; no save.","2026-09-12T07:49:20.256Z","10","PASS_SCOPED","Main Figure 2 native SVG panels visible, with caption.","14","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/10_page14_figure2.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/10_page14_figure2.txt"
"11_page16_table3_caption","Main Table3 caption before continuation; Go To page 16; formatting marks hidden; no save.","2026-09-12T07:49:23.326Z","11","FINDING","Main Table 3 caption begins on page 16 and continues on page 17, leaving page 16 mostly empty.","16","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/11_page16_table3_caption.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/11_page16_table3_caption.txt"
"12_page17_table3a","Main Table3 part1; Go To page 17; formatting marks hidden; no save.","2026-09-12T07:49:26.438Z","12","PASS_SCOPED","Main Table 3 first part visible, including rightmost distributions. Approved metric order is not a redesign target.","17","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/12_page17_table3a.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/12_page17_table3a.txt"
"13_page18_table3b","Main Table3 part2; Go To page 18; formatting marks hidden; no save.","2026-09-12T07:49:29.576Z","13","PASS_SCOPED","Main Table 3 second part visible, including rightmost distributions.","18","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/13_page18_table3b.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/13_page18_table3b.txt"
"14_page19_table3c","Main Table3 part3, Level and Spectrum; Go To page 19; formatting marks hidden; no save.","2026-09-12T07:50:05.733Z","14","PASS_SCOPED","Main Table 3 third part visible, including rightmost distributions.","19","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/14_page19_table3c.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/14_page19_table3c.txt"
"15_page20_table3d","Main Table3 part4, Timing; Go To page 20; formatting marks hidden; no save.","2026-09-12T07:50:08.892Z","15","PASS_SCOPED","Main Table 3 fourth part visible, including rightmost distributions.","20","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/15_page20_table3d.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/15_page20_table3d.txt"
"16_page23_figure3","Main Figure3 native SVG; Go To page 23; formatting marks hidden; no save.","2026-09-12T07:50:12.001Z","16","FINDING","Main Figure 3 panels visible but relatively small; caption starts on the next page despite substantial blank space below the image.","23","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/16_page23_figure3.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/16_page23_figure3.txt"
"17_page24_figure3_caption","Main Figure3 caption on following page; Go To page 24; formatting marks hidden; no save.","2026-09-12T07:50:15.114Z","17","FINDING","Main Figure 3 caption is isolated on page 24 after the image on page 23.","24","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/17_page24_figure3_caption.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/17_page24_figure3_caption.txt"
"18_page63_s2a","Supplementary TableS2 part1, full14-column set; Go To page 63; formatting marks hidden; no save.","2026-09-12T07:50:46.540Z","18","FINDING","Table S2 first vertical part shows all columns and rightmost mini-plots. Mean plus-minus SD expressions wrap in numeric columns.","63","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/18_page63_s2a.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/18_page63_s2a.txt"
"19_page64_s2b","Supplementary TableS2 part2; Go To page 64; formatting marks hidden; no save.","2026-09-12T07:50:49.648Z","19","FINDING","Table S2 second vertical part retains columns and mini-plots. Mean plus-minus SD wrapping remains.","64","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/19_page64_s2b.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/19_page64_s2b.txt"
"20_page65_s2c","Supplementary TableS2 part3 and caption; Go To page 65; formatting marks hidden; no save.","2026-09-12T07:50:52.842Z","20","FINDING","Table S2 third vertical part and notes visible. Rightmost mini-plots are not visibly cut off; numeric no-break requirement remains open.","65","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/20_page65_s2c.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/20_page65_s2c.txt"
"21_page66_after_s2","Page immediately after S2 section; Go To page 66; formatting marks hidden; no save.","2026-09-12T07:50:55.530Z","21","FINDING","Page 66 is visually blank apart from its footer, between Table S2 and Table S3. Do not infer the exact section-break cause from this view alone.","66","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/21_page66_after_s2.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/21_page66_after_s2.txt"
"22_page74_s5","Historical Supplementary Figure S5, check native SVG panel content; Go To page 74; formatting marks hidden; no save.","2026-09-12T07:55:33.474Z","22","FINDING","Historical Figure S5 on page 74 has no visible plot content in the native Word view; surrounding heading and caption render. This does not authorize a scientific or display replacement.","74","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/22_page74_s5.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/22_page74_s5.txt"
"23_page81_s7a","Supplementary Figure S7 first independent image; Go To page 81; formatting marks hidden; no save.","2026-09-12T07:55:36.653Z","23","PASS_WITH_READABILITY_NOTE","Figure S7 first independent image is visible on page 81. Small lettering needs final print-size QA.","81","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/23_page81_s7a.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/23_page81_s7a.txt"
"24_page82_s7b","Supplementary Figure S7 second independent image; Go To page 82; formatting marks hidden; no save.","2026-09-12T07:55:39.760Z","24","PASS_WITH_READABILITY_NOTE","Figure S7 second independent image and its internal panels are visible on page 82. Shared caption starts on page 83; small internal labels need print-size QA.","82","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/24_page82_s7b.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/24_page82_s7b.txt"
"25_page91_s8a","Supplementary Figure S8 upper crop; Go To page 91; formatting marks hidden; no save.","2026-09-12T07:55:58.693Z","25","PASS_SCOPED","Figure S8 upper crop displays panels A-C without an obvious clipped right edge.","91","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/25_page91_s8a.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/25_page91_s8a.txt"
"26_page92_s8b","Supplementary Figure S8 lower crop; Go To page 92; formatting marks hidden; no save.","2026-09-12T07:56:01.860Z","26","PASS_WITH_READABILITY_NOTE","Figure S8 lower crop displays panel D and notes with its continuation caption. Numerical text is small; full legibility is not certified by this overview.","92","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/26_page92_s8b.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/26_page92_s8b.txt"
"27_page107_s15a","Supplementary Figure S15 first independent image; Go To page 107; formatting marks hidden; no save.","2026-09-12T07:56:05.046Z","27","PASS_SCOPED","Figure S15 first independent image visible on page 107.","107","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/27_page107_s15a.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/27_page107_s15a.txt"
"28_page108_s15b","Supplementary Figure S15 second independent image with its own internal panels; Go To page 108; formatting marks hidden; no save.","2026-09-12T07:56:16.328Z","28","PASS_SCOPED","Figure S15 second independent image, including its own internal panels, visible on page 108. Caption follows this second image.","108","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/28_page108_s15b.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/28_page108_s15b.txt"
"29_page112_s17","Retained accepted Supplementary Figure S17 native SVG; Go To page 112; formatting marks hidden; no save.","2026-09-12T07:56:19.456Z","29","PASS_SCOPED","Retained accepted Figure S17 visibly renders in native Word, including both curve panels and legend. Optional H11 replacement remains unpromoted.","112","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/29_page112_s17.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/29_page112_s17.txt"
"30_page79_table_s5","Supplementary Table S5 typeface and table fit; Go To page 79; formatting marks hidden; no save.","2026-09-12T07:56:22.655Z","30","FINDING","Table S5 uses a consistent sans-serif appearance, not the reported Times-like mismatch. Its caption splits between pages 79 and 80.","79","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/30_page79_table_s5.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/30_page79_table_s5.txt"
"31_page80_table_s6","Supplementary Table S6 typeface, fit, and preceding S5 caption continuation; Go To page 80; formatting marks hidden; no save.","2026-09-12T07:56:37.129Z","31","PASS_SCOPED","Table S6 uses consistent sans-serif text and fits the page. The preceding Table S5 caption continuation remains at the top.","80","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/31_page80_table_s6.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/31_page80_table_s6.txt"
"32_page99_table_s10a","Supplementary Table S10 first part and typeface; Go To page 99; formatting marks hidden; no save.","2026-09-12T07:56:40.390Z","32","PASS_SCOPED","Table S10 first part uses consistent sans-serif text with all column boundaries visible.","99","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/32_page99_table_s10a.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/32_page99_table_s10a.txt"
"33_page100_table_s10b","Supplementary Table S10 continuation and typeface; Go To page 100; formatting marks hidden; no save.","2026-09-12T07:56:43.480Z","33","FINDING","Table S10 second part uses consistent sans-serif text, but the caption splits onto page 101.","100","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/33_page100_table_s10b.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/33_page100_table_s10b.txt"
"34_page60_table_s1","Supplementary Table S1 image fit and complete table boundary; Go To page 60; formatting marks hidden; no save.","2026-09-12T07:56:55.677Z","34","FINDING","Table S1 image is visible on page 60; its entire caption starts on page 61.","60","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/34_page60_table_s1.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/34_page60_table_s1.txt"
"35_page62_before_s2","Pagination immediately before Supplementary Table S2; Go To page 62; formatting marks hidden; no save.","2026-09-12T07:56:58.735Z","35","FINDING","Page 62 is visually blank apart from its footer, immediately before the Table S2 landscape section.","62","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/35_page62_before_s2.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/35_page62_before_s2.txt"
"36_page68_table_s3","Supplementary Table S3 recommendation-window definitions; Go To page 68; formatting marks hidden; no save.","2026-09-12T07:57:01.858Z","36","FINDING","Table S3 image is visible on page 68 with all columns; its caption is isolated on page 69. The heading is on page 67.","68","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/36_page68_table_s3.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/36_page68_table_s3.txt"
"37_page70_figure_s1","Supplementary Figure S1 visible panels and legend; Go To page 70; formatting marks hidden; no save.","2026-09-12T07:57:16.223Z","37","PASS_WITH_READABILITY_NOTE","Figure S1 multi-panel image and caption visible. Small labels require final print-size readability review.","70","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/37_page70_figure_s1.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/37_page70_figure_s1.txt"
"38_page71_figure_s2","Supplementary Figure S2 visible panels and legend; Go To page 71; formatting marks hidden; no save.","2026-09-12T07:57:19.358Z","38","PASS_SCOPED","Figure S2 worked-example panels and caption visible.","71","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/38_page71_figure_s2.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/38_page71_figure_s2.txt"
"39_page72_figure_s3","Supplementary Figure S3 display size and boundaries; Go To page 72; formatting marks hidden; no save.","2026-09-12T07:57:22.414Z","39","PASS_SCOPED","Figure S3 is displayed smaller and centered, with its plot boundaries and caption visible.","72","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/39_page72_figure_s3.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/39_page72_figure_s3.txt"
"40_page73_figure_s4","Supplementary Figure S4 native image content; Go To page 73; formatting marks hidden; no save.","2026-09-12T07:57:25.631Z","40","PASS_SCOPED","Figure S4 plot and caption visible. Brown scientific freshness remains a separate dependency.","73","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/40_page73_figure_s4.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/40_page73_figure_s4.txt"
"41_page75_table_s4a","Supplementary Table S4 first part and column boundaries; Go To page 75; formatting marks hidden; no save.","2026-09-12T07:57:37.656Z","41","PASS_SCOPED","Table S4 first of two image parts visible, with within-participant rows and complete columns.","75","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/41_page75_table_s4a.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/41_page75_table_s4a.txt"
"42_page76_table_s4b","Supplementary Table S4 second part; Go To page 76; formatting marks hidden; no save.","2026-09-12T07:57:40.831Z","42","FINDING","Table S4 second image part visible; caption starts below it and continues onto page 77.","76","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/42_page76_table_s4b.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/42_page76_table_s4b.txt"
"43_page77_table_s4c","Supplementary Table S4 final part and caption; Go To page 77; formatting marks hidden; no save.","2026-09-12T07:57:43.979Z","43","FINDING","Page 77 contains only the final two lines of the Table S4 caption. It is not a third table-image part, despite the planned capture note.","77","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/43_page77_table_s4c.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/43_page77_table_s4c.txt"
"44_page78_figure_s6","Supplementary Figure S6 participant raincloud; Go To page 78; formatting marks hidden; no save.","2026-09-12T07:57:47.081Z","44","PASS_SCOPED","Figure S6 anonymous participant raincloud, connecting lines and caption visible.","78","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/44_page78_figure_s6.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/44_page78_figure_s6.txt"
"45_page84_table_s7a","Supplementary Table S7 first image part; Go To page 84; formatting marks hidden; no save.","2026-09-12T07:57:59.778Z","45","PASS_SCOPED","Table S7 first image part visible at a broad landscape width.","84","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/45_page84_table_s7a.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/45_page84_table_s7a.txt"
"46_page85_table_s7b","Supplementary Table S7 second image part; Go To page 85; formatting marks hidden; no save.","2026-09-12T07:58:02.959Z","46","FINDING","Table S7 second part uses the broad width; the following third part is visibly narrower and smaller in the adjacent-page view.","85","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/46_page85_table_s7b.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/46_page85_table_s7b.txt"
"47_page86_table_s7c","Supplementary Table S7 third image part; Go To page 86; formatting marks hidden; no save.","2026-09-12T07:58:06.179Z","47","FINDING","Table S7 third part has smaller physical width and text than the first two parts. Its caption also continues onto page 87.","86","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/47_page86_table_s7c.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/47_page86_table_s7c.txt"
"48_page89_table_s8","Supplementary Table S8 classification table; Go To page 89; formatting marks hidden; no save.","2026-09-12T07:58:09.393Z","48","FINDING","Table S8 image is visible on page 89; heading is on page 88 and caption on page 90.","89","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/48_page89_table_s8.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/48_page89_table_s8.txt"
"49_page93_figure_s9","Supplementary Figure S9 hourly contrasts; Go To page 93; formatting marks hidden; no save.","2026-09-12T07:58:28.427Z","49","PASS_SCOPED","Figure S9 paired sensor-position contrast plot visible with its caption.","93","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/49_page93_figure_s9.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/49_page93_figure_s9.txt"
"50_page94_figure_s10","Supplementary Figure S10 Free versus Work display; Go To page 94; formatting marks hidden; no save.","2026-09-12T07:58:31.582Z","50","PASS_WITH_READABILITY_NOTE","Figure S10 time-of-day panels visible; small source notes require final print-size readability review.","94","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/50_page94_figure_s10.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/50_page94_figure_s10.txt"
"51_page95_figure_s11","Supplementary Figure S11 activity contrast; Go To page 95; formatting marks hidden; no save.","2026-09-12T07:58:34.662Z","51","PASS_WITH_READABILITY_NOTE","Figure S11 time-of-day panels visible; small source notes require final print-size readability review.","95","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/51_page95_figure_s11.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/51_page95_figure_s11.txt"
"52_page96_figure_s12","Supplementary Figure S12 previous sleep contrast; Go To page 96; formatting marks hidden; no save.","2026-09-12T07:58:37.725Z","52","PASS_SCOPED","Figure S12 shows all three routine-by-site contrast columns, not only previous sleep. Plot and caption are visible.","96","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/52_page96_figure_s12.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/52_page96_figure_s12.txt"
"53_page97_table_s9","Supplementary Table S9 and caption; Go To page 97; formatting marks hidden; no save.","2026-09-12T07:58:50.133Z","53","PASS_SCOPED","Table S9 is visible with its caption. The next page begins the Table S10 heading without the table image.","97","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/53_page97_table_s9.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/53_page97_table_s9.txt"
"54_page102_figure_s13","Supplementary Figure S13 native image content; Go To page 102; formatting marks hidden; no save.","2026-09-12T07:58:53.306Z","54","PASS_SCOPED","Figure S13 heatmap and caption visible.","102","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/54_page102_figure_s13.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/54_page102_figure_s13.txt"
"55_page105_figure_s14","Supplementary Figure S14 native image content; Go To page 105; formatting marks hidden; no save.","2026-09-12T07:58:56.082Z","55","PASS_SCOPED","Figure S14 contrast plot and caption visible.","105","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/55_page105_figure_s14.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/55_page105_figure_s14.txt"
"56_page110_figure_s16","Supplementary Figure S16 native image content and panel tags; Go To page 110; formatting marks hidden; no save.","2026-09-12T07:58:59.165Z","56","PASS_WITH_READABILITY_NOTE","Figure S16 three-panel image renders, but internal text is small at the overview size. No claim of complete print-size label legibility.","110","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/56_page110_figure_s16.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/56_page110_figure_s16.txt"
"57_page103_table_s11a","Supplementary Table S11 first editable-table counterpart; Go To page 103; formatting marks hidden; no save.","2026-09-12T07:59:23.965Z","57","PASS_SCOPED","Table S11a visible, including retained non-estimable-cell wording. Typography is consistently sans serif.","103","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/57_page103_table_s11a.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/57_page103_table_s11a.txt"
"58_page104_table_s11b","Supplementary Table S11 second editable-table counterpart; Go To page 104; formatting marks hidden; no save.","2026-09-12T07:59:27.120Z","58","PASS_SCOPED","Table S11b visible with repeated columns and notes.","104","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/58_page104_table_s11b.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/58_page104_table_s11b.txt"
"59_page106_table_s12","Supplementary Table S12 table boundaries and typography; Go To page 106; formatting marks hidden; no save.","2026-09-12T07:59:30.185Z","59","PASS_SCOPED","Table S12 visible with complete columns and notes.","106","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/59_page106_table_s12.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/59_page106_table_s12.txt"
