"page","section","row","cell","old_text","new_text","baseline_page","baseline_sha256","candidate_sha256","label","found_in_complete_table"
"table_2.html","tbody",1,7,"<0.001","<0.001","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","tbody",2,1,"Pre-sleep","Pre-sleep","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","tbody",2,2,"No more than 10 lx melanopic EDI during the three hours before reported sleep","No more than 10 lx melanopic EDI during the three hours before reported sleep","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","tbody",2,3,"81,894/129,390 (63.3%)","81,894/129,390 (63.3%)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","tbody",2,4,"62.0 (58.8 to 65.2)","62.0 (58.8 to 65.2)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","tbody",2,5,"67.9 (64.2 to 71.6)","67.9 (64.2 to 71.6)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","tbody",2,6,"+5.9 (+1.4 to +10.5)","+5.9 (+1.4 to +10.5)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","tbody",2,7,"0.011","0.011","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","tbody",3,1,"Sleep","Sleep","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","tbody",3,2,"No more than 1 lx melanopic EDI during reported sleep; bedside sleep environment","No more than 1 lx melanopic EDI during reported sleep; bedside sleep environment","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","tbody",3,3,"336,052/383,366 (87.7%)","336,052/383,366 (87.7%)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","tbody",3,4,"90.4 (88.9 to 91.9)","90.4 (88.9 to 91.9)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","tbody",3,5,"83.9 (81.4 to 86.5)","83.9 (81.4 to 86.5)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","tbody",3,6,"-6.5 (-9.1 to -3.8)","-6.5 (-9.1 to -3.8)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","tbody",3,7,"<0.001","<0.001","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","tfoot",1,1,"Observed pooled-minute fractions and fitted recommendation-window estimates are different quantities. Each of the nine sites contributes equally to the fitted estimates; the displayed model results use only the primary any-valid sample.","Observed pooled-minute fractions and fitted recommendation-window estimates are different quantities. Each of the nine sites contributes equally to the fitted estimates; the displayed model results use only the primary any-valid sample.","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","tfoot",2,1,"The recommendation boundaries are inclusive: daytime ≥250 lx, pre-sleep ≤10 lx and sleep ≤1 lx melanopic EDI. Near-eye measurements describe ocular exposure during wear; reported sleep describes the bedside sleep environment, not worn ocular exposure. Chest measurements are not pooled here.","The recommendation boundaries are inclusive: daytime ≥250 lx, pre-sleep ≤10 lx and sleep ≤1 lx melanopic EDI. Near-eye measurements describe ocular exposure during wear; reported sleep describes the bedside sleep environment, not worn ocular exposure. Chest measurements are not pooled here.","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","tfoot",3,1,"Day type is assigned from the wake-start date to the preceding sleep, daytime and following pre-sleep windows; windows qualify independently. Temporal dependence remained unresolved. The 80% coverage sensitivity, including the inconclusive pre-sleep interval, is reported in the Results and Methods, not as additional rows here.","Day type is assigned from the wake-start date to the preceding sleep, daytime and following pre-sleep windows; windows qualify independently. Temporal dependence remained unresolved. The 80% coverage sensitivity, including the inconclusive pre-sleep interval, is reported in the Results and Methods, not as additional rows here.","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_s2_part_01.html","thead",1,1,"Metric descriptive summary (near eye)","Metric descriptive summary (near eye)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","thead",2,1,"Metric1","Metric1","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","thead",2,2,"Unit","Unit","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","thead",2,3,"Overall","Overall","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","thead",2,4,"Borås (SE)","Borås (SE)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","thead",2,5,"Delft (NL)","Delft (NL)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","thead",2,6,"Dortmund (DE)","Dortmund (DE)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","thead",2,7,"Tübingen (DE)","Tübingen (DE)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","thead",2,8,"Munich (DE)","Munich (DE)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","thead",2,9,"Madrid (ES)","Madrid (ES)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","thead",2,10,"Izmir (TR)","Izmir (TR)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","thead",2,11,"San José (CR)","San José (CR)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","thead",2,12,"Kumasi (GH)","Kumasi (GH)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","thead",2,13,"Scaling2","Scaling2","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","thead",2,14,"Distribution3","Distribution3","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",1,1,"Duration","Duration","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",2,1,"Time above 1,000 lx melEDI Bright-light exposure duration; relevant to daytime alerting and circadian entrainment.","Time above 1,000 lx melEDI Bright-light exposure duration; relevant to daytime alerting and circadian entrainment.","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
"table_s2_part_01.html","tbody",2,2,"HH:MM","HH:MM","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_s2_part_01.html","2cc8699a2d197f331bf8c8fd2f0dfe35c5ddea8887a9440cda7d97411dda010f","caf9e0299cf4cbe4cff190eec5f8e8b1eb00282b22551d774462a500499662c7","Table_S2",TRUE
