"label","part","cell","text"
"Table_1","tbody",72,"11w 23h"
"Table_1","tbody",73,"15w 2d"
"Table_1","tbody",74,"21w 3d"
"Table_1","tbody",75,"8w 4d"
"Table_1","tbody",76,"18w 3d"
"Table_1","tbody",77,"14w 3d"
"Table_1","tbody",78,"4w 4d"
"Table_1","tbody",79,"11w 4d"
"Table_1","tbody",80,"Declared non-wear2"
"Table_1","tbody",81,"g:4w 1d (3.66%)"
"Table_1","tbody",82,"g:2d 14h (3.34%)"
"Table_1","tbody",83,"g:3d 1h (3.92%)"
"Table_1","tbody",84,"g:3d 15h (3.42%)"
"Table_1","tbody",85,"g:6d 10h (4.30%)"
"Table_1","tbody",86,"g:2d 17h (4.55%)"
"Table_1","tbody",87,"g:2d 20h (2.20%)"
"Table_1","tbody",88,"g:3d 3h (3.13%)"
"Table_1","tbody",89,"g:1d 11h (4.66%)"
"Table_1","tbody",90,"g:3d 21h (4.80%)"
"Table_1","tbody",91,"Screened days1,3"
"Table_1","tbody",92,"g:816 c:902"
"Table_1","tbody",93,"g:78 c:96"
"Table_1","tbody",94,"g:78 c:93"
"Table_1","tbody",95,"g:107 c:114"
"Table_1","tbody",96,"g:150 c:0"
"Table_1","tbody",97,"g:60 c:60"
"Table_1","tbody",98,"g:129 c:123"
"Table_1","tbody",99,"g:101 c:102"
"Table_1","tbody",100,"g:32 c:230"
"Table_1","tbody",101,"g:81 c:84"
"Table_1","tbody",102,"Civil photoperiod4,2"
"Table_1","tbody",103,"13.25 h (10.62–18.20) (n=1478 d)"
"Table_1","tbody",104,"14.81 h (11.80–20.49) (n=137 d)"
"Table_1","tbody",105,"14.00 h (11.88–18.09) (n=125 d)"
"Table_1","tbody",106,"17.88 h (11.76–18.22) (n=176 d)"
"Table_1","tbody",107,"12.07 h (10.55–15.41) (n=208 d)"
"Table_1","tbody",108,"17.20 h (16.45–17.45) (n=80 d)"
"Table_1","tbody",109,"11.01 h (10.35–12.22) (n=182 d)"
"Table_1","tbody",110,"13.13 h (10.52–15.57) (n=138 d)"
"Table_1","tbody",111,"13.34 h (13.01–13.47) (n=312 d)"
"Table_1","tbody",112,"12.54 h (12.49–12.68) (n=120 d)"
"Table_1","tbody",113,"Participant information"
"Table_1","tbody",114,"Age4"
"Table_1","tbody",115,"28 y (21 y–52 y) (n=191 N)"
"Table_1","tbody",116,"38 y (22.6 y–64.8 y) (n=17 N)"
"Table_1","tbody",117,"30.5 y (19.9 y–57.1 y) (n=20 N)"
"Table_1","tbody",118,"35.5 y (20.1 y–58.5 y) (n=24 N)"
"Table_1","tbody",119,"27 y (22 y–37 y) (n=26 N)"
"Table_1","tbody",120,"27.5 y (22.2 y–29 y) (n=10 N)"
"Table_1","tbody",121,"31 y (20.2 y–54.3 y) (n=23 N)"
"Table_1","tbody",122,"24 y (21 y–29.6 y) (n=17 N)"
"Table_1","tbody",123,"34 y (22 y–48.1 y) (n=39 N)"
"Table_1","tbody",124,"23 y (20.1 y–25 y) (n=15 N)"
"Table_1","tbody",125,"Sex5"
"Table_1","tbody",126,"F:105 / M:86 (n=191)"
"Table_1","tbody",127,"F:6 / M:11 (n=17)"
"Table_1","tbody",128,"F:8 / M:12 (n=20)"
"Table_1","tbody",129,"F:13 / M:11 (n=24)"
"Table_1","tbody",130,"F:14 / M:12 (n=26)"
"Table_1","tbody",131,"F:6 / M:4 (n=10)"
"Table_1","tbody",132,"F:15 / M:8 (n=23)"
"Table_1","tbody",133,"F:11 / M:6 (n=17)"
"Table_1","tbody",134,"F:24 / M:15 (n=39)"
"Table_1","tbody",135,"F:8 / M:7 (n=15)"
"Table_1","tbody",136,"Employment status6"
"Table_1","tbody",137,"F:163 / P:26 / N:2 (n=191)"
"Table_1","tbody",138,"F:16 / P:0 / N:1 (n=17)"
"Table_1","tbody",139,"F:11 / P:9 / N:0 (n=20)"
"Table_1","tbody",140,"F:21 / P:3 / N:0 (n=24)"
"Table_1","tbody",141,"F:23 / P:3 / N:0 (n=26)"
"Table_1","tbody",142,"F:9 / P:1 / N:0 (n=10)"
"Table_1","tbody",143,"F:21 / P:2 / N:0 (n=23)"
"Table_1","tbody",144,"F:15 / P:2 / N:0 (n=17)"
"Table_1","tbody",145,"F:34 / P:5 / N:0 (n=39)"
"Table_1","tbody",146,"F:13 / P:1 / N:1 (n=15)"
"Table_1","tbody",147,"Chronotype group7"
"Table_1","tbody",148,"m:62 / i:94 / e:30 (n=186)"
"Table_1","tbody",149,"m:8 / i:4 / e:5 (n=17)"
"Table_1","tbody",150,"m:3 / i:9 / e:3 (n=15)"
"Table_1","tbody",151,"m:8 / i:13 / e:3 (n=24)"
"Table_1","tbody",152,"m:9 / i:9 / e:8 (n=26)"
"Table_1","tbody",153,"m:0 / i:8 / e:2 (n=10)"
"Table_1","tbody",154,"m:5 / i:17 / e:1 (n=23)"
"Table_1","tbody",155,"m:2 / i:10 / e:5 (n=17)"
"Table_1","tbody",156,"m:16 / i:20 / e:3 (n=39)"
"Table_1","tbody",157,"m:11 / i:4 / e:0 (n=15)"
"Table_1","tbody",158,"Sleep-corrected midsleep on free days4,8"
"Table_1","tbody",159,"04:03 (02:08–06:15) (n=185 N)"
"Table_1","tbody",160,"02:55 (02:04–05:09) (n=17 N)"
"Table_1","tbody",161,"04:31 (03:05–05:37) (n=15 N)"
"Table_1","tbody",162,"03:47 (02:17–04:49) (n=24 N)"
"Table_1","tbody",163,"04:33 (02:41–06:04) (n=26 N)"
"Table_1","tbody",164,"05:08 (04:12–06:04) (n=10 N)"
"Table_1","tbody",165,"04:48 (03:10–06:52) (n=22 N)"
"Table_1","tbody",166,"05:29 (03:35–06:49) (n=17 N)"
"Table_1","tbody",167,"03:42 (02:17–05:31) (n=39 N)"
"Table_1","tbody",168,"02:19 (01:22–03:25) (n=15 N)"
"Table_1","tfoot",1,"1 g, near-eye glasses position; c, complementary chest position; p, paired common sample in which the same participant-day is available at both positions."
"Table_1","tfoot",2,"2 w: weeks; d: days; h: hours; min: minutes. Participant time and declared non-wear use eligible real minutes on screened days; both are shown for near eye only."
"Table_1","tfoot",3,"3 Screened days are the final participant-days after the 80% completeness screen and exclusion of exact-all-zero melEDI days."
"Table_1","tfoot",4,"4 Median (5th percentile, 95th percentile)."
"Table_1","tfoot",5,"5 Sex categories: Female and Male."
"Table_1","tfoot",6,"6 Employment categories: Full/studying, Part/marginal, and Not employed."
"Table_1","tfoot",7,"7 Chronotype groups follow the Morningness–Eveningness Questionnaire score."
"Table_1","tfoot",8,"8 MCTQ: Munich Chronotype Questionnaire; MEQ: Morningness–Eveningness Questionnaire. Clock summaries are circular."
"Table_2","thead",1,"Recommendation adherence by recommendation window and day type"
"Table_2","thead",2,"Recommendation window"
"Table_2","thead",3,"Recommendation"
"Table_2","thead",4,"Observed pooled-minute adherence"
"Table_2","thead",5,"Site-average recommendation-window model"
"Table_2","thead",6,"Valid minutes meeting recommendation, n/N (%)"
"Table_2","thead",7,"Work-day adherence % (95% CI)"
"Table_2","thead",8,"Free-day adherence % (95% CI)"
"Table_2","thead",9,"Free minus Work percentage points (95% CI)"
"Table_2","thead",10,"FDR-adjusted p"
"Table_2","tbody",1,"Daytime"
"Table_2","tbody",2,"At least 250 lx melanopic EDI during wake, excluding the three hours before sleep"
"Table_2","tbody",3,"137,792/573,712 (24.0%)"
"Table_2","tbody",4,"26.6 (24.5 to 28.7)"
"Table_2","tbody",5,"21.5 (19.2 to 23.8)"
"Table_2","tbody",6,"-5.1 (-7.8 to -2.4)"
"Table_2","tbody",7,"<0.001"
"Table_2","tbody",8,"Pre-sleep"
"Table_2","tbody",9,"No more than 10 lx melanopic EDI during the three hours before reported sleep"
"Table_2","tbody",10,"81,894/129,390 (63.3%)"
"Table_2","tbody",11,"62.0 (58.8 to 65.2)"
"Table_2","tbody",12,"67.9 (64.2 to 71.6)"
"Table_2","tbody",13,"+5.9 (+1.4 to +10.5)"
"Table_2","tbody",14,"0.011"
"Table_2","tbody",15,"Sleep"
"Table_2","tbody",16,"No more than 1 lx melanopic EDI during reported sleep; bedside sleep environment"
"Table_2","tbody",17,"336,052/383,366 (87.7%)"
"Table_2","tbody",18,"90.4 (88.9 to 91.9)"
"Table_2","tbody",19,"83.9 (81.4 to 86.5)"
"Table_2","tbody",20,"-6.5 (-9.1 to -3.8)"
"Table_2","tbody",21,"<0.001"
"Table_2","tfoot",1,"Observed pooled-minute fractions and fitted recommendation-window estimates are different quantities. Each of the nine sites contributes equally to the fitted estimates; the displayed model results use only the primary any-valid sample."
"Table_2","tfoot",2,"The recommendation boundaries are inclusive: daytime ≥250 lx, pre-sleep ≤10 lx and sleep ≤1 lx melanopic EDI. Near-eye measurements describe ocular exposure during wear; reported sleep describes the bedside sleep environment, not worn ocular exposure. Chest measurements are not pooled here."
"Table_2","tfoot",3,"Day type is assigned from the wake-start date to the preceding sleep, daytime and following pre-sleep windows; windows qualify independently. Temporal dependence remained unresolved. The 80% coverage sensitivity, including the inconclusive pre-sleep interval, is reported in the Results and Methods, not as additional rows here."
"Table_3","thead",1,"Near-eye personal light-exposure metrics and their geographic and photoperiod context"
"Table_3","thead",2,""
"Table_3","thead",3,"Definition/relevance"
"Table_3","thead",4,"Descriptive summary"
"Table_3","thead",5,"Association evidence"
"Table_3","thead",6,"Modelled variation"
"Table_3","thead",7,"Overall distribution"
"Table_3","thead",8,"Site distribution"
"Table_3","thead",9,"Overall site"
"Table_3","thead",10,"Civil photoperiod"
"Table_3","thead",11,"R² summary"
"Table_3","tbody",1,"Duration"
"Table_3","tbody",2,"Time above 1,000 lx melEDI"
"Table_3","tbody",3,"Bright-light exposure duration; relevant to daytime alerting and circadian entrainment."
"Table_3","tbody",4,"Unit hMedian 0.683IQR 0.183 to 1.558Participants 141Days 816"
"Table_3","tbody",5,""
"Table_3","tbody",6,"FDR not supported; adjusted p 0.071Part R-squared 4.7% (2.6% to 12.1%)"
"Table_3","tbody",7,"Estimate Ratio per 1 h: 1.206 (1.128 to 1.288)FDR supported; adjusted p <0.001Part R-squared 9.0% (3.7% to 15.7%)"
"Table_3","tbody",8,"Marginal 21.5% (16.3% to 32.3%)Conditional 50.1% (40.2% to 57.6%)Participant-associated 28.6% (17.7% to 34.2%)"
"Table_3","tbody",9,"Time above 250 lx melEDI during wake"
"Table_3","tbody",10,"Waking time in recommended daytime light; relevant to alertness, entrainment, and subsequent sleep."
"Table_3","tbody",11,"Unit hMedian 2.417IQR 0.850 to 4.617Participants 141Days 737"
"Table_3","tbody",12,""
"Table_3","tbody",13,"FDR supported; adjusted p 0.007Part R-squared 8.6% (5.2% to 18.7%)"
"Table_3","tbody",14,"Estimate Ratio per 1 h: 1.136 (1.073 to 1.202)FDR supported; adjusted p <0.001Part R-squared 6.4% (2.0% to 12.7%)"
"Table_3","tbody",15,"Marginal 18.0% (12.9% to 29.1%)Conditional 50.1% (41.6% to 58.0%)Participant-associated 32.1% (20.7% to 36.7%)"
"Table_3","tbody",16,"Time below 10 lx melEDI before sleep"
"Table_3","tbody",17,"Low-light time before bed; limits evening melatonin suppression and circadian delay."
"Table_3","tbody",18,"Unit hMedian 1.883IQR 1.025 to 2.583Participants 139Days 655"
"Table_3","tbody",19,""
"Table_3","tbody",20,"FDR supported; adjusted p 0.049Part R-squared 5.4% (3.2% to 13.4%)"
"Table_3","tbody",21,"Estimate Difference per 1 h: -0.134 (-0.201 to -0.066)FDR supported; adjusted p <0.001Part R-squared 4.9% (1.2% to 10.5%)"
"Table_3","tbody",22,"Marginal 7.6% (4.6% to 17.2%)Conditional 38.3% (31.8% to 48.5%)Participant-associated 30.7% (21.7% to 38.1%)"
"Table_3","tbody",23,"Time below 1 lx melEDI during sleep"
"Table_3","tbody",24,"Darkness during sleep; supports nocturnal melatonin and an undisturbed sleep environment."
"Table_3","tbody",25,"Unit hMedian 7.133IQR 5.967 to 8.250Participants 141Days 778"
"Table_3","tbody",26,""
"Table_3","tbody",27,"FDR not supported; adjusted p 0.058Part R-squared 5.4% (3.2% to 14.2%)"
"Table_3","tbody",28,"Estimate Ratio per 1 h: 0.987 (0.968 to 1.006)FDR not supported; adjusted p 0.227Part R-squared 0.6% (0.0% to 3.8%)"
"Table_3","tbody",29,"Marginal 8.0% (5.1% to 18.2%)Conditional 40.9% (32.8% to 48.5%)Participant-associated 32.9% (22.0% to 37.8%)"
"Table_3","tbody",30,"Longest period above 250 lx melEDI"
"Table_3","tbody",31,"Longest sustained bright-light bout; captures continuity of daytime circadian stimulation."
"Table_3","tbody",32,"Unit hMedian 0.633IQR 0.283 to 1.204Participants 141Days 816"
"Table_3","tbody",33,""
"Table_3","tbody",34,"FDR not supported; adjusted p 0.398Part R-squared 2.2% (1.4% to 8.1%)"
"Table_3","tbody",35,"Estimate Ratio per 1 h: 1.125 (1.065 to 1.187)FDR supported; adjusted p <0.001Part R-squared 4.9% (1.3% to 9.6%)"
"Table_3","tbody",36,"Marginal 10.0% (6.1% to 17.9%)Conditional 36.3% (29.9% to 45.3%)Participant-associated 26.3% (18.7% to 33.0%)"
"Table_3","tbody",37,"Dynamics"
"Table_3","tbody",38,"Interdaily stability"
"Table_3","tbody",39,"Day-to-day regularity of the light–dark pattern; higher regularity supports circadian stability."
"Table_3","tbody",40,"Unit dimensionlessMedian 0.308IQR 0.248 to 0.380Participants 141Days 816"
"Table_3","tbody",41,""
"Table_3","tbody",42,"FDR not supported; adjusted p 0.228Part R-squared 6.9% (4.1% to 20.4%)"
"Table_3","tbody",43,"Estimate Odds ratio per 1 h: 0.983 (0.944 to 1.024)FDR not supported; adjusted p 0.401Part R-squared 0.4% (0.0% to 4.6%)"
"Table_3","tbody",44,"Marginal 15.4% (10.4% to 30.8%)Conditional 15.4% (10.4% to 30.8%)Participant-associated Not available"
"Table_3","tbody",45,"Intradaily variability"
"Table_3","tbody",46,"Within-day fragmentation of light exposure; higher values indicate less consolidated light–dark input."
"Table_3","tbody",47,"Unit dimensionlessMedian 1.253IQR 0.930 to 1.502Participants 141Days 816"
"Table_3","tbody",48,""
"Table_3","tbody",49,"FDR not supported; adjusted p 0.483Part R-squared 5.1% (3.8% to 18.7%)"
"Table_3","tbody",50,"Estimate Difference per 1 h: -0.019 (-0.056 to 0.019)FDR not supported; adjusted p 0.327Part R-squared 0.7% (0.0% to 5.7%)"
"Table_3","tbody",51,"Marginal 5.9% (4.6% to 21.2%)Conditional 5.9% (4.6% to 21.2%)Participant-associated Not available"
"Table_3","tbody",52,"Exposure history"
"Table_3","tbody",53,"melEDI dose"
"Table_3","tbody",54,"Intensity–duration-weighted melanopic exposure; summarizes cumulative non-visual retinal light input."
"Table_3","tbody",55,"Unit klx·hMedian 4.960IQR 1.936 to 12.313Participants 141Days 761"
"Table_3","tbody",56,""
"Table_3","tbody",57,"FDR not supported; adjusted p 0.209Part R-squared 2.8% (1.7% to 8.6%)"
"Table_3","tbody",58,"Estimate Ratio per 1 h: 1.275 (1.169 to 1.391)FDR supported; adjusted p <0.001Part R-squared 7.5% (3.1% to 12.9%)"
"Table_3","tbody",59,"Marginal 11.8% (7.7% to 19.7%)Conditional 33.8% (26.7% to 42.8%)Participant-associated 22.0% (14.5% to 28.7%)"
"Table_3","tbody",60,"Level"
"Table_3","tbody",61,"Mean melEDI"
"Table_3","tbody",62,"Geometric average of daily melEDI values, including zeros; summarizes overall exposure while reducing peak influence."
"Table_3","tbody",63,"Unit lxMedian 5.154IQR 2.831 to 9.225Participants 141Days 816"
"Table_3","tbody",64,""
"Table_3","tbody",65,"FDR supported; adjusted p <0.001Part R-squared 8.4% (4.8% to 16.6%)"
"Table_3","tbody",66,"Estimate Ratio per 1 h: 1.181 (1.109 to 1.257)FDR supported; adjusted p <0.001Part R-squared 7.7% (2.9% to 13.9%)"
"Table_3","tbody",67,"Marginal 25.4% (18.6% to 34.4%)Conditional 57.7% (51.9% to 65.1%)Participant-associated 32.3% (24.5% to 39.4%)"
"Table_3","tbody",68,"Brightest 10 h geometric mean"
"Table_3","tbody",69,"Offset geometric mean melEDI in the brightest supported 10-hour window; describes the strength of the main sustained daily exposure."
"Table_3","tbody",70,"Unit lxMedian 110.566IQR 41.513 to 243.212Participants 141Days 816"
"Table_3","tbody",71,""
"Table_3","tbody",72,"FDR supported; adjusted p 0.011Part R-squared 5.7% (3.3% to 12.7%)"
"Table_3","tbody",73,"Estimate Ratio per 1 h: 1.243 (1.133 to 1.363)FDR supported; adjusted p <0.001Part R-squared 5.8% (1.9% to 11.1%)"
"Table_3","tbody",74,"Marginal 17.6% (12.1% to 26.0%)Conditional 46.0% (39.6% to 54.3%)Participant-associated 28.4% (20.9% to 35.4%)"
"Table_3","tbody",75,"Darkest 10 h geometric mean"
"Table_3","tbody",76,"Offset geometric mean melEDI in the darkest supported 10-hour window; describes the sustained low-light period."
"Table_3","tbody",77,"Unit lxMedian 0.103IQR 0.020 to 0.253Participants 141Days 816"
"Table_3","tbody",78,""
"Table_3","tbody",79,"FDR supported; adjusted p <0.001Part R-squared 13.7% (9.2% to 23.9%)"
"Table_3","tbody",80,"Estimate Ratio per 1 h: 1.088 (1.034 to 1.144)FDR supported; adjusted p 0.002Part R-squared 3.4% (0.5% to 8.3%)"
"Table_3","tbody",81,"Marginal 22.0% (15.8% to 31.8%)Conditional 61.1% (55.3% to 68.1%)Participant-associated 39.1% (30.4% to 46.2%)"
"Table_3","tbody",82,"Spectrum"
"Table_3","tbody",83,"Melanopic daylight efficacy ratio"
"Table_3","tbody",84,"Mean of viable one-minute melEDI/illuminance ratios; indicates melanopic efficacy relative to visual light."
"Table_3","tbody",85,"Unit dimensionlessMedian 0.724IQR 0.643 to 0.795Participants 137Days 687"
"Table_3","tbody",86,""
"Table_3","tbody",87,"FDR supported; adjusted p <0.001Part R-squared 9.6% (6.0% to 17.8%)"
"Table_3","tbody",88,"Estimate Difference per 1 h: 0.024 (0.017 to 0.031)FDR supported; adjusted p <0.001Part R-squared 13.0% (6.7% to 20.6%)"
"Table_3","tbody",89,"Marginal 27.8% (21.3% to 38.1%)Conditional 60.5% (54.6% to 68.2%)Participant-associated 32.7% (24.1% to 40.0%)"
"Table_3","tbody",90,"Timing"
"Table_3","tbody",91,"Midpoint of the brightest 10 hours"
"Table_3","tbody",92,"Centre time of the brightest 10 hours; indexes the main daily circadian light cue."
"Table_3","tbody",93,"Unit clock timeMedian 13:44IQR 12:48 to 15:00Participants 141Days 816"
"Table_3","tbody",94,""
"Table_3","tbody",95,"FDR supported; adjusted p <0.001Part R-squared 6.5% (4.4% to 12.6%)"
"Table_3","tbody",96,"Estimate Difference per 1 h: 0.054 (-0.045 to 0.153)FDR not supported; adjusted p 0.305Part R-squared 0.2% (0.0% to 1.8%)"
"Table_3","tbody",97,"Marginal 6.7% (4.6% to 13.0%)Conditional 22.9% (16.9% to 31.6%)Participant-associated 16.2% (9.6% to 22.4%)"
"Table_3","tbody",98,"Midpoint of the darkest 10 hours"
"Table_3","tbody",99,"Centre time of the darkest 10 hours; indexes the main daily darkness cue."
"Table_3","tbody",100,"Unit clock timeMedian 02:54IQR 02:01 to 03:50Participants 141Days 816"
"Table_3","tbody",101,""
"Table_3","tbody",102,"FDR supported; adjusted p 0.020Part R-squared 4.6% (3.0% to 10.5%)"
"Table_3","tbody",103,"Estimate Difference per 1 h: -0.148 (-0.245 to -0.050)FDR supported; adjusted p 0.004Part R-squared 2.1% (0.3% to 5.6%)"
"Table_3","tbody",104,"Marginal 8.6% (5.9% to 15.8%)Conditional 28.2% (22.1% to 36.7%)Participant-associated 19.6% (12.6% to 25.8%)"
"Table_3","tbody",105,"First light timing above 250 lx melEDI"
"Table_3","tbody",106,"First waking bright-light exposure; morning timing can advance circadian phase and promote alertness."
"Table_3","tbody",107,"Unit clock timeMedian 09:08IQR 08:02 to 10:40Participants 140Days 727"
"Table_3","tbody",108,""
"Table_3","tbody",109,"FDR not supported; adjusted p 0.112Part R-squared 3.8% (2.3% to 10.2%)"
"Table_3","tbody",110,"Estimate Difference per 1 h: -0.097 (-0.247 to 0.053)FDR not supported; adjusted p 0.227Part R-squared 0.5% (0.0% to 2.8%)"
"Table_3","tbody",111,"Marginal 6.8% (4.4% to 14.4%)Conditional 31.0% (24.6% to 40.5%)Participant-associated 24.2% (16.2% to 31.5%)"
"Table_3","tbody",112,"Last light timing above 250 lx melEDI"
"Table_3","tbody",113,"Last bright-light exposure; later timing may delay circadian phase and sleep onset."
"Table_3","tbody",114,"Unit clock timeMedian 18:08IQR 16:27 to 19:42Participants 141Days 687"
"Table_3","tbody",115,""
"Table_3","tbody",116,"FDR supported; adjusted p <0.001Part R-squared 11.6% (8.3% to 18.6%)"
"Table_3","tbody",117,"Estimate Difference per 1 h: 0.323 (0.186 to 0.460)FDR supported; adjusted p <0.001Part R-squared 4.5% (1.5% to 8.5%)"
"Table_3","tbody",118,"Marginal 22.2% (17.0% to 30.2%)Conditional 37.9% (31.6% to 46.3%)Participant-associated 15.8% (9.7% to 22.3%)"
"Table_3","tbody",119,"Mean timing of exposure above 250 lx melEDI"
"Table_3","tbody",120,"Average bright-light timing; summarizes the phase of daily circadian stimulation."
"Table_3","tbody",121,"Unit clock timeMedian 13:29IQR 12:29 to 14:39Participants 141Days 742"
"Table_3","tbody",122,""
"Table_3","tbody",123,"FDR supported; adjusted p <0.001Part R-squared 12.7% (9.4% to 19.2%)"
"Table_3","tbody",124,"Estimate Difference per 1 h: 0.121 (0.028 to 0.213)FDR supported; adjusted p 0.013Part R-squared 1.2% (0.1% to 3.6%)"
"Table_3","tbody",125,"Marginal 14.7% (10.7% to 21.9%)Conditional 25.7% (19.8% to 34.2%)Participant-associated 11.0% (5.3% to 17.2%)"
"Table_3","tfoot",1,"Overall distributions are median (interquartile range). Participants is the participant count and Days is the participant-day count. Site and photoperiod part-R² values can contain overlapping fitted information and must not be summed. Participant-associated R² is the conditional-minus-marginal contribution associated with the participant random intercept and is undefined for participant-level outcomes. The MDER uses the mean of viable minute-level ratios in both the descriptive summary and geographic-association model cells."
"Table_S1","thead",1,"Descriptive sample flow and analytical support"
"Table_S1","thead",2,"Stage"
"Table_S1","thead",3,"Quantity"
"Table_S1","thead",4,"Count"
"Table_S1","tbody",1,"Participant roster"
"Table_S1","tbody",2,"Available normalized participant metadata"
"Table_S1","tbody",3,"Participants"
"Table_S1","tbody",4,"191"
"Table_S1","tbody",5,"Primary near-eye sensor position"
"Table_S1","tbody",6,"At least 80% complete before all-zero screen"
"Table_S1","tbody",7,"Participant-days"
"Table_S1","tbody",8,"818"
"Table_S1","tbody",9,"Exact all-zero days excluded"
"Table_S1","tbody",10,"Participant-days"
"Table_S1","tbody",11,"2"
"Table_S1","tbody",12,"Final descriptive dataset"
"Table_S1","tbody",13,"Participants"
"Table_S1","tbody",14,"141"
"Table_S1","tbody",15,"Final descriptive dataset"
"Table_S1","tbody",16,"Participant-days"
"Table_S1","tbody",17,"816"
"Table_S1","tbody",18,"Final descriptive dataset"
"Table_S1","tbody",19,"One-minute real observations"
"Table_S1","tbody",20,"1,175,160"
"Table_S1","tbody",21,"Complementary chest sensor position"
"Table_S1","tbody",22,"At least 80% complete before all-zero screen"
"Table_S1","tbody",23,"Participant-days"
"Table_S1","tbody",24,"905"
"Table_S1","tbody",25,"Exact all-zero days excluded"
"Table_S1","tbody",26,"Participant-days"
"Table_S1","tbody",27,"3"
"Table_S1","tbody",28,"Final descriptive dataset"
"Table_S1","tbody",29,"Participants"
"Table_S1","tbody",30,"154"
"Table_S1","tbody",31,"Final descriptive dataset"
"Table_S1","tbody",32,"Participant-days"
"Table_S1","tbody",33,"902"
"Table_S1","tbody",34,"Final descriptive dataset"
"Table_S1","tbody",35,"One-minute real observations"
"Table_S1","tbody",36,"1,298,880"
"Table_S1","tbody",37,"Paired main subset"
"Table_S1","tbody",38,"Paired main subset"
"Table_S1","tbody",39,"Participants"
"Table_S1","tbody",40,"112"
"Table_S1","tbody",41,"Paired main subset"
"Table_S1","tbody",42,"Paired participant-days"
"Table_S1","tbody",43,"643"
