"path","role","expected_sha256","observed_sha256","expected_bytes","observed_bytes","exists","status"
"audit/hypotheses/H07/H07_analysis_preparation.qmd","accepted companion source","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b",49762,49762,TRUE,"PASS"
"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.qmd","source-identical build QMD","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b",49762,49762,TRUE,"PASS"
"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html","canonical companion HTML","4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93","4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93",654955,654955,TRUE,"PASS"
"artifacts/12_manifests/H07/H07_preparation_report_manifest.csv","live preparation manifest","db1b00058848d27eed9d5ece9d9eae97851d1bdc997c4f2fe28d2ce9abd3c8e2","db1b00058848d27eed9d5ece9d9eae97851d1bdc997c4f2fe28d2ce9abd3c8e2",335146,335146,TRUE,"PASS"
"notebooks/hypotheses/H07.qmd","accepted result source","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226",45440,45440,TRUE,"PASS"
"_build/nathealth/notebooks/hypotheses/H07.html","accepted result HTML","7814860467f71311c56e22960e757059524ccc3890b0721708eda7a5c661ab40","7814860467f71311c56e22960e757059524ccc3890b0721708eda7a5c661ab40",265730,265730,TRUE,"PASS"
"_quarto-nathealth.yml","normal profile","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,7480,TRUE,"PASS"
"scripts/hypotheses/H07/build_h07_preparation_report_manifest.R","held helper","9e961ec8746f512f34d1330b227118e407a75260168619a6457413a3ecb74508","9e961ec8746f512f34d1330b227118e407a75260168619a6457413a3ecb74508",10592,10592,TRUE,"PASS"
"tests/hypotheses/H07/test_h07_preparation_report.R","held preparation test","89fd3eaa2f4f9928234280844e480ff5b863e104366af17675fe36366c456558","89fd3eaa2f4f9928234280844e480ff5b863e104366af17675fe36366c456558",12912,12912,TRUE,"PASS"
"tests/hypotheses/H07/test_h07_stage3_reader_report.R","unchanged result reader test","84e96a523bf1d9051be8abe3cabbef9837dfe98ab978a30bd846d0f2d728cd17","84e96a523bf1d9051be8abe3cabbef9837dfe98ab978a30bd846d0f2d728cd17",8435,8435,TRUE,"PASS"
"audit/hypotheses/H07/report018_order53_companion_render/gt_html_semantic_post_render_summary.csv","durable semantic summary","43df6cca4556ed9ce4d42f19207940dcfa435f67290a317120c2188690d98334","43df6cca4556ed9ce4d42f19207940dcfa435f67290a317120c2188690d98334",498,498,TRUE,"PASS"
"audit/hypotheses/H07/report018_order53_companion_render/001__build__nathealth__audit__hypotheses__H07__H07_analysis_preparation.html_gt_semantic_ledger.csv","durable semantic ledger","5269f9d8ea846195387a15372772d0d286fabc0661d9e8eb7181f448372e5a1f","5269f9d8ea846195387a15372772d0d286fabc0661d9e8eb7181f448372e5a1f",222598,222598,TRUE,"PASS"
"audit/report_harmonization/report018_h07_companion_release.md","original companion release","4d3948848ad229e128dbeee6be98b3142e688b47eb2d6d0f2cb8f1baf8ddb085","4d3948848ad229e128dbeee6be98b3142e688b47eb2d6d0f2cb8f1baf8ddb085",6013,6013,TRUE,"PASS"
"audit/report_harmonization/report018_h07_companion_release_manifest.csv","original release seal","ad49add8af40446ce0e7710326f4c94e4463742a72b99c341c2a158e575ba7a3","ad49add8af40446ce0e7710326f4c94e4463742a72b99c341c2a158e575ba7a3",3278,3278,TRUE,"PASS"
"audit/report_harmonization/report018_h07_companion_order53_dispatch_manifest.csv","original order 53 dispatch","d5a405c26a998f9a2944262ff44cb78bfe4eaa3925d26b8ec8c69914d9ea138b","d5a405c26a998f9a2944262ff44cb78bfe4eaa3925d26b8ec8c69914d9ea138b",4444,4444,TRUE,"PASS"
"renv.lock","package lock","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350",603493,603493,TRUE,"PASS"
