run_id,stage,lag_30_minute_bins,correlation,pairs
main__glasses__paired_common_sample,preliminary_no_AR1,4,0.11412607288528073,25667
main__glasses__paired_common_sample,preliminary_no_AR1,5,0.06702792831315346,24693
main__glasses__paired_common_sample,preliminary_no_AR1,6,0.026984330503756482,23740
main__glasses__paired_common_sample,final_AR1_standardized,1,0.07960123081933576,28714
main__glasses__paired_common_sample,final_AR1_standardized,2,-0.009425726281155584,27677
main__glasses__paired_common_sample,final_AR1_standardized,3,-6.997492218351071e-4,26662
main__glasses__paired_common_sample,final_AR1_standardized,4,-0.002416690436066684,25667
main__glasses__paired_common_sample,final_AR1_standardized,5,0.009359247391954635,24693
main__glasses__paired_common_sample,final_AR1_standardized,6,-0.014712630272240212,23740
alternative_preprocessing__chest__paired_common_sample,preliminary_no_AR1,1,0.5988149516563709,28706
alternative_preprocessing__chest__paired_common_sample,preliminary_no_AR1,2,0.32473232655812007,27784
alternative_preprocessing__chest__paired_common_sample,preliminary_no_AR1,3,0.18814456637098576,26888
alternative_preprocessing__chest__paired_common_sample,preliminary_no_AR1,4,0.10625044835614866,25996
alternative_preprocessing__chest__paired_common_sample,preliminary_no_AR1,5,0.060027734102540996,25129
alternative_preprocessing__chest__paired_common_sample,preliminary_no_AR1,6,0.030147954784730653,24263
alternative_preprocessing__chest__paired_common_sample,final_AR1_standardized,1,0.0700369205930403,28706
alternative_preprocessing__chest__paired_common_sample,final_AR1_standardized,2,-0.008154118615955195,27784
alternative_preprocessing__chest__paired_common_sample,final_AR1_standardized,3,0.020151660294213676,26888
alternative_preprocessing__chest__paired_common_sample,final_AR1_standardized,4,0.004020462652314721,25996
alternative_preprocessing__chest__paired_common_sample,final_AR1_standardized,5,0.001840611536214911,25129
alternative_preprocessing__chest__paired_common_sample,final_AR1_standardized,6,-0.0038135209757962285,24263
alternative_preprocessing__glasses__paired_common_sample,preliminary_no_AR1,1,0.6243845159578101,28706
alternative_preprocessing__glasses__paired_common_sample,preliminary_no_AR1,2,0.3490699387497485,27784
alternative_preprocessing__glasses__paired_common_sample,preliminary_no_AR1,3,0.19571757814484306,26888
alternative_preprocessing__glasses__paired_common_sample,preliminary_no_AR1,4,0.11155196227707832,25996
alternative_preprocessing__glasses__paired_common_sample,preliminary_no_AR1,5,0.06261610586836538,25129
alternative_preprocessing__glasses__paired_common_sample,preliminary_no_AR1,6,0.023905179480345987,24263
alternative_preprocessing__glasses__paired_common_sample,final_AR1_standardized,1,0.07990062222512416,28706
alternative_preprocessing__glasses__paired_common_sample,final_AR1_standardized,2,-0.006122446686221948,27784
alternative_preprocessing__glasses__paired_common_sample,final_AR1_standardized,3,-7.535808494006193e-4,26888
alternative_preprocessing__glasses__paired_common_sample,final_AR1_standardized,4,-1.8418807232767088e-4,25996
alternative_preprocessing__glasses__paired_common_sample,final_AR1_standardized,5,0.004867461423592893,25129
alternative_preprocessing__glasses__paired_common_sample,final_AR1_standardized,6,-0.014125580534521185,24263
