input_role,path,exists,expected_sha256,observed_sha256,hash_verified,bytes
near_eye_daily_enriched,artifacts/06_model_data/base/metrics_glasses_participant_day_enriched.rds,TRUE,b469fa8f0a743de1cbb1075f78879b84ab602c74cc44fb97da45dee596681f42,b469fa8f0a743de1cbb1075f78879b84ab602c74cc44fb97da45dee596681f42,TRUE,119612
chest_daily_enriched,artifacts/06_model_data/base/metrics_chest_participant_day_enriched.rds,TRUE,10aebeb5dabb53e8f3ee0747b62c31707da344e11b7068261c2ada2a0b7badc9,10aebeb5dabb53e8f3ee0747b62c31707da344e11b7068261c2ada2a0b7badc9,TRUE,129328
near_eye_participant_enriched,artifacts/06_model_data/base/metrics_glasses_participant_enriched.rds,TRUE,42d7980f641f1ec557daf75547f0f8d6a212714087576aa7d1cdbc7bef267850,42d7980f641f1ec557daf75547f0f8d6a212714087576aa7d1cdbc7bef267850,TRUE,13400
chest_participant_enriched,artifacts/06_model_data/base/metrics_chest_participant_enriched.rds,TRUE,2784007a55e778dc02336a7e105b5f788f769acda573e87af48bf5bec0832058,2784007a55e778dc02336a7e105b5f788f769acda573e87af48bf5bec0832058,TRUE,13908
normalized_demographics,artifacts/06_model_data/normalized_inputs/demographics.rds,TRUE,a11d0ff6615b51dbaa0be8c0790c1ea550750d9f1d4d7e8893609803f269dadf,a11d0ff6615b51dbaa0be8c0790c1ea550750d9f1d4d7e8893609803f269dadf,TRUE,2824
gap_daily_metrics,artifacts/06_model_data/scenarios/manuscript_prepared_data/participant_day_metrics.rds,TRUE,7561b5dd47cb5e23ca94ba59bd57648f11fe492f86af53a566c5c9cf42d932f1,7561b5dd47cb5e23ca94ba59bd57648f11fe492f86af53a566c5c9cf42d932f1,TRUE,88248
gap_participant_metrics,artifacts/06_model_data/scenarios/manuscript_prepared_data/participant_metrics.rds,TRUE,ab06279daac01311219ebc1267b7f1506012f362823c7fd8d0cf2254d862fd1e,ab06279daac01311219ebc1267b7f1506012f362823c7fd8d0cf2254d862fd1e,TRUE,5208
gap_mder_support,artifacts/06_model_data/scenarios/manuscript_prepared_data/mder_support.rds,TRUE,a0bc5d7ea2142709412da2253158086416ddb730b0f60ff616bba9d6ccb1edc5,a0bc5d7ea2142709412da2253158086416ddb730b0f60ff616bba9d6ccb1edc5,TRUE,24412
gap_preparation_manifest,artifacts/12_manifests/manuscript_prepared_data_artifacts.csv,TRUE,4ed62fbe58de65a6d05d8cfc6b5d870d7c74a3c83fe89bcd72bd1dd838698935,4ed62fbe58de65a6d05d8cfc6b5d870d7c74a3c83fe89bcd72bd1dd838698935,TRUE,4497
primary_h01_prepared_provenance,artifacts/06_model_data/H01.rds,TRUE,0328fe1a698bc13965feb0b68b03ccf0fd20f32b55d6148635811b0d674e0a00,0328fe1a698bc13965feb0b68b03ccf0fd20f32b55d6148635811b0d674e0a00,TRUE,253472
gap_h01_prepared_provenance,artifacts/06_model_data/H01/scenarios/manuscript_prepared_data/H01.rds,TRUE,3c70363fc0468202a431904aa9d9444f2858af2e3add3475a56c872b49a18bd6,3c70363fc0468202a431904aa9d9444f2858af2e3add3475a56c872b49a18bd6,TRUE,192816
primary_h01_prepared_manifest,artifacts/12_manifests/H01_model_data_artifacts.csv,TRUE,25978c5d6903e6e835c1aff6a9bc2e7552b85295e8d840d3dd65bbf9b1eb6b72,25978c5d6903e6e835c1aff6a9bc2e7552b85295e8d840d3dd65bbf9b1eb6b72,TRUE,3646
gap_h01_prepared_manifest,artifacts/12_manifests/H01_manuscript_prepared_data_artifacts.csv,TRUE,e0d98178ede61b74353e3a654e7f1b53d7e1c915833a2cda74eea45ed02f383b,e0d98178ede61b74353e3a654e7f1b53d7e1c915833a2cda74eea45ed02f383b,TRUE,6949
preanalysis_comparison_manifest,artifacts/12_manifests/preanalysis_comparison_artifacts.csv,TRUE,f3c4bfbf120d2023c045b44e3c7c04c58bce1f8d11621956bca1e5ede90c5623,f3c4bfbf120d2023c045b44e3c7c04c58bce1f8d11621956bca1e5ede90c5623,TRUE,3639
gap_repair_evidence_manifest,audit/reconciliation/mder_METRIC-010_gap_repair/gap_repair_evidence_manifest.csv,TRUE,81e3aa9439b88cf239d6669dc4343cfb146cd2f45790bae412ab837156315018,81e3aa9439b88cf239d6669dc4343cfb146cd2f45790bae412ab837156315018,TRUE,1913
downstream_rebuild_manifest,artifacts/08_diagnostics/mder_METRIC-010/downstream_rebuild/rebuild_manifest.csv,TRUE,408087d420999322628066caae31efc288a5a5213b8b57d4b9a4ad77c9ec9a77,408087d420999322628066caae31efc288a5a5213b8b57d4b9a4ad77c9ec9a77,TRUE,572
metric_display_registry,config/metric_display_registry.csv,TRUE,c82db05a77cc50ce5b9dbd459c90997fa6bb7d87c0b8e880c1bf8186fad06ed0,c82db05a77cc50ce5b9dbd459c90997fa6bb7d87c0b8e880c1bf8186fad06ed0,TRUE,3203
site_display_registry,config/site_display_registry.csv,TRUE,3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809,3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809,TRUE,295
final_h01_response_selection,artifacts/09_tables/H01/response_family_candidates/H01_response_family_candidate_selection.csv,TRUE,37e38ed7715c3c5e364557a79795c321548ee8f14efcca91204adbf26a1bf0e0,37e38ed7715c3c5e364557a79795c321548ee8f14efcca91204adbf26a1bf0e0,TRUE,1110
deviation_source,_deviations.qmd,TRUE,a2565a71482d761877d9852932ee2118a3f319959a32af94ab3de1cf4d7ab7bb,a2565a71482d761877d9852932ee2118a3f319959a32af94ab3de1cf4d7ab7bb,TRUE,5436
v0_near_eye_render,docs/RQ3.html,TRUE,a4fa3c566d954dfd939d8fba94f0ecf05c675c02411ac4732ea74da1c9d4c368,a4fa3c566d954dfd939d8fba94f0ecf05c675c02411ac4732ea74da1c9d4c368,TRUE,529943
v0_chest_render,docs/RQ3_chest.html,TRUE,de4bf82e03978c9a1b7747107dba3345f6f011e96bca3f77eea2f57e4fc4991e,de4bf82e03978c9a1b7747107dba3345f6f011e96bca3f77eea2f57e4fc4991e,TRUE,531727
v0_near_eye_source,RQ3.qmd,TRUE,dd5b8fedc0205006af2caff74c61da485d9589f37530c91bf45786120b7d5ae2,dd5b8fedc0205006af2caff74c61da485d9589f37530c91bf45786120b7d5ae2,TRUE,40272
v0_chest_source,RQ3_chest.qmd,TRUE,e0b91d924e1e1e3241ad51a61dee402976aead0ac203d44371e2f10fe5f1047b,e0b91d924e1e1e3241ad51a61dee402976aead0ac203d44371e2f10fe5f1047b,TRUE,40278
v0_near_eye_metrics,data/metrics_glasses.RData,TRUE,9595cb7c574672cf2c8ff89ac3d227f3f7ff11eca57776609e19599561b2d441,9595cb7c574672cf2c8ff89ac3d227f3f7ff11eca57776609e19599561b2d441,TRUE,245562
v0_chest_metrics,data/metrics_chest.RData,TRUE,4498d677a8fc7d47168ab2f03731f2dc67b419102b7c818305925273d57c818c,4498d677a8fc7d47168ab2f03731f2dc67b419102b7c818305925273d57c818c,TRUE,257469
