relative_path,sha256,bytes,role,producer,r_version
scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,0ad2fc5cdf4d37b2897a52672543cae2ebb1dc980ccf4224e6039bd323d11f63,6831,report-manifest builder,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
tests/hypotheses/H06_daily/test_h06_daily_pre_sleep_no_nugget_diagnostic.R,11225520627bf2dd270f1a107b213e3d63aa43c985926f93c4d140f5d51d5124,9577,focused no-refit verification,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
artifacts/07_models/H06_daily/H06_daily_pre_sleep_no_nugget_diagnostic_model.rds,d1271775f2a46252247ac945977e338866df3a99f68d9af123067329fd526368,328916,executed no-nugget model checkpoint,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
artifacts/07_models/H06_daily/H06_daily_pre_sleep_only_historical_reference.rds,2c5534516d398f7eef01e5d43ff151cfc88303b8937f8280f91c871b5fd2b98a,841588,standalone pre-sleep-only historical reference,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_pre_sleep_no_nugget_frame_equivalence.csv,4d554941f6bff75342a2876c70d1f495f09f63efd7d5565315f856bd12aa8efc,431,current-versus-authorized frame equivalence,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_pre_sleep_no_nugget_support.csv,a617384a4613c82b41aa0e202306c0ae5609e4bc1fdf2ebc5d3c369b65d9448e,183,daily sequence support,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_pre_sleep_no_nugget_model_diagnostics.csv,6eaafe92f521f2b15c2ce1fe737878ea631b22859b40d47ae5289ce4820849df,1595,immutable preliminary model diagnostics,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_pre_sleep_no_nugget_verdict.csv,d8f773a26c386bb52cebf94c190fe3fbe6ab084598238ea97f7565483be70eb3,2266,immutable preliminary verdict,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_pre_sleep_no_nugget_final_model_diagnostics.csv,f3b2756e4073b053b17541345aef3eca5b993b63f96830872f83f662b3d61bdc,1790,final model diagnostics,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_pre_sleep_no_nugget_final_verdict.csv,4da9329b899ab360d9a86ba2742287caee6e77e2f67de2425b38713f42e53919,2313,final acceptable verdict,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_pre_sleep_no_nugget_audit_correction.csv,c90a38ad95231366e5ce8bb7ba71973808340a2c6590c90bd4947750b5f475db,633,parameter-map audit correction,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_pre_sleep_no_nugget_site_residual_lag.csv,57c8b1537358581a1408a94302f7d314541bd1886ce4cf72e0ab08f704984fde,825,site-specific residual lag screen,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_pre_sleep_no_nugget_runtime.csv,bbfca1add172d62dddf666aa843f7739f11e4ba8a8064847fd8c81334efdfcc0,235,one-fit runtime record,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_pre_sleep_no_nugget_reference_provenance.csv,0fa441de6665716607d3574b7d60aff3822efb55d2df6d35fa72302c6591059a,1304,standalone-reference provenance and disclosure,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
artifacts/09_tables/H06_daily/H06_daily_pre_sleep_no_nugget_effect_stability.csv,f38ab2af03c086d01ca4fc2cbaa3f77b1af9864a9b8b60d2d8e4a7bad650ee13,1454,engineering effect stability,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_pre_sleep_no_nugget_diagnostic_input_manifest.csv,d1462e3eb699a1e5c2f796b90fc79e8e788f6b420a7bfb04ad30dfbce6a765eb,3628,immutable executed input manifest,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_pre_sleep_no_nugget_diagnostic_code_manifest.csv,e31bac93a93cca4559ccdf8d737aa281d7b44ca6140b226c8bd9d379142f36c5,833,executed code manifest,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_pre_sleep_no_nugget_diagnostic_output_manifest.csv,89c0faf24e43016f6c72d942426f3e64b302b31180b7199c656475e40f9b0523,2925,immutable executed output manifest,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_pre_sleep_no_nugget_diagnostic_software_manifest.csv,786ae5fa44724acf25d74fc02761ce8ec2d8433061d0c7927dcc8cee978fa9c3,398,executed software manifest,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_pre_sleep_no_nugget_final_input_manifest.csv,fd22c07eed075bec08013591f06343a447754ac7a456c11322dadc163be84643,1850,no-refit finalizer input manifest,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_pre_sleep_no_nugget_final_code_manifest.csv,8523e725fdf739f67e669c443ff2b496f0296ad7e6b67d1c9bf889b728391dac,538,no-refit finalizer code manifest,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_pre_sleep_no_nugget_final_output_manifest.csv,80f71682d110229920aaa7b602e91fd13365911568f4614810560f82d78a908b,1669,no-refit finalizer output manifest,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_pre_sleep_no_nugget_final_software_manifest.csv,fad61a4d39e0bfc21c6012372d4db1a30948201151ad477abf324ce3ad3a5182,314,no-refit finalizer software manifest,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_pre_sleep_no_nugget_diagnostic_repaired_input_manifest.csv,035dfc4c2b3f8104e23e1266fe81fae5db188495a73389c7d1e7edb4dbcc2dc0,3426,controlling repaired scientific input manifest,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_pre_sleep_no_nugget_reference_seal_input_manifest.csv,2ff496dcab9f928a12d5bb933cceddfb7d7782e36622eb26c7b297f6fc48eea8,1287,reference-seal provenance input manifest,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_pre_sleep_no_nugget_reference_seal_code_manifest.csv,8a65a9428b25f870b2bb532c3ad95776babda283ad0c4c746f3b585ae5112c71,529,reference-seal code manifest,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_pre_sleep_no_nugget_reference_seal_output_manifest.csv,f07e40ce38d8a11a28bbf598b88703be16083bca0037f11c48a9af1d3608bb97,1679,reference-seal output manifest,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_pre_sleep_no_nugget_reference_seal_software_manifest.csv,f9cc5388ac75e1a63b921c19afbc6d3ede5876ab12eb5a25a9f3f45eb987dde3,318,reference-seal software manifest,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
