relative_path,sha256,bytes,role,producer,r_version
tests/hypotheses/H06_daily/test_h06_daily_l10_shiftlog_static.R,8c52d58c630f958b05260ed926de6f4f743047cf1572599ecb2c6fb3cce89d2e,6976,executed or verification code,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
tests/hypotheses/H06_daily/test_h06_daily_l10_shiftlog_pilot.R,6a8476e25397b17cf63545a62bd8c367c1ae3f2b01ea33e9203a296209a72ff6,13892,executed or verification code,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_l10_shiftlog_pilot_input_manifest.csv,01c9882d3dbd3d74960e352c93045b383b98a71abc717a0655595c4d8e030336,6940,pilot input manifest,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_l10_shiftlog_pilot_code_manifest.csv,ac6534b843d48e1a1054da6c9ce5b74f70a5914070b90d1b26079f8f8da54fa2,2145,pilot code manifest,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_l10_shiftlog_pilot_output_manifest.csv,13ede7841b4bccbc1441c54de048b09983eea08e5159ec86d568ecd0b530e66c,5717,pilot scientific output manifest,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_l10_shiftlog_pilot_software_manifest.csv,bad5b21b51dc79e83f2e64c10ca4af282d2b7c37f96157c6b3451208bc81a898,1544,pilot software manifest,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
artifacts/07_models/H06_daily/H06_daily_l10_shiftlog_pilot_new_models.rds,4631d958521918a5ba9f16743322a1b2bb56dbdb9d8b6e4315c07c45c2b2799d,714308,durable shifted-log pilot output,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
artifacts/09_tables/H06_daily/H06_daily_l10_shiftlog_pilot_samples.csv,410fea6acf39b3cbc5a764d563748a2af0d6ffbaa907b6d5cd17180f0291fa9c,1131,durable shifted-log pilot output,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
artifacts/09_tables/H06_daily/H06_daily_l10_shiftlog_pilot_effects.csv,995b8fc608ddde252ede8f40d7b30a3b52d2904b2a8249e8ba9b25183b53b2ce,3439,durable shifted-log pilot output,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
artifacts/09_tables/H06_daily/H06_daily_l10_shiftlog_pilot_model_tests.csv,6d68957614f9933bcfd2df774297dd88947e80ca7db277e8edcecf8198356822,1569,durable shifted-log pilot output,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
artifacts/09_tables/H06_daily/H06_daily_l10_shiftlog_pilot_equal_site_estimates.csv,3ae28a40b75d398ee78a52cd2de667074ab47ee37694f55ff43e2d0028aa7372,1592,durable shifted-log pilot output,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
artifacts/09_tables/H06_daily/H06_daily_l10_shiftlog_pilot_equal_site_contrasts.csv,6eb47f62e6d18cefe563648aac341997c34cba85ae7cf1b87e83b3f60b5cef69,895,durable shifted-log pilot output,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_l10_shiftlog_pilot_diagnostics.csv,8109fcca6ea5b05c7a0bc20a4c23fcfd65e86455ffc651ab096e2b4c060e6fd0,2857,durable shifted-log pilot output,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_l10_shiftlog_pilot_zero_mass.csv,f29e8b1889df2f18a3602c9597424822d41935ed7614ff07b414241ad0774297,5111,durable shifted-log pilot output,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_l10_shiftlog_pilot_family_sensitivity.csv,81d5ad4e1a9fb9a2a34bb33c0286ead5ed57a72cc64a677f250f288e06b226f7,796,durable shifted-log pilot output,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_l10_shiftlog_pilot_residual_lag.csv,5adfbea14d4dfae6de061fe7da68defc5e10e683e9f4a7747b004410fda8e481,481,durable shifted-log pilot output,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_l10_shiftlog_pilot_site_residual_lag.csv,8051b18b01723ba4dc590418c18d2b637910d0e5cc6c5edb4bdff57ebf906a54,2484,durable shifted-log pilot output,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_l10_shiftlog_pilot_post_ar_site_residual_lag.csv,f514e4aa6892a76f5be09c8348c6834250b825064b42b99e05169dc6fe2c4035,2482,durable shifted-log pilot output,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_l10_shiftlog_pilot_ar_counterparts.csv,d7a2289e337e32b713794f2084a44c8138af5d7a2fe5f624389baddc1ddc543a,2223,durable shifted-log pilot output,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_l10_shiftlog_pilot_registered_benchmark.csv,da3c2d65a4f60e61de659df00fc603823e66259dbe06c5ad503c40dedd6b740f,1228,durable shifted-log pilot output,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_l10_shiftlog_pilot_runtime.csv,6242a2d9804043338a9ac4f29ca06a83b83b2a696ed27e0dcf032a4243cf09cb,996,durable shifted-log pilot output,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_l10_shiftlog_pilot_runtime_projection.csv,9245f7db9de4247e2d03109373a26eee4802f4bb4bf0ab940cc1d29b8af055cd,986,durable shifted-log pilot output,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_l10_shiftlog_pilot_model_provenance.csv,e9e6635960552e4c6612233356f62bda17d50e7ea06ff14b0ed30c642e76609f,3114,durable shifted-log pilot output,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_l10_shiftlog_pilot_verdict.csv,b34c80411414c359dc8b682fdc6b16d01f993c98c38e423da94eadad09367fef,1360,durable shifted-log pilot output,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_l10_shiftlog_historical_preservation_after_pilot.csv,4110838ff78a96a45c4576c9997da5adee12569e1b46d97201991d7288400048,50958,durable shifted-log pilot output,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_l10_shiftlog_historical_preservation_final.csv,f215052bf42ed0e35626dc0064d4c15ac162d7ec36f88b70ce2dfc314ba386f9,55691,durable shifted-log pilot output,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
artifacts/11_source_data/H06_daily/H06_daily_l10_shiftlog_pilot_equal_site_grid.csv,cb452fc68814daf9d9bee752c396edd0661d7fb01688798cdb708270c0a0dbad,9355,durable shifted-log pilot output,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
