run_id,run_order,placement_label,metric_order,manuscript_name,diagnostic_check,check_status,check_order,check_symbol
main__glasses__all_available,1,Near eye,17,Melanopic daylight efficacy ratio,Residual distribution,Review,3,R
main__glasses__all_available,1,Near eye,17,Melanopic daylight efficacy ratio,Prediction bounds,Not applicable,4,n/a
main__glasses__all_available,1,Near eye,17,Melanopic daylight efficacy ratio,Construct check,Not applicable,5,n/a
main__glasses__all_available,1,Near eye,17,Melanopic daylight efficacy ratio,Clock-time cut,Not applicable,6,n/a
main__chest__all_available,2,Chest,1,Interdaily stability,Convergence and Hessian,Pass,1,P
main__chest__all_available,2,Chest,1,Interdaily stability,Random-effect singularity,Pass,2,P
main__chest__all_available,2,Chest,1,Interdaily stability,Residual distribution,Pass,3,P
main__chest__all_available,2,Chest,1,Interdaily stability,Prediction bounds,Pass,4,P
main__chest__all_available,2,Chest,1,Interdaily stability,Construct check,Not applicable,5,n/a
main__chest__all_available,2,Chest,1,Interdaily stability,Clock-time cut,Not applicable,6,n/a
main__chest__all_available,2,Chest,2,Intradaily variability,Convergence and Hessian,Pass,1,P
main__chest__all_available,2,Chest,2,Intradaily variability,Random-effect singularity,Pass,2,P
main__chest__all_available,2,Chest,2,Intradaily variability,Residual distribution,Pass,3,P
main__chest__all_available,2,Chest,2,Intradaily variability,Prediction bounds,Not applicable,4,n/a
main__chest__all_available,2,Chest,2,Intradaily variability,Construct check,Not applicable,5,n/a
main__chest__all_available,2,Chest,2,Intradaily variability,Clock-time cut,Not applicable,6,n/a
main__chest__all_available,2,Chest,3,Mean melEDI,Convergence and Hessian,Pass,1,P
main__chest__all_available,2,Chest,3,Mean melEDI,Random-effect singularity,Pass,2,P
main__chest__all_available,2,Chest,3,Mean melEDI,Residual distribution,Review,3,R
main__chest__all_available,2,Chest,3,Mean melEDI,Prediction bounds,Not applicable,4,n/a
main__chest__all_available,2,Chest,3,Mean melEDI,Construct check,Not applicable,5,n/a
main__chest__all_available,2,Chest,3,Mean melEDI,Clock-time cut,Not applicable,6,n/a
main__chest__all_available,2,Chest,4,Brightest 10 h mean,Convergence and Hessian,Pass,1,P
main__chest__all_available,2,Chest,4,Brightest 10 h mean,Random-effect singularity,Pass,2,P
main__chest__all_available,2,Chest,4,Brightest 10 h mean,Residual distribution,Review,3,R
main__chest__all_available,2,Chest,4,Brightest 10 h mean,Prediction bounds,Not applicable,4,n/a
main__chest__all_available,2,Chest,4,Brightest 10 h mean,Construct check,Not applicable,5,n/a
main__chest__all_available,2,Chest,4,Brightest 10 h mean,Clock-time cut,Not applicable,6,n/a
main__chest__all_available,2,Chest,5,Darkest 10 h mean,Convergence and Hessian,Pass,1,P
main__chest__all_available,2,Chest,5,Darkest 10 h mean,Random-effect singularity,Pass,2,P
main__chest__all_available,2,Chest,5,Darkest 10 h mean,Residual distribution,Review,3,R
main__chest__all_available,2,Chest,5,Darkest 10 h mean,Prediction bounds,Not applicable,4,n/a
main__chest__all_available,2,Chest,5,Darkest 10 h mean,Construct check,Not applicable,5,n/a
main__chest__all_available,2,Chest,5,Darkest 10 h mean,Clock-time cut,Not applicable,6,n/a
main__chest__all_available,2,Chest,6,"Time above 1,000 lx melEDI",Convergence and Hessian,Pass,1,P
main__chest__all_available,2,Chest,6,"Time above 1,000 lx melEDI",Random-effect singularity,Pass,2,P
main__chest__all_available,2,Chest,6,"Time above 1,000 lx melEDI",Residual distribution,Pass,3,P
main__chest__all_available,2,Chest,6,"Time above 1,000 lx melEDI",Prediction bounds,Pass,4,P
main__chest__all_available,2,Chest,6,"Time above 1,000 lx melEDI",Construct check,Not applicable,5,n/a
main__chest__all_available,2,Chest,6,"Time above 1,000 lx melEDI",Clock-time cut,Not applicable,6,n/a
main__chest__all_available,2,Chest,7,Time above 250 lx melEDI during wake,Convergence and Hessian,Pass,1,P
main__chest__all_available,2,Chest,7,Time above 250 lx melEDI during wake,Random-effect singularity,Pass,2,P
main__chest__all_available,2,Chest,7,Time above 250 lx melEDI during wake,Residual distribution,Pass,3,P
main__chest__all_available,2,Chest,7,Time above 250 lx melEDI during wake,Prediction bounds,Pass,4,P
main__chest__all_available,2,Chest,7,Time above 250 lx melEDI during wake,Construct check,Not applicable,5,n/a
main__chest__all_available,2,Chest,7,Time above 250 lx melEDI during wake,Clock-time cut,Not applicable,6,n/a
main__chest__all_available,2,Chest,8,Time below 10 lx melEDI before sleep,Convergence and Hessian,Pass,1,P
main__chest__all_available,2,Chest,8,Time below 10 lx melEDI before sleep,Random-effect singularity,Pass,2,P
main__chest__all_available,2,Chest,8,Time below 10 lx melEDI before sleep,Residual distribution,Review,3,R
main__chest__all_available,2,Chest,8,Time below 10 lx melEDI before sleep,Prediction bounds,Pass,4,P
main__chest__all_available,2,Chest,8,Time below 10 lx melEDI before sleep,Construct check,Pass,5,P
main__chest__all_available,2,Chest,8,Time below 10 lx melEDI before sleep,Clock-time cut,Not applicable,6,n/a
main__chest__all_available,2,Chest,9,Time below 1 lx melEDI during sleep,Convergence and Hessian,Pass,1,P
main__chest__all_available,2,Chest,9,Time below 1 lx melEDI during sleep,Random-effect singularity,Pass,2,P
main__chest__all_available,2,Chest,9,Time below 1 lx melEDI during sleep,Residual distribution,Review,3,R
main__chest__all_available,2,Chest,9,Time below 1 lx melEDI during sleep,Prediction bounds,Review,4,R
main__chest__all_available,2,Chest,9,Time below 1 lx melEDI during sleep,Construct check,Not applicable,5,n/a
main__chest__all_available,2,Chest,9,Time below 1 lx melEDI during sleep,Clock-time cut,Not applicable,6,n/a
main__chest__all_available,2,Chest,10,Longest continuous period above 250 lx melEDI,Convergence and Hessian,Pass,1,P
main__chest__all_available,2,Chest,10,Longest continuous period above 250 lx melEDI,Random-effect singularity,Pass,2,P
main__chest__all_available,2,Chest,10,Longest continuous period above 250 lx melEDI,Residual distribution,Review,3,R
main__chest__all_available,2,Chest,10,Longest continuous period above 250 lx melEDI,Prediction bounds,Pass,4,P
main__chest__all_available,2,Chest,10,Longest continuous period above 250 lx melEDI,Construct check,Not applicable,5,n/a
main__chest__all_available,2,Chest,10,Longest continuous period above 250 lx melEDI,Clock-time cut,Not applicable,6,n/a
main__chest__all_available,2,Chest,11,Midpoint of the brightest 10 hours,Convergence and Hessian,Pass,1,P
main__chest__all_available,2,Chest,11,Midpoint of the brightest 10 hours,Random-effect singularity,Pass,2,P
main__chest__all_available,2,Chest,11,Midpoint of the brightest 10 hours,Residual distribution,Review,3,R
main__chest__all_available,2,Chest,11,Midpoint of the brightest 10 hours,Prediction bounds,Pass,4,P
main__chest__all_available,2,Chest,11,Midpoint of the brightest 10 hours,Construct check,Not applicable,5,n/a
main__chest__all_available,2,Chest,11,Midpoint of the brightest 10 hours,Clock-time cut,Pass,6,P
main__chest__all_available,2,Chest,12,Midpoint of the darkest 10 hours,Convergence and Hessian,Pass,1,P
main__chest__all_available,2,Chest,12,Midpoint of the darkest 10 hours,Random-effect singularity,Pass,2,P
main__chest__all_available,2,Chest,12,Midpoint of the darkest 10 hours,Residual distribution,Review,3,R
main__chest__all_available,2,Chest,12,Midpoint of the darkest 10 hours,Prediction bounds,Pass,4,P
main__chest__all_available,2,Chest,12,Midpoint of the darkest 10 hours,Construct check,Not applicable,5,n/a
main__chest__all_available,2,Chest,12,Midpoint of the darkest 10 hours,Clock-time cut,Pass,6,P
main__chest__all_available,2,Chest,13,Mean timing of exposure above 250 lx melEDI,Convergence and Hessian,Pass,1,P
main__chest__all_available,2,Chest,13,Mean timing of exposure above 250 lx melEDI,Random-effect singularity,Pass,2,P
main__chest__all_available,2,Chest,13,Mean timing of exposure above 250 lx melEDI,Residual distribution,Review,3,R
main__chest__all_available,2,Chest,13,Mean timing of exposure above 250 lx melEDI,Prediction bounds,Pass,4,P
main__chest__all_available,2,Chest,13,Mean timing of exposure above 250 lx melEDI,Construct check,Not applicable,5,n/a
main__chest__all_available,2,Chest,13,Mean timing of exposure above 250 lx melEDI,Clock-time cut,Pass,6,P
main__chest__all_available,2,Chest,14,First light timing above 250 lx melEDI,Convergence and Hessian,Pass,1,P
main__chest__all_available,2,Chest,14,First light timing above 250 lx melEDI,Random-effect singularity,Pass,2,P
main__chest__all_available,2,Chest,14,First light timing above 250 lx melEDI,Residual distribution,Review,3,R
main__chest__all_available,2,Chest,14,First light timing above 250 lx melEDI,Prediction bounds,Pass,4,P
main__chest__all_available,2,Chest,14,First light timing above 250 lx melEDI,Construct check,Not applicable,5,n/a
main__chest__all_available,2,Chest,14,First light timing above 250 lx melEDI,Clock-time cut,Pass,6,P
main__chest__all_available,2,Chest,15,Last light timing above 250 lx melEDI,Convergence and Hessian,Pass,1,P
main__chest__all_available,2,Chest,15,Last light timing above 250 lx melEDI,Random-effect singularity,Pass,2,P
main__chest__all_available,2,Chest,15,Last light timing above 250 lx melEDI,Residual distribution,Review,3,R
main__chest__all_available,2,Chest,15,Last light timing above 250 lx melEDI,Prediction bounds,Pass,4,P
main__chest__all_available,2,Chest,15,Last light timing above 250 lx melEDI,Construct check,Not applicable,5,n/a
main__chest__all_available,2,Chest,15,Last light timing above 250 lx melEDI,Clock-time cut,Pass,6,P
main__chest__all_available,2,Chest,16,melEDI dose,Convergence and Hessian,Pass,1,P
main__chest__all_available,2,Chest,16,melEDI dose,Random-effect singularity,Pass,2,P
main__chest__all_available,2,Chest,16,melEDI dose,Residual distribution,Review,3,R
main__chest__all_available,2,Chest,16,melEDI dose,Prediction bounds,Not applicable,4,n/a
main__chest__all_available,2,Chest,16,melEDI dose,Construct check,Not applicable,5,n/a
main__chest__all_available,2,Chest,16,melEDI dose,Clock-time cut,Not applicable,6,n/a
main__chest__all_available,2,Chest,17,Melanopic daylight efficacy ratio,Convergence and Hessian,Pass,1,P
main__chest__all_available,2,Chest,17,Melanopic daylight efficacy ratio,Random-effect singularity,Pass,2,P
main__chest__all_available,2,Chest,17,Melanopic daylight efficacy ratio,Residual distribution,Review,3,R
main__chest__all_available,2,Chest,17,Melanopic daylight efficacy ratio,Prediction bounds,Not applicable,4,n/a
main__chest__all_available,2,Chest,17,Melanopic daylight efficacy ratio,Construct check,Not applicable,5,n/a
main__chest__all_available,2,Chest,17,Melanopic daylight efficacy ratio,Clock-time cut,Not applicable,6,n/a
