run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,attempt,error,warning_count,warnings
alternative_preprocessing__glasses__paired_common_sample,alternative_preprocessing,glasses,paired_common_sample,paired_placement_comparison,13,mean_timing_above_250,participant_day,gaussian,clock_hours,274,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",0,
alternative_preprocessing__glasses__paired_common_sample,alternative_preprocessing,glasses,paired_common_sample,paired_placement_comparison,13,mean_timing_above_250,participant_day,gaussian,clock_hours,466,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",0,
main__chest__all_available,main,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,gaussian,identity,31,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,"Model failed to converge with max|grad| = 0.00508908 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting."
main__chest__all_available,main,chest,all_available,complementary_chest,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,351,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,"Model failed to converge with max|grad| = 0.0052305 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting."
main__chest__all_available,main,chest,all_available,complementary_chest,16,dose_time_sensitive_corrected_medi,participant_day,gaussian,log10_offset_0.1,826,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,"Model failed to converge with max|grad| = 0.00459096 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting."
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,546,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,"Model failed to converge with max|grad| = 0.0049433 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting."
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,8,duration_below_10_pre_sleep,participant_day,gaussian,identity,400,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,"Model failed to converge with max|grad| = 0.00434331 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting."
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,356,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting')
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,747,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting')
main__glasses__all_available,main,glasses,all_available,primary,8,duration_below_10_pre_sleep,participant_day,gaussian,identity,986,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,"Model failed to converge with max|grad| = 0.00531294 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting."
main__glasses__all_available,main,glasses,all_available,primary,16,dose_time_sensitive_corrected_medi,participant_day,gaussian,log10_offset_0.1,484,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,"Model failed to converge with max|grad| = 0.00511058 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting."
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,864,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,"Model failed to converge with max|grad| = 0.00720916 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting."
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,8,duration_below_10_pre_sleep,participant_day,gaussian,identity,242,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,"Model failed to converge with max|grad| = 0.00478028 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting."
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,579,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",2,"Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,764,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting')
