run_id,start_local_clock,end_local_clock,interval_definition,site,window_id,direction,start_clock_bin,end_clock_bin_exclusive,bins_30_minute,minimum_point_ratio,maximum_point_ratio,minimum_simultaneous_lower,maximum_simultaneous_upper
alternative_preprocessing__chest__all_available,17:00,19:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,UCR,4,lower,1020,1170,5,0.43061534785875843,0.5460246900160629,0.23610998197179947,0.9689329022867268
main__chest__paired_common_sample,17:00,20:00,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,BAUA,2,higher,1020,1200,6,2.480366699212804,3.214737013722869,1.0174556892475557,7.1839719523907215
main__chest__paired_common_sample,05:30,10:00,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,FUSPCEU,2,lower,330,600,9,0.1415420727910401,0.3623987691812117,0.05823698559717986,0.8141066868642236
main__chest__paired_common_sample,18:00,20:00,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,FUSPCEU,4,lower,1080,1200,4,0.4095329063680439,0.4688433225850449,0.1980118021398648,0.9910989198802802
main__chest__paired_common_sample,,,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,IZTECH,,no_simultaneous_difference,,,0,,,,
main__chest__paired_common_sample,15:30,21:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,KNUST,2,lower,930,1290,12,0.1351363548994597,0.3173234769948882,0.05521929966574718,0.9198339174960791
main__chest__paired_common_sample,07:00,10:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,RISE,2,higher,420,630,7,3.3814540507412096,4.812483438371872,1.0092621456308115,15.24407888247161
main__chest__paired_common_sample,16:00,18:00,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,RISE,4,higher,960,1080,4,2.571245941966203,2.947160778486508,1.0271713692223796,8.400118728750417
main__chest__paired_common_sample,,,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,THUAS,,no_simultaneous_difference,,,0,,,,
main__chest__paired_common_sample,,,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,TUM,,no_simultaneous_difference,,,0,,,,
main__chest__paired_common_sample,,,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,UCR,,no_simultaneous_difference,,,0,,,,
main__glasses__paired_common_sample,17:30,20:00,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,BAUA,2,higher,1050,1200,5,2.805950758145912,3.402395924244017,1.068657299585573,8.723018079845954
main__glasses__paired_common_sample,05:30,10:00,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,FUSPCEU,2,lower,330,600,9,0.15080111360555257,0.43799883568428183,0.06216978009621286,0.9978911282762931
main__glasses__paired_common_sample,18:30,19:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,FUSPCEU,4,lower,1110,1170,2,0.3927930639293816,0.4123775846727066,0.16887349824093278,0.9461070193225303
main__glasses__paired_common_sample,,,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,IZTECH,,no_simultaneous_difference,,,0,,,,
main__glasses__paired_common_sample,15:00,22:00,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,KNUST,2,lower,900,1320,14,0.11252882076793268,0.25258423739650393,0.03970501557384272,0.9601005466703428
main__glasses__paired_common_sample,06:30,09:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,RISE,2,higher,390,570,6,2.54091070489482,4.572288204432185,1.0053516458100547,15.173791807713618
main__glasses__paired_common_sample,,,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,THUAS,,no_simultaneous_difference,,,0,,,,
main__glasses__paired_common_sample,18:00,20:00,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,TUM,2,higher,1080,1200,4,3.255625432086364,3.7311774100060537,1.0485016439214507,11.693602357604217
main__glasses__paired_common_sample,,,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,UCR,,no_simultaneous_difference,,,0,,,,
alternative_preprocessing__chest__paired_common_sample,17:00,20:00,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,BAUA,2,higher,1020,1200,6,2.5240883802545335,3.24305230956565,1.0226063405984616,7.407022535328013
alternative_preprocessing__chest__paired_common_sample,05:30,10:00,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,FUSPCEU,2,lower,330,600,9,0.14654141022453349,0.3673662521279648,0.06174069005544365,0.8147797313390058
alternative_preprocessing__chest__paired_common_sample,18:30,19:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,FUSPCEU,4,lower,1110,1170,2,0.4169348855045486,0.41994936676003863,0.19723133696141318,0.8828145375666758
alternative_preprocessing__chest__paired_common_sample,23:30,24:00,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,IZTECH,2,higher,1410,1440,1,4.954653971338814,4.954653971338814,1.0057787281401482,24.407551371759382
alternative_preprocessing__chest__paired_common_sample,15:00,21:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,KNUST,2,lower,900,1290,13,0.13500313669156688,0.3228015789945724,0.054260858425796206,0.9658504169298234
alternative_preprocessing__chest__paired_common_sample,07:00,10:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,RISE,2,higher,420,630,7,3.2560352877966903,4.621768827692446,1.0282102751114723,14.195885979170457
alternative_preprocessing__chest__paired_common_sample,16:00,18:00,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,RISE,4,higher,960,1080,4,2.6042182637549107,2.948902892725492,1.023352834411328,8.421036728971048
alternative_preprocessing__chest__paired_common_sample,,,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,THUAS,,no_simultaneous_difference,,,0,,,,
alternative_preprocessing__chest__paired_common_sample,,,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,TUM,,no_simultaneous_difference,,,0,,,,
alternative_preprocessing__chest__paired_common_sample,,,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,UCR,,no_simultaneous_difference,,,0,,,,
alternative_preprocessing__glasses__paired_common_sample,17:30,20:00,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,BAUA,2,higher,1050,1200,5,2.8214254448640297,3.372996089599121,1.1245173572172067,8.152658780391729
alternative_preprocessing__glasses__paired_common_sample,05:30,10:00,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,FUSPCEU,2,lower,330,600,9,0.15675799330346052,0.45117829253569375,0.0637313000618979,0.9945376569510818
alternative_preprocessing__glasses__paired_common_sample,18:30,20:00,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,FUSPCEU,4,lower,1110,1200,3,0.3979024300965798,0.43261291402442587,0.17974991702483736,0.9839258383864187
alternative_preprocessing__glasses__paired_common_sample,,,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,IZTECH,,no_simultaneous_difference,,,0,,,,
alternative_preprocessing__glasses__paired_common_sample,15:00,22:00,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,KNUST,2,lower,900,1320,14,0.11435253395054414,0.24567070451004971,0.04194258588830619,0.8846525007286514
alternative_preprocessing__glasses__paired_common_sample,07:00,09:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,RISE,2,higher,420,570,5,3.2211262928915674,4.359957453108434,1.15549460772717,14.421881628532633
alternative_preprocessing__glasses__paired_common_sample,,,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,THUAS,,no_simultaneous_difference,,,0,,,,
alternative_preprocessing__glasses__paired_common_sample,18:00,20:00,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,TUM,2,higher,1080,1200,4,3.0745687470414915,3.5433437921816058,1.0491058979607835,10.355584228893413
alternative_preprocessing__glasses__paired_common_sample,,,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,UCR,,no_simultaneous_difference,,,0,,,,
