row_type,site,site_color,activity,display_activity,estimate,confidence_interval,fdr_p,estimable,fdr_label,model_source
site_deviation,Madrid (ES),#CC6677,At home,At home,0.64×,95% CI 0.46–0.89,FDR p 0.026,TRUE,TRUE,activity_by_site_interaction
site_deviation,Madrid (ES),#CC6677,Working in the office/from home,Office/home working,1.14×,95% CI 0.93–1.41,FDR p 0.299,TRUE,FALSE,activity_by_site_interaction
site_deviation,Madrid (ES),#CC6677,Outdoors,Outdoors,0.97×,95% CI 0.47–1.98,FDR p 0.953,TRUE,FALSE,activity_by_site_interaction
site_deviation,Madrid (ES),#CC6677,On the road with public transport/car,Vehicle/public transport,0.65×,95% CI 0.33–1.30,FDR p 0.303,TRUE,FALSE,activity_by_site_interaction
site_deviation,Madrid (ES),#CC6677,Sleeping,Sleeping,0.78×,95% CI 0.20–3.10,FDR p 0.797,TRUE,FALSE,activity_by_site_interaction
site_deviation,Madrid (ES),#CC6677,Other/unspecified activity,Other,Not estimable,NA,NA,FALSE,FALSE,excluded_from_activity_by_site_interaction
site_deviation,Izmir (TR),#332288,At home,At home,0.80×,95% CI 0.56–1.16,FDR p 0.314,TRUE,FALSE,activity_by_site_interaction
site_deviation,Izmir (TR),#332288,Working in the office/from home,Office/home working,0.79×,95% CI 0.58–1.07,FDR p 0.196,TRUE,FALSE,activity_by_site_interaction
site_deviation,Izmir (TR),#332288,Outdoors,Outdoors,0.97×,95% CI 0.47–1.97,FDR p 0.953,TRUE,FALSE,activity_by_site_interaction
site_deviation,Izmir (TR),#332288,On the road with public transport/car,Vehicle/public transport,1.14×,95% CI 0.66–1.96,FDR p 0.732,TRUE,FALSE,activity_by_site_interaction
site_deviation,Izmir (TR),#332288,Sleeping,Sleeping,1.61×,95% CI 0.90–2.89,FDR p 0.185,TRUE,FALSE,activity_by_site_interaction
site_deviation,Izmir (TR),#332288,Other/unspecified activity,Other,Not estimable,NA,NA,FALSE,FALSE,excluded_from_activity_by_site_interaction
site_deviation,San José (CR),#44AA99,At home,At home,0.78×,95% CI 0.46–1.31,FDR p 0.428,TRUE,FALSE,activity_by_site_interaction
site_deviation,San José (CR),#44AA99,Working in the office/from home,Office/home working,0.50×,95% CI 0.33–0.76,FDR p 0.006,TRUE,TRUE,activity_by_site_interaction
site_deviation,San José (CR),#44AA99,Outdoors,Outdoors,Not estimable,NA,NA,FALSE,FALSE,activity_by_site_interaction
site_deviation,San José (CR),#44AA99,On the road with public transport/car,Vehicle/public transport,0.98×,95% CI 0.53–1.84,FDR p 0.960,TRUE,FALSE,activity_by_site_interaction
site_deviation,San José (CR),#44AA99,Sleeping,Sleeping,0.50×,95% CI 0.21–1.21,FDR p 0.196,TRUE,FALSE,activity_by_site_interaction
site_deviation,San José (CR),#44AA99,Other/unspecified activity,Other,Not estimable,NA,NA,FALSE,FALSE,excluded_from_activity_by_site_interaction
site_deviation,Kumasi (GH),#AA4499,At home,At home,0.57×,95% CI 0.20–1.62,FDR p 0.378,TRUE,FALSE,activity_by_site_interaction
site_deviation,Kumasi (GH),#AA4499,Working in the office/from home,Office/home working,0.67×,95% CI 0.45–0.99,FDR p 0.088,TRUE,FALSE,activity_by_site_interaction
site_deviation,Kumasi (GH),#AA4499,Outdoors,Outdoors,0.52×,95% CI 0.33–0.82,FDR p 0.019,TRUE,TRUE,activity_by_site_interaction
site_deviation,Kumasi (GH),#AA4499,On the road with public transport/car,Vehicle/public transport,0.93×,95% CI 0.57–1.53,FDR p 0.839,TRUE,FALSE,activity_by_site_interaction
site_deviation,Kumasi (GH),#AA4499,Sleeping,Sleeping,0.16×,95% CI 0.07–0.42,FDR p 0.001,TRUE,TRUE,activity_by_site_interaction
site_deviation,Kumasi (GH),#AA4499,Other/unspecified activity,Other,Not estimable,NA,NA,FALSE,FALSE,excluded_from_activity_by_site_interaction
