"package","static_detected","static_source_count","static_sources","declared_require","declared_version","base_package","dependency_policy","runtime_required","explicit_lock_expected","policy_rationale","installed_version","installed_built","installed_library","installed_repository","installed_remote_type","installed_remote_host","installed_remote_repo","installed_remote_ref","installed_remote_sha","lock_version","lock_source","lock_repository","lock_remote_type","lock_remote_host","lock_remote_repo","lock_remote_ref","lock_remote_sha","installed","locked","lock_expected","version_equal","scanner_false_positive_confirmed","reconciliation_status","source_metadata_status"
"bitops",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","1.0-9","R 4.6.0; aarch64-apple-darwin20; 2026-06-17 18:26:54 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","RSPM","standard","","","bitops","1.0-9","1.0-9","Repository","https://packagemanager.posit.co/cran/latest","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"blob",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","1.3.0","R 4.6.0; ; 2026-04-25 23:18:16 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","blob","1.3.0","1.3.0","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"boot",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","1.3-32","R 4.6.1; ; 2026-06-25 21:54:42 UTC; unix","/Library/Frameworks/R.framework/Resources/library","CRAN","","","","","","1.3-32","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"brio",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","1.1.5","R 4.6.0; aarch64-apple-darwin23; 2026-04-25 15:54:00 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","brio","1.1.5","1.1.5","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"broom",TRUE,6,"RQ1_chest.qmd;RQ1.qmd;RQ2_chest.qmd;RQ2.qmd;RQ3_chest.qmd;RQ3.qmd","","",FALSE,"",FALSE,FALSE,"","1.0.13","R 4.6.0; ; 2026-05-14 05:30:47 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","broom","1.0.13","1.0.13","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"broom.helpers",TRUE,2,"RQ1_chest.qmd;RQ1.qmd","","",FALSE,"",FALSE,FALSE,"","1.22.0","R 4.6.0; ; 2026-04-25 13:36:51 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","broom.helpers","1.22.0","1.22.0","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"broom.mixed",TRUE,6,"RQ1_chest.qmd;RQ1.qmd;RQ2_chest.qmd;RQ2.qmd;RQ3_chest.qmd;RQ3.qmd","","",FALSE,"",FALSE,FALSE,"","0.2.9.7","R 4.6.0; ; 2026-04-25 13:33:48 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","broom.mixed","0.2.9.7","0.2.9.7","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"bslib",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","0.11.0","R 4.6.0; ; 2026-07-28 21:06:07 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","RSPM","standard","","","bslib","0.11.0","0.11.0","Repository","https://packagemanager.posit.co/cran/latest","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"cachem",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","1.1.0","R 4.6.0; aarch64-apple-darwin20; 2026-07-28 21:03:26 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","RSPM","standard","","","cachem","1.1.0","1.1.0","Repository","https://packagemanager.posit.co/cran/latest","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"callr",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","3.8.0","R 4.6.0; ; 2026-06-05 15:30:17 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","callr","3.8.0","3.8.0","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"cards",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","0.8.0","R 4.6.1; ; 2026-07-29 20:28:21 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","cards","0.8.0","0.8.0","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"cardx",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","0.3.3","R 4.6.1; ; 2026-07-29 20:28:25 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","cardx","0.3.3","0.3.3","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"cellranger",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","1.1.0","R 4.6.0; ; 2026-04-29 23:56:17 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","RSPM","standard","","","cellranger","1.1.0","1.1.0","Repository","https://packagemanager.posit.co/cran/latest","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"chromote",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","0.5.1","R 4.6.0; ; 2026-04-26 02:57:33 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","chromote","0.5.1","0.5.1","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"circular",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","0.5-2","R 4.6.0; aarch64-apple-darwin23; 2026-04-25 15:56:55 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","circular","0.5-2","0.5-2","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"class",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","7.3-23","R 4.6.1; aarch64-apple-darwin23; 2026-06-25 21:54:10 UTC; unix","/Library/Frameworks/R.framework/Resources/library","CRAN","","","","","","7.3-23","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"classInt",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","0.4-11","R 4.6.0; aarch64-apple-darwin23; 2026-04-26 02:21:24 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","classInt","0.4-11","0.4-11","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"cli",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","3.6.6","R 4.6.0; aarch64-apple-darwin23; 2026-04-25 15:39:10 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","cli","3.6.6","3.6.6","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"clipr",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","0.8.1","R 4.6.0; ; 2026-07-28 21:02:56 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","RSPM","standard","","","clipr","0.8.1","0.8.1","Repository","https://packagemanager.posit.co/cran/latest","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"cluster",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","2.1.8.2","R 4.6.1; aarch64-apple-darwin23; 2026-06-25 21:54:10 UTC; unix","/Library/Frameworks/R.framework/Resources/library","CRAN","","","","","","","","","","","","","",TRUE,FALSE,FALSE,FALSE,,"library_only","not_comparable"
"coda",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","0.19-4.1","R 4.6.0; ; 2026-04-25 15:46:41 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","coda","0.19-4.1","0.19-4.1","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"codetools",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","0.2-20","R 4.6.1; ; 2026-06-25 21:54:07 UTC; unix","/Library/Frameworks/R.framework/Resources/library","CRAN","","","","","","0.2-20","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"colorspace",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","2.1-2","R 4.6.1; aarch64-apple-darwin23; 2026-07-29 20:28:03 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","colorspace","2.1-2","2.1-2","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"commonmark",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","2.0.0","R 4.6.0; aarch64-apple-darwin20; 2026-07-28 21:02:53 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","RSPM","standard","","","commonmark","2.0.0","2.0.0","Repository","https://packagemanager.posit.co/cran/latest","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"compiler",FALSE,0,"","","",TRUE,"",FALSE,FALSE,"","4.6.1","R 4.6.1; ; 2026-06-25 21:53:16 UTC; unix","/Library/Frameworks/R.framework/Resources/library","","","","","","","","","","","","","","",TRUE,FALSE,FALSE,FALSE,,"base_package","not_comparable"
"conflicted",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","1.2.0","R 4.6.0; ; 2026-06-17 18:53:09 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","RSPM","standard","","","conflicted","1.2.0","1.2.0","Repository","https://packagemanager.posit.co/cran/latest","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"correlation",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","0.8.8","R 4.6.0; ; 2026-04-26 02:41:58 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","correlation","0.8.8","0.8.8","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"cowplot",TRUE,12,"data_preparation.qmd;Descriptives.qmd;metric_preparation.qmd;RQ1_chest.qmd;RQ1.qmd;RQ2_chest.qmd;RQ2.qmd;RQ3_chest.qmd;RQ3.qmd;scripts/descriptives/plot_descriptive_replications.R;scripts/hypotheses/H02/build_h02_figure4_replication.R;scripts/hypotheses/H02/h02_figure4_pointwise.R","","",FALSE,"",FALSE,FALSE,"","1.2.0","R 4.6.0; ; 2026-04-26 11:08:33 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","cowplot","1.2.0","1.2.0","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"cpp11",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","0.5.5","R 4.6.0; ; 2026-05-06 16:42:29 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","cpp11","0.5.5","0.5.5","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"crayon",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","1.5.3","R 4.6.0; ; 2026-07-28 21:02:53 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","RSPM","standard","","","crayon","1.5.3","1.5.3","Repository","https://packagemanager.posit.co/cran/latest","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"crosstalk",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","1.2.2","R 4.6.0; ; 2026-04-26 02:18:27 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","crosstalk","1.2.2","1.2.2","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"curl",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","7.1.0","R 4.6.0; aarch64-apple-darwin20; 2026-07-28 21:02:58 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","RSPM","standard","","","curl","7.1.0","7.1.0","Repository","https://packagemanager.posit.co/cran/latest","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"data.table",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","1.18.4","R 4.6.0; aarch64-apple-darwin20; 2026-07-28 21:02:55 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","RSPM","standard","","","data.table","1.18.4","1.18.4","Repository","https://packagemanager.posit.co/cran/latest","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"datasets",FALSE,0,"","","",TRUE,"",FALSE,FALSE,"","4.6.1","R 4.6.1; ; 2026-06-25 21:53:43 UTC; unix","/Library/Frameworks/R.framework/Resources/library","","","","","","","","","","","","","","",TRUE,FALSE,FALSE,FALSE,,"base_package","not_comparable"
"datawizard",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","1.3.1","R 4.6.0; ; 2026-04-27 00:14:03 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","datawizard","1.3.1","1.3.1","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"DBI",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","1.3.0","R 4.6.0; ; 2026-04-25 15:47:33 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","DBI","1.3.0","1.3.0","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"dbplyr",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","2.6.0","R 4.6.0; ; 2026-06-18 00:56:28 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","dbplyr","2.6.0","2.6.0","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"Deriv",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","4.2.0","R 4.6.1; ; 2026-07-29 20:28:03 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","Deriv","4.2.0","4.2.0","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"desc",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","1.4.3","R 4.6.0; ; 2026-04-25 15:48:08 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","desc","1.4.3","1.4.3","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"DHARMa",TRUE,1,"scripts/hypotheses/H01/h01_modeling.R","","",FALSE,"optional_runtime_required",TRUE,TRUE,"Simulated residual diagnostics for non-Gaussian models require the optional `DHARMa` backend.","0.5.0","R 4.6.0; ; 2026-06-01 10:26:05 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","DHARMa","0.5.0","0.5.0","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"digest",TRUE,3,"audit/scripts/audit_h01_predictor_identifiability.R;audit/scripts/audit_h03_h04_category_support.R;tests/hypotheses/H01/test_h01_bootstrap_outputs.R","","",FALSE,"",FALSE,FALSE,"","0.6.39","R 4.6.0; aarch64-apple-darwin20; 2026-07-28 21:02:44 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","RSPM","standard","","","digest","0.6.39","0.6.39","Repository","https://packagemanager.posit.co/cran/latest","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"doBy",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","4.7.2","R 4.6.1; ; 2026-07-01 12:35:32 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","doBy","4.7.2","4.7.2","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"doParallel",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","1.0.17","R 4.6.0; ; 2026-04-26 02:20:25 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","doParallel","1.0.17","1.0.17","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
