run_id,site,work_free_day,activity_status,clock_hour_bin,one_hour_observations,participant_days,participants
main__glasses__all_available,BAUA,Work day,"Active (light, moderate, or vigorous exercise)",23,37,37,15
main__glasses__all_available,BAUA,Free day,"Active (light, moderate, or vigorous exercise)",0,29,29,16
main__glasses__all_available,BAUA,Free day,"Active (light, moderate, or vigorous exercise)",1,30,30,16
main__glasses__all_available,BAUA,Free day,"Active (light, moderate, or vigorous exercise)",2,30,30,16
main__glasses__all_available,BAUA,Free day,"Active (light, moderate, or vigorous exercise)",3,30,30,16
main__glasses__all_available,BAUA,Free day,"Active (light, moderate, or vigorous exercise)",4,30,30,16
main__glasses__all_available,BAUA,Free day,"Active (light, moderate, or vigorous exercise)",5,30,30,16
main__glasses__all_available,BAUA,Free day,"Active (light, moderate, or vigorous exercise)",6,30,30,16
main__glasses__all_available,BAUA,Free day,"Active (light, moderate, or vigorous exercise)",7,30,30,16
main__glasses__all_available,BAUA,Free day,"Active (light, moderate, or vigorous exercise)",8,30,30,16
main__glasses__all_available,BAUA,Free day,"Active (light, moderate, or vigorous exercise)",9,29,29,15
main__glasses__all_available,BAUA,Free day,"Active (light, moderate, or vigorous exercise)",10,29,29,16
main__glasses__all_available,BAUA,Free day,"Active (light, moderate, or vigorous exercise)",11,27,27,15
main__glasses__all_available,BAUA,Free day,"Active (light, moderate, or vigorous exercise)",12,29,29,16
main__glasses__all_available,BAUA,Free day,"Active (light, moderate, or vigorous exercise)",14,29,29,16
main__glasses__all_available,BAUA,Free day,"Active (light, moderate, or vigorous exercise)",15,30,30,16
main__glasses__all_available,BAUA,Free day,"Active (light, moderate, or vigorous exercise)",16,29,29,16
main__glasses__all_available,BAUA,Free day,"Active (light, moderate, or vigorous exercise)",17,29,29,16
main__glasses__all_available,BAUA,Free day,"Active (light, moderate, or vigorous exercise)",18,28,28,15
main__glasses__all_available,BAUA,Free day,"Active (light, moderate, or vigorous exercise)",19,29,29,15
main__glasses__all_available,BAUA,Free day,"Active (light, moderate, or vigorous exercise)",20,30,30,16
main__glasses__all_available,BAUA,Free day,"Active (light, moderate, or vigorous exercise)",21,30,30,16
main__glasses__all_available,BAUA,Free day,"Active (light, moderate, or vigorous exercise)",22,28,28,16
main__glasses__all_available,BAUA,Free day,"Active (light, moderate, or vigorous exercise)",23,27,27,16
main__glasses__all_available,BAUA,Free day,"Active (light, moderate, or vigorous exercise)",13,29,29,16
main__glasses__all_available,BAUA,Work day,Sedentary (no reported exercise),0,15,15,12
main__glasses__all_available,BAUA,Work day,Sedentary (no reported exercise),1,15,15,12
main__glasses__all_available,BAUA,Work day,Sedentary (no reported exercise),2,15,15,12
main__glasses__all_available,BAUA,Work day,Sedentary (no reported exercise),3,15,15,12
main__glasses__all_available,BAUA,Work day,Sedentary (no reported exercise),4,15,15,12
main__glasses__all_available,BAUA,Work day,Sedentary (no reported exercise),5,15,15,12
main__glasses__all_available,BAUA,Work day,Sedentary (no reported exercise),6,15,15,12
main__glasses__all_available,BAUA,Work day,Sedentary (no reported exercise),7,15,15,12
main__glasses__all_available,BAUA,Work day,Sedentary (no reported exercise),8,15,15,12
main__glasses__all_available,BAUA,Work day,Sedentary (no reported exercise),9,15,15,12
main__glasses__all_available,BAUA,Work day,Sedentary (no reported exercise),10,15,15,12
main__glasses__all_available,BAUA,Work day,Sedentary (no reported exercise),11,15,15,12
main__glasses__all_available,BAUA,Work day,Sedentary (no reported exercise),12,15,15,12
main__glasses__all_available,BAUA,Work day,Sedentary (no reported exercise),13,13,13,11
main__glasses__all_available,BAUA,Work day,Sedentary (no reported exercise),14,14,14,11
main__glasses__all_available,BAUA,Work day,Sedentary (no reported exercise),15,13,13,11
main__glasses__all_available,BAUA,Work day,Sedentary (no reported exercise),16,15,15,12
main__glasses__all_available,BAUA,Work day,Sedentary (no reported exercise),17,13,13,12
main__glasses__all_available,BAUA,Work day,Sedentary (no reported exercise),18,14,14,11
main__glasses__all_available,BAUA,Work day,Sedentary (no reported exercise),19,15,15,12
main__glasses__all_available,BAUA,Work day,Sedentary (no reported exercise),20,13,13,11
main__glasses__all_available,BAUA,Work day,Sedentary (no reported exercise),21,14,14,11
main__glasses__all_available,BAUA,Work day,Sedentary (no reported exercise),22,14,14,11
main__glasses__all_available,BAUA,Work day,Sedentary (no reported exercise),23,14,14,11
main__glasses__all_available,BAUA,Free day,Sedentary (no reported exercise),0,6,6,6
main__glasses__all_available,BAUA,Free day,Sedentary (no reported exercise),1,6,6,6
main__glasses__all_available,BAUA,Free day,Sedentary (no reported exercise),2,6,6,6
main__glasses__all_available,BAUA,Free day,Sedentary (no reported exercise),3,6,6,6
main__glasses__all_available,BAUA,Free day,Sedentary (no reported exercise),4,6,6,6
main__glasses__all_available,BAUA,Free day,Sedentary (no reported exercise),5,6,6,6
main__glasses__all_available,BAUA,Free day,Sedentary (no reported exercise),6,6,6,6
main__glasses__all_available,BAUA,Free day,Sedentary (no reported exercise),7,6,6,6
main__glasses__all_available,BAUA,Free day,Sedentary (no reported exercise),8,6,6,6
main__glasses__all_available,BAUA,Free day,Sedentary (no reported exercise),9,6,6,6
main__glasses__all_available,BAUA,Free day,Sedentary (no reported exercise),10,6,6,6
main__glasses__all_available,BAUA,Free day,Sedentary (no reported exercise),11,6,6,6
main__glasses__all_available,BAUA,Free day,Sedentary (no reported exercise),12,5,5,5
main__glasses__all_available,BAUA,Free day,Sedentary (no reported exercise),13,5,5,5
main__glasses__all_available,BAUA,Free day,Sedentary (no reported exercise),14,6,6,6
main__glasses__all_available,BAUA,Free day,Sedentary (no reported exercise),15,6,6,6
main__glasses__all_available,BAUA,Free day,Sedentary (no reported exercise),16,6,6,6
main__glasses__all_available,BAUA,Free day,Sedentary (no reported exercise),17,6,6,6
main__glasses__all_available,BAUA,Free day,Sedentary (no reported exercise),18,6,6,6
main__glasses__all_available,BAUA,Free day,Sedentary (no reported exercise),19,6,6,6
main__glasses__all_available,BAUA,Free day,Sedentary (no reported exercise),20,6,6,6
main__glasses__all_available,BAUA,Free day,Sedentary (no reported exercise),21,5,5,5
main__glasses__all_available,BAUA,Free day,Sedentary (no reported exercise),22,5,5,5
main__glasses__all_available,BAUA,Free day,Sedentary (no reported exercise),23,5,5,5
main__glasses__all_available,FUSPCEU,Work day,"Active (light, moderate, or vigorous exercise)",0,30,30,15
main__glasses__all_available,FUSPCEU,Work day,"Active (light, moderate, or vigorous exercise)",1,30,30,15
main__glasses__all_available,FUSPCEU,Work day,"Active (light, moderate, or vigorous exercise)",2,31,31,16
main__glasses__all_available,FUSPCEU,Work day,"Active (light, moderate, or vigorous exercise)",3,31,31,16
main__glasses__all_available,FUSPCEU,Work day,"Active (light, moderate, or vigorous exercise)",4,31,31,16
main__glasses__all_available,FUSPCEU,Work day,"Active (light, moderate, or vigorous exercise)",5,31,31,16
main__glasses__all_available,FUSPCEU,Work day,"Active (light, moderate, or vigorous exercise)",6,31,31,16
main__glasses__all_available,FUSPCEU,Work day,"Active (light, moderate, or vigorous exercise)",7,31,31,16
main__glasses__all_available,FUSPCEU,Work day,"Active (light, moderate, or vigorous exercise)",8,31,31,16
main__glasses__all_available,FUSPCEU,Work day,"Active (light, moderate, or vigorous exercise)",9,30,30,15
main__glasses__all_available,FUSPCEU,Work day,"Active (light, moderate, or vigorous exercise)",10,31,31,16
main__glasses__all_available,FUSPCEU,Work day,"Active (light, moderate, or vigorous exercise)",11,30,30,16
main__glasses__all_available,FUSPCEU,Work day,"Active (light, moderate, or vigorous exercise)",12,31,31,16
main__glasses__all_available,FUSPCEU,Work day,"Active (light, moderate, or vigorous exercise)",13,31,31,16
main__glasses__all_available,FUSPCEU,Work day,"Active (light, moderate, or vigorous exercise)",14,29,29,15
main__glasses__all_available,FUSPCEU,Work day,"Active (light, moderate, or vigorous exercise)",15,30,30,16
main__glasses__all_available,FUSPCEU,Work day,"Active (light, moderate, or vigorous exercise)",16,31,31,16
main__glasses__all_available,FUSPCEU,Work day,"Active (light, moderate, or vigorous exercise)",17,31,31,16
main__glasses__all_available,FUSPCEU,Work day,"Active (light, moderate, or vigorous exercise)",22,29,29,16
main__glasses__all_available,FUSPCEU,Work day,"Active (light, moderate, or vigorous exercise)",23,30,30,16
main__glasses__all_available,FUSPCEU,Work day,"Active (light, moderate, or vigorous exercise)",18,30,30,16
main__glasses__all_available,FUSPCEU,Work day,"Active (light, moderate, or vigorous exercise)",19,28,28,16
main__glasses__all_available,FUSPCEU,Work day,"Active (light, moderate, or vigorous exercise)",20,28,28,16
main__glasses__all_available,FUSPCEU,Work day,"Active (light, moderate, or vigorous exercise)",21,29,29,16
main__glasses__all_available,FUSPCEU,Free day,"Active (light, moderate, or vigorous exercise)",0,23,23,13
main__glasses__all_available,FUSPCEU,Free day,"Active (light, moderate, or vigorous exercise)",1,23,23,13
main__glasses__all_available,FUSPCEU,Free day,"Active (light, moderate, or vigorous exercise)",2,23,23,13
main__glasses__all_available,FUSPCEU,Free day,"Active (light, moderate, or vigorous exercise)",3,23,23,13
main__glasses__all_available,FUSPCEU,Free day,"Active (light, moderate, or vigorous exercise)",4,23,23,13
main__glasses__all_available,FUSPCEU,Free day,"Active (light, moderate, or vigorous exercise)",5,23,23,13
main__glasses__all_available,FUSPCEU,Free day,"Active (light, moderate, or vigorous exercise)",6,23,23,13
main__glasses__all_available,FUSPCEU,Free day,"Active (light, moderate, or vigorous exercise)",7,23,23,13
main__glasses__all_available,FUSPCEU,Free day,"Active (light, moderate, or vigorous exercise)",8,23,23,13
main__glasses__all_available,FUSPCEU,Free day,"Active (light, moderate, or vigorous exercise)",9,23,23,13
main__glasses__all_available,FUSPCEU,Free day,"Active (light, moderate, or vigorous exercise)",10,22,22,13
main__glasses__all_available,FUSPCEU,Free day,"Active (light, moderate, or vigorous exercise)",11,23,23,13
main__glasses__all_available,FUSPCEU,Free day,"Active (light, moderate, or vigorous exercise)",12,22,22,13
main__glasses__all_available,FUSPCEU,Free day,"Active (light, moderate, or vigorous exercise)",13,22,22,13
main__glasses__all_available,FUSPCEU,Free day,"Active (light, moderate, or vigorous exercise)",14,22,22,13
main__glasses__all_available,FUSPCEU,Free day,"Active (light, moderate, or vigorous exercise)",15,21,21,13
main__glasses__all_available,FUSPCEU,Free day,"Active (light, moderate, or vigorous exercise)",16,20,20,11
main__glasses__all_available,FUSPCEU,Free day,"Active (light, moderate, or vigorous exercise)",17,21,21,12
main__glasses__all_available,FUSPCEU,Free day,"Active (light, moderate, or vigorous exercise)",18,21,21,12
main__glasses__all_available,FUSPCEU,Free day,"Active (light, moderate, or vigorous exercise)",19,22,22,12
main__glasses__all_available,FUSPCEU,Free day,"Active (light, moderate, or vigorous exercise)",20,21,21,11
main__glasses__all_available,FUSPCEU,Free day,"Active (light, moderate, or vigorous exercise)",21,22,22,12
main__glasses__all_available,FUSPCEU,Free day,"Active (light, moderate, or vigorous exercise)",22,22,22,13
main__glasses__all_available,FUSPCEU,Free day,"Active (light, moderate, or vigorous exercise)",23,23,23,13
main__glasses__all_available,FUSPCEU,Work day,Sedentary (no reported exercise),0,26,26,14
main__glasses__all_available,FUSPCEU,Work day,Sedentary (no reported exercise),1,26,26,14
main__glasses__all_available,FUSPCEU,Work day,Sedentary (no reported exercise),2,26,26,14
main__glasses__all_available,FUSPCEU,Work day,Sedentary (no reported exercise),3,26,26,14
main__glasses__all_available,FUSPCEU,Work day,Sedentary (no reported exercise),4,26,26,14
main__glasses__all_available,FUSPCEU,Work day,Sedentary (no reported exercise),5,26,26,14
main__glasses__all_available,FUSPCEU,Work day,Sedentary (no reported exercise),6,26,26,14
main__glasses__all_available,FUSPCEU,Work day,Sedentary (no reported exercise),7,26,26,14
main__glasses__all_available,FUSPCEU,Work day,Sedentary (no reported exercise),8,26,26,14
main__glasses__all_available,FUSPCEU,Work day,Sedentary (no reported exercise),9,26,26,14
main__glasses__all_available,FUSPCEU,Work day,Sedentary (no reported exercise),10,25,25,14
main__glasses__all_available,FUSPCEU,Work day,Sedentary (no reported exercise),11,25,25,14
main__glasses__all_available,FUSPCEU,Work day,Sedentary (no reported exercise),12,26,26,14
main__glasses__all_available,FUSPCEU,Work day,Sedentary (no reported exercise),13,26,26,14
main__glasses__all_available,FUSPCEU,Work day,Sedentary (no reported exercise),14,26,26,14
main__glasses__all_available,FUSPCEU,Work day,Sedentary (no reported exercise),15,25,25,14
main__glasses__all_available,FUSPCEU,Work day,Sedentary (no reported exercise),16,25,25,14
main__glasses__all_available,FUSPCEU,Work day,Sedentary (no reported exercise),17,25,25,14
main__glasses__all_available,FUSPCEU,Work day,Sedentary (no reported exercise),18,26,26,14
main__glasses__all_available,FUSPCEU,Work day,Sedentary (no reported exercise),19,25,25,13
main__glasses__all_available,FUSPCEU,Work day,Sedentary (no reported exercise),20,24,24,12
main__glasses__all_available,FUSPCEU,Work day,Sedentary (no reported exercise),21,25,25,13
main__glasses__all_available,FUSPCEU,Work day,Sedentary (no reported exercise),22,26,26,14
main__glasses__all_available,FUSPCEU,Work day,Sedentary (no reported exercise),23,26,26,14
main__glasses__all_available,FUSPCEU,Free day,Sedentary (no reported exercise),0,7,7,4
main__glasses__all_available,FUSPCEU,Free day,Sedentary (no reported exercise),1,7,7,4
main__glasses__all_available,FUSPCEU,Free day,Sedentary (no reported exercise),2,7,7,4
main__glasses__all_available,FUSPCEU,Free day,Sedentary (no reported exercise),3,7,7,4
main__glasses__all_available,FUSPCEU,Free day,Sedentary (no reported exercise),4,7,7,4
main__glasses__all_available,FUSPCEU,Free day,Sedentary (no reported exercise),5,7,7,4
main__glasses__all_available,FUSPCEU,Free day,Sedentary (no reported exercise),6,7,7,4
main__glasses__all_available,FUSPCEU,Free day,Sedentary (no reported exercise),7,7,7,4
main__glasses__all_available,FUSPCEU,Free day,Sedentary (no reported exercise),8,7,7,4
main__glasses__all_available,FUSPCEU,Free day,Sedentary (no reported exercise),9,7,7,4
main__glasses__all_available,FUSPCEU,Free day,Sedentary (no reported exercise),10,7,7,4
main__glasses__all_available,FUSPCEU,Free day,Sedentary (no reported exercise),11,7,7,4
main__glasses__all_available,FUSPCEU,Free day,Sedentary (no reported exercise),12,7,7,4
main__glasses__all_available,FUSPCEU,Free day,Sedentary (no reported exercise),13,7,7,4
main__glasses__all_available,FUSPCEU,Free day,Sedentary (no reported exercise),14,7,7,4
main__glasses__all_available,FUSPCEU,Free day,Sedentary (no reported exercise),15,7,7,4
main__glasses__all_available,FUSPCEU,Free day,Sedentary (no reported exercise),16,7,7,4
main__glasses__all_available,FUSPCEU,Free day,Sedentary (no reported exercise),17,7,7,4
main__glasses__all_available,FUSPCEU,Free day,Sedentary (no reported exercise),18,7,7,4
main__glasses__all_available,FUSPCEU,Free day,Sedentary (no reported exercise),19,7,7,4
main__glasses__all_available,FUSPCEU,Free day,Sedentary (no reported exercise),20,7,7,4
main__glasses__all_available,FUSPCEU,Free day,Sedentary (no reported exercise),21,7,7,4
main__glasses__all_available,FUSPCEU,Free day,Sedentary (no reported exercise),22,7,7,4
main__glasses__all_available,FUSPCEU,Free day,Sedentary (no reported exercise),23,7,7,4
main__glasses__all_available,IZTECH,Work day,"Active (light, moderate, or vigorous exercise)",0,37,37,14
main__glasses__all_available,IZTECH,Work day,"Active (light, moderate, or vigorous exercise)",1,38,38,14
main__glasses__all_available,IZTECH,Work day,"Active (light, moderate, or vigorous exercise)",2,38,38,14
main__glasses__all_available,IZTECH,Work day,"Active (light, moderate, or vigorous exercise)",3,38,38,14
main__glasses__all_available,IZTECH,Work day,"Active (light, moderate, or vigorous exercise)",4,38,38,14
main__glasses__all_available,IZTECH,Work day,"Active (light, moderate, or vigorous exercise)",5,38,38,14
main__glasses__all_available,IZTECH,Work day,"Active (light, moderate, or vigorous exercise)",6,38,38,14
main__glasses__all_available,IZTECH,Work day,"Active (light, moderate, or vigorous exercise)",7,38,38,14
main__glasses__all_available,IZTECH,Work day,"Active (light, moderate, or vigorous exercise)",8,38,38,14
main__glasses__all_available,IZTECH,Work day,"Active (light, moderate, or vigorous exercise)",9,36,36,14
main__glasses__all_available,IZTECH,Work day,"Active (light, moderate, or vigorous exercise)",10,37,37,14
main__glasses__all_available,IZTECH,Work day,"Active (light, moderate, or vigorous exercise)",11,38,38,14
main__glasses__all_available,IZTECH,Work day,"Active (light, moderate, or vigorous exercise)",12,38,38,14
main__glasses__all_available,IZTECH,Work day,"Active (light, moderate, or vigorous exercise)",13,37,37,14
main__glasses__all_available,IZTECH,Work day,"Active (light, moderate, or vigorous exercise)",14,36,36,14
main__glasses__all_available,IZTECH,Work day,"Active (light, moderate, or vigorous exercise)",15,35,35,14
main__glasses__all_available,IZTECH,Work day,"Active (light, moderate, or vigorous exercise)",16,35,35,14
main__glasses__all_available,IZTECH,Work day,"Active (light, moderate, or vigorous exercise)",17,35,35,14
main__glasses__all_available,IZTECH,Work day,"Active (light, moderate, or vigorous exercise)",18,37,37,14
main__glasses__all_available,IZTECH,Work day,"Active (light, moderate, or vigorous exercise)",19,35,35,14
main__glasses__all_available,IZTECH,Work day,"Active (light, moderate, or vigorous exercise)",20,37,37,14
main__glasses__all_available,IZTECH,Work day,"Active (light, moderate, or vigorous exercise)",21,36,36,14
main__glasses__all_available,IZTECH,Work day,"Active (light, moderate, or vigorous exercise)",22,37,37,14
main__glasses__all_available,IZTECH,Work day,"Active (light, moderate, or vigorous exercise)",23,35,35,14
main__glasses__all_available,IZTECH,Free day,"Active (light, moderate, or vigorous exercise)",0,18,18,10
main__glasses__all_available,IZTECH,Free day,"Active (light, moderate, or vigorous exercise)",1,18,18,10
main__glasses__all_available,IZTECH,Free day,"Active (light, moderate, or vigorous exercise)",2,18,18,10
main__glasses__all_available,IZTECH,Free day,"Active (light, moderate, or vigorous exercise)",3,18,18,10
main__glasses__all_available,IZTECH,Free day,"Active (light, moderate, or vigorous exercise)",4,18,18,10
main__glasses__all_available,IZTECH,Free day,"Active (light, moderate, or vigorous exercise)",5,18,18,10
main__glasses__all_available,IZTECH,Free day,"Active (light, moderate, or vigorous exercise)",6,18,18,10
main__glasses__all_available,IZTECH,Free day,"Active (light, moderate, or vigorous exercise)",7,18,18,10
main__glasses__all_available,IZTECH,Free day,"Active (light, moderate, or vigorous exercise)",8,18,18,10
main__glasses__all_available,IZTECH,Free day,"Active (light, moderate, or vigorous exercise)",9,18,18,10
main__glasses__all_available,IZTECH,Free day,"Active (light, moderate, or vigorous exercise)",10,17,17,10
main__glasses__all_available,IZTECH,Free day,"Active (light, moderate, or vigorous exercise)",11,18,18,10
main__glasses__all_available,IZTECH,Free day,"Active (light, moderate, or vigorous exercise)",12,17,17,10
main__glasses__all_available,IZTECH,Free day,"Active (light, moderate, or vigorous exercise)",13,17,17,10
main__glasses__all_available,IZTECH,Free day,"Active (light, moderate, or vigorous exercise)",14,13,13,9
main__glasses__all_available,IZTECH,Free day,"Active (light, moderate, or vigorous exercise)",15,16,16,8
main__glasses__all_available,IZTECH,Free day,"Active (light, moderate, or vigorous exercise)",16,15,15,9
main__glasses__all_available,IZTECH,Free day,"Active (light, moderate, or vigorous exercise)",17,18,18,10
main__glasses__all_available,IZTECH,Free day,"Active (light, moderate, or vigorous exercise)",18,17,17,10
main__glasses__all_available,IZTECH,Free day,"Active (light, moderate, or vigorous exercise)",19,17,17,10
main__glasses__all_available,IZTECH,Free day,"Active (light, moderate, or vigorous exercise)",20,17,17,10
main__glasses__all_available,IZTECH,Free day,"Active (light, moderate, or vigorous exercise)",21,18,18,10
main__glasses__all_available,IZTECH,Free day,"Active (light, moderate, or vigorous exercise)",22,17,17,10
main__glasses__all_available,IZTECH,Free day,"Active (light, moderate, or vigorous exercise)",23,15,15,10
main__glasses__all_available,IZTECH,Work day,Sedentary (no reported exercise),0,24,24,11
main__glasses__all_available,IZTECH,Work day,Sedentary (no reported exercise),1,25,25,12
main__glasses__all_available,IZTECH,Work day,Sedentary (no reported exercise),2,25,25,12
main__glasses__all_available,IZTECH,Work day,Sedentary (no reported exercise),3,25,25,12
main__glasses__all_available,IZTECH,Work day,Sedentary (no reported exercise),4,25,25,12
main__glasses__all_available,IZTECH,Work day,Sedentary (no reported exercise),5,25,25,12
main__glasses__all_available,IZTECH,Work day,Sedentary (no reported exercise),6,25,25,12
main__glasses__all_available,IZTECH,Work day,Sedentary (no reported exercise),7,25,25,12
main__glasses__all_available,IZTECH,Work day,Sedentary (no reported exercise),8,25,25,12
main__glasses__all_available,IZTECH,Work day,Sedentary (no reported exercise),9,25,25,12
main__glasses__all_available,IZTECH,Work day,Sedentary (no reported exercise),10,25,25,12
main__glasses__all_available,IZTECH,Work day,Sedentary (no reported exercise),11,24,24,11
main__glasses__all_available,IZTECH,Work day,Sedentary (no reported exercise),12,24,24,11
main__glasses__all_available,IZTECH,Work day,Sedentary (no reported exercise),13,25,25,12
main__glasses__all_available,IZTECH,Work day,Sedentary (no reported exercise),14,25,25,12
main__glasses__all_available,IZTECH,Work day,Sedentary (no reported exercise),15,25,25,12
main__glasses__all_available,IZTECH,Work day,Sedentary (no reported exercise),16,25,25,12
main__glasses__all_available,IZTECH,Work day,Sedentary (no reported exercise),17,22,22,11
main__glasses__all_available,IZTECH,Work day,Sedentary (no reported exercise),18,24,24,12
main__glasses__all_available,IZTECH,Work day,Sedentary (no reported exercise),19,24,24,12
main__glasses__all_available,IZTECH,Work day,Sedentary (no reported exercise),23,23,23,12
main__glasses__all_available,IZTECH,Work day,Sedentary (no reported exercise),20,23,23,12
main__glasses__all_available,IZTECH,Work day,Sedentary (no reported exercise),21,23,23,12
main__glasses__all_available,IZTECH,Work day,Sedentary (no reported exercise),22,24,24,12
main__glasses__all_available,IZTECH,Free day,Sedentary (no reported exercise),0,15,15,11
main__glasses__all_available,IZTECH,Free day,Sedentary (no reported exercise),1,15,15,11
main__glasses__all_available,IZTECH,Free day,Sedentary (no reported exercise),2,15,15,11
main__glasses__all_available,IZTECH,Free day,Sedentary (no reported exercise),3,15,15,11
main__glasses__all_available,IZTECH,Free day,Sedentary (no reported exercise),4,15,15,11
main__glasses__all_available,IZTECH,Free day,Sedentary (no reported exercise),5,15,15,11
main__glasses__all_available,IZTECH,Free day,Sedentary (no reported exercise),6,15,15,11
main__glasses__all_available,IZTECH,Free day,Sedentary (no reported exercise),7,15,15,11
main__glasses__all_available,IZTECH,Free day,Sedentary (no reported exercise),8,15,15,11
main__glasses__all_available,IZTECH,Free day,Sedentary (no reported exercise),9,15,15,11
main__glasses__all_available,IZTECH,Free day,Sedentary (no reported exercise),10,15,15,11
main__glasses__all_available,IZTECH,Free day,Sedentary (no reported exercise),11,15,15,11
main__glasses__all_available,IZTECH,Free day,Sedentary (no reported exercise),12,15,15,11
main__glasses__all_available,IZTECH,Free day,Sedentary (no reported exercise),13,15,15,11
main__glasses__all_available,IZTECH,Free day,Sedentary (no reported exercise),14,15,15,11
main__glasses__all_available,IZTECH,Free day,Sedentary (no reported exercise),15,15,15,11
main__glasses__all_available,IZTECH,Free day,Sedentary (no reported exercise),16,15,15,11
main__glasses__all_available,IZTECH,Free day,Sedentary (no reported exercise),17,14,14,11
main__glasses__all_available,IZTECH,Free day,Sedentary (no reported exercise),18,14,14,10
main__glasses__all_available,IZTECH,Free day,Sedentary (no reported exercise),19,14,14,11
main__glasses__all_available,IZTECH,Free day,Sedentary (no reported exercise),20,15,15,11
main__glasses__all_available,IZTECH,Free day,Sedentary (no reported exercise),21,13,13,9
main__glasses__all_available,IZTECH,Free day,Sedentary (no reported exercise),22,15,15,11
main__glasses__all_available,IZTECH,Free day,Sedentary (no reported exercise),23,13,13,9
main__glasses__all_available,KNUST,Work day,"Active (light, moderate, or vigorous exercise)",0,37,37,14
main__glasses__all_available,KNUST,Work day,"Active (light, moderate, or vigorous exercise)",1,37,37,14
main__glasses__all_available,KNUST,Work day,"Active (light, moderate, or vigorous exercise)",2,37,37,14
main__glasses__all_available,KNUST,Work day,"Active (light, moderate, or vigorous exercise)",3,37,37,14
main__glasses__all_available,KNUST,Work day,"Active (light, moderate, or vigorous exercise)",4,37,37,14
main__glasses__all_available,KNUST,Work day,"Active (light, moderate, or vigorous exercise)",5,37,37,14
main__glasses__all_available,KNUST,Work day,"Active (light, moderate, or vigorous exercise)",6,30,30,13
main__glasses__all_available,KNUST,Work day,"Active (light, moderate, or vigorous exercise)",7,34,34,14
main__glasses__all_available,KNUST,Work day,"Active (light, moderate, or vigorous exercise)",8,36,36,13
main__glasses__all_available,KNUST,Work day,"Active (light, moderate, or vigorous exercise)",9,37,37,14
main__glasses__all_available,KNUST,Work day,"Active (light, moderate, or vigorous exercise)",10,35,35,14
main__glasses__all_available,KNUST,Work day,"Active (light, moderate, or vigorous exercise)",11,36,36,14
main__glasses__all_available,KNUST,Work day,"Active (light, moderate, or vigorous exercise)",12,36,36,14
main__glasses__all_available,KNUST,Work day,"Active (light, moderate, or vigorous exercise)",13,37,37,14
main__glasses__all_available,KNUST,Work day,"Active (light, moderate, or vigorous exercise)",14,36,36,14
main__glasses__all_available,KNUST,Work day,"Active (light, moderate, or vigorous exercise)",15,34,34,14
main__glasses__all_available,KNUST,Work day,"Active (light, moderate, or vigorous exercise)",16,34,34,13
main__glasses__all_available,KNUST,Work day,"Active (light, moderate, or vigorous exercise)",17,36,36,14
main__glasses__all_available,KNUST,Work day,"Active (light, moderate, or vigorous exercise)",18,34,34,14
main__glasses__all_available,KNUST,Work day,"Active (light, moderate, or vigorous exercise)",19,31,31,13
main__glasses__all_available,KNUST,Work day,"Active (light, moderate, or vigorous exercise)",20,32,32,13
