run_id,cell_type,site,category,one_hour_observations,participant_days,participants
main__chest__paired_common,work_free_day,UCR,Work day,443,19,6
main__chest__paired_common,work_free_day,UCR,Free day,187,8,4
main__chest__paired_common,work_free_day,KNUST,Work day,866,38,14
main__chest__paired_common,work_free_day,KNUST,Free day,902,39,14
main__chest__paired_common,activity_status,RISE,"Active (light, moderate, or vigorous exercise)",1076,46,13
main__chest__paired_common,activity_status,RISE,Sedentary (no reported exercise),559,24,11
main__chest__paired_common,activity_status,THUAS,"Active (light, moderate, or vigorous exercise)",1172,51,13
main__chest__paired_common,activity_status,THUAS,Sedentary (no reported exercise),185,8,6
main__chest__paired_common,activity_status,BAUA,"Active (light, moderate, or vigorous exercise)",1370,59,15
main__chest__paired_common,activity_status,BAUA,Sedentary (no reported exercise),415,18,11
main__chest__paired_common,activity_status,TUM,"Active (light, moderate, or vigorous exercise)",856,37,9
main__chest__paired_common,activity_status,TUM,Sedentary (no reported exercise),534,23,8
main__chest__paired_common,activity_status,FUSPCEU,"Active (light, moderate, or vigorous exercise)",1259,54,18
main__chest__paired_common,activity_status,FUSPCEU,Sedentary (no reported exercise),783,33,14
main__chest__paired_common,activity_status,IZTECH,"Active (light, moderate, or vigorous exercise)",1297,56,15
main__chest__paired_common,activity_status,IZTECH,Sedentary (no reported exercise),938,40,13
main__chest__paired_common,activity_status,UCR,"Active (light, moderate, or vigorous exercise)",208,9,5
main__chest__paired_common,activity_status,UCR,Sedentary (no reported exercise),422,18,6
main__chest__paired_common,activity_status,KNUST,"Active (light, moderate, or vigorous exercise)",1493,65,15
main__chest__paired_common,activity_status,KNUST,Sedentary (no reported exercise),275,12,8
gap_timing_unaware__glasses__all_available,work_free_day,BAUA,Work day,1185,51,17
gap_timing_unaware__glasses__all_available,work_free_day,BAUA,Free day,820,35,17
gap_timing_unaware__glasses__all_available,work_free_day,FUSPCEU,Work day,1319,56,19
gap_timing_unaware__glasses__all_available,work_free_day,FUSPCEU,Free day,682,29,15
gap_timing_unaware__glasses__all_available,work_free_day,IZTECH,Work day,1409,60,17
gap_timing_unaware__glasses__all_available,work_free_day,IZTECH,Free day,765,33,16
gap_timing_unaware__glasses__all_available,work_free_day,KNUST,Work day,897,39,14
gap_timing_unaware__glasses__all_available,work_free_day,KNUST,Free day,923,40,14
gap_timing_unaware__glasses__all_available,work_free_day,MPI,Work day,1994,86,26
gap_timing_unaware__glasses__all_available,work_free_day,MPI,Free day,1365,59,25
gap_timing_unaware__glasses__all_available,work_free_day,RISE,Work day,982,42,12
gap_timing_unaware__glasses__all_available,work_free_day,RISE,Free day,630,27,13
gap_timing_unaware__glasses__all_available,work_free_day,THUAS,Free day,434,19,11
gap_timing_unaware__glasses__all_available,work_free_day,THUAS,Work day,923,40,13
gap_timing_unaware__glasses__all_available,work_free_day,TUM,Work day,697,30,10
gap_timing_unaware__glasses__all_available,work_free_day,TUM,Free day,693,30,10
gap_timing_unaware__glasses__all_available,work_free_day,UCR,Work day,424,18,6
gap_timing_unaware__glasses__all_available,work_free_day,UCR,Free day,187,8,4
gap_timing_unaware__glasses__all_available,activity_status,BAUA,"Active (light, moderate, or vigorous exercise)",1519,65,17
gap_timing_unaware__glasses__all_available,activity_status,BAUA,Sedentary (no reported exercise),486,21,12
gap_timing_unaware__glasses__all_available,activity_status,FUSPCEU,"Active (light, moderate, or vigorous exercise)",1218,52,18
gap_timing_unaware__glasses__all_available,activity_status,FUSPCEU,Sedentary (no reported exercise),783,33,14
gap_timing_unaware__glasses__all_available,activity_status,IZTECH,"Active (light, moderate, or vigorous exercise)",1257,54,15
gap_timing_unaware__glasses__all_available,activity_status,IZTECH,Sedentary (no reported exercise),917,39,13
gap_timing_unaware__glasses__all_available,activity_status,KNUST,"Active (light, moderate, or vigorous exercise)",1546,67,15
gap_timing_unaware__glasses__all_available,activity_status,KNUST,Sedentary (no reported exercise),274,12,8
gap_timing_unaware__glasses__all_available,activity_status,MPI,"Active (light, moderate, or vigorous exercise)",2565,111,26
gap_timing_unaware__glasses__all_available,activity_status,MPI,Sedentary (no reported exercise),794,34,14
gap_timing_unaware__glasses__all_available,activity_status,RISE,"Active (light, moderate, or vigorous exercise)",1053,45,13
gap_timing_unaware__glasses__all_available,activity_status,RISE,Sedentary (no reported exercise),559,24,11
gap_timing_unaware__glasses__all_available,activity_status,THUAS,"Active (light, moderate, or vigorous exercise)",1172,51,13
gap_timing_unaware__glasses__all_available,activity_status,THUAS,Sedentary (no reported exercise),185,8,6
gap_timing_unaware__glasses__all_available,activity_status,TUM,"Active (light, moderate, or vigorous exercise)",856,37,9
gap_timing_unaware__glasses__all_available,activity_status,TUM,Sedentary (no reported exercise),534,23,8
gap_timing_unaware__glasses__all_available,activity_status,UCR,"Active (light, moderate, or vigorous exercise)",208,9,5
gap_timing_unaware__glasses__all_available,activity_status,UCR,Sedentary (no reported exercise),403,17,6
gap_timing_unaware__chest__all_available,work_free_day,BAUA,Work day,1187,51,17
gap_timing_unaware__chest__all_available,work_free_day,BAUA,Free day,823,35,17
gap_timing_unaware__chest__all_available,work_free_day,FUSPCEU,Work day,1319,56,19
gap_timing_unaware__chest__all_available,work_free_day,FUSPCEU,Free day,682,29,15
gap_timing_unaware__chest__all_available,work_free_day,IZTECH,Work day,1432,61,17
gap_timing_unaware__chest__all_available,work_free_day,IZTECH,Free day,765,33,16
gap_timing_unaware__chest__all_available,work_free_day,KNUST,Work day,918,40,15
gap_timing_unaware__chest__all_available,work_free_day,KNUST,Free day,972,42,14
gap_timing_unaware__chest__all_available,work_free_day,RISE,Work day,1243,53,15
gap_timing_unaware__chest__all_available,work_free_day,RISE,Free day,749,32,16
gap_timing_unaware__chest__all_available,work_free_day,THUAS,Free day,552,24,13
gap_timing_unaware__chest__all_available,work_free_day,THUAS,Work day,1184,51,15
gap_timing_unaware__chest__all_available,work_free_day,TUM,Work day,697,30,10
gap_timing_unaware__chest__all_available,work_free_day,TUM,Free day,693,30,10
gap_timing_unaware__chest__all_available,work_free_day,UCR,Work day,3193,137,39
gap_timing_unaware__chest__all_available,work_free_day,UCR,Free day,1703,73,36
gap_timing_unaware__chest__all_available,activity_status,BAUA,"Active (light, moderate, or vigorous exercise)",1499,64,17
gap_timing_unaware__chest__all_available,activity_status,BAUA,Sedentary (no reported exercise),511,22,12
gap_timing_unaware__chest__all_available,activity_status,FUSPCEU,"Active (light, moderate, or vigorous exercise)",1218,52,18
gap_timing_unaware__chest__all_available,activity_status,FUSPCEU,Sedentary (no reported exercise),783,33,14
gap_timing_unaware__chest__all_available,activity_status,IZTECH,"Active (light, moderate, or vigorous exercise)",1280,55,15
gap_timing_unaware__chest__all_available,activity_status,IZTECH,Sedentary (no reported exercise),917,39,13
gap_timing_unaware__chest__all_available,activity_status,KNUST,"Active (light, moderate, or vigorous exercise)",1521,66,15
gap_timing_unaware__chest__all_available,activity_status,KNUST,Sedentary (no reported exercise),369,16,8
gap_timing_unaware__chest__all_available,activity_status,RISE,"Active (light, moderate, or vigorous exercise)",1291,55,16
gap_timing_unaware__chest__all_available,activity_status,RISE,Sedentary (no reported exercise),701,30,14
gap_timing_unaware__chest__all_available,activity_status,THUAS,"Active (light, moderate, or vigorous exercise)",1551,67,15
gap_timing_unaware__chest__all_available,activity_status,THUAS,Sedentary (no reported exercise),185,8,6
gap_timing_unaware__chest__all_available,activity_status,TUM,"Active (light, moderate, or vigorous exercise)",856,37,9
gap_timing_unaware__chest__all_available,activity_status,TUM,Sedentary (no reported exercise),534,23,8
gap_timing_unaware__chest__all_available,activity_status,UCR,"Active (light, moderate, or vigorous exercise)",2492,108,36
gap_timing_unaware__chest__all_available,activity_status,UCR,Sedentary (no reported exercise),2404,102,37
