site,work_free_day,activity_status,clock_hour_bin,observations,positive_observations,zero_observations,zero_fraction,participants,participant_days
RISE,Work day,"Active (light, moderate, or vigorous exercise)",15,28,28,0,0,11,28
RISE,Work day,"Active (light, moderate, or vigorous exercise)",16,27,26,1,0.037037037037037035,10,27
RISE,Work day,"Active (light, moderate, or vigorous exercise)",17,26,26,0,0,10,26
RISE,Work day,"Active (light, moderate, or vigorous exercise)",18,26,26,0,0,9,26
RISE,Work day,"Active (light, moderate, or vigorous exercise)",19,26,25,1,0.038461538461538464,10,26
RISE,Work day,"Active (light, moderate, or vigorous exercise)",20,28,28,0,0,11,28
RISE,Work day,"Active (light, moderate, or vigorous exercise)",21,27,27,0,0,11,27
RISE,Work day,"Active (light, moderate, or vigorous exercise)",22,26,20,6,0.23076923076923078,11,26
RISE,Work day,"Active (light, moderate, or vigorous exercise)",23,27,12,15,0.5555555555555556,11,27
RISE,Free day,Sedentary (no reported exercise),0,9,3,6,0.6666666666666666,6,9
RISE,Free day,Sedentary (no reported exercise),1,9,3,6,0.6666666666666666,6,9
RISE,Free day,Sedentary (no reported exercise),2,9,0,9,1,6,9
RISE,Free day,Sedentary (no reported exercise),3,9,0,9,1,6,9
RISE,Free day,Sedentary (no reported exercise),4,9,0,9,1,6,9
RISE,Free day,Sedentary (no reported exercise),5,9,1,8,0.8888888888888888,6,9
RISE,Free day,Sedentary (no reported exercise),6,9,3,6,0.6666666666666666,6,9
RISE,Free day,Sedentary (no reported exercise),7,9,8,1,0.1111111111111111,6,9
RISE,Free day,Sedentary (no reported exercise),8,9,9,0,0,6,9
RISE,Free day,Sedentary (no reported exercise),9,8,8,0,0,6,8
RISE,Free day,Sedentary (no reported exercise),10,8,8,0,0,6,8
RISE,Free day,Sedentary (no reported exercise),11,8,8,0,0,6,8
RISE,Free day,Sedentary (no reported exercise),12,8,8,0,0,6,8
RISE,Free day,Sedentary (no reported exercise),13,9,9,0,0,6,9
RISE,Free day,Sedentary (no reported exercise),14,9,9,0,0,6,9
RISE,Free day,Sedentary (no reported exercise),15,9,9,0,0,6,9
RISE,Free day,Sedentary (no reported exercise),16,8,8,0,0,6,8
RISE,Free day,Sedentary (no reported exercise),17,9,9,0,0,6,9
RISE,Free day,Sedentary (no reported exercise),18,9,9,0,0,6,9
RISE,Free day,Sedentary (no reported exercise),19,9,9,0,0,6,9
RISE,Free day,Sedentary (no reported exercise),20,9,9,0,0,6,9
RISE,Free day,Sedentary (no reported exercise),21,9,9,0,0,6,9
RISE,Free day,Sedentary (no reported exercise),22,8,5,3,0.375,6,8
RISE,Free day,Sedentary (no reported exercise),23,9,3,6,0.6666666666666666,6,9
RISE,Free day,"Active (light, moderate, or vigorous exercise)",0,18,5,13,0.7222222222222222,11,18
RISE,Free day,"Active (light, moderate, or vigorous exercise)",1,18,1,17,0.9444444444444444,11,18
RISE,Free day,"Active (light, moderate, or vigorous exercise)",2,17,1,16,0.9411764705882353,11,17
RISE,Free day,"Active (light, moderate, or vigorous exercise)",3,17,4,13,0.7647058823529411,11,17
RISE,Free day,"Active (light, moderate, or vigorous exercise)",4,18,3,15,0.8333333333333334,11,18
RISE,Free day,"Active (light, moderate, or vigorous exercise)",5,18,6,12,0.6666666666666666,11,18
RISE,Free day,"Active (light, moderate, or vigorous exercise)",6,18,13,5,0.2777777777777778,11,18
RISE,Free day,"Active (light, moderate, or vigorous exercise)",7,18,15,3,0.16666666666666666,11,18
RISE,Free day,"Active (light, moderate, or vigorous exercise)",8,18,18,0,0,11,18
RISE,Free day,"Active (light, moderate, or vigorous exercise)",9,18,18,0,0,11,18
RISE,Free day,"Active (light, moderate, or vigorous exercise)",10,18,18,0,0,11,18
RISE,Free day,"Active (light, moderate, or vigorous exercise)",11,18,18,0,0,11,18
RISE,Free day,"Active (light, moderate, or vigorous exercise)",12,17,17,0,0,11,17
RISE,Free day,"Active (light, moderate, or vigorous exercise)",13,17,17,0,0,10,17
RISE,Free day,"Active (light, moderate, or vigorous exercise)",14,15,15,0,0,10,15
RISE,Free day,"Active (light, moderate, or vigorous exercise)",15,16,16,0,0,11,16
RISE,Free day,"Active (light, moderate, or vigorous exercise)",16,17,17,0,0,11,17
RISE,Free day,"Active (light, moderate, or vigorous exercise)",17,17,17,0,0,11,17
RISE,Free day,"Active (light, moderate, or vigorous exercise)",18,18,18,0,0,11,18
RISE,Free day,"Active (light, moderate, or vigorous exercise)",19,18,18,0,0,11,18
RISE,Free day,"Active (light, moderate, or vigorous exercise)",20,18,18,0,0,11,18
RISE,Free day,"Active (light, moderate, or vigorous exercise)",21,18,16,2,0.1111111111111111,11,18
RISE,Free day,"Active (light, moderate, or vigorous exercise)",22,17,14,3,0.17647058823529413,11,17
RISE,Free day,"Active (light, moderate, or vigorous exercise)",23,18,10,8,0.4444444444444444,11,18
THUAS,Work day,Sedentary (no reported exercise),0,5,4,1,0.2,4,5
THUAS,Work day,Sedentary (no reported exercise),1,5,0,5,1,4,5
THUAS,Work day,Sedentary (no reported exercise),2,4,0,4,1,4,4
THUAS,Work day,Sedentary (no reported exercise),3,4,0,4,1,4,4
THUAS,Work day,Sedentary (no reported exercise),4,5,2,3,0.6,4,5
THUAS,Work day,Sedentary (no reported exercise),5,5,1,4,0.8,4,5
THUAS,Work day,Sedentary (no reported exercise),6,5,0,5,1,4,5
THUAS,Work day,Sedentary (no reported exercise),7,5,3,2,0.4,4,5
THUAS,Work day,Sedentary (no reported exercise),8,5,5,0,0,4,5
THUAS,Work day,Sedentary (no reported exercise),9,5,5,0,0,4,5
THUAS,Work day,Sedentary (no reported exercise),10,5,5,0,0,4,5
THUAS,Work day,Sedentary (no reported exercise),11,5,5,0,0,4,5
THUAS,Work day,Sedentary (no reported exercise),12,5,5,0,0,4,5
THUAS,Work day,Sedentary (no reported exercise),13,5,5,0,0,4,5
THUAS,Work day,Sedentary (no reported exercise),14,5,5,0,0,4,5
THUAS,Work day,Sedentary (no reported exercise),15,5,5,0,0,4,5
THUAS,Work day,Sedentary (no reported exercise),16,5,5,0,0,4,5
THUAS,Work day,Sedentary (no reported exercise),17,5,4,1,0.2,4,5
THUAS,Work day,Sedentary (no reported exercise),18,5,4,1,0.2,4,5
THUAS,Work day,Sedentary (no reported exercise),19,4,3,1,0.25,4,4
THUAS,Work day,Sedentary (no reported exercise),20,4,3,1,0.25,3,4
THUAS,Work day,Sedentary (no reported exercise),21,4,3,1,0.25,3,4
THUAS,Work day,Sedentary (no reported exercise),22,4,3,1,0.25,3,4
THUAS,Work day,Sedentary (no reported exercise),23,5,3,2,0.4,4,5
THUAS,Work day,"Active (light, moderate, or vigorous exercise)",0,35,10,25,0.7142857142857143,13,35
THUAS,Work day,"Active (light, moderate, or vigorous exercise)",1,35,2,33,0.9428571428571428,13,35
THUAS,Work day,"Active (light, moderate, or vigorous exercise)",2,35,2,33,0.9428571428571428,13,35
THUAS,Work day,"Active (light, moderate, or vigorous exercise)",3,35,1,34,0.9714285714285714,13,35
THUAS,Work day,"Active (light, moderate, or vigorous exercise)",4,35,1,34,0.9714285714285714,13,35
THUAS,Work day,"Active (light, moderate, or vigorous exercise)",5,35,13,22,0.6285714285714286,13,35
THUAS,Work day,"Active (light, moderate, or vigorous exercise)",6,35,23,12,0.34285714285714286,13,35
THUAS,Work day,"Active (light, moderate, or vigorous exercise)",7,35,30,5,0.14285714285714285,13,35
THUAS,Work day,"Active (light, moderate, or vigorous exercise)",8,34,34,0,0,13,34
THUAS,Work day,"Active (light, moderate, or vigorous exercise)",9,33,33,0,0,13,33
THUAS,Work day,"Active (light, moderate, or vigorous exercise)",10,33,33,0,0,13,33
THUAS,Work day,"Active (light, moderate, or vigorous exercise)",11,34,34,0,0,13,34
THUAS,Work day,"Active (light, moderate, or vigorous exercise)",12,30,30,0,0,13,30
THUAS,Work day,"Active (light, moderate, or vigorous exercise)",13,34,34,0,0,13,34
THUAS,Work day,"Active (light, moderate, or vigorous exercise)",14,34,34,0,0,13,34
THUAS,Work day,"Active (light, moderate, or vigorous exercise)",15,35,35,0,0,13,35
THUAS,Work day,"Active (light, moderate, or vigorous exercise)",16,34,34,0,0,13,34
THUAS,Work day,"Active (light, moderate, or vigorous exercise)",17,32,32,0,0,13,32
THUAS,Work day,"Active (light, moderate, or vigorous exercise)",18,30,30,0,0,13,30
THUAS,Work day,"Active (light, moderate, or vigorous exercise)",19,32,32,0,0,13,32
THUAS,Work day,"Active (light, moderate, or vigorous exercise)",20,33,32,1,0.030303030303030304,13,33
THUAS,Work day,"Active (light, moderate, or vigorous exercise)",21,33,31,2,0.06060606060606061,13,33
THUAS,Work day,"Active (light, moderate, or vigorous exercise)",22,34,31,3,0.08823529411764706,13,34
THUAS,Work day,"Active (light, moderate, or vigorous exercise)",23,34,23,11,0.3235294117647059,13,34
THUAS,Free day,Sedentary (no reported exercise),0,3,0,3,1,3,3
THUAS,Free day,Sedentary (no reported exercise),1,3,0,3,1,3,3
THUAS,Free day,Sedentary (no reported exercise),2,3,0,3,1,3,3
THUAS,Free day,Sedentary (no reported exercise),3,3,0,3,1,3,3
THUAS,Free day,Sedentary (no reported exercise),4,3,0,3,1,3,3
THUAS,Free day,Sedentary (no reported exercise),5,3,1,2,0.6666666666666666,3,3
THUAS,Free day,Sedentary (no reported exercise),6,3,1,2,0.6666666666666666,3,3
THUAS,Free day,Sedentary (no reported exercise),7,3,3,0,0,3,3
THUAS,Free day,Sedentary (no reported exercise),8,3,3,0,0,3,3
THUAS,Free day,Sedentary (no reported exercise),9,3,3,0,0,3,3
THUAS,Free day,Sedentary (no reported exercise),10,3,3,0,0,3,3
THUAS,Free day,Sedentary (no reported exercise),11,3,3,0,0,3,3
THUAS,Free day,Sedentary (no reported exercise),12,3,3,0,0,3,3
THUAS,Free day,Sedentary (no reported exercise),13,3,3,0,0,3,3
THUAS,Free day,Sedentary (no reported exercise),14,3,3,0,0,3,3
THUAS,Free day,Sedentary (no reported exercise),15,3,3,0,0,3,3
THUAS,Free day,Sedentary (no reported exercise),16,3,3,0,0,3,3
THUAS,Free day,Sedentary (no reported exercise),17,3,3,0,0,3,3
THUAS,Free day,Sedentary (no reported exercise),18,3,3,0,0,3,3
THUAS,Free day,Sedentary (no reported exercise),19,3,3,0,0,3,3
THUAS,Free day,Sedentary (no reported exercise),20,3,3,0,0,3,3
THUAS,Free day,Sedentary (no reported exercise),21,2,2,0,0,2,2
THUAS,Free day,Sedentary (no reported exercise),22,3,3,0,0,3,3
THUAS,Free day,Sedentary (no reported exercise),23,3,3,0,0,3,3
THUAS,Free day,"Active (light, moderate, or vigorous exercise)",0,16,8,8,0.5,11,16
THUAS,Free day,"Active (light, moderate, or vigorous exercise)",1,16,5,11,0.6875,11,16
THUAS,Free day,"Active (light, moderate, or vigorous exercise)",2,16,1,15,0.9375,11,16
THUAS,Free day,"Active (light, moderate, or vigorous exercise)",3,16,2,14,0.875,11,16
THUAS,Free day,"Active (light, moderate, or vigorous exercise)",4,16,1,15,0.9375,11,16
THUAS,Free day,"Active (light, moderate, or vigorous exercise)",5,16,6,10,0.625,11,16
THUAS,Free day,"Active (light, moderate, or vigorous exercise)",6,16,8,8,0.5,11,16
THUAS,Free day,"Active (light, moderate, or vigorous exercise)",7,16,11,5,0.3125,11,16
THUAS,Free day,"Active (light, moderate, or vigorous exercise)",8,16,14,2,0.125,11,16
THUAS,Free day,"Active (light, moderate, or vigorous exercise)",9,16,15,1,0.0625,11,16
THUAS,Free day,"Active (light, moderate, or vigorous exercise)",10,13,13,0,0,10,13
THUAS,Free day,"Active (light, moderate, or vigorous exercise)",11,14,14,0,0,10,14
THUAS,Free day,"Active (light, moderate, or vigorous exercise)",12,16,16,0,0,11,16
THUAS,Free day,"Active (light, moderate, or vigorous exercise)",13,16,16,0,0,11,16
THUAS,Free day,"Active (light, moderate, or vigorous exercise)",14,16,16,0,0,11,16
THUAS,Free day,"Active (light, moderate, or vigorous exercise)",15,16,15,1,0.0625,11,16
THUAS,Free day,"Active (light, moderate, or vigorous exercise)",16,15,14,1,0.06666666666666667,10,15
THUAS,Free day,"Active (light, moderate, or vigorous exercise)",17,15,14,1,0.06666666666666667,10,15
THUAS,Free day,"Active (light, moderate, or vigorous exercise)",18,14,13,1,0.07142857142857142,10,14
THUAS,Free day,"Active (light, moderate, or vigorous exercise)",19,14,13,1,0.07142857142857142,9,14
THUAS,Free day,"Active (light, moderate, or vigorous exercise)",20,13,12,1,0.07692307692307693,10,13
THUAS,Free day,"Active (light, moderate, or vigorous exercise)",21,13,12,1,0.07692307692307693,9,13
THUAS,Free day,"Active (light, moderate, or vigorous exercise)",22,13,9,4,0.3076923076923077,9,13
THUAS,Free day,"Active (light, moderate, or vigorous exercise)",23,15,9,6,0.4,11,15
BAUA,Work day,Sedentary (no reported exercise),0,15,4,11,0.7333333333333333,12,15
BAUA,Work day,Sedentary (no reported exercise),1,15,1,14,0.9333333333333333,12,15
BAUA,Work day,Sedentary (no reported exercise),2,15,0,15,1,12,15
BAUA,Work day,Sedentary (no reported exercise),3,15,0,15,1,12,15
BAUA,Work day,Sedentary (no reported exercise),4,15,3,12,0.8,12,15
BAUA,Work day,Sedentary (no reported exercise),5,15,9,6,0.4,12,15
BAUA,Work day,Sedentary (no reported exercise),6,15,12,3,0.2,12,15
BAUA,Work day,Sedentary (no reported exercise),7,15,13,2,0.13333333333333333,12,15
BAUA,Work day,Sedentary (no reported exercise),8,15,14,1,0.06666666666666667,12,15
BAUA,Work day,Sedentary (no reported exercise),9,15,14,1,0.06666666666666667,12,15
BAUA,Work day,Sedentary (no reported exercise),10,15,15,0,0,12,15
BAUA,Work day,Sedentary (no reported exercise),11,15,15,0,0,12,15
BAUA,Work day,Sedentary (no reported exercise),12,15,15,0,0,12,15
BAUA,Work day,Sedentary (no reported exercise),13,13,13,0,0,11,13
BAUA,Work day,Sedentary (no reported exercise),14,14,14,0,0,11,14
BAUA,Work day,Sedentary (no reported exercise),15,13,13,0,0,11,13
BAUA,Work day,Sedentary (no reported exercise),16,15,15,0,0,12,15
BAUA,Work day,Sedentary (no reported exercise),17,13,13,0,0,12,13
BAUA,Work day,Sedentary (no reported exercise),18,14,14,0,0,11,14
BAUA,Work day,Sedentary (no reported exercise),19,15,15,0,0,12,15
BAUA,Work day,Sedentary (no reported exercise),20,13,13,0,0,11,13
BAUA,Work day,Sedentary (no reported exercise),21,14,13,1,0.07142857142857142,11,14
BAUA,Work day,Sedentary (no reported exercise),22,14,10,4,0.2857142857142857,11,14
BAUA,Work day,Sedentary (no reported exercise),23,14,6,8,0.5714285714285714,11,14
BAUA,Work day,"Active (light, moderate, or vigorous exercise)",0,37,9,28,0.7567567567567568,15,37
BAUA,Work day,"Active (light, moderate, or vigorous exercise)",1,37,2,35,0.9459459459459459,15,37
BAUA,Work day,"Active (light, moderate, or vigorous exercise)",2,37,1,36,0.972972972972973,15,37
BAUA,Work day,"Active (light, moderate, or vigorous exercise)",3,37,1,36,0.972972972972973,15,37
BAUA,Work day,"Active (light, moderate, or vigorous exercise)",4,37,7,30,0.8108108108108109,15,37
BAUA,Work day,"Active (light, moderate, or vigorous exercise)",5,37,21,16,0.43243243243243246,15,37
BAUA,Work day,"Active (light, moderate, or vigorous exercise)",6,37,27,10,0.2702702702702703,15,37
BAUA,Work day,"Active (light, moderate, or vigorous exercise)",7,37,34,3,0.08108108108108109,15,37
BAUA,Work day,"Active (light, moderate, or vigorous exercise)",8,37,36,1,0.02702702702702703,15,37
BAUA,Work day,"Active (light, moderate, or vigorous exercise)",9,37,37,0,0,15,37
BAUA,Work day,"Active (light, moderate, or vigorous exercise)",10,37,37,0,0,15,37
BAUA,Work day,"Active (light, moderate, or vigorous exercise)",11,37,37,0,0,15,37
BAUA,Work day,"Active (light, moderate, or vigorous exercise)",12,36,36,0,0,15,36
BAUA,Work day,"Active (light, moderate, or vigorous exercise)",13,35,35,0,0,14,35
BAUA,Work day,"Active (light, moderate, or vigorous exercise)",14,37,37,0,0,15,37
BAUA,Work day,"Active (light, moderate, or vigorous exercise)",15,34,34,0,0,15,34
BAUA,Work day,"Active (light, moderate, or vigorous exercise)",16,33,33,0,0,15,33
BAUA,Work day,"Active (light, moderate, or vigorous exercise)",17,31,31,0,0,13,31
BAUA,Work day,"Active (light, moderate, or vigorous exercise)",18,33,33,0,0,15,33
BAUA,Work day,"Active (light, moderate, or vigorous exercise)",19,34,34,0,0,15,34
BAUA,Work day,"Active (light, moderate, or vigorous exercise)",20,34,33,1,0.029411764705882353,14,34
BAUA,Work day,"Active (light, moderate, or vigorous exercise)",21,34,32,2,0.058823529411764705,14,34
BAUA,Work day,"Active (light, moderate, or vigorous exercise)",22,35,28,7,0.2,15,35
BAUA,Work day,"Active (light, moderate, or vigorous exercise)",23,37,16,21,0.5675675675675675,15,37
BAUA,Free day,Sedentary (no reported exercise),0,6,4,2,0.3333333333333333,6,6
BAUA,Free day,Sedentary (no reported exercise),1,6,1,5,0.8333333333333334,6,6
BAUA,Free day,Sedentary (no reported exercise),2,6,0,6,1,6,6
BAUA,Free day,Sedentary (no reported exercise),3,6,0,6,1,6,6
BAUA,Free day,Sedentary (no reported exercise),4,6,1,5,0.8333333333333334,6,6
BAUA,Free day,Sedentary (no reported exercise),5,6,3,3,0.5,6,6
BAUA,Free day,Sedentary (no reported exercise),6,6,3,3,0.5,6,6
BAUA,Free day,Sedentary (no reported exercise),7,6,4,2,0.3333333333333333,6,6
BAUA,Free day,Sedentary (no reported exercise),8,6,5,1,0.16666666666666666,6,6
BAUA,Free day,Sedentary (no reported exercise),9,6,6,0,0,6,6
BAUA,Free day,Sedentary (no reported exercise),10,6,6,0,0,6,6
BAUA,Free day,Sedentary (no reported exercise),11,6,6,0,0,6,6
BAUA,Free day,Sedentary (no reported exercise),12,5,5,0,0,5,5
BAUA,Free day,Sedentary (no reported exercise),13,5,5,0,0,5,5
BAUA,Free day,Sedentary (no reported exercise),14,6,5,1,0.16666666666666666,6,6
BAUA,Free day,Sedentary (no reported exercise),15,6,5,1,0.16666666666666666,6,6
BAUA,Free day,Sedentary (no reported exercise),16,6,6,0,0,6,6
BAUA,Free day,Sedentary (no reported exercise),17,6,6,0,0,6,6
BAUA,Free day,Sedentary (no reported exercise),18,6,6,0,0,6,6
BAUA,Free day,Sedentary (no reported exercise),19,6,6,0,0,6,6
BAUA,Free day,Sedentary (no reported exercise),20,6,6,0,0,6,6
BAUA,Free day,Sedentary (no reported exercise),21,5,5,0,0,5,5
BAUA,Free day,Sedentary (no reported exercise),22,5,2,3,0.6,5,5
BAUA,Free day,Sedentary (no reported exercise),23,5,2,3,0.6,5,5
BAUA,Free day,"Active (light, moderate, or vigorous exercise)",0,29,11,18,0.6206896551724138,16,29
BAUA,Free day,"Active (light, moderate, or vigorous exercise)",1,30,7,23,0.7666666666666667,16,30
BAUA,Free day,"Active (light, moderate, or vigorous exercise)",2,30,1,29,0.9666666666666667,16,30
BAUA,Free day,"Active (light, moderate, or vigorous exercise)",3,30,1,29,0.9666666666666667,16,30
BAUA,Free day,"Active (light, moderate, or vigorous exercise)",4,30,3,27,0.9,16,30
BAUA,Free day,"Active (light, moderate, or vigorous exercise)",5,30,12,18,0.6,16,30
BAUA,Free day,"Active (light, moderate, or vigorous exercise)",6,30,15,15,0.5,16,30
BAUA,Free day,"Active (light, moderate, or vigorous exercise)",7,30,19,11,0.36666666666666664,16,30
BAUA,Free day,"Active (light, moderate, or vigorous exercise)",8,30,25,5,0.16666666666666666,16,30
BAUA,Free day,"Active (light, moderate, or vigorous exercise)",9,29,26,3,0.10344827586206896,15,29
BAUA,Free day,"Active (light, moderate, or vigorous exercise)",10,29,27,2,0.06896551724137931,16,29
BAUA,Free day,"Active (light, moderate, or vigorous exercise)",11,27,27,0,0,15,27
BAUA,Free day,"Active (light, moderate, or vigorous exercise)",12,29,29,0,0,16,29
BAUA,Free day,"Active (light, moderate, or vigorous exercise)",13,29,29,0,0,16,29
BAUA,Free day,"Active (light, moderate, or vigorous exercise)",14,29,28,1,0.034482758620689655,16,29
BAUA,Free day,"Active (light, moderate, or vigorous exercise)",15,30,29,1,0.03333333333333333,16,30
BAUA,Free day,"Active (light, moderate, or vigorous exercise)",16,29,28,1,0.034482758620689655,16,29
BAUA,Free day,"Active (light, moderate, or vigorous exercise)",17,29,28,1,0.034482758620689655,16,29
BAUA,Free day,"Active (light, moderate, or vigorous exercise)",18,28,27,1,0.03571428571428571,15,28
BAUA,Free day,"Active (light, moderate, or vigorous exercise)",19,29,28,1,0.034482758620689655,15,29
BAUA,Free day,"Active (light, moderate, or vigorous exercise)",20,30,28,2,0.06666666666666667,16,30
BAUA,Free day,"Active (light, moderate, or vigorous exercise)",21,30,29,1,0.03333333333333333,16,30
BAUA,Free day,"Active (light, moderate, or vigorous exercise)",22,28,23,5,0.17857142857142858,16,28
BAUA,Free day,"Active (light, moderate, or vigorous exercise)",23,27,13,14,0.5185185185185185,16,27
MPI,Work day,Sedentary (no reported exercise),0,11,5,6,0.5454545454545454,7,11
MPI,Work day,Sedentary (no reported exercise),1,11,5,6,0.5454545454545454,7,11
MPI,Work day,Sedentary (no reported exercise),2,11,2,9,0.8181818181818182,7,11
MPI,Work day,Sedentary (no reported exercise),3,11,0,11,1,7,11
MPI,Work day,Sedentary (no reported exercise),4,11,0,11,1,7,11
MPI,Work day,Sedentary (no reported exercise),5,11,1,10,0.9090909090909091,7,11
MPI,Work day,Sedentary (no reported exercise),6,11,2,9,0.8181818181818182,7,11
MPI,Work day,Sedentary (no reported exercise),7,11,5,6,0.5454545454545454,7,11
MPI,Work day,Sedentary (no reported exercise),8,11,8,3,0.2727272727272727,7,11
MPI,Work day,Sedentary (no reported exercise),9,11,10,1,0.09090909090909091,7,11
MPI,Work day,Sedentary (no reported exercise),10,11,10,1,0.09090909090909091,7,11
MPI,Work day,Sedentary (no reported exercise),11,11,10,1,0.09090909090909091,7,11
MPI,Work day,Sedentary (no reported exercise),12,10,10,0,0,6,10
MPI,Work day,Sedentary (no reported exercise),13,10,10,0,0,7,10
MPI,Work day,Sedentary (no reported exercise),14,10,10,0,0,7,10
MPI,Work day,Sedentary (no reported exercise),15,10,10,0,0,7,10
MPI,Work day,Sedentary (no reported exercise),16,11,11,0,0,7,11
MPI,Work day,Sedentary (no reported exercise),17,11,11,0,0,7,11
MPI,Work day,Sedentary (no reported exercise),18,10,10,0,0,6,10
MPI,Work day,Sedentary (no reported exercise),19,11,11,0,0,7,11
MPI,Work day,Sedentary (no reported exercise),20,10,10,0,0,7,10
MPI,Work day,Sedentary (no reported exercise),21,9,9,0,0,6,9
MPI,Work day,Sedentary (no reported exercise),22,11,10,1,0.09090909090909091,7,11
MPI,Work day,Sedentary (no reported exercise),23,11,9,2,0.18181818181818182,7,11
MPI,Work day,"Active (light, moderate, or vigorous exercise)",0,75,39,36,0.48,25,75
MPI,Work day,"Active (light, moderate, or vigorous exercise)",1,75,16,59,0.7866666666666666,25,75
MPI,Work day,"Active (light, moderate, or vigorous exercise)",2,75,6,69,0.92,25,75
MPI,Work day,"Active (light, moderate, or vigorous exercise)",3,75,3,72,0.96,25,75
MPI,Work day,"Active (light, moderate, or vigorous exercise)",4,75,1,74,0.9866666666666667,25,75
MPI,Work day,"Active (light, moderate, or vigorous exercise)",5,75,6,69,0.92,25,75
MPI,Work day,"Active (light, moderate, or vigorous exercise)",6,75,39,36,0.48,25,75
MPI,Work day,"Active (light, moderate, or vigorous exercise)",7,75,68,7,0.09333333333333334,25,75
MPI,Work day,"Active (light, moderate, or vigorous exercise)",8,74,72,2,0.02702702702702703,25,74
MPI,Work day,"Active (light, moderate, or vigorous exercise)",9,74,73,1,0.013513513513513514,25,74
MPI,Work day,"Active (light, moderate, or vigorous exercise)",10,74,73,1,0.013513513513513514,25,74
MPI,Work day,"Active (light, moderate, or vigorous exercise)",11,75,74,1,0.013333333333333334,25,75
MPI,Work day,"Active (light, moderate, or vigorous exercise)",12,75,75,0,0,25,75
MPI,Work day,"Active (light, moderate, or vigorous exercise)",13,72,72,0,0,25,72
MPI,Work day,"Active (light, moderate, or vigorous exercise)",14,73,73,0,0,25,73
MPI,Work day,"Active (light, moderate, or vigorous exercise)",15,74,74,0,0,25,74
MPI,Work day,"Active (light, moderate, or vigorous exercise)",16,70,70,0,0,24,70
MPI,Work day,"Active (light, moderate, or vigorous exercise)",17,69,69,0,0,24,69
MPI,Work day,"Active (light, moderate, or vigorous exercise)",18,68,68,0,0,24,68
MPI,Work day,"Active (light, moderate, or vigorous exercise)",19,66,66,0,0,25,66
