placement,site,Id,source_mctq,source_meq,normalized_mctq,normalized_meq,mctq_value_matches,meq_value_matches
glasses,KNUST,KNUST_S010,4800,65,4800,65,TRUE,TRUE
glasses,KNUST,KNUST_S011,11057.142856955528,60,11057.142856955528,60,TRUE,TRUE
glasses,KNUST,KNUST_S012,11400,68,11400,68,TRUE,TRUE
glasses,KNUST,KNUST_S013,6750,73,6750,73,TRUE,TRUE
glasses,KNUST,KNUST_S014,8288.571429014206,45,8288.571429014206,45,TRUE,TRUE
glasses,KNUST,KNUST_S015,5700,57,5700,57,TRUE,TRUE
glasses,MPI,MPI_S201,14550,47,14550,47,TRUE,TRUE
glasses,MPI,MPI_S202,14948.571429014206,49,14948.571429014206,49,TRUE,TRUE
glasses,MPI,MPI_S204,20121.428570985794,33,20121.428570985794,33,TRUE,TRUE
glasses,MPI,MPI_S205,13435.714285969734,41,13435.714285969734,41,TRUE,TRUE
glasses,MPI,MPI_S206,20700,42,20700,42,TRUE,TRUE
glasses,MPI,MPI_S208,17378.571429014206,38,17378.571429014206,38,TRUE,TRUE
glasses,MPI,MPI_S209,16650,46,16650,46,TRUE,TRUE
glasses,MPI,MPI_S210,9942.857143044472,66,9942.857143044472,66,TRUE,TRUE
glasses,MPI,MPI_S212,9450,70,9450,70,TRUE,TRUE
glasses,MPI,MPI_S213,15248.571429014206,62,15248.571429014206,62,TRUE,TRUE
glasses,MPI,MPI_S214,18750,69,18750,69,TRUE,TRUE
glasses,MPI,MPI_S215,18900,54,18900,54,TRUE,TRUE
glasses,MPI,MPI_S216,23400,33,23400,33,TRUE,TRUE
glasses,MPI,MPI_S218,21000,36,21000,36,TRUE,TRUE
glasses,MPI,MPI_S219,16778.571429014206,59,16778.571429014206,59,TRUE,TRUE
glasses,MPI,MPI_S221,20828.571429014206,49,20828.571429014206,49,TRUE,TRUE
glasses,MPI,MPI_S222,10950,63,10950,63,TRUE,TRUE
glasses,MPI,MPI_S223,19414.285714030266,41,19414.285714030266,41,TRUE,TRUE
glasses,MPI,MPI_S224,16135.714285969734,59,16135.714285969734,59,TRUE,TRUE
glasses,MPI,MPI_S225,9557.142856955528,59,9557.142856955528,59,TRUE,TRUE
glasses,MPI,MPI_S226,17635.714285969734,55,17635.714285969734,55,TRUE,TRUE
glasses,MPI,MPI_S227,22157.14285695553,34,22157.14285695553,34,TRUE,TRUE
glasses,MPI,MPI_S228,16140,55,16140,55,TRUE,TRUE
glasses,MPI,MPI_S229,14442.857143044472,60,14442.857143044472,60,TRUE,TRUE
glasses,MPI,MPI_S230,16071.428570985794,28,16071.428570985794,28,TRUE,TRUE
glasses,MPI,MPI_S231,14935.714285969734,47,14935.714285969734,47,TRUE,TRUE
glasses,RISE,RISE_S001,9150,58,9150,58,TRUE,TRUE
glasses,RISE,RISE_S002,25178.571429014206,30,25178.571429014206,30,TRUE,TRUE
glasses,RISE,RISE_S003,16864.285714030266,41,16864.285714030266,41,TRUE,TRUE
glasses,RISE,RISE_S004,11250,57,11250,57,TRUE,TRUE
glasses,RISE,RISE_S005,10350,49,10350,49,TRUE,TRUE
glasses,RISE,RISE_S006,12900,39,12900,39,TRUE,TRUE
glasses,RISE,RISE_S007,14421.428570985794,35,14421.428570985794,35,TRUE,TRUE
glasses,RISE,RISE_S008,10778.571429014206,67,10778.571429014206,67,TRUE,TRUE
glasses,RISE,RISE_S009,9321.428570985794,60,9321.428570985794,60,TRUE,TRUE
glasses,RISE,RISE_S010,10500,65,10500,65,TRUE,TRUE
glasses,RISE,RISE_S012,9750,63,9750,63,TRUE,TRUE
glasses,RISE,RISE_S013,6600,73,6600,73,TRUE,TRUE
glasses,RISE,RISE_S016,14078.571429014206,54,14078.571429014206,54,TRUE,TRUE
glasses,THUAS,THUAS_S001,18128.571429014206,40,18128.571429014206,40,TRUE,TRUE
glasses,THUAS,THUAS_S002,18642.85714304447,39,18642.85714304447,39,TRUE,TRUE
glasses,THUAS,THUAS_S003,13435.714285969734,56,13435.714285969734,56,TRUE,TRUE
glasses,THUAS,THUAS_S005,15750,54,15750,54,TRUE,TRUE
glasses,THUAS,THUAS_S006,21150,45,21150,45,TRUE,TRUE
glasses,THUAS,THUAS_S007,14357.142856955528,49,14357.142856955528,49,TRUE,TRUE
glasses,THUAS,THUAS_S010,17100,55,17100,55,TRUE,TRUE
glasses,THUAS,THUAS_S011,9300,60,9300,60,TRUE,TRUE
glasses,THUAS,THUAS_S014,11858.571429014206,58,11858.571429014206,58,TRUE,TRUE
glasses,THUAS,THUAS_S015,17550,45,17550,45,TRUE,TRUE
glasses,THUAS,THUAS_S016,19800,37,19800,37,TRUE,TRUE
glasses,THUAS,THUAS_S017,13071.428570985794,62,13071.428570985794,62,TRUE,TRUE
glasses,THUAS,THUAS_S018,13157.142856955528,61,13157.142856955528,61,TRUE,TRUE
glasses,TUM,TUM_S001,16092.857143044472,57,16092.857143044472,57,TRUE,TRUE
glasses,TUM,TUM_S002,14571.428570985794,58,14571.428570985794,58,TRUE,TRUE
glasses,TUM,TUM_S003,20614.285714030266,42,20614.285714030266,42,TRUE,TRUE
glasses,TUM,TUM_S004,21985.714285969734,43,21985.714285969734,43,TRUE,TRUE
glasses,TUM,TUM_S005,15771.428570985794,46,15771.428570985794,46,TRUE,TRUE
glasses,TUM,TUM_S006,17378.571429014206,49,17378.571429014206,49,TRUE,TRUE
glasses,TUM,TUM_S007,21150,41,21150,41,TRUE,TRUE
glasses,TUM,TUM_S008,21600,50,21600,50,TRUE,TRUE
glasses,TUM,TUM_S009,18300,35,18300,35,TRUE,TRUE
glasses,TUM,TUM_S010,18600,43,18600,43,TRUE,TRUE
glasses,UCR,UCR_S001,11400,58,11400,58,TRUE,TRUE
glasses,UCR,UCR_S002,11400,65,11400,65,TRUE,TRUE
glasses,UCR,UCR_S003,19800,47,19800,47,TRUE,TRUE
glasses,UCR,UCR_S004,9985.714285969734,54,9985.714285969734,54,TRUE,TRUE
glasses,UCR,UCR_S005,13671.428570985794,58,13671.428570985794,58,TRUE,TRUE
glasses,UCR,UCR_S006,12921.428570985794,63,12921.428570985794,63,TRUE,TRUE
chest,BAUA,BAUA_S001,8014.285714030266,71,8014.285714030266,71,TRUE,TRUE
chest,BAUA,BAUA_S002,9985.714285969734,57,9985.714285969734,57,TRUE,TRUE
chest,BAUA,BAUA_S003,13757.142856955528,61,13757.142856955528,61,TRUE,TRUE
chest,BAUA,BAUA_S004,13692.857143044472,56,13692.857143044472,56,TRUE,TRUE
chest,BAUA,BAUA_S005,16757.14285695553,47,16757.14285695553,47,TRUE,TRUE
chest,BAUA,BAUA_S006,14022.857143044472,54,14022.857143044472,54,TRUE,TRUE
chest,BAUA,BAUA_S008,14400,50,14400,50,TRUE,TRUE
chest,BAUA,BAUA_S009,11464.285714030266,45,11464.285714030266,45,TRUE,TRUE
chest,BAUA,BAUA_S010,16071.428570985794,46,16071.428570985794,46,TRUE,TRUE
chest,BAUA,BAUA_S012,16392.85714304447,43,16392.85714304447,43,TRUE,TRUE
chest,BAUA,BAUA_S013,10200,59,10200,59,TRUE,TRUE
chest,BAUA,BAUA_S014,14100,61,14100,61,TRUE,TRUE
chest,BAUA,BAUA_S015,17142.85714304447,38,17142.85714304447,38,TRUE,TRUE
chest,BAUA,BAUA_S016,9814.285714030266,66,9814.285714030266,66,TRUE,TRUE
chest,BAUA,BAUA_S017,16200,45,16200,45,TRUE,TRUE
chest,BAUA,BAUA_S018,17378.571429014206,40,17378.571429014206,40,TRUE,TRUE
chest,BAUA,BAUA_S022,13547.142856955528,50,13547.142856955528,50,TRUE,TRUE
chest,BAUA,BAUA_S023,9535.714285969734,41,9535.714285969734,41,TRUE,TRUE
chest,BAUA,BAUA_S024,13457.142856955528,59,13457.142856955528,59,TRUE,TRUE
chest,BAUA,BAUA_S025,21750,43,21750,43,TRUE,TRUE
chest,FUSPCEU,FUSPCEU_S003,6900,67,6900,67,TRUE,TRUE
chest,FUSPCEU,FUSPCEU_S004,18150,50,18150,50,TRUE,TRUE
chest,FUSPCEU,FUSPCEU_S005,15557.142856955528,50,15557.142856955528,50,TRUE,TRUE
chest,FUSPCEU,FUSPCEU_S006,18900,54,18900,54,TRUE,TRUE
chest,FUSPCEU,FUSPCEU_S007,,36,,36,TRUE,TRUE
chest,FUSPCEU,FUSPCEU_S008,29271.428570985794,54,29271.428570985794,54,TRUE,TRUE
chest,FUSPCEU,FUSPCEU_S009,14592.857143044472,52,14592.857143044472,52,TRUE,TRUE
chest,FUSPCEU,FUSPCEU_S010,11957.142856955528,67,11957.142856955528,67,TRUE,TRUE
chest,FUSPCEU,FUSPCEU_S011,16200,55,16200,55,TRUE,TRUE
chest,FUSPCEU,FUSPCEU_S012,17250,54,17250,54,TRUE,TRUE
chest,FUSPCEU,FUSPCEU_S013,16392.85714304447,50,16392.85714304447,50,TRUE,TRUE
chest,FUSPCEU,FUSPCEU_S014,14820,47,14820,47,TRUE,TRUE
chest,FUSPCEU,FUSPCEU_S015,13007.142856955528,62,13007.142856955528,62,TRUE,TRUE
chest,FUSPCEU,FUSPCEU_S016,16500,62,16500,62,TRUE,TRUE
chest,FUSPCEU,FUSPCEU_S017,22178.571429014206,45,22178.571429014206,45,TRUE,TRUE
chest,FUSPCEU,FUSPCEU_S018,19585.714285969734,42,19585.714285969734,42,TRUE,TRUE
chest,FUSPCEU,FUSPCEU_S019,11400,65,11400,65,TRUE,TRUE
chest,FUSPCEU,FUSPCEU_S020,18514.285714030266,58,18514.285714030266,58,TRUE,TRUE
chest,FUSPCEU,FUSPCEU_S022,18385.714285969734,42,18385.714285969734,42,TRUE,TRUE
chest,FUSPCEU,FUSPCEU_S023,24385.714285969734,49,24385.714285969734,49,TRUE,TRUE
chest,FUSPCEU,FUSPCEU_S024,24385.714285969734,49,24385.714285969734,49,TRUE,TRUE
chest,FUSPCEU,FUSPCEU_S025,17357.14285695553,52,17357.14285695553,52,TRUE,TRUE
chest,IZTECH,IZTECH_S001,11571.428570985794,54,11571.428570985794,54,TRUE,TRUE
chest,IZTECH,IZTECH_S002,19071.428570985794,32,19071.428570985794,32,TRUE,TRUE
chest,IZTECH,IZTECH_S003,18964.285714030266,40,18964.285714030266,40,TRUE,TRUE
chest,IZTECH,IZTECH_S004,24300,40,24300,40,TRUE,TRUE
chest,IZTECH,IZTECH_S005,19800,57,19800,57,TRUE,TRUE
chest,IZTECH,IZTECH_S006,15450,57,15450,57,TRUE,TRUE
chest,IZTECH,IZTECH_S007,19050,58,19050,58,TRUE,TRUE
chest,IZTECH,IZTECH_S008,14820,60,14820,60,TRUE,TRUE
chest,IZTECH,IZTECH_S009,23078.571429014206,43,23078.571429014206,43,TRUE,TRUE
chest,IZTECH,IZTECH_S010,21021.428570985794,52,21021.428570985794,52,TRUE,TRUE
chest,IZTECH,IZTECH_S011,19757.14285695553,52,19757.14285695553,52,TRUE,TRUE
chest,IZTECH,IZTECH_S012,19714.285714030266,44,19714.285714030266,44,TRUE,TRUE
chest,IZTECH,IZTECH_S013,25500,30,25500,30,TRUE,TRUE
chest,IZTECH,IZTECH_S014,13200,56,13200,56,TRUE,TRUE
chest,IZTECH,IZTECH_S015,22500,34,22500,34,TRUE,TRUE
chest,IZTECH,IZTECH_S016,18450,62,18450,62,TRUE,TRUE
chest,IZTECH,IZTECH_S017,21385.714285969734,49,21385.714285969734,49,TRUE,TRUE
chest,KNUST,KNUST_S001,11700,62,11700,62,TRUE,TRUE
chest,KNUST,KNUST_S002,9000,63,9000,63,TRUE,TRUE
chest,KNUST,KNUST_S003,8357.142856955528,69,8357.142856955528,69,TRUE,TRUE
chest,KNUST,KNUST_S004,10714.285714030266,70,10714.285714030266,70,TRUE,TRUE
chest,KNUST,KNUST_S005,4950,72,4950,72,TRUE,TRUE
chest,KNUST,KNUST_S006,13800,60,13800,60,TRUE,TRUE
chest,KNUST,KNUST_S007,8100,58,8100,58,TRUE,TRUE
chest,KNUST,KNUST_S008,6450,61,6450,61,TRUE,TRUE
chest,KNUST,KNUST_S009,11571.428570985794,53,11571.428570985794,53,TRUE,TRUE
chest,KNUST,KNUST_S010,4800,65,4800,65,TRUE,TRUE
chest,KNUST,KNUST_S011,11057.142856955528,60,11057.142856955528,60,TRUE,TRUE
chest,KNUST,KNUST_S012,11400,68,11400,68,TRUE,TRUE
chest,KNUST,KNUST_S013,6750,73,6750,73,TRUE,TRUE
chest,KNUST,KNUST_S014,8288.571429014206,45,8288.571429014206,45,TRUE,TRUE
chest,KNUST,KNUST_S015,5700,57,5700,57,TRUE,TRUE
chest,RISE,RISE_S001,9150,58,9150,58,TRUE,TRUE
chest,RISE,RISE_S002,25178.571429014206,30,25178.571429014206,30,TRUE,TRUE
chest,RISE,RISE_S003,16864.285714030266,41,16864.285714030266,41,TRUE,TRUE
chest,RISE,RISE_S004,11250,57,11250,57,TRUE,TRUE
chest,RISE,RISE_S005,10350,49,10350,49,TRUE,TRUE
chest,RISE,RISE_S006,12900,39,12900,39,TRUE,TRUE
chest,RISE,RISE_S007,14421.428570985794,35,14421.428570985794,35,TRUE,TRUE
chest,RISE,RISE_S008,10778.571429014206,67,10778.571429014206,67,TRUE,TRUE
chest,RISE,RISE_S009,9321.428570985794,60,9321.428570985794,60,TRUE,TRUE
chest,RISE,RISE_S010,10500,65,10500,65,TRUE,TRUE
chest,RISE,RISE_S012,9750,63,9750,63,TRUE,TRUE
chest,RISE,RISE_S013,6600,73,6600,73,TRUE,TRUE
chest,RISE,RISE_S014,7650,63,7650,63,TRUE,TRUE
chest,RISE,RISE_S015,11828.571429014206,41,11828.571429014206,41,TRUE,TRUE
chest,RISE,RISE_S016,14078.571429014206,54,14078.571429014206,54,TRUE,TRUE
chest,RISE,RISE_S017,8421.428570985794,60,8421.428570985794,60,TRUE,TRUE
chest,THUAS,THUAS_S001,18128.571429014206,40,18128.571429014206,40,TRUE,TRUE
chest,THUAS,THUAS_S002,18642.85714304447,39,18642.85714304447,39,TRUE,TRUE
chest,THUAS,THUAS_S003,13435.714285969734,56,13435.714285969734,56,TRUE,TRUE
chest,THUAS,THUAS_S005,15750,54,15750,54,TRUE,TRUE
chest,THUAS,THUAS_S006,21150,45,21150,45,TRUE,TRUE
chest,THUAS,THUAS_S007,14357.142856955528,49,14357.142856955528,49,TRUE,TRUE
chest,THUAS,THUAS_S010,17100,55,17100,55,TRUE,TRUE
chest,THUAS,THUAS_S011,9300,60,9300,60,TRUE,TRUE
chest,THUAS,THUAS_S014,11858.571429014206,58,11858.571429014206,58,TRUE,TRUE
chest,THUAS,THUAS_S015,17550,45,17550,45,TRUE,TRUE
chest,THUAS,THUAS_S016,19800,37,19800,37,TRUE,TRUE
chest,THUAS,THUAS_S017,13071.428570985794,62,13071.428570985794,62,TRUE,TRUE
chest,THUAS,THUAS_S018,13157.142856955528,61,13157.142856955528,61,TRUE,TRUE
chest,THUAS,THUAS_S019,16264.285714030266,46,16264.285714030266,46,TRUE,TRUE
chest,THUAS,THUAS_S020,16607.14285695553,44,16607.14285695553,44,TRUE,TRUE
chest,TUM,TUM_S001,16092.857143044472,57,16092.857143044472,57,TRUE,TRUE
chest,TUM,TUM_S002,14571.428570985794,58,14571.428570985794,58,TRUE,TRUE
chest,TUM,TUM_S003,20614.285714030266,42,20614.285714030266,42,TRUE,TRUE
chest,TUM,TUM_S004,21985.714285969734,43,21985.714285969734,43,TRUE,TRUE
chest,TUM,TUM_S005,15771.428570985794,46,15771.428570985794,46,TRUE,TRUE
chest,TUM,TUM_S006,17378.571429014206,49,17378.571429014206,49,TRUE,TRUE
chest,TUM,TUM_S007,21150,41,21150,41,TRUE,TRUE
chest,TUM,TUM_S008,21600,50,21600,50,TRUE,TRUE
chest,TUM,TUM_S009,18300,35,18300,35,TRUE,TRUE
chest,TUM,TUM_S010,18600,43,18600,43,TRUE,TRUE
chest,UCR,UCR_S001,11400,58,11400,58,TRUE,TRUE
chest,UCR,UCR_S002,11400,65,11400,65,TRUE,TRUE
chest,UCR,UCR_S003,19800,47,19800,47,TRUE,TRUE
chest,UCR,UCR_S004,9985.714285969734,54,9985.714285969734,54,TRUE,TRUE
chest,UCR,UCR_S005,13671.428570985794,58,13671.428570985794,58,TRUE,TRUE
chest,UCR,UCR_S006,12921.428570985794,63,12921.428570985794,63,TRUE,TRUE
chest,UCR,UCR_S007,20250,41,20250,41,TRUE,TRUE
chest,UCR,UCR_S008,14657.142856955528,50,14657.142856955528,50,TRUE,TRUE
chest,UCR,UCR_S009,14700,63,14700,63,TRUE,TRUE
chest,UCR,UCR_S010,12000,71,12000,71,TRUE,TRUE
chest,UCR,UCR_S011,18192.85714304447,36,18192.85714304447,36,TRUE,TRUE
chest,UCR,UCR_S012,10350,69,10350,69,TRUE,TRUE
chest,UCR,UCR_S013,12428.571429014206,58,12428.571429014206,58,TRUE,TRUE
chest,UCR,UCR_S014,6728.571429014206,60,6728.571429014206,60,TRUE,TRUE
chest,UCR,UCR_S015,13200,34,13200,34,TRUE,TRUE
chest,UCR,UCR_S016,22371.428570985794,42,22371.428570985794,42,TRUE,TRUE
chest,UCR,UCR_S017,13757.142856955528,68,13757.142856955528,68,TRUE,TRUE
chest,UCR,UCR_S018,13992.857143044472,58,13992.857143044472,58,TRUE,TRUE
chest,UCR,UCR_S019,9531.428570985794,62,9531.428570985794,62,TRUE,TRUE
chest,UCR,UCR_S020,15685.714285969734,56,15685.714285969734,56,TRUE,TRUE
chest,UCR,UCR_S021,11700,49,11700,49,TRUE,TRUE
chest,UCR,UCR_S022,12857.142856955528,45,12857.142856955528,45,TRUE,TRUE
chest,UCR,UCR_S023,8400,66,8400,66,TRUE,TRUE
chest,UCR,UCR_S025,14464.285714030266,48,14464.285714030266,48,TRUE,TRUE
chest,UCR,UCR_S026,8378.571429014206,72,8378.571429014206,72,TRUE,TRUE
chest,UCR,UCR_S027,11314.285714030266,53,11314.285714030266,53,TRUE,TRUE
chest,UCR,UCR_S028,13350,65,13350,65,TRUE,TRUE
chest,UCR,UCR_S029,14271.428570985794,59,14271.428570985794,59,TRUE,TRUE
chest,UCR,UCR_S030,11700,67,11700,67,TRUE,TRUE
chest,UCR,UCR_S031,12042.857143044472,63,12042.857143044472,63,TRUE,TRUE
chest,UCR,UCR_S032,15600,46,15600,46,TRUE,TRUE
chest,UCR,UCR_S033,18385.714285969734,48,18385.714285969734,48,TRUE,TRUE
chest,UCR,UCR_S034,13757.142856955528,52,13757.142856955528,52,TRUE,TRUE
chest,UCR,UCR_S035,16607.14285695553,57,16607.14285695553,57,TRUE,TRUE
chest,UCR,UCR_S036,15428.571429014206,45,15428.571429014206,45,TRUE,TRUE
chest,UCR,UCR_S037,15878.571429014206,46,15878.571429014206,46,TRUE,TRUE
chest,UCR,UCR_S038,16071.428570985794,44,16071.428570985794,44,TRUE,TRUE
chest,UCR,UCR_S039,4542.857143044472,69,4542.857143044472,69,TRUE,TRUE
chest,UCR,UCR_S040,9171.428570985794,63,9171.428570985794,63,TRUE,TRUE
