frame_id,run_order,run_id,data_scenario_id,reader_scenario,placement,placement_label,sample_scenario,analytical_role,metric_id,instrument_id,availability,row_key_hash,participants,participant_days,observations,sites,derivation_hours,min_days_per_participant,median_days_per_participant,max_days_per_participant,primary_family_member,spline_status,spline_error,spline_lrt_p,spline_aic_improvement,max_anchored_departure_hour,linearity_assessment
primary__glasses__all_available__mean_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,mean_timing_above_250,MCTQ,ESTIMABLE,95c788d9f24f3be5dfcb16df9c55a86a4dd5339929ce9a4751b1104e79c61829,140,736,736,9,17070.316666666666,2,5.5,7,FALSE,FITTED,,0.9456903765848875,-3.8883198780345083,0.04093320408777146,acceptable
primary__glasses__all_available__mean_timing_above_250__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,mean_timing_above_250,MEQ,ESTIMABLE,00d504fedfc57a0513be3fd459fdcd99f63a252d839327f7cee5203d21a65736,141,742,742,9,17209.633333333335,2,6,7,FALSE,FITTED,,0.5605160653609749,-2.8422052513446943,0.2107571038008924,acceptable
primary__chest__all_available__first_timing_above_250__MCTQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,first_timing_above_250,MCTQ,ESTIMABLE,2686fa682d40e8ef613b8441d9afefea73b72685097e7455c9bc2f42e073b156,153,797,797,8,18518.416666666668,1,6,7,TRUE,FITTED,,0.19593174824469065,-0.7400221927264283,0.3911653953597689,acceptable
primary__chest__all_available__first_timing_above_250__MEQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,first_timing_above_250,MEQ,ESTIMABLE,6f770b18d6cbbfbeb5f661f348887869b29d44fe11bdbd349a5dd4662b7c4e43,154,802,802,8,18634.65,1,6,7,TRUE,FITTED,,0.2946124454972485,-1.5558109391245125,0.6511736426922532,acceptable
primary__chest__all_available__l10_midpoint__MCTQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,l10_midpoint,MCTQ,ESTIMABLE,7c71e2e3a958ce98e767038ec07d8cd2044de75ee11c46fbf063e8a112b33e2a,153,896,896,8,20752.433333333334,2,6,8,TRUE,FITTED,,0.04699284642876803,2.1155197849989236,0.40024850203651585,acceptable
primary__chest__all_available__l10_midpoint__MEQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,l10_midpoint,MEQ,ESTIMABLE,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099,154,902,902,8,20891.75,2,6,8,TRUE,FITTED,,0.07864289481578703,1.0856759856733333,0.6268616220075822,acceptable
primary__chest__all_available__last_timing_above_250__MCTQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,last_timing_above_250,MCTQ,ESTIMABLE,6d692f12236dbb899e5d86d1c00fd6209cc200edf0ed7c4a7f7f0ba1e4e570a2,153,783,783,8,18263.85,2,5,7,TRUE,FITTED,,0.88977397972464,-3.766424392252702,0.07977903331298464,acceptable
primary__chest__all_available__last_timing_above_250__MEQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,last_timing_above_250,MEQ,ESTIMABLE,af544e57c0ec2cbfc3370f8bc8a2758575541a6768d247f0b79fe458e2d60b52,154,787,787,8,18358.116666666665,2,5,7,TRUE,FITTED,,0.5892922642801189,-2.9423339716231567,0.31791815920007593,acceptable
primary__chest__all_available__longest_period_midpoint__MCTQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,longest_period_midpoint,MCTQ,ESTIMABLE,a7cc6709b751267c2ee88145f2c47547e5aa1c035f65e819d307a30380048d27,149,547,547,8,12980.05,1,4,7,TRUE,FITTED,,0.9089360393673932,-3.809038897974915,0.15279044613952308,acceptable
primary__chest__all_available__longest_period_midpoint__MEQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,longest_period_midpoint,MEQ,ESTIMABLE,1907b1e46384901f463be25c32a2f6c825a358de50139ec89478fffe2933eb1f,150,549,549,8,13027.8,1,4,7,TRUE,FITTED,,0.5415081121858499,-2.7732055365986525,0.4266135137509792,acceptable
primary__chest__all_available__m10_midpoint__MCTQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,m10_midpoint,MCTQ,ESTIMABLE,7c71e2e3a958ce98e767038ec07d8cd2044de75ee11c46fbf063e8a112b33e2a,153,896,896,8,20752.433333333334,2,6,8,TRUE,FITTED,,0.2632160555944343,-1.3304398402142397,0.17645228574216354,acceptable
primary__chest__all_available__m10_midpoint__MEQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,m10_midpoint,MEQ,ESTIMABLE,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099,154,902,902,8,20891.75,2,6,8,TRUE,FITTED,,0.4958729102124076,-2.597128770999916,0.3330350606016985,acceptable
primary__chest__all_available__mean_timing_above_250__MCTQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,mean_timing_above_250,MCTQ,ESTIMABLE,00077b75ea786147cf82f8c5d8d5bb8903460ae2561fbdf56ed89c566abb8a4c,153,825,825,8,19196.816666666666,2,6,7,FALSE,FITTED,,0.8249556321798445,-3.615148653460892,0.14650338708556987,acceptable
primary__chest__all_available__mean_timing_above_250__MEQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,mean_timing_above_250,MEQ,ESTIMABLE,61a7b57f8de7dd440eb961dc8333da2f02c0e811f8cf6532e10f0d1d7175fb90,154,831,831,8,19336.133333333335,2,6,7,FALSE,FITTED,,0.4725017452854229,-2.5005723233412027,0.3352210147937864,acceptable
