"index","kind","style","text","text_chars","drawings","drawing_alt","drawing_width_in","drawing_height_in","direct_spacing","direct_line_rule","keep_next","keep_lines","page_before","has_keep_next","has_keep_lines","has_page_before","section","section_type","section_width","section_height","orientation","margin_top","margin_bottom"
96,"p","Textkrper","Light-behaviour and visual-sensitivity scores did not meet their FDR criteria, whereas chronotype aligned with selected timing outcomes and age with selected bright-light and dose metrics. T",656,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
97,"p","Textkrper","Near-eye sensing approximates the incident ocular field during wake but is not a retinal measurement; chest sensing samples a related environmental field. Studies show structured differences",630,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
98,"p","Textkrper","The harmonised protocol combined repeated near-eye sensing with local-clock and contextual information across nine sites and seven countries. A generalised additive model separated the share",682,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
99,"p","Textkrper","Several limitations qualify these findings. Modest site samples limit site estimates, interactions and subgroup evaluation. Healthy working-age adults may not represent children, adolescents",1168,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
100,"p","Textkrper","This nine-site reference locates everyday ocular light exposure within the exposome, benchmarks it against physiology-based recommendations, highlights within-site variation among people and",1051,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
101,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
102,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
103,"p","berschrift1","Methods",7,0,"",,,"","","","","",TRUE,FALSE,TRUE,FALSE,"","","","","",""
104,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
105,"p","berschrift2","Study design and sites",22,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
106,"p","FirstParagraph","MeLiDos is a prospective multicentre observational field study of personal light exposure conducted with a harmonised protocol35. Participants completed an eight-day ambulatory protocol comp",1383,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
107,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
108,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
109,"p","berschrift2","Participants, recruitment and ethics",36,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
110,"p","FirstParagraph","The registered target population comprised adults aged 18 to 65 years in full-time employment or part-time employment above 80%. Exclusion criteria included diagnosed psychiatric or sleep di",1412,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
111,"p","Textkrper","All participants provided written informed consent. Approvals were obtained from the Ethics Committee of the Technical University of Munich for Tübingen (DE; 2023-115-S-KK) and for Munich (D",1255,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
112,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
113,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
114,"p","berschrift2","Personal light measurements",27,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
115,"p","FirstParagraph","Personal light was recorded every 10 s with spectrally sensitive ActLumus loggers (Condor Instruments, São Paulo, Brazil). Eight visible-band channels were processed by the device to generat",1488,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
116,"p","Textkrper","The placement analysis from the same project used overlapping MeLiDos data and is cited as related methodological evidence, not independent replication33. No analysis pooled sensor positions",378,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
117,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
118,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
119,"p","berschrift2","Contextual and person-level measures",36,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
120,"p","FirstParagraph","Participants completed the core Consensus Sleep Diary after awakening51, together with evening reports and paper diaries recording light source and an activity-environment category for each ",542,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
121,"p","Textkrper","The modified Harvard Light Exposure Assessment categories were indoor electric light, outdoor electric light, indoor daylight, outdoor daylight including shade, an emissive display, darkness",1054,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
122,"p","Textkrper","Baseline measures recorded age, biological sex, gender, employment and chronotype; end-of-study measures covered visual light sensitivity, the sleep environment and habitual light-exposure b",899,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
123,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
124,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
125,"p","berschrift2","Time, sleep/wake status and coverage preparation",48,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
126,"p","FirstParagraph","Processing preserved both actual time in Coordinated Universal Time and local wall-clock time. Actual time ordered observations and measured elapsed gaps; local time aligned daily patterns a",496,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
127,"p","Textkrper","Diary-defined sleep began at reported sleep preparation and ended at reported wake. Sleep values were retained as the intended bedside record. Declared waking non-wear made the analytical li",841,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
128,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
129,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
130,"p","berschrift2","Exposure metrics",16,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
131,"p","FirstParagraph","Metrics were derived in R63 with LightLogR64,65. The 17 outcomes represented complementary properties of the daily pattern. Three level metrics described the daily geometric mean melanopic E",1291,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
132,"p","Textkrper","The melanopic daylight efficacy ratio was the arithmetic mean of viable one-minute melanopic EDI to photopic-illuminance ratios on a complete 1,440-position local-clock grid. Both channels h",389,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
133,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
134,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
135,"p","berschrift2","Recommendation-window and adherence analyses",44,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
136,"p","FirstParagraph","We compared valid one-minute values with the Brown et al. recommendation ranges8: at least 250 lx melanopic EDI during daytime, no more than 10 lx during pre-sleep and no more than 1 lx duri",617,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
137,"p","Textkrper","The main adherence analysis retained one row per window period and defined adherence as adherent valid minutes divided by all valid minutes in that period. A behavioural cycle crossed midnig",1058,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
138,"p","Textkrper","The exploratory cross-window extension used daytime adherence as the predictor and sleep or pre-sleep adherence as outcomes in daytime-anchored behavioural cycles. It separated each particip",883,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
139,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
140,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
141,"p","berschrift2","Daily temporal architecture",27,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
142,"p","FirstParagraph","The daily-pattern analysis used supported 30-minute arithmetic means, retaining a bin when at least 15 one-minute values were valid. The outcome was log10(melanopic EDI + 0.1 lx). A generali",1318,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
143,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
144,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
145,"p","berschrift2","Geographic and photoperiod analyses",35,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
146,"p","FirstParagraph","We analysed 17 participant-level or participant-day metrics with metric-specific Gaussian or Tweedie exponential-dispersion models73,74. We treated overall site differences, civil photoperio",990,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
147,"p","Textkrper","Nonlinear photoperiod analyses fitted each of nine planned metrics separately with a generalised additive model estimated by restricted maximum likelihood, a thin-plate photoperiod smooth wi",1038,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
148,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
149,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
150,"p","berschrift2","Immediate-context and routine analyses",38,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
151,"p","FirstParagraph","Light-source and activity-environment analyses modelled the zero-aware one-hour geometric mean melanopic EDI with fixed-power quasi-Tweedie log-mean models and participant-cluster-robust inf",2194,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
152,"p","Textkrper","The participant-hour analysis modelled each supported participant-hour with a zero-inclusive quasi-Poisson log-link model, fixed site associations and participant-cluster HC3 uncertainty. Fr",455,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
153,"bookmarkEnd","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
154,"bookmarkStart","","",0,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
155,"p","berschrift2","Person-level analyses",21,0,"",,,"","","","","",FALSE,FALSE,FALSE,FALSE,"","","","","",""
