"source_body_row","source_column","text","style"
8,4,"0.315 ± 0.078","white-space:nowrap"
8,5,"0.288 ± 0.094","white-space:nowrap"
8,6,"0.274 ± 0.074","white-space:nowrap"
8,7,"0.344 ± 0.107","white-space:nowrap"
8,8,"0.252 ± 0.058","white-space:nowrap"
8,9,"0.368 ± 0.092","white-space:nowrap"
8,10,"0.323 ± 0.104","white-space:nowrap"
8,11,"0.37 ± 0.118","white-space:nowrap"
8,12,"0.299 ± 0.062","white-space:nowrap"
9,3,"1.229 ± 0.389","white-space:nowrap"
9,4,"1.088 ± 0.343","white-space:nowrap"
9,5,"1.238 ± 0.345","white-space:nowrap"
9,6,"1.177 ± 0.407","white-space:nowrap"
9,7,"1.125 ± 0.354","white-space:nowrap"
9,8,"1.332 ± 0.477","white-space:nowrap"
9,9,"1.251 ± 0.413","white-space:nowrap"
9,10,"1.307 ± 0.415","white-space:nowrap"
9,11,"1.355 ± 0.256","white-space:nowrap"
9,12,"1.344 ± 0.413","white-space:nowrap"
11,3,"10.358 ± 16.216","white-space:nowrap"
11,4,"19.923 ± 27.784","white-space:nowrap"
11,5,"15.881 ± 20.395","white-space:nowrap"
11,6,"13.809 ± 23.711","white-space:nowrap"
11,7,"7.719 ± 9.847","white-space:nowrap"
11,8,"10.055 ± 11.237","white-space:nowrap"
11,9,"6.115 ± 8.79","white-space:nowrap"
11,10,"7.49 ± 8.898","white-space:nowrap"
11,11,"3.281 ± 2.573","white-space:nowrap"
11,12,"10.016 ± 10.799","white-space:nowrap"
13,3,"7.587 ± 9.496","white-space:nowrap"
13,4,"9.171 ± 7.111","white-space:nowrap"
13,5,"8.274 ± 6.558","white-space:nowrap"
13,6,"12.017 ± 18.865","white-space:nowrap"
13,7,"7.221 ± 6.33","white-space:nowrap"
13,8,"12.102 ± 12.013","white-space:nowrap"
13,9,"4.166 ± 3.272","white-space:nowrap"
13,10,"7.778 ± 6.946","white-space:nowrap"
13,11,"5.248 ± 2.85","white-space:nowrap"
13,12,"3.019 ± 2.896","white-space:nowrap"
14,3,"214.866 ± 508.56","white-space:nowrap"
14,4,"399.302 ± 518.102","white-space:nowrap"
14,5,"262.206 ± 329.201","white-space:nowrap"
14,6,"422.54 ± 1,209.616","white-space:nowrap"
14,7,"179.372 ± 241.53","white-space:nowrap"
14,8,"201.947 ± 194.042","white-space:nowrap"
14,9,"136.312 ± 134.07","white-space:nowrap"
14,10,"120.172 ± 101.545","white-space:nowrap"
14,11,"96.735 ± 72.311","white-space:nowrap"
14,12,"82.489 ± 115.07","white-space:nowrap"
15,3,"0.243 ± 0.513","white-space:nowrap"
15,4,"0.183 ± 0.299","white-space:nowrap"
15,5,"0.2 ± 0.332","white-space:nowrap"
15,6,"0.223 ± 0.299","white-space:nowrap"
15,7,"0.273 ± 0.465","white-space:nowrap"
15,8,"0.515 ± 0.653","white-space:nowrap"
15,9,"0.054 ± 0.075","white-space:nowrap"
15,10,"0.475 ± 0.882","white-space:nowrap"
15,11,"0.411 ± 1.044","white-space:nowrap"
15,12,"0.059 ± 0.104","white-space:nowrap"
17,3,"0.724 ± 0.116","white-space:nowrap"
17,4,"0.796 ± 0.162","white-space:nowrap"
17,5,"0.743 ± 0.077","white-space:nowrap"
17,6,"0.768 ± 0.118","white-space:nowrap"
17,7,"0.667 ± 0.098","white-space:nowrap"
17,8,"0.72 ± 0.093","white-space:nowrap"
17,9,"0.673 ± 0.07","white-space:nowrap"
17,10,"0.735 ± 0.122","white-space:nowrap"
17,11,"0.706 ± 0.067","white-space:nowrap"
17,12,"0.758 ± 0.097","white-space:nowrap"
19,3,"13:56 ± 01:51","white-space:nowrap"
19,4,"13:20 ± 01:33","white-space:nowrap"
19,5,"14:22 ± 01:51","white-space:nowrap"
19,6,"14:00 ± 01:42","white-space:nowrap"
19,7,"13:52 ± 01:42","white-space:nowrap"
19,8,"14:31 ± 02:14","white-space:nowrap"
19,9,"14:10 ± 01:51","white-space:nowrap"
19,10,"14:25 ± 01:37","white-space:nowrap"
19,11,"12:55 ± 01:44","white-space:nowrap"
19,12,"13:03 ± 01:58","white-space:nowrap"
20,3,"02:58 ± 01:41","white-space:nowrap"
20,4,"02:03 ± 01:07","white-space:nowrap"
20,5,"02:50 ± 02:05","white-space:nowrap"
20,6,"02:37 ± 01:19","white-space:nowrap"
20,7,"03:16 ± 01:34","white-space:nowrap"
20,8,"03:10 ± 02:00","white-space:nowrap"
20,9,"03:34 ± 01:49","white-space:nowrap"
20,10,"03:26 ± 01:25","white-space:nowrap"
20,11,"02:10 ± 01:27","white-space:nowrap"
20,12,"02:36 ± 01:36","white-space:nowrap"
21,3,"09:26 ± 02:22","white-space:nowrap"
21,4,"08:03 ± 01:32","white-space:nowrap"
21,5,"09:17 ± 01:56","white-space:nowrap"
21,6,"08:45 ± 02:21","white-space:nowrap"
21,7,"09:45 ± 02:21","white-space:nowrap"
21,8,"09:39 ± 03:12","white-space:nowrap"
21,9,"10:05 ± 02:18","white-space:nowrap"
21,10,"10:26 ± 02:28","white-space:nowrap"
21,11,"08:36 ± 01:30","white-space:nowrap"
21,12,"09:19 ± 01:52","white-space:nowrap"
22,3,"18:03 ± 02:36","white-space:nowrap"
22,4,"18:39 ± 01:38","white-space:nowrap"
22,5,"18:37 ± 02:08","white-space:nowrap"
22,6,"19:16 ± 02:28","white-space:nowrap"
22,7,"17:18 ± 02:44","white-space:nowrap"
22,8,"19:33 ± 02:11","white-space:nowrap"
22,9,"18:01 ± 02:21","white-space:nowrap"
22,10,"18:23 ± 02:15","white-space:nowrap"
22,11,"15:22 ± 02:38","white-space:nowrap"
22,12,"15:46 ± 02:13","white-space:nowrap"
23,3,"13:31 ± 01:52","white-space:nowrap"
23,4,"13:21 ± 01:25","white-space:nowrap"
23,5,"14:02 ± 01:41","white-space:nowrap"
23,6,"13:51 ± 01:56","white-space:nowrap"
23,7,"13:24 ± 01:45","white-space:nowrap"
23,8,"14:09 ± 02:22","white-space:nowrap"
23,9,"13:47 ± 01:33","white-space:nowrap"
23,10,"14:04 ± 01:39","white-space:nowrap"
23,11,"11:26 ± 01:36","white-space:nowrap"
23,12,"12:11 ± 01:36","white-space:nowrap"
